"ZCTA","minDisSUT","timeDrive","countDrive"
1001,1.93,8.04,52
1002,9.21,18.07,22
1003,7.15,20.03,19
1005,7.76,16.97,6
1007,8.16,18.88,23
1008,10.76,18.59,5
1009,2.8,7.56,19
1010,6.68,15.87,13
1012,8.61,18.82,7
1013,1.17,0,60
1020,1.48,0,60
1022,3.31,8.46,59
1027,4.21,0,53
1028,1.72,0,58
1029,10.43,27.51,5
1030,0.11,0,51
1031,5.53,13.85,9
1032,9.65,20.34,6
1033,6.51,13.72,51
1034,9.98,28.85,5
1035,3.8,13.71,19
1036,4.01,12.26,37
1037,8.22,22.06,5
1038,4.42,13.51,25
1039,4.13,9.84,7
1040,1.14,0,61
1050,10.23,23.03,12
1053,1.38,0,19
1054,8.62,26.89,11
1056,2.67,0,56
1057,4.62,11.2,30
1060,0.17,0,57
1062,1.79,7.9,19
1063,0.44,1.19,51
1066,4.49,14.86,25
1068,8.5,23.48,3
1069,2.25,0,48
1071,5.88,16.41,12
1072,10.41,28.2,2
1073,4.38,8.19,50
1074,10.09,20.38,7
1075,3.72,7.19,57
1077,4.04,11.41,36
1079,1.83,4.24,42
1080,1.5,6.52,49
1081,8.37,16.87,8
1082,3.27,0,7
1083,4.12,16.55,11
1084,10.36,27.03,1
1085,2.02,0,56
1086,1.95,6.74,47
1088,3.56,11.64,25
1089,1.16,0,58
1092,3.65,12.76,14
1093,6.29,13.9,13
1094,8.88,22.63,6
1095,3.34,11.22,50
1096,5.76,16.05,6
1097,5.48,9.78,42
1103,0.29,0,61
1104,1.57,0,61
1105,0.09,0,61
1106,2.89,7.36,58
1107,0.54,0,61
1108,0.95,0,62
1109,0.82,0,61
1118,1.98,3.85,56
1119,2.38,7.08,55
1128,0.8,7.58,51
1129,2.43,7.53,50
1151,0.57,0,56
1199,0.5,1.19,61
1201,1.09,0,11
1220,3.06,11.55,5
1222,3.93,12.15,3
1224,3.44,14.13,16
1225,7.65,20.84,16
1226,3.96,10.91,11
1229,2.88,16.29,13
1230,3.92,0,3
1235,7.3,21.6,11
1236,2.11,10.07,2
1237,6.27,15.63,11
1238,7.5,21.71,13
1240,5.49,13.34,13
1242,7.98,18.36,13
1244,1.85,23.15,3
1245,4.11,17.41,2
1247,1.37,0,5
1254,7.54,20.24,13
1255,5.74,29.5,1
1256,6.63,30,5
1257,6.88,14.11,3
1258,9.73,24.17,2
1259,3.77,19.06,1
1260,3.89,16.79,13
1262,4.17,16.88,13
1264,7.44,27.17,2
1266,4.91,19.2,13
1267,6.68,14.31,6
1270,9.47,22.83,11
1301,1.67,0,11
1330,11.02,26.1,1
1331,1.8,0,11
1337,6.58,14.95,13
1340,8.24,23.68,6
1341,7.16,27.79,7
1342,2.69,10.43,12
1343,6.44,23.77,5
1344,5.85,15.57,12
1347,3.37,18.82,8
1349,4.89,15.09,8
1350,6.53,27.07,5
1351,3.92,16.39,8
1354,4.77,10.99,6
1355,8.64,13.26,6
1360,8.81,19.2,15
1364,1.89,0,6
1366,2.49,0,8
1368,6.75,14.83,8
1370,5.46,18.67,6
1373,7.53,15.85,25
1375,7.95,19.39,13
1376,1.69,10.15,6
1378,5.97,13.91,4
1379,5.15,19.6,2
1420,0.92,0,21
1430,3.76,15.24,14
1431,1.48,0,19
1432,2.15,11.66,22
1434,1.77,14.91,18
1436,5.03,11.8,11
1438,1.92,7.22,25
1440,0.72,0,24
1450,5.59,21.32,3
1451,2.28,0,17
1452,6.21,15.02,6
1453,0.49,0,31
1460,4.47,13.96,27
1462,3.25,12.58,18
1463,7.5,20.4,11
1464,4.53,17.48,14
1467,3.8,7.3,16
1468,3.92,9.97,25
1469,7.42,15.33,14
1473,1.31,0,22
1474,4.96,10.06,14
1475,6.62,14.99,10
1501,3.08,6.28,44
1503,5.84,12.06,53
1504,2.58,6.67,37
1505,4.14,9.29,36
1506,4.02,9.07,16
1507,5.2,12.32,39
1510,8.04,18.68,46
1515,1.73,0,21
1516,5.39,13.51,37
1518,5.48,11.3,8
1519,3.92,10.06,36
1520,3.32,8.49,35
1521,6.94,18.53,9
1522,5.72,21.19,28
1523,4.78,12.64,39
1524,3.43,8.34,40
1525,1.51,7.43,33
1527,0.64,0,42
1529,4.14,15.77,8
1531,7.24,19.72,6
1532,2.73,9.4,47
1534,2.22,9.48,36
1535,3.47,9.09,16
1536,4.14,9.14,37
1537,5.86,12.04,42
1540,6.2,9.31,47
1541,0.82,0,46
1542,4,10.37,40
1543,7.16,17.2,29
1545,0.99,0,46
1550,0.98,0,19
1560,4.24,9.25,36
1561,6.46,16.77,27
1562,2.83,8.64,37
1564,5.85,12.87,46
1566,3.07,6.12,26
1568,5.4,11.9,48
1569,3.86,10.24,18
1570,1.73,0,45
1571,4.74,8.06,19
1581,1.43,0,47
1583,3.29,7.26,41
1585,4.12,12.17,11
1588,0.73,0,42
1590,3.48,9.89,39
1602,1.03,0,41
1603,0.3,0,45
1604,0.84,0,40
1605,0.93,0,40
1606,0.66,0,45
1607,1.77,4.43,38
1608,0.13,0,41
1609,1.58,0,40
1610,0.53,0,45
1611,1.23,5.2,43
1612,5.94,8.82,34
1701,2.03,7.75,28
1702,0.52,0,28
1718,4.6,11.76,20
1719,4.37,12.5,16
1720,3.07,9.27,27
1721,2.33,9.18,17
1730,0.72,0,49
1731,3.51,10.8,62
1740,6.96,14.43,47
1741,4.15,10.49,32
1742,1.12,0,32
1745,3,10.24,49
1746,4.24,15.2,14
1747,2.61,4.66,22
1748,5.55,12.15,38
1749,3.68,7.14,49
1752,0.99,0,43
1754,4.31,11.1,24
1756,4.86,10.69,11
1757,1.13,0,22
1760,3.02,10.04,44
1770,3.28,11.46,20
1772,2.45,10.46,50
1773,3.66,10.22,83
1775,6.7,14.96,24
1776,5.66,16.36,19
1778,5.05,13.48,59
1801,1.75,0,139
1803,2.62,6.78,113
1810,2.46,0,34
1821,1.82,9.14,42
1824,2.24,8.62,36
1826,2.62,7.24,29
1827,4.15,14.7,17
1830,1.58,0,26
1832,2.13,5.04,29
1833,1.97,0,21
1834,1.8,7.55,19
1835,1.86,5.15,30
1840,0.37,0,35
1841,0.62,0,30
1843,0.97,0,36
1844,2.07,6.26,32
1845,2.51,9.53,32
1850,0.73,5.07,29
1851,0.85,0,38
1852,0.93,0,37
1854,0.32,0,32
1860,4.18,9.43,15
1862,0.94,0,41
1863,2.1,7.31,32
1864,2.96,14.93,62
1867,1.61,7.94,122
1876,0.54,0,35
1879,4.13,12.06,28
1880,1.41,0,122
1886,5.19,15.51,30
1887,1.46,0,77
1890,2.06,6.4,119
1901,0.16,0,113
1902,0.42,0,111
1904,2.03,4.47,92
1905,1.15,0,114
1906,1.55,0,116
1907,1.71,5.29,88
1908,2.22,8.06,81
1913,0.83,0,18
1915,1.41,0,31
1921,1.69,16.96,24
1922,4.1,12.72,15
1923,0.28,0,42
1929,4.92,11.49,13
1930,0.46,0,13
1937,0.38,7.48,50
1938,8.63,20.93,15
1940,2.59,11.02,100
1944,5.38,10.84,22
1945,1.96,8.31,52
1949,2.35,9.32,50
1950,0.53,0,16
1951,2.7,6.95,7
1952,2.57,10.87,13
1960,0.92,0,49
1966,2.56,9,4
1969,6.09,13.16,17
1970,0.6,0,64
1982,5,11.29,26
1983,3.91,10.8,40
1984,2.99,8.75,25
1985,4.21,12.94,18
2019,4.34,10.53,31
2021,3,0,103
2025,1.45,0,13
2026,3.87,12.32,132
2030,6.97,22.04,58
2032,7.23,12.66,70
2035,0.91,0,45
2038,5.95,17.37,19
2043,2.47,7.51,48
2045,3.63,11.78,13
2047,8.98,19.13,4
2048,2.61,8.32,40
2050,7.98,21.06,6
2052,8.2,19.99,29
2053,3.54,14.09,18
2054,7.04,19.06,17
2056,6.46,12.39,24
2061,2.14,0,38
2062,6.57,11.17,101
2066,5.07,10.92,6
2067,5.05,11.25,43
2071,3.99,9.54,21
2072,1.64,0,89
2081,6.76,12.94,52
2090,6.26,12.15,104
2093,5.83,13.4,23
2108,0.38,2.38,127
2109,0.35,0,123
2110,0.24,0,132
2111,0.08,0,127
2113,0.25,2.42,132
2114,0.08,0,125
2115,0.29,0,125
2116,0.22,0,126
2118,0.24,0,129
2119,0.53,0,125
2120,0.59,1.91,125
2121,0.24,0,136
2122,1.35,0,139
2124,0.14,0,133
2125,0.35,0,125
2126,0.32,0,130
2127,0.07,0,128
2128,1.1,0,130
2129,0.37,0,128
2130,0.39,0,125
2131,1.19,6.36,121
2132,1.4,9.46,127
2134,0.24,0,130
2135,0.34,0,128
2136,2.06,6.23,123
2138,1.04,5.03,117
2139,0.55,0,117
2140,0.49,0,118
2141,0.86,4.14,124
2142,0.68,4.44,123
2143,0.17,0,120
2144,0.34,0,121
2145,0.55,4.62,128
2148,1.9,3.8,134
2149,0.34,0,128
2150,0.4,0,126
2151,1.84,4.97,126
2152,2.82,7.19,116
2155,1.04,0,136
2163,0.89,4.47,126
2169,0.12,0,120
2170,0.99,4.64,137
2171,1.98,6.84,135
2176,3.28,7.19,136
2180,1.91,5.29,140
2184,2.26,7.3,98
2186,2.05,5.06,120
2188,0.99,5.33,107
2189,0.74,0,92
2190,0.66,0,96
2191,2.82,6.13,92
2199,0.51,7.04,115
2203,0.22,1.36,132
2210,0.85,6.16,117
2215,0.34,0,126
2301,1.06,0,52
2302,0.93,0,50
2322,2.12,8.73,92
2324,6.11,16.3,28
2330,7.26,20.27,12
2332,5.38,21.43,8
2333,3.71,15.94,31
2338,8.72,27.17,19
2339,2.51,8.48,39
2341,6.96,18.96,20
2343,2.32,7.8,91
2346,11.12,21.9,12
2347,8.05,21.13,29
2351,2.89,8.93,43
2356,3.74,11.58,31
2357,2.99,11.41,40
2359,7.11,17.78,21
2360,4.32,0,4
2364,3.13,17.12,4
2366,6.2,18.28,3
2367,6.13,24.48,10
2368,1,0,101
2370,2.4,10.25,43
2375,5.15,14.65,32
2379,2.65,10.51,31
2382,3.84,8.92,32
2420,2.03,10.97,107
2421,3.67,7.98,110
2445,1.31,3.83,118
2446,0.18,0,118
2451,1.11,0,105
2452,1.44,4.97,110
2453,0.24,0,110
2457,4.91,15.12,103
2458,0.53,0,128
2459,2.45,5.27,122
2460,0.63,2.98,121
2461,2.77,5.69,122
2462,2.63,7.58,115
2464,3.19,8.77,122
2465,1.49,4.42,111
2466,1.58,4.67,110
2467,1.39,0,121
2468,2.61,7.32,122
2472,0.86,0,126
2474,0.78,0,125
2476,1.44,3.82,111
2478,0.62,0,121
2481,4.05,14.22,98
2482,5.64,14.64,97
2492,5.05,12.14,128
2493,2.43,9,102
2494,4.21,9.75,122
2532,2.53,0,14
2534,1.05,0,11
2535,9.94,23.06,1
2536,1.8,0,11
2537,6.07,15.12,12
