"STATEFP","cntT","cntTimeDrive","avTimeDrive","pctTimeDrive"
"01",1181,1150,6.29,0.97
"02",167,128,76.08,0.77
"04",1533,1444,7,0.94
"05",686,652,6.95,0.95
"06",8058,7971,3.15,0.99
"08",1249,1205,6.04,0.96
"09",833,833,3.14,1
"10",218,218,2.92,1
"11",179,179,1.3,1
"12",4245,4212,3.47,0.99
"13",1969,1946,5.38,0.99
"15",351,342,12.24,0.97
"16",298,262,9.59,0.88
"17",3123,3090,3.65,0.99
"18",1511,1503,5.34,0.99
"19",825,813,6.33,0.99
"20",770,744,5.59,0.97
"21",1115,1094,6.7,0.98
"22",1148,1105,5.66,0.96
"23",358,326,14.38,0.91
"24",1406,1399,3.49,1
"25",1478,1475,2.65,1
"26",2813,2731,5.58,0.97
"27",1338,1287,6.22,0.96
"28",664,638,7.46,0.96
"29",1393,1352,5.72,0.97
"30",271,209,18.11,0.77
"31",532,515,5.57,0.97
"32",687,668,5.4,0.97
"33",295,288,7.11,0.98
"34",2010,2009,1.87,1
"35",499,443,11.02,0.89
"36",4931,4883,2.85,0.99
"37",2195,2167,5.7,0.99
"38",205,176,11.01,0.86
"39",2952,2947,4.29,1
"40",1046,1012,5.72,0.97
"41",834,788,6.98,0.94
"42",3218,3193,3.68,0.99
"44",244,244,2.47,1
"45",1103,1086,6.07,0.98
"46",225,192,11.6,0.85
"47",1497,1475,6.12,0.99
"48",5265,5153,4.52,0.98
"49",588,566,6.01,0.96
"50",184,170,10.92,0.92
"51",1908,1888,5.28,0.99
"53",1458,1406,5.97,0.96
"54",484,463,6.84,0.96
"55",1409,1365,6.05,0.97
"56",132,113,11.69,0.86
"60",18,0,NA,0
"66",57,0,NA,0
"69",23,0,NA,0
"72",908,0,NA,0
"78",31,0,NA,0
