"COUNTYFP","cntT","cntBupT","cntMetT","cntNalT","avBupTime","avMetTime","avNalTime","pctBupT","pctMetT","pctNalT"
"01133",7,3,0,0,19.4971428571429,48.9757142857143,48.06,0.43,0,0
"02013",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02016",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02020",55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02050",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02060",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02068",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02070",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02090",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02100",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02105",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02110",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02122",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02130",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02150",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02158",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02164",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02170",24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02180",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02185",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02188",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02195",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02198",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02220",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02230",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02240",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02261",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02275",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02282",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02290",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04001",16,10,NA,0,26.463125,NA,78.9975,0.62,NA,0
"04003",32,26,15,28,16.7015625,40.058125,14.2978125,0.81,0.47,0.88
"04005",28,20,NA,20,30.2367857142857,NA,26.2396428571429,0.71,NA,0.71
"04007",16,10,4,10,28.14375,69.595625,29.82875,0.62,0.25,0.62
"04009",9,7,7,7,24.6977777777778,22.1444444444444,20.14,0.78,0.78,0.78
"04011",3,0,0,0,71.7566666666667,65.47,61.46,0,0,0
"04012",9,3,0,4,47.1766666666667,91.4622222222222,47.6788888888889,0.33,0,0.44
"04013",916,908,878,906,3.89409388646288,12.4398580786026,6.05245633187773,0.99,0.96,0.99
"04015",43,39,25,39,11.0746511627907,33.1046511627907,10.7027906976744,0.91,0.58,0.91
"04017",31,13,NA,17,36.1983870967742,NA,37.8074193548387,0.42,NA,0.55
"04019",248,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04021",75,73,33,61,9.01786666666667,31.6994666666667,17.3530666666667,0.97,0.44,0.81
"04023",10,9,0,1,14.109,70.49,47.807,0.9,0,0.1
"04025",42,37,19,34,12.1745238095238,43.6992857142857,14.9359523809524,0.88,0.45,0.81
"04027",55,49,44,49,14.1645454545455,27.8561818181818,19.6936363636364,0.89,0.8,0.89
"05001",8,4,0,0,23.23625,102.65125,71.995,0.5,0,0
"05003",7,4,0,0,24.8685714285714,85.8585714285714,53.9871428571429,0.57,0,0
"05005",9,9,0,0,13.3911111111111,86.9077777777778,58.03,1,0,0
"05007",49,48,25,41,9.71428571428571,30.9277551020408,18.9391836734694,0.98,0.51,0.84
"05009",7,7,0,7,12.0285714285714,99.3614285714286,13.8385714285714,1,0,1
"05011",5,4,NA,4,28.28,NA,28.28,0.8,NA,0.8
"05013",2,0,0,0,39.31,124.12,51.32,0,0,0
"05015",5,5,0,0,10.99,80.65,47.006,1,0,0
"05017",4,4,NA,0,0.6875,NA,62.9825,1,NA,0
"05019",5,0,0,0,48.69,71.592,45.616,0,0,0
"05021",6,4,0,4,21.185,58.515,21.185,0.67,0,0.67
"05023",7,4,0,4,32.21,109.634285714286,31.2514285714286,0.57,0,0.57
"05025",2,0,0,0,50.13,106.48,69.71,0,0,0
"05027",5,5,0,0,14.54,78.09,50.968,1,0,0
"05029",6,4,0,6,25.8466666666667,68.3783333333333,14.4766666666667,0.67,0,1
"05031",17,16,16,16,7.76823529411765,12.2064705882353,12.7388235294118,0.94,0.94,0.94
"05033",11,10,8,9,16.8827272727273,26.8109090909091,22.9854545454545,0.91,0.73,0.82
"05035",20,19,3,18,10.1705,37.7455,11.7965,0.95,0.15,0.9
"05037",6,2,0,5,36.3083333333333,76.7983333333333,16.3416666666667,0.33,0,0.83
"05039",3,0,0,0,46.65,99.3233333333333,72.71,0,0,0
"05041",5,2,NA,0,32.144,NA,54.584,0.4,NA,0
"05043",5,5,NA,5,11.49,NA,11.49,1,NA,1
"05045",25,23,0,22,11.8252,46.9796,16.3084,0.92,0,0.88
"05047",3,1,0,2,42.8633333333333,65.19,39.4933333333333,0.33,0,0.67
"05049",2,1,0,1,31.305,66.86,16.2,0.5,0,0.5
"05051",20,18,0,18,8.289,54.73,16.612,0.9,0,0.9
"05053",4,4,0,1,10.0025,50.2525,41.8525,1,0,0.25
"05055",9,9,1,9,9.45333333333333,40.1111111111111,11.5144444444444,1,0.11,1
"05057",5,0,0,4,44.734,52.722,14.302,0,0,0.8
"05059",7,6,0,6,16.1357142857143,45.4414285714286,15.4357142857143,0.86,0,0.86
"05061",3,0,0,0,48.5233333333333,80.3666666666667,57.3466666666667,0,0,0
"05063",8,8,0,8,14.71625,93.58375,14.75125,1,0,1
"05065",4,0,0,2,48.9475,86.8775,23.6675,0,0,0.5
"05067",5,4,0,4,18.58,59.044,18.58,0.8,0,0.8
"05069",24,22,0,0,10.6216666666667,55.8629166666667,55.8725,0.92,0,0
"05071",6,6,0,6,15.9216666666667,79.7966666666667,13.1716666666667,1,0,1
"05073",2,0,0,0,49.515,58.315,58.415,0,0,0
"05075",6,0,0,4,43.1016666666667,47.305,16.825,0,0,0.67
"05077",4,1,0,4,37.72,100.545,16.36,0.25,0,1
"05079",4,3,0,0,16.535,88.9525,49.1775,0.75,0,0
"05081",4,2,0,2,38.875,45.715,40.695,0.5,0,0.5
"05083",6,0,0,2,42.595,78.2333333333333,23.3383333333333,0,0,0.33
"05085",16,14,8,11,20.7275,33.1975,23.619375,0.88,0.5,0.69
"05087",4,3,0,0,22.1075,56.7975,55.015,0.75,0,0
"05089",4,1,0,0,46.3,123.8575,61.15,0.25,0,0
"05091",12,11,11,11,9.465,11.155,11.4358333333333,0.92,0.92,0.92
"05093",12,11,0,7,14.7941666666667,65.5391666666667,20.475,0.92,0,0.58
"05095",3,3,0,2,16.3533333333333,87.32,19.3666666666667,1,0,0.67
"05097",3,0,0,0,59.74,112.396666666667,68.4966666666667,0,0,0
"05099",3,0,0,1,46.0566666666667,69.6166666666667,30.4566666666667,0,0,0.33
"05101",2,1,0,1,45.015,136.165,49.915,0.5,0,0.5
"05103",6,6,NA,0,11.68,NA,48.0183333333333,1,NA,0
"05105",3,0,0,1,51.23,81.0466666666667,40.0766666666667,0,0,0.33
"05107",6,0,0,5,45.9266666666667,106.425,15.68,0,0,0.83
"05109",3,0,0,0,73.3233333333333,114.213333333333,75.6,0,0,0
"05111",7,2,2,5,32.9714285714286,35.3057142857143,20.7628571428571,0.29,0.29,0.71
"05113",6,1,0,0,56.1233333333333,139.243333333333,120.81,0.17,0,0
"05115",11,10,0,9,13.6609090909091,91.7590909090909,15.2609090909091,0.91,0,0.82
"05117",3,0,0,0,39.8566666666667,58.6333333333333,37.6366666666667,0,0,0
"05119",95,95,92,94,6.54105263157895,13.8608421052632,10.9333684210526,1,0.97,0.99
"05121",4,0,0,4,46.53,63.87,12.7375,0,0,1
"05123",6,5,0,5,14.0983333333333,74.645,14.07,0.83,0,0.83
"05125",21,19,19,18,18.2195238095238,19.6757142857143,19.632380952381,0.9,0.9,0.86
"05127",3,3,0,0,9.59,84.1566666666667,71.7533333333333,1,0,0
"05129",3,2,0,2,12.2966666666667,173.12,17.7733333333333,0.67,0,0.67
"05131",26,24,20,24,7.70384615384615,21.9907692307692,13.0838461538462,0.92,0.77,0.92
"05133",4,3,0,0,15.56,77.9575,72.9375,0.75,0,0
"05135",4,0,0,3,56.385,85.985,20.5575,0,0,0.75
"05137",3,0,0,2,49.0733333333333,139.163333333333,18.46,0,0,0.67
"05139",10,9,NA,9,9.701,NA,12.674,0.9,NA,0.9
"05141",5,1,0,2,43.77,100.494,28.986,0.2,0,0.4
"05143",32,30,27,27,7.7609375,17.5978125,13.418125,0.94,0.84,0.84
"05145",13,13,0,12,12.6815384615385,58.9984615384615,15.9846153846154,1,0,0.92
"05147",2,2,0,2,14.155,89.595,14.155,1,0,1
"05149",6,3,0,3,35.9716666666667,110.843333333333,34.3283333333333,0.5,0,0.5
"06001",361,361,354,361,3.2786703601108,9.9194459833795,5.50709141274238,1,0.98,1
"06003",1,0,0,0,41.47,63.2,58.3,0,0,0
"06005",9,7,0,4,15.9311111111111,71.0266666666667,36.5655555555556,0.78,0,0.44
