YEAR,STATEFP,TotalPop,TotalVetPop,MalePop,MaleVetPop,Male18To34,MaleVet18To34,Male35To54,MaleVet35To54,Male55To64,MaleVet55To64,Male65To74,MaleVet65To74,Male75Plus,MaleVet75Plus,FemalePop,FemaleVetPop,Female18To34,FemaleVet18To34,Female35To54,FemaleVet35To54,Female55To64,FemaleVet55To64,Female65To74,FemaleVet65To74,Female75Plus,FemaleVet75Plus,VetPercent
2014-2018,01,3753332,335599,1784323,303309,539868,21579,597918,70997,306136,62493,213904,82768,126497,65472,1969009,32290,551457,5084,637412,14033,336709,7250,249153,3305,194278,2618,8.94
2014-2018,02,535244,67452,274646,58584,92755,8914,93973,18137,48981,11918,27574,13324,11363,6291,260598,8868,86447,2546,88904,3327,45756,1888,25792,796,13699,311,12.6
2014-2018,04,5294568,487684,2604983,445406,830328,35728,846838,91408,393903,72710,316619,127622,217295,117938,2689585,42278,780858,6725,848981,14712,435340,10609,357616,5458,266790,4774,9.21
2014-2018,05,2280424,202572,1103496,186988,337997,14883,367820,41499,181275,35265,132839,52264,83565,43077,1176928,15584,333889,3084,375939,6457,195968,3096,151185,1883,119947,1064,8.88
2014-2018,06,29947361,1618861,14706153,1489794,4936294,137674,5153488,304668,2258760,248557,1424935,401014,932676,397881,15241208,129067,4720237,28101,5163949,46895,2399176,25360,1636496,13159,1321350,15552,5.41
2014-2018,08,4237731,375746,2107528,336346,692889,33716,738023,85107,338700,61338,218033,87915,119883,68270,2130203,39400,653024,7673,719061,16524,355396,8907,237798,3594,164924,2702,8.87
2014-2018,09,2820390,173998,1354648,162802,397150,10158,460625,27662,242846,25299,152053,47368,101974,52315,1465742,11196,386218,1823,486793,4026,259178,2502,175361,1320,158192,1525,6.17
2014-2018,10,742893,66590,353629,60746,104644,4080,113725,12004,60814,11196,45940,18662,28506,14804,389264,5844,105385,653,122229,2572,68967,1530,53726,692,38957,397,8.96
2014-2018,11,559588,26936,260745,23548,107751,2459,86704,5706,32912,4162,20416,4964,12962,6257,298843,3388,125735,783,87831,1119,36943,799,26504,309,21830,378,4.81
2014-2018,12,16394740,1452967,7906787,1323451,2222373,85268,2572364,258536,1280600,225027,1042282,365871,789168,388749,8487953,129516,2166700,20821,2655380,50351,1432947,30279,1205312,14811,1027614,13254,8.86
2014-2018,13,7749072,636725,3695730,562253,1184994,46416,1338364,152024,585257,113009,381827,146045,205288,104759,4053342,74472,1208540,14595,1430375,34793,649253,15748,453397,6150,311777,3186,8.22
2014-2018,15,1075507,105563,521232,94635,149314,12171,171149,19992,89591,15882,67417,24789,43761,21801,554275,10928,151949,3919,174598,3937,92951,1677,71661,823,63116,572,9.82
2014-2018,16,1244576,115045,617982,106085,191856,7964,204867,23106,101364,19117,75051,31473,44844,24425,626594,8960,184779,1417,202307,3381,105602,2352,78549,1037,55357,773,9.24
2014-2018,17,9878042,595185,4788623,553920,1504094,39848,1663699,112831,799183,88196,501180,163012,320467,150033,5089419,41265,1474549,7529,1691389,17379,850225,8191,578445,3937,494811,4229,6.03
2014-2018,18,5060058,390220,2462643,362926,769222,25914,838072,83011,418882,65834,270610,102713,165857,85454,2597415,27294,749568,4349,846678,11070,441573,6723,307085,2815,252511,2337,7.71
2014-2018,19,2400834,188867,1180312,176371,365390,12135,382572,35644,205010,27778,134268,52177,93072,48637,1220522,12496,348380,2012,377304,4575,208866,2930,145421,1434,140551,1545,7.87
2014-2018,20,2175228,181453,1066895,167166,340901,15338,349814,36928,181153,29649,117321,45038,77706,40213,1108333,14287,327171,3041,349595,5455,188817,3087,127699,1514,115051,1190,8.34
2014-2018,21,3414097,273675,1654635,252464,498684,19274,567153,60230,284317,47321,192679,71468,111802,54171,1759462,21211,489490,3568,578089,8420,304855,5063,219021,2537,168007,1623,8.02
2014-2018,22,3539088,250497,1701000,228014,552185,19657,566343,55166,286566,39634,187166,62144,108740,51413,1838088,22483,553508,4621,591985,10119,311794,4120,215449,2053,165352,1570,7.08
2014-2018,23,1076367,107091,519961,99788,133259,5442,168119,20559,101132,18776,73456,29525,43995,25486,556406,7303,131684,673,174742,2882,108255,1813,78972,912,62753,1023,9.95
2014-2018,24,4630061,372462,2201221,326808,673643,26308,774094,84224,375618,62071,234431,80952,143435,73253,2428840,45654,679852,8342,834238,20734,417279,10207,279179,3463,218292,2908,8.04
2014-2018,25,5445375,315859,2604743,296596,828502,18829,871964,54595,439682,47617,282877,83450,181718,92105,2840632,19263,833717,3124,917575,6819,475711,4119,328878,2156,284751,3045,5.8
2014-2018,26,7757578,564783,3772368,527025,1133490,30646,1243563,106344,674821,91390,445490,162653,275004,135992,3985210,37758,1099414,5723,1270350,15381,714996,8074,497763,4223,402687,4357,7.28
2014-2018,27,4233423,310097,2088935,290079,638753,18854,710906,52128,365080,51421,226760,86993,147436,80683,2144488,20018,616944,3617,699317,7060,372311,4997,243931,2177,211985,2167,7.32
2014-2018,28,2257701,168996,1073676,152411,337630,11190,360936,37510,180531,29335,122829,40550,71750,33826,1184025,16585,344107,2856,385718,7573,199301,3398,142692,1571,112207,1187,7.49
2014-2018,29,4686706,413189,2264343,382481,689986,27442,750754,80844,392187,70508,262004,112341,169412,91346,2422363,30708,684211,5245,767539,12434,420337,7415,299482,2951,250794,2663,8.82
2014-2018,30,810968,85480,404410,77523,117717,6453,124518,15804,74340,13900,55053,23060,32782,18306,406558,7957,111600,1531,121642,3250,77328,1599,54718,996,41270,581,10.54
2014-2018,31,1427013,120290,702901,109999,224446,8875,232472,24636,118359,17926,76125,30495,51499,28067,724112,10291,216149,1895,227640,4325,121867,2267,82928,939,75528,865,8.43
2014-2018,32,2240444,208731,1116075,189486,338335,15495,393299,42361,177004,34775,131934,55908,75503,40947,1124369,19245,327264,3606,383251,7165,183240,4776,141189,2294,89425,1404,9.32
2014-2018,33,1079229,97644,529184,90197,147482,5041,176530,18787,101270,17224,65630,25817,38272,23328,550045,7447,141631,1058,179606,2841,104726,1693,70085,807,53997,1048,9.05
2014-2018,34,6900026,333835,3321563,313687,970156,16229,1190424,51287,571656,45763,354111,93923,235216,106485,3578463,20148,938368,3346,1236825,7317,615734,4258,418434,2239,369102,2988,4.84
2014-2018,35,1588809,148264,775877,134891,244540,10935,245718,27601,129895,26345,95909,38807,59815,31203,812932,13373,232663,2082,251937,4709,142541,3382,107019,1874,78772,1326,9.33
2014-2018,36,15454351,730557,7383257,681746,2353535,44331,2497542,124305,1222310,107281,784901,194205,524969,211624,8071094,48811,2360599,8750,2619085,18299,1332591,10869,934665,4899,824154,5994,4.73
2014-2018,37,7769935,667696,3689498,600057,1100725,53395,1290595,143874,613074,113808,434607,162478,250497,126502,4080437,67639,1143660,12861,1368768,30433,682115,15005,507282,5785,378612,3555,8.59
2014-2018,38,572409,46524,291649,42772,104891,4707,88567,9977,48326,7426,29175,10922,20690,9740,280760,3752,91935,833,82205,1800,46575,594,29553,217,30492,308,8.13
2014-2018,39,9015230,729649,4357894,676174,1306211,45636,1451204,148295,775246,121591,503742,194177,321491,166475,4657336,53475,1280853,8354,1483382,22406,825473,11742,576899,6192,490729,4781,8.09
2014-2018,40,2941864,273677,1436049,249443,463206,23254,475998,56473,234738,45036,159885,69871,102222,54809,1505815,24234,450023,4530,477611,9994,251058,5095,181578,2779,145545,1836,9.3
2014-2018,41,3210858,288540,1575450,264734,473755,18803,528249,53010,261677,46032,196447,81386,115322,65503,1635408,23806,460019,3591,522474,8372,282138,5536,215529,3307,155248,3000,8.99
2014-2018,42,10110773,782682,4889179,731001,1451239,42790,1597174,140269,872688,118797,578208,216280,389870,212865,5221594,51681,1408791,7219,1626644,20497,924376,11242,657811,5882,603972,6841,7.74
