ZCTA,minDisHosp
36083,5.08
35441,10.54
35051,13.92
35121,2.86
35058,5.32
35619,12.59
35016,6.54
36115,2.45
36353,18.58
36728,18.63
35229,0.3
99574,23.54
99729,247.49
36027,5.18
35470,14.3
86544,35.07
35173,8.46
35098,13.71
71653,3.65
81524,9.89
93308,13.6
20012,2.22
83811,31.11
04554,15.51
60034,13.28
21529,5.05
02671,11.34
04019,12.05
49854,18.4
56127,13.75
04766,15.97
39150,4.12
59870,27.9
59014,32.82
02461,2.92
88045,49.25
99517,4.41
99639,58.12
99768,495.69
85264,19.77
86334,33.22
85501,12.17
85638,18.11
85726,2.34
72756,13.84
72950,17.76
71846,16.86
93592,37.31
93060,3.8
93960,21.93
93235,7.44
93622,29.34
90018,0.75
96057,27.04
93666,9.64
94952,8.97
94127,1.2
96034,22.88
93620,16.29
49934,6.93
28428,12.05
39465,10.53
65747,20.78
64112,1.08
39144,15.62
03076,8.22
97368,6.45
15316,16.8
19137,2.32
29440,3.08
69341,14.43
11550,1.45
78404,0.82
84753,54.07
05450,21.46
24171,21.88
23092,12.62
24622,10.1
44123,1.76
98382,6.8
73505,1.59
25425,4.98
97630,12.56
82225,23.75
35079,18.1
08073,1.39
87506,12.96
88301,40.56
87558,30.31
88042,36.47
88055,33.08
10171,1.26
10110,1.27
12758,20.02
10282,0.88
14212,3.01
11956,10.77
14788,4.2
10040,1.72
11501,0.59
14035,13.24
13617,14.94
13316,26.94
34287,9.85
33413,3.57
32421,10.77
30417,1.58
30816,11.79
30332,1.43
30705,3.45
31631,28.39
31038,14.58
30464,11.05
31018,12.79
30428,4.21
96777,3.72
96746,4.75
83553,26.66
61414,16.93
13102,8.98
27893,3.64
27295,5.66
28504,6.6
28787,12.01
27825,7.09
28611,10.84
28089,8.63
58205,21.82
43084,13.69
44493,7.92
44233,11.71
43203,0.47
44671,13.51
43330,9.95
01236,7.06
01003,10.6
49861,24.13
48625,22.8
48233,2.44
48091,2.25
49948,24.46
55029,7.5
56467,16.47
56639,18.47
56671,20.25
56001,3.12
56313,20.21
39140,15.64
39759,3.3
38920,10.66
39170,15.33
39069,2.15
38945,7.1
39332,20.19
64093,2.66
90301,0.88
95545,24.79
80023,1.98
81227,19.46
80515,11.72
06412,17.8
06481,4.12
19716,6.18
34488,14.15
34202,3.37
62982,0.75
47708,0.72
51243,11.55
30660,15.15
41073,2.22
70357,16.17
71254,5.86
42464,12.36
41083,12.88
40444,12.73
41035,7.62
40057,19.39
41612,9.07
40025,4.23
40313,4.49
41725,14.35
40144,4.63
71360,6.06
71268,7.82
70575,4.01
71479,6.1
04039,21.47
04622,35.44
04354,21.51
04975,9.56
04920,35.42
20899,3.75
21717,7.81
64125,4.34
63653,6.26
64066,13.79
65556,20.67
65623,6.81
65612,17.48
59456,38.53
59054,59.33
59735,29.98
59834,25.72
68137,2.74
69333,62.29
68841,15.03
68304,17.49
03280,23.43
03753,13.84
07621,2.72
08740,6.54
16244,18.79
15422,8.78
18444,9.17
17576,7.47
15049,4.18
19102,0.35
18617,14.06
29108,1.45
29030,12.26
29483,7.36
29591,4.81
29117,3.63
29368,8.99
57422,28.15
57054,16.3
37066,1.65
38301,4.49
37174,15.12
60129,11.76
61839,8.51
61049,11.46
60144,13.13
60302,0.98
60472,2.52
47421,3.09
47916,12.78
47860,7.82
46961,7.61
47281,15.3
50230,22.52
50227,14.7
50551,16.79
50105,7.46
52033,20.46
50559,16.11
51230,12.11
67747,15.9
66621,0.93
67457,16.08
40372,13.41
99109,1.04
99166,10.38
98304,38.27
98830,28.62
26405,13.18
26554,3.55
25271,4.51
98638,20.84
24844,15.11
24845,16.61
24736,13.51
26250,11.78
54521,2.39
24847,17.01
54985,0.03
83116,1.64
26151,6.58
98305,12.08
24656,10.46
19731,8.77
46376,20.84
54896,32.84
33404,2.08
35548,12.51
36775,16.61
71651,28.01
53504,17.4
03101,0.64
21802,1.9
02141,1.09
66019,10.12
61315,9.66
46987,6.74
48083,3.68
04490,46.54
06059,19.57
80290,1.19
99124,7.07
05747,14.85
76483,6.61
88134,47.11
07702,2.66
17083,1.93
84629,24.19
19103,0.7
15015,4.33
17250,3.31
43970,15.39
43529,18.02
12307,1.8
36522,20.78
30165,5.75
85922,52.84
85620,7.67
84531,48.35
96120,16.71
82063,48.93
93643,36.14
96080,11.34
95458,11.74
74578,1.79
97624,46.24
97343,22.93
97148,16.43
16616,15.86
97123,7.69
97424,5.76
17756,2.63
97758,59.75
97494,8.86
19442,4.74
17887,12.6
15078,10.45
15737,6.04
15546,11.9
18428,17.59
18814,10.89
17041,7.06
85019,2.0
71665,22.24
71671,2.96
71998,2.44
72476,3.83
71837,19.47
71763,26.38
71858,22.56
93254,38.15
20520,0.6
20427,0.22
32714,1.28
32134,22.92
33498,2.7
31021,3.28
30521,12.9
31804,11.46
30252,11.59
39842,22.37
30474,3.8
95835,9.5
93203,22.54
95364,43.71
91203,2.14
95363,21.22
93665,17.15
90071,0.73
95724,8.89
80302,9.41
80746,11.82
81223,26.35
81243,31.33
80218,1.31
19977,13.13
20202,1.82
34681,3.81
32097,9.47
30513,8.72
31318,18.48
31780,9.78
30326,2.75
30293,8.99
96786,4.47
83244,33.11
83544,7.29
83218,17.03
83467,15.98
62089,2.16
61243,17.02
62987,13.48
