GEOID,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
1121,,,
1122,,,
1123,,,
1124,,,
1125,,,
1126,,,
1127,,,
11281,,,
11282,,,
1129,,,
1121,,,
11211,,,
1311,,,
1312,,,
1313,,,
1314,,,
1315,,,
1316,,,
13171,,,
13173,,,
13174,,,
13175,,,
1318,,,
13193,,,
13194,,,
13195,2,9,2
13196,,,
1311,15,8,15
131111,,,
131112,,,
131121,,,
131122,,,
13113,,,
131141,,,
131143,,,
131145,,,
131146,,,
131147,,,
131148,,,
131151,,,
131152,,,
131161,16,11,16
131162,,,
15951,,,
15952,,,
15953,,,
15954,,,
15955,,,
15956,,,
15957,,,
15958,,,
15959,,,
1711,,,
1712,,,
1713,,,
1714,,,
19511,,,
19512,,,
1952,,,
1953,,,
1954,,,
1955,,,
19561,,,
19562,,,
1957,,,
1119521,,,
1119522,,,
1119525,,,
1139527,,,
1139528,,,
1139529,,,
113953,,,
1139531,,,
1139532,,,
1139533,,,
1139534,,,
1139535,,,
1152,,,
1153,64,14,64
1154,,,
1155,,,
1156,,,
1157,,,
1158,,,
1159,,,
1151,,,
11511,,,
115121,8,5,8
115122,,,
11513,,,
11514,,,
11515,,,
11516,,,
11517,,,
11518,,,
1152,,,
115211,,,
115212,,,
115213,,,
11522,,,
11523,,,
11524,,,
115251,,,
115252,,,
11526,,,
11598191,,,
11598192,,,
11598193,,,
1179538,,,
1179539,,,
117954,,,
1179542,,,
1179543,,,
1179544,,,
1179545,,,
1179546,,,
1179547,,,
11995571,,,
11995572,,,
1199558,,,
1199559,,,
119956,,,
1199561,,,
121611,,,
121612,,,
12162,,,
12163,,,
121641,,,
121642,,,
12165,545,43,544
12166,,,
12167,,,
1239567,,,
1239568,,,
1239569,,,
123957,,,
1259575,,,
12595761,,,
12595762,,,
1259577,,,
1259578,,,
12595791,,,
12595792,,,
1259581,,,
1259582,,,
1279589,,,
127959,,,
1279591,,,
1279592,,,
1299595,,,
1299596,,,
1299597,,,
1299598,,,
13111,,,
13112,,,
13113,,,
13114,,,
13115,,,
13116,,,
13117,,,
13118,,,
13119,,,
13111,,,
131111,,,
1311121,,,
1311122,,,
131113,,,
13321,,,
13322,,,
13323,,,
13324,,,
13325,,,
13326,,,
133271,,,
133273,,,
133274,,,
133281,,,
133282,,,
133291,,,
133292,,,
13321,,,
135962,,,
135963,,,
135964,,,
135965,,,
135966,,,
137961,,,
1379611,,,
1379612,,,
1399616,,,
1399617,,,
1399618,,,
1399619,,,
139962,,,
1399621,,,
1399623,,,
1399624,,,
1399625,,,
1399626,,,
1399627,,,
1399628,,,
1399629,,,
139963,,,
1419634,,,
1419635,,,
1419636,,,
1419637,,,
1419638,,,
1419639,,,
1439641,,,
1439642,,,
1439643,,,
1439644,,,
1439645,,,
1439646,,,
1439647,,,
1439648,,,
1439649,,,
143965,,,
1439651,,,
1439652,,,
1439653,,,
14396541,,,
14396542,,,
1439655,,,
1439656,,,
1439657,,,
1452,,,
14521,,,
14522,,,
14523,,,
14524,,,
14525,,,
14527,,,
145281,,,
145282,,,
1452111,,,
1452112,,,
145212,,,
145213,,,
145214,,,
1479561,,,
14795621,,,
14795622,,,
1479563,,,
1479564,,,
1479565,,,
1479566,,,
14795671,,,
14795672,,,
1479568,,,
1479569,,,
147957,,,
1479571,,,
1479572,,,
1479573,,,
149961,,,
149962,,,
149963,,,
149964,,,
149965,,,
149966,,,
149967,,,
149968,,,
149969,,,
149961,,,
1499611,,,
1499612,,,
1499613,,,
1499614,,,
15131,,,
15132,,,
15133,,,
15134,4,2,4
15135,,,
15136,,,
151371,,,
151372,,,
15138,,,
151391,,,
151392,,,
15131,,,
151311,,,
151312,,,
151313,,,
1539698,,,
1539699,,,
153971,,,
153972,,,
153973,,,
153974,,,
153975,,,
153976,,,
153977,,,
1552,,,
1553,,,
1554,,,
1555,,,
1556,,,
1557,,,
1558,44,21,32
1559,,,
1551,25,27,25
15511,,,
15512,,,
15513,,,
15516,,,
15517,,,
15511,,,
15512,,,
15513,,,
155141,,,
155142,,,
155151,,,
155152,,,
155161,,,
155162,,,
15517,,,
15518,,,
15519,,,
155111,,,
155112,,,
155111,,,
155112,,,
1572,,,
15721,,,
15722,,,
15723,,,
15724,,,
1599729,,,
159973,5,5,5
1599731,,,
1599732,,,
1599733,,,
1599734,,,
1599735,,,
1599736,,,
1599737,,,
16151,,,
16152,,,
16153,,,
16154,,,
16155,,,
16156,,,
1636,,,
16361,,,
16362,,,
1654,,,
16541,,,
16542,,,
16543,,,
16544,,,
16545,,,
16731,,,
16732,,,
16733,,,
16734,,,
16735,,,
16736,,,
16941,,,
169421,,,
169422,,,
169431,,,
169432,,,
16944,,,
16945,,,
16946,4,3,4
16947,,,
16948,,,
16949,,,
16941,,,
169411,,,
169412,36,32,36
169414,,,
169415,,,
169416,,,
169417,,,
169418,,,
169419,,,
16942,,,
169421,,,
171951,,,
171952,,,
171953,,,
171954,,,
171955,,,
171956,,,
171957,,,
171958,,,
171959,,,
171951,,,
1719511,,,
1731,,,
1733,26,26,26
1734,,,
1735,,,
1737,,,
1738,64,52,64
17311,,,
17312,54,42,54
17314,,,
17315,74,59,74
17316,,,
173192,,,
1732,26,4,26
17321,3,,3
17322,,,
173233,,,
173235,,,
173236,33,29,33
17324,31,223,31
17327,963,844,923
17329,7,6,7
17331,,,
17332,,,
17331,,,
17332,,,
17333,,,
17334,12,5,12
17335,,,
17336,,,
17337,35,22,35
173382,,,
173383,8,8,8
17339,,,
1734,,,
17342,,,
17345,64,56,64
173471,,,
173472,,,
17348,,,
173491,2,12,2
173492,5,2,5
1735,8,8,8
173511,,,
173513,,,
173514,,,
17352,,,
173532,,,
17355,,,
17356,,,
173571,,,
173572,,,
17358,1,1,1
173593,,,
173595,,,
173597,,,
173598,62,58,62
173599,,,
173591,,,
17311,,,
17312,,,
17311,,,
17312,8,1,8
173131,121,119,121
173132,,,
173141,,,
173142,,,
17315,,,
173162,,,
173163,,,
173171,,,
173172,,,
173173,,,
173174,,,
173175,,,
173176,,,
173181,,,
173182,,,
173183,,,
173184,,,
173185,,,
17319,,,
173111,,,
173112,,,
1731114,,,
1731117,,,
1731118,,,
1731119,,,
1731111,,,
17311111,,,
1731125,,,
1731126,,,
1731127,,,
1731128,,,
1731129,,,
1731121,,,
1731131,,,
1731132,,,
173114,,,
173115,,,
173116,,,
1731173,,,
1731174,,,
1731175,,,
1731176,,,
1731182,,,
1731183,,,
1731184,,,
1731191,97,859,97
1731194,,,
173121,,,
173122,,,
1731213,,,
1731214,,,
173122,,,
1731232,,,
1731234,,,
1731235,,,
1731241,,,
1731242,,,
1731243,,,
173125,,,
1731262,,,
1731271,,,
1731273,,,
1731274,,,
1731282,,,
1731283,,,
1731295,,,
1731296,,,
1731297,,,
1731298,,,
1731291,,,
17312911,,,
17312912,,,
17312913,,,
17312914,,,
