"STATEFP","cntT","cntTimeDrive","avTimeDrive","pctTimeDrive"
"01",1180,1024,15.64,0.87
"02",167,131,72.47,0.78
"04",1526,1386,12.88,0.91
"05",686,564,16.45,0.82
"06",8041,7835,8.38,0.97
"08",1249,1145,12.91,0.92
"09",830,817,10.14,0.98
"10",217,211,11.45,0.97
"11",179,179,4.08,1
"12",4212,4069,11.02,0.97
"13",1966,1840,13.98,0.94
"15",331,309,12.24,0.93
"16",298,250,16.72,0.84
"17",3121,2980,9.63,0.95
"18",1508,1443,11.14,0.96
"19",825,771,12.18,0.93
"20",770,715,10.35,0.93
"21",1115,1016,14.2,0.91
"22",1140,1086,10.37,0.95
"23",355,280,23.3,0.79
"24",1396,1364,11.12,0.98
"25",1475,1449,8.09,0.98
"26",2772,2540,13.52,0.92
"27",1336,1216,13.32,0.91
"28",661,590,14.26,0.89
"29",1393,1213,14.29,0.87
"30",271,208,20.58,0.77
"31",532,505,9.71,0.95
"32",687,651,10.94,0.95
"33",294,266,14.68,0.9
"34",2006,2000,8.12,1
"35",499,417,16.85,0.84
"36",4906,4731,8.58,0.96
"37",2192,2029,15.07,0.93
"38",205,149,18.34,0.73
"39",2948,2870,10.55,0.97
"40",1046,970,11.04,0.93
"41",828,737,14.84,0.89
"42",3217,3058,10.68,0.95
"44",243,241,8.22,0.99
"45",1103,987,15.71,0.89
"46",222,176,17.22,0.79
"47",1497,1379,13.84,0.92
"48",5254,4967,10.83,0.95
"49",588,555,11.44,0.94
"50",184,136,22.38,0.74
"51",1900,1719,14,0.9
"53",1454,1334,13.13,0.92
"54",484,388,17.57,0.8
"55",1396,1294,11.96,0.93
"56",132,107,15.84,0.81
