FIPS,Total Population,Area Land,Internet Total,No Internet Access
480019501001,1296,5.820304,498,143
480019501002,2051,88.11874,674,94
480019501003,1497,92.66675,618,183
480019504011,4838,6.389912,95,17
480019504021,7511,27.98087,112,0
480019505001,1054,0.8808589,314,136
480019505002,528,0.8343035,206,126
480019505003,1858,1.396775,658,283
480019505004,1025,5.783827,406,35
480019506001,1336,3.711673,459,111
480019506002,1141,1.82524,376,28
480019506003,1377,1.170495,361,106
480019506004,1294,1.266266,596,240
480019507001,1061,1.357575,339,139
480019507002,496,0.5160367,242,102
480019507003,1226,0.7114041,330,162
480019508001,1488,1.544433,473,152
480019508002,1530,1.497761,561,188
480019508003,653,0.3875481,294,116
480019508004,1170,0.329895,479,78
480019508005,664,0.3552387,273,0
480019509011,1292,27.13518,480,128
480019509012,778,13.1281,260,105
480019509013,970,17.72095,317,142
480019509014,3461,54.00739,797,129
480019509021,526,53.11485,263,70
480019509022,1485,72.11485,571,159
480019509023,826,19.36929,278,79
480019509024,1664,25.81199,781,359
480019510001,1891,93.11488,645,155
480019510002,2216,45.39351,889,281
480019510003,676,19.55494,316,90
480019510004,1205,74.56205,532,184
480019510005,538,3.573196,206,108
480019510006,750,2.190112,269,74
480019511001,1873,106.5516,653,134
480019511002,925,107.9214,314,87
480019511003,1322,43.55288,575,84
480019511004,318,39.23888,167,30
480039501001,2305,1013.126,725,29
480039502001,1646,0.5655679,468,33
480039502002,971,0.1947399,374,0
480039502003,2472,0.4876957,684,111
480039502004,766,0.261402,345,52
480039502005,837,0.2144056,344,15
480039502006,773,0.2503143,313,52
480039503001,1863,1.157964,522,86
480039503002,2269,0.6035128,718,93
480039503003,757,0.241693,216,7
480039504001,3377,483.6105,864,180
480050001011,3689,49.8045,1254,231
480050001012,957,32.35439,353,84
480050001013,1700,15.6267,434,159
480050001021,3670,41.16089,1249,138
480050001022,1091,19.22273,351,35
480050002001,2433,21.48638,806,127
480050002002,2019,17.44917,756,115
480050002003,2225,9.539358,875,105
480050003011,2008,5.012094,770,63
480050003012,1307,3.667272,536,84
480050003013,1973,5.431402,750,57
480050003021,3091,4.459843,1183,129
480050003022,2127,17.95815,842,33
480050004001,1188,0.9333669,320,40
480050004002,2066,2.725059,822,13
480050004003,1169,0.6915526,513,59
480050004004,515,0.5251885,178,65
480050005001,792,0.3034979,267,38
480050005002,1606,3.583397,651,194
480050005003,867,0.3742075,290,77
480050005004,708,1.481736,236,66
480050006001,1832,1.991627,560,94
480050006002,1233,0.4516774,379,34
480050006003,1999,1.457965,520,78
480050006004,1610,2.057981,414,58
480050007001,1228,0.3553059,367,12
480050007002,1221,0.3500213,304,43
