STATEFP,state,state.name,AveNo,AveRt,No_2014,Rt_2014,No_2015,Rt_2015,No_2016,Rt_2016,No_2017,Rt_2017,No_2018,Rt_2018
1,AL,Alabama,41.2,0.84,35,0.7,70,1.4,32,0.7,17,0.3,52,1.1
2,AK,Alaska,NA,NA,N,N,N,N,N,N,N,N,N,N
4,AZ,Arizona,NA,NA,U,U,U,U,U,U,U,U,U,U
5,AR,Arkansas,6.5,0.2,13,0.4,2,0.1,—,—,1,0,10,0.3
6,CA,California,81.8,0.24,73,0.2,59,0.2,60,0.2,103,0.3,114,0.3
8,CO,Colorado,39.2,0.68,33,0.6,40,0.7,35,0.6,42,0.7,46,0.8
9,CT,Connecticut,12,0.37,—,—,—,—,17,0.5,9,0.3,10,0.3
10,DE,Delaware,11,1.13,U,U,4,0.4,25,2.6,4,0.4,U,U
11,DC,District of Columbia,NA,NA,U,U,U,U,U,U,U,U,U,U
12,FL,Florida,249.4,1.18,93,0.5,126,0.6,236,1.1,357,1.7,435,2
13,GA,Georgia,83.6,0.82,57,0.6,84,0.8,93,0.9,100,1,84,0.8
15,HI,Hawaii,NA,NA,—,—,—,—,—,—,—,—,—,—
16,ID,Idaho,5.8,0.34,6,0.4,4,0.2,7,0.4,8,0.5,4,0.2
17,IL,Illinois,42.2,0.32,27,0.2,31,0.2,21,0.2,39,0.3,93,0.7
18,IN,Indiana,172.6,2.6,122,1.8,138,2.1,146,2.2,191,2.9,266,4
19,IA,Iowa,NA,NA,U,U,U,U,U,U,U,U,U,U
20,KS,Kansas,19.4,0.68,28,1,22,0.8,15,0.5,19,0.7,13,0.4
21,KY,Kentucky,129,2.92,176,4,119,2.7,103,2.3,83,1.9,164,3.7
22,LA,Louisiana,13.2,0.28,22,0.5,24,0.5,5,0.1,7,0.1,8,0.2
23,ME,Maine,26,1.96,31,2.3,30,2.3,25,1.9,21,1.6,23,1.7
24,MD,Maryland,37,0.6,42,0.7,38,0.6,35,0.6,32,0.5,38,0.6
25,MA,Massachusetts,267.6,3.94,228,3.4,249,3.7,424,6.2,327,4.8,110,1.6
26,MI,Michigan,112.4,1.12,78,0.8,83,0.8,107,1.1,152,1.5,142,1.4
27,MN,Minnesota,49,0.88,40,0.7,37,0.7,51,0.9,57,1,60,1.1
28,MS,Mississippi,NA,NA,U,U,U,U,U,U,U,U,U,U
29,MO,Missouri,32.2,0.52,6,0.1,8,0.1,24,0.4,49,0.8,74,1.2
30,MT,Montana,14,1.36,13,1.3,15,1.5,20,1.9,14,1.3,8,0.8
31,NE,Nebraska,3.2,0.16,2,0.1,8,0.4,2,0.1,2,0.1,2,0.1
32,NV,Nevada,17.6,0.58,6,0.2,12,0.4,16,0.5,35,1.2,19,0.6
33,NH,New Hampshire,25,1.85,N,N,N,N,N,N,25,1.9,25,1.8
34,NJ,New Jersey,117.2,1.34,113,1.3,130,1.5,122,1.4,125,1.4,96,1.1
35,NM,New Mexico,22.4,1.08,16,0.8,40,1.9,18,0.9,16,0.8,22,1
36,NY,New York,170,0.84,126,0.6,121,0.6,179,0.9,188,0.9,236,1.2
37,NC,North Carolina,120,1.16,111,1.1,144,1.4,82,0.8,114,1.1,149,1.4
38,ND,North Dakota,4,0.5,—,—,—,—,1,0.1,1,0.1,10,1.3
39,OH,Ohio,171,1.48,105,0.9,122,1.1,187,1.6,159,1.4,282,2.4
40,OK,Oklahoma,37.2,0.96,45,1.2,35,0.9,32,0.8,46,1.2,28,0.7
41,OR,Oregon,19.2,0.46,15,0.4,13,0.3,19,0.5,35,0.8,14,0.3
42,PA,Pennsylvania,179.2,1.38,69,0.5,129,1,225,1.8,224,1.7,249,1.9
44,RI,Rhode Island,NA,NA,U,U,U,U,U,U,U,U,U,U
45,SC,South Carolina,9.4,0.2,4,0.1,5,0.1,10,0.2,13,0.3,15,0.3
46,SD,South Dakota,19.33,2.23,—,—,—,—,20,2.3,19,2.2,19,2.2
47,TN,Tennessee,149,2.24,123,1.9,173,2.6,150,2.3,142,2.1,157,2.3
48,TX,Texas,43.2,0.16,47,0.2,48,0.2,40,0.1,35,0.1,46,0.2
49,UT,Utah,69,2.24,38,1.3,30,1,76,2.5,81,2.6,120,3.8
50,VT,Vermont,4.6,0.72,4,0.6,1,0.2,5,0.8,9,1.4,4,0.6
51,VA,Virginia,51.6,0.6,54,0.6,52,0.6,43,0.5,62,0.7,47,0.6
53,WA,Washington,72,1,82,1.2,63,0.9,62,0.9,52,0.7,101,1.3
54,WV,West Virginia,78.2,4.28,62,3.4,63,3.4,94,5.1,102,5.6,70,3.9
55,WI,Wisconsin,88.8,1.54,49,0.9,64,1.1,103,1.8,94,1.6,134,2.3
56,WY,Wyoming,13.5,2.35,U,U,U,U,U,U,5,0.9,22,3.8
