FIPS,Total Population,Area Land,Internet Total,No Internet Access
1,4876250,50646.64,1867893,369964
2,737068,571016.9,253346,29023
4,7050299,113653.1,2571268,330482
5,2999370,52037.53,1158071,244046
6,39283497,155854,13044266,1387875
8,5610349,103637.5,2148994,202198
9,3575074,4842.686,1370746,158639
10,957248,1948.511,363322,42938
11,692683,61.13557,284386,39993
12,20901636,53647.88,7736311,1013674
13,10403847,57716.33,3758798,566037
15,1422094,6422.426,459424,54456
16,1717750,82645.13,630008,83498
17,12770631,55513.71,4846134,670456
18,6665703,35826.44,2570419,418818
19,3139508,55853.72,1265473,189758
20,2910652,81758.48,1129227,163712
21,4449052,39491.39,1734618,310246
22,4664362,43204.49,1739497,362548
23,1335492,30844.8,559921,76463
24,6018848,9711.136,2205204,235722
25,6850553,7800.958,2617497,286704
26,9965265,56605.93,3935041,578055
27,5563378,79625.88,2185603,254127
28,2984418,46925.54,1104394,269949
29,6104910,68745.45,2414521,382719
30,1050649,145547.7,427871,66099
31,1914571,76816.49,759176,102103
32,2972382,109860.4,1098602,145587
33,1348124,8953.4,532037,49525
34,8878503,7354.802,3231874,372408
35,2092454,121312.2,780249,165691
36,19572319,47123.77,7343234,1020942
37,10264876,48620.28,3965482,623174
38,756717,68994.77,318322,44420
39,11655397,40858.76,4676358,688403
40,3932870,68595.95,1480061,261779
41,4129803,95988.01,1611982,169315
42,12791530,44741.7,5053106,772794
44,1057231,1033.899,410489,54555
45,5020806,30063.71,1921862,340640
46,870638,75809.7,344397,53692
47,6709356,41237.96,2597292,468342
48,28260856,261263.1,9691647,1430825
49,3096848,82376.88,977313,75503
50,624313,9217.88,260029,33965
51,8454463,39482.15,3151045,403188
53,7404107,66455.12,2848396,250488
54,1817305,24041.13,732585,148411
55,5790716,54167.44,2358156,332175
56,581024,97088.7,230101,29031
72,3318447,3424.225,1192654,433177
