"","GEOID","totPop18","hispPr18","WhitePr18","AfrAmPr18","AsianPr18"
"1","17001",66427,0.0153702560705737,0.930630617068361,0.0408267722462252,0.00812922456230147
"2","17003",6532,0.0111757501530925,0.624311083894672,0.332057562767912,0.000918554807103491
"3","17005",16712,0.034585926280517,0.908867879368119,0.0624102441359502,0.0117280995691719
"4","17007",53606,0.213763384695743,0.874174532701563,0.0221990075737791,0.0118083796589934
"5","17009",6675,0.0428464419475655,0.774232209737828,0.20434456928839,0.00554307116104869
"6","17011",33381,0.0897216979719002,0.936161289356221,0.00931667715167311,0.00865761960396633
"7","17013",4858,0.0117332235487855,0.976121860848086,0.00349938246191848,0.0084396871140387
"8","17015",14562,0.0359153962367807,0.956805383875841,0.011399533031177,0.00734789177310809
"9","17017",12665,0.18744571654165,0.898697196999605,0.0465850769838137,0.00371101460718516
"10","17019",209448,0.0584345517741874,0.722766510064551,0.133407814827547,0.106646995913067
"11","17021",33231,0.0160392404682375,0.965995606511992,0.0127290782702898,0.0066203243958954
"12","17023",15836,0.0155973730740086,0.969752462743117,0.00309421571103814,0.00631472594089416
"13","17025",13338,0.01469485680012,0.976533213375319,0.00457339931024142,0.00284900284900285
"14","17027",37628,0.0309875624534921,0.93619113426172,0.034841075794621,0.0058467098968853
"15","17029",51736,0.0248956239369105,0.928483067883099,0.036821555589918,0.0121192206587289
"16","17031",5223719,0.251589337022148,0.566179191491732,0.235558995420695,0.0720013844542557
"17","17033",19088,0.0349958088851635,0.908476529756915,0.0576278290025147,0.00717728415758592
"18","17035",10865,0.0104924068108606,0.973768982972849,0.000828347906120571,0.00276115968706857
"19","17037",104200,0.109616122840691,0.842917466410749,0.0770921305182342,0.0247600767754319
"20","17039",16042,0.0268046378257075,0.961538461538462,0.00473756389477621,0.000249345468146116
"21","17041",19714,0.0722329309120422,0.96322410469717,0.00532616414730648,0.00730445368773461
"22","17043",931743,0.141674259962243,0.774592350036437,0.0475313471633272,0.116692049202409
"23","17045",17539,0.0114601744683277,0.976794572096471,0.00347796339586065,0.0103198586008324
"24","17047",6507,0.0138312586445367,0.970185953588443,0.00691562932226833,0.00368833563854311
"25","17049",34174,0.0200152162462691,0.972669280739744,0.00523790015801487,0.00614502253174928
"26","17051",21724,0.0187810716258516,0.936936107530841,0.0480114159454981,0.00492542809795618
"27","17053",13398,0.0318704284221526,0.95439617853411,0.0109717868338558,0.00477683236303926
"28","17055",39127,0.0167914739182662,0.969611777033762,0.00825516906484014,0.0056993891686048
"29","17057",35418,0.029448303122706,0.942769213394319,0.0371844824665424,0.00138347732791236
"30","17059",5157,0.014543339150669,0.967422920302501,0.00232693426410704,0.0042660461508629
"31","17061",13218,0.00650627931608413,0.969662581328491,0.0146769556665154,0.00189136026630353
"32","17063",50509,0.0965570492387495,0.936783543526896,0.0145518620443881,0.00813716367380071
"33","17065",8221,0.0240846612334266,0.978348132830556,0.00377083079917285,0.00596034545675709
"34","17067",18112,0.0147968197879859,0.974215989399293,0.00817137809187279,0.00380962897526502
"35","17069",4009,0.0172112746320778,0.954352706410576,0.0279371414317785,0.000249438762783737
"36","17071",6884,0.0169959325973271,0.977629285299245,0.000726321905868681,0.00697269029633934
"37","17073",49464,0.0560609736373929,0.94054261685266,0.017305515122109,0.00553938217693676
"38","17075",28169,0.067947033973517,0.928289964144982,0.0102950051475026,0.00323050161525081
"39","17077",58551,0.0432101928233506,0.766511246605523,0.149493603866714,0.0342094925791191
"40","17079",9598,0.00250052094186289,0.973848718483017,0.0101062721400292,0.000416753490310481
"41","17081",38169,0.0253870942387802,0.87631323849197,0.0838638685844534,0.0117634729754513
"42","17083",22069,0.0136843536181975,0.967420363405682,0.00475780506592958,0.00212968417236848
"43","17085",21834,0.0296784830997527,0.971466520106256,0.0050380141064395,0.00435101218283411
"44","17087",12602,0.0319790509442946,0.873908903348675,0.117917790826853,0.0034915092842406
"45","17089",530839,0.317205405028643,0.726355825400922,0.055118406899267,0.0400516917558808
"46","17091",111061,0.10189895642935,0.797345602866893,0.150511880858267,0.00949028011633247
"47","17093",124626,0.181470961115658,0.823383563622358,0.0704106687208127,0.0334520886492385
"48","17095",50999,0.0563736543853801,0.859350183336928,0.089609600188239,0.00998058785466382
"49","17097",703619,0.214022077288987,0.772626947254125,0.067492492385794,0.075326277431394
"50","17099",110401,0.094863271166022,0.932346627295043,0.0252443365549225,0.00778978451282144
"51","17101",16189,0.0380505281363889,0.87046760145778,0.0892581382420162,0.00265612452900117
"52","17103",34527,0.0601558200828337,0.904451588611811,0.0512352651548064,0.00608219654183682
"53","17105",36324,0.0447913225415703,0.928752340050655,0.0400286312080167,0.0076533421429358
"54","17107",29207,0.0342383675146369,0.88355531208272,0.0633067415345636,0.00746396411819084
"55","17109",30875,0.0270445344129555,0.902574898785425,0.0472226720647773,0.0223157894736842
"56","17111",307789,0.127769348482239,0.923899164687497,0.0145326831043345,0.0270899869715942
"57","17113",173219,0.0481471432117724,0.830012873876422,0.0843902805119531,0.0514377753017856
"58","17115",106512,0.0222134595162986,0.779677407240499,0.14356128886886,0.0108344599669521
"59","17117",45719,0.0117237909840548,0.968765721035018,0.00923029812550581,0.00465889455149938
"60","17119",265670,0.0319381187187112,0.875089396619867,0.0852900214551888,0.00986938683328942
"61","17121",38084,0.0196407940342401,0.926005671673144,0.0349228022266569,0.00693204495326121
"62","17123",11794,0.030523995251823,0.972613193149059,0.0041546549092759,0.0031371884008818
"63","17125",13778,0.0106691827551169,0.971548845986355,0.00943533168819858,0.00195964581216432
"64","17127",14430,0.027997227997228,0.90970200970201,0.0624393624393624,0.00152460152460152
"65","17129",12367,0.014959165521145,0.971698876041077,0.00468990054176437,0.00525592302094283
"66","17131",15693,0.0231950551201172,0.969540559485121,0.00586248645893073,0.00414197412859237
"67","17133",33936,0.0151461574728901,0.977428099952852,0.00223950966525224,0.00975365393682225
"68","17135",29009,0.0173739184391051,0.933296563135579,0.0502602640559826,0.00110310593264159
"69","17137",34426,0.0237030151629582,0.902573636205194,0.0688142682855981,0.00758147911462267
"70","17139",14703,0.0133986261307216,0.98007209413045,0.00530503978779841,0.0021764265796096
"71","17141",51328,0.0995168329177057,0.941552369077307,0.00976075436408978,0.00568890274314215
"72","17143",184463,0.0470609282078249,0.728867035665689,0.17604072361395,0.0398562313309444
"73","17145",21384,0.0307239057239057,0.882435465768799,0.0896932285821175,0.00607931163486719
"74","17147",16427,0.0129664576611676,0.971266816825957,0.00547878492725391,0.00450477871796433
"75","17149",15754,0.0123778088104608,0.967944648978037,0.0154246540561127,0.00272946553256316
"76","17151",4249,0.0185926100258884,0.920216521534479,0.0524829371616851,0.00635443633796187
"77","17153",5611,0.0220994475138122,0.654785243272144,0.30030297629656,0.00285154161468544
"78","17155",5746,0.0536025060911939,0.969718064740689,0.00591715976331361,0.00435085276714236
"79","17157",32546,0.0306028390585633,0.869538499354759,0.101732931850304,0.00393289497941375
"80","17159",15881,0.0166236383099301,0.964108053649015,0.00887853409734903,0.0102008689629117
"81","17161",145275,0.127062467733609,0.809113749784891,0.100808810875925,0.0255721906728618
"82","17163",263463,0.039880362707477,0.641088122430854,0.301184606567146,0.0142372932821687
"83","17165",24231,0.0177458627378152,0.927943543394825,0.0281870331393669,0.00771738681853824
"84","17167",197661,0.0225082337942234,0.818714870409438,0.127794557348187,0.019568857791876
"85","17169",7064,0.00410532276330691,0.910107587768969,0.0733295583238958,0
"86","17171",5047,0.0122845254606697,0.981969486823856,0.00158510005944125,0.00178323756687141
"87","17173",21832,0.0103517772077684,0.982914987174789,0.0092982777574203,0.00114510809820447
"88","17175",5500,0.016,0.973272727272727,0.00690909090909091,0.0110909090909091
