ZCTA,RUCA1,RUCA2,rurality
00001,10,10.0,Rural
00002,10,10.0,Rural
00003,10,10.0,Rural
00004,10,10.0,Rural
00005,10,10.0,Rural
00006,10,10.0,Rural
00007,10,10.0,Rural
00008,10,10.0,Rural
00009,10,10.0,Rural
00010,10,10.0,Rural
00011,8,8.0,Rural
00012,5,5.0,Rural
00013,10,10.0,Rural
00014,7,7.0,Rural
00015,1,1.0,Urban
00016,8,8.1,Rural
00017,10,10.1,Rural
00018,10,10.0,Rural
00019,10,10.0,Rural
00020,10,10.0,Rural
00022,4,4.0,Suburban
00026,10,10.1,Rural
00027,1,1.0,Urban
00028,2,2.0,Suburban
00029,2,2.0,Suburban
00031,10,10.0,Rural
00032,10,10.0,Rural
00033,10,10.0,Rural
00034,10,10.0,Rural
00035,8,8.0,Rural
00037,5,5.0,Rural
00038,5,5.0,Rural
00039,10,10.2,Rural
00040,10,10.0,Rural
00041,2,2.0,Suburban
00042,1,1.0,Urban
00043,2,2.0,Suburban
00044,10,10.0,Rural
00045,2,2.0,Suburban
00047,10,10.0,Rural
00048,4,4.0,Suburban
00049,10,10.2,Rural
00050,10,10.0,Rural
00051,2,2.0,Suburban
00052,2,2.0,Suburban
00053,1,1.0,Urban
00054,10,10.0,Rural
00055,10,10.0,Rural
00056,2,2.0,Suburban
00057,10,10.0,Rural
00058,10,10.0,Rural
00059,10,10.0,Rural
00060,10,10.0,Rural
00061,10,10.0,Rural
00063,2,2.0,Suburban
00064,10,10.0,Rural
00065,10,10.0,Rural
00066,10,10.0,Rural
00067,1,1.0,Urban
00068,5,5.0,Rural
00069,2,2.0,Suburban
00070,10,10.0,Rural
00071,2,2.0,Suburban
00072,2,2.0,Suburban
00073,2,2.1,Suburban
00074,10,10.0,Rural
00076,10,10.0,Rural
00077,3,3.0,Rural
00084,2,2.0,Suburban
00087,2,2.0,Suburban
00097,10,10.0,Rural
00098,10,10.0,Rural
00100,1,1.0,Urban
00116,2,2.0,Suburban
00119,4,4.0,Suburban
00121,2,2.0,Suburban
00125,10,10.0,Rural
00126,10,10.0,Rural
00127,2,2.0,Suburban
00128,10,10.0,Rural
00130,10,10.0,Rural
00132,10,10.0,Rural
00133,10,10.0,Rural
00134,10,10.0,Rural
00135,9,9.0,Rural
00137,8,8.0,Rural
00138,8,8.0,Rural
00139,10,10.0,Rural
00141,10,10.0,Rural
00148,9,9.0,Rural
00151,10,10.0,Rural
00152,6,6.0,Rural
00158,10,10.0,Rural
