YEAR,COUNTYFP,TotalPop,TotalVetPop,MalePop,MaleVetPop,Male18To34,MaleVet18To34,Male35To54,MaleVet35To54,Male55To64,MaleVet55To64,Male65To74,MaleVet65To74,Male75Plus,MaleVet75Plus,FemalePop,FemaleVetPop,Female18To34,FemaleVet18To34,Female35To54,FemaleVet35To54,Female55To64,FemaleVet55To64,Female65To74,FemaleVet65To74,Female75Plus,FemaleVet75Plus,VetPercent
2014-2018,01041,10702,761,5111,710,1325,15,1740,126,949,89,730,288,367,192,5591,51,1316,24,1815,17,1015,0,805,10,640,0,7.11
2014-2018,01043,63692,5149,31102,4645,8500,292,10621,800,5420,945,4094,1345,2467,1263,32590,504,8174,19,10542,276,5632,153,4662,31,3580,25,8.08
2014-2018,01045,35381,6288,16331,5360,4366,432,5441,1541,3063,1301,2113,1242,1348,844,19050,928,5240,181,6057,421,3275,188,2466,75,2012,63,17.77
2014-2018,01047,30237,2106,13535,1977,3822,242,4177,360,2703,490,1826,409,1007,476,16702,129,4501,6,5201,72,3128,29,2167,13,1705,9,6.96
2014-2018,01049,53715,3678,26253,3402,7352,229,9245,645,4476,584,3399,1147,1781,797,27462,276,7079,26,9168,74,4776,118,3648,31,2791,27,6.85
2014-2018,01051,62515,6600,29828,5614,9074,445,10440,1521,4941,1244,3517,1338,1856,1066,32687,986,9126,241,11696,377,5468,192,3754,95,2643,81,10.56
2014-2018,01053,29000,2184,14922,2022,4409,104,5331,480,2395,356,1672,595,1115,487,14078,162,3608,12,4368,57,2413,44,2069,35,1620,14,7.53
2014-2018,01055,80640,7419,38277,6855,10282,498,13171,1489,6739,1054,5140,1958,2945,1856,42363,564,10460,113,13817,130,7294,133,6040,111,4752,77,9.2
2014-2018,01057,13010,1159,6196,1090,1597,80,1973,154,1148,201,906,354,572,301,6814,69,1606,10,2070,27,1224,22,1108,6,806,4,8.91
2014-2018,01059,23734,1257,11558,1111,3713,98,3894,353,1735,107,1382,334,834,219,12176,146,3204,47,4115,21,1973,9,1575,23,1309,46,5.3
2014-2018,01061,20546,2130,9864,1982,2411,111,3336,466,1822,360,1427,554,868,491,10682,148,2564,31,3326,32,1935,15,1562,48,1295,22,10.37
2014-2018,01063,6564,427,3060,326,862,7,854,101,626,80,412,50,306,88,3504,101,875,72,909,2,722,24,542,3,456,0,6.51
2014-2018,01065,11362,769,5204,673,1419,65,1587,95,1010,193,765,188,423,132,6158,96,1563,85,1930,6,1136,0,808,5,721,0,6.77
2014-2018,01067,13527,1230,6399,1079,1521,75,2098,213,1156,206,1051,331,573,254,7128,151,1501,0,2254,118,1301,22,1195,11,877,0,9.09
2014-2018,01069,79817,7949,37303,7204,10601,536,12653,1688,6461,1327,4702,2034,2886,1619,42514,745,11172,148,14001,284,7314,146,5581,81,4446,86,9.96
2014-2018,01071,40930,2902,19694,2797,4945,204,6637,467,3698,488,2775,1038,1639,600,21236,105,4774,5,6954,35,3950,14,3173,31,2385,20,7.09
2014-2018,01073,507714,37324,234767,33928,74540,2012,79077,7614,40298,7303,25665,8921,15187,8078,272947,3396,79913,347,87570,1309,47170,1169,31654,344,26640,227,7.35
