YEAR,COUNTYFP,TotalPop,TotalVetPop,MalePop,MaleVetPop,Male18To34,MaleVet18To34,Male35To54,MaleVet35To54,Male55To64,MaleVet55To64,Male65To74,MaleVet65To74,Male75Plus,MaleVet75Plus,FemalePop,FemaleVetPop,Female18To34,FemaleVet18To34,Female35To54,FemaleVet35To54,Female55To64,FemaleVet55To64,Female65To74,FemaleVet65To74,Female75Plus,FemaleVet75Plus,VetPercent
2014-2018,12065,11780,1117,6292,1078,1549,76,2207,167,1086,233,957,376,493,226,5488,39,990,11,1667,26,1180,2,1018,0,633,0,9.48
2014-2018,12067,6778,502,4232,502,1533,32,1518,128,617,38,336,152,228,152,2546,0,428,0,978,0,527,0,365,0,248,0,7.41
2014-2018,12069,269652,32822,128585,30414,29013,1180,37916,5010,21004,4398,22134,9536,18518,10290,141067,2408,29081,318,40402,991,24085,546,25786,254,21713,299,12.17
2014-2018,12071,588437,58758,285085,55261,64796,1974,79072,7209,46766,7213,52549,18355,41902,20510,303352,3497,63733,445,82206,1181,53842,862,57758,331,45813,678,9.99
2014-2018,12073,233882,15342,109255,13656,50257,1158,28933,2974,14441,2691,10405,3786,5219,3047,124627,1686,55432,277,32093,814,17026,235,11972,136,8104,224,6.56
2014-2018,12075,32013,4538,15378,4118,3532,272,4374,539,2964,924,2600,1248,1908,1135,16635,420,3566,42,4810,173,3366,112,2950,35,1943,58,14.18
2014-2018,12077,6972,506,4262,495,1432,0,1488,193,767,81,388,139,187,82,2710,11,704,0,842,11,434,0,422,0,308,0,7.26
2014-2018,12079,14955,1140,7973,1000,2430,34,2603,247,1236,163,1114,313,590,243,6982,140,1630,0,2043,51,1371,64,1043,15,895,10,7.62
2014-2018,12081,303247,32682,144626,30839,32271,968,41445,4178,25046,4225,25199,9641,20665,11827,158621,1843,32193,280,44203,521,29162,432,28731,252,24332,358,10.78
2014-2018,12083,282922,36262,133734,33611,30388,1381,35964,4679,21529,4453,25054,10845,20799,12253,149188,2651,30632,243,39365,847,26161,747,29292,378,23738,436,12.82
2014-2018,12085,130980,14743,64382,14041,13238,534,17645,1957,11541,1421,11053,4035,10905,6094,66598,702,10818,38,17555,344,12772,103,12495,47,12958,170,11.26
2014-2018,12086,2159729,50015,1035135,45592,317939,5239,388751,12110,152084,8696,99932,10942,76429,8605,1124594,4423,308355,1114,394712,1428,174535,900,126333,554,120659,427,2.32
2014-2018,12087,63557,6692,32862,6062,6753,453,10926,1176,6631,1103,5439,1842,3113,1488,30695,630,6699,157,10007,179,6278,189,4754,68,2957,37,10.53
2014-2018,12089,63931,8691,30976,8082,7110,621,9837,1761,5989,1633,5161,2279,2879,1788,32955,609,6829,66,10780,326,6551,132,5458,61,3337,24,13.59
2014-2018,12091,146879,33350,70794,28027,21474,4321,22643,8007,12601,6064,8666,5664,5410,3971,76085,5323,21970,1493,23786,2246,13402,1029,9328,347,7599,208,22.71
2014-2018,12093,31703,3026,17066,2836,4777,174,5838,376,2624,376,2061,930,1766,980,14637,190,3666,8,4437,76,2568,51,2152,49,1814,6,9.54
2014-2018,12095,1023699,63263,496633,55874,182528,5949,178982,14710,69559,11501,41372,13130,24192,10584,527066,7389,182708,1016,183834,3367,75824,1655,49080,832,35620,519,6.18
2014-2018,12097,254511,16497,123674,14646,41243,1207,45872,3959,17325,3359,12150,3616,7084,2505,130837,1851,39611,370,48076,910,19196,365,14273,104,9681,102,6.48
2014-2018,12099,1165957,83423,557890,77980,144476,2910,175542,10481,89003,9273,73861,18684,75008,36632,608067,5443,138502,890,182905,1775,98621,926,90405,943,97634,909,7.15
2014-2018,12101,405963,46474,194862,42543,45779,1805,64576,8404,31939,6352,29509,12629,23059,13353,211101,3931,46175,350,66678,1362,36052,1055,34047,607,28149,557,11.45
2014-2018,12103,797420,85825,377652,78066,88763,4109,116445,13697,71085,12825,56883,22288,44476,25147,419768,7759,90068,1258,123041,2663,79523,1848,65344,1081,61792,909,10.76
2014-2018,12105,518417,48252,250541,44337,71116,2310,79122,6991,38936,7738,34963,13849,26404,13449,267876,3915,70646,492,81613,1566,43446,918,40595,537,31576,402,9.31
2014-2018,12107,57098,7239,27936,6790,6877,547,8077,775,5219,1397,4679,2238,3084,1833,29162,449,6501,18,8288,175,5866,187,4775,32,3732,37,12.68
2014-2018,12109,183241,20611,87879,18717,19792,877,31174,4252,15894,3329,13349,5486,7670,4773,95362,1894,20374,104,32976,870,17792,301,14571,345,9649,274,11.25
2014-2018,12111,243428,24634,117189,22851,28719,1335,35511,3894,19828,2962,18244,6520,14887,8140,126239,1783,28318,382,37801,582,22142,357,20519,317,17459,145,10.12
2014-2018,12113,129631,24233,65146,21285,18895,2028,22974,7206,11109,4672,7714,4340,4454,3039,64485,2948,16338,630,22559,1287,11563,758,8241,213,5784,60,18.69
2014-2018,12115,352101,42744,165817,39892,29836,1239,40314,3973,28882,4161,34225,11985,32560,18534,186284,2852,28787,218,43678,1015,34763,747,39974,451,39082,421,12.14
2014-2018,12117,357474,27352,170129,24625,52531,1910,60739,5980,27767,4692,18083,6602,11009,5441,187345,2727,51698,416,66037,1096,31239,734,21715,297,16656,184,7.65
2014-2018,12119,112142,19434,56147,18644,6500,174,9661,1118,7487,1144,19116,8684,13383,7524,55995,790,4027,42,6586,126,10610,173,22008,286,12764,163,17.33
2014-2018,12121,34376,4210,17547,3939,4451,219,6108,694,2908,828,2446,1093,1634,1105,16829,271,4145,0,4805,63,3123,193,2655,11,2101,4,12.25
2014-2018,12123,17862,1372,10183,1364,3309,31,3327,180,1569,268,1186,529,792,356,7679,8,1642,0,2350,8,1443,0,1350,0,894,0,7.68
2014-2018,12125,12353,1627,8483,1558,2588,105,3039,337,1533,503,981,491,342,122,3870,69,1021,2,1331,41,630,26,520,0,368,0,13.17
2014-2018,12127,433173,50303,209132,46880,53587,3084,60732,6448,37644,8766,32981,14374,24188,14208,224041,3423,50518,469,62888,1133,42298,785,36849,584,31488,452,11.61
2014-2018,12129,24938,2908,13841,2614,3713,120,5608,844,2410,638,1421,609,689,403,11097,294,2581,26,4046,171,2148,95,1409,0,913,2,11.66
2014-2018,12131,52221,6101,26326,5585,6492,201,8896,1198,4846,1269,4008,1743,2084,1174,25895,516,5765,27,8144,240,5294,93,4076,86,2616,70,11.68
2014-2018,12133,19675,2068,10863,1882,3417,186,3820,436,1612,371,1264,528,750,361,8812,186,2008,0,2848,50,1707,82,1367,27,882,27,10.51
2014-2018,13001,13837,1050,6838,995,1982,91,2268,255,1215,146,894,294,479,209,6999,55,1780,0,2283,40,1257,0,956,11,723,4,7.59
2014-2018,13003,6001,346,2978,324,960,17,1066,61,472,109,302,76,178,61,3023,22,870,0,1107,11,473,3,372,8,201,0,5.77
2014-2018,13005,8359,728,4066,646,1279,11,1427,98,637,128,481,240,242,169,4293,82,1154,0,1416,26,746,41,551,15,426,0,8.71
2014-2018,13007,2559,167,1211,136,325,3,409,35,193,21,214,47,70,30,1348,31,290,0,342,0,262,23,293,8,161,0,6.53
2014-2018,13009,36495,2667,18334,2534,6764,190,5517,580,2906,478,1962,895,1185,391,18161,133,6882,37,4879,65,2771,9,2140,22,1489,0,7.31
2014-2018,13011,14249,1292,7016,1203,1747,90,2572,218,1296,263,924,369,477,263,7233,89,1796,0,2544,47,1208,31,1085,11,600,0,9.07
2014-2018,13013,56441,4053,27363,3704,8756,517,10556,1031,4080,681,2722,970,1249,505,29078,349,8749,79,10672,131,4441,54,3140,46,2076,39,7.18
2014-2018,13015,77944,6330,38026,5942,11178,459,14146,1367,6522,1380,4179,1934,2001,802,39918,388,11199,122,14479,164,6569,29,4670,48,3001,25,8.12
2014-2018,13017,12802,810,5934,765,1560,57,2180,107,1077,187,718,281,399,133,6868,45,1752,7,2197,0,1255,8,950,24,714,6,6.33
2014-2018,13019,14331,1045,6933,987,1862,90,2423,219,1155,133,988,309,505,236,7398,58,1793,0,2528,21,1301,25,1036,2,740,10,7.29
2014-2018,13021,115311,9444,52619,8481,17011,420,17327,2268,9005,1816,5887,2438,3389,1539,62692,963,19297,128,19370,390,10544,220,7422,151,6059,74,8.19
2014-2018,13023,9981,764,4616,713,1599,37,1370,132,715,154,603,203,329,187,5365,51,1737,0,1591,10,821,13,600,28,616,0,7.65
2014-2018,13025,14045,976,6789,877,1817,35,2378,155,1265,217,868,282,461,188,7256,99,1852,0,2471,54,1409,18,941,12,583,15,6.95
2014-2018,13027,12189,1176,5818,1109,1471,85,1987,287,1070,195,820,281,470,261,6371,67,1458,3,2007,61,1217,0,981,3,708,0,9.65
2014-2018,13029,24239,3622,11287,2976,3396,220,4397,1438,1801,579,1125,483,568,256,12952,646,3768,87,5278,444,1946,74,1194,31,766,10,14.94
2014-2018,13031,59726,3989,29083,3561,14600,348,7272,1057,3542,536,2419,930,1250,690,30643,428,13917,21,8352,225,3868,126,2661,56,1845,0,6.68
2014-2018,13033,16624,1598,7723,1430,2305,149,2505,294,1491,347,963,454,459,186,8901,168,2424,30,2910,28,1690,80,1123,25,754,5,9.61
2014-2018,13035,18831,1520,10215,1441,3554,22,3623,440,1514,286,1019,443,505,250,8616,79,2202,2,2782,49,1577,18,1189,5,866,5,8.07
2014-2018,13037,5278,321,3277,308,1119,25,1296,75,469,87,276,96,117,25,2001,13,472,0,616,0,372,12,259,0,282,1,6.08
2014-2018,13039,36091,6455,16866,5620,5634,1252,5389,1748,2844,974,1983,1042,1016,604,19225,835,6312,202,6292,370,3184,173,2247,90,1190,0,17.89
2014-2018,13043,8108,839,3900,809,1106,112,1258,118,700,237,557,197,279,145,4208,30,1078,0,1413,10,708,9,598,8,411,3,10.35
2014-2018,13045,88057,5925,42095,5418,15023,404,14276,1271,6228,1237,4306,1504,2262,1002,45962,507,15651,149,14856,186,6871,117,5023,55,3561,0,6.73
2014-2018,13047,50876,4251,23907,4033,6455,293,8793,1012,3853,656,3021,1149,1785,923,26969,218,6865,0,9215,69,4576,29,3604,79,2709,41,8.36
2014-2018,13049,10508,926,6403,892,1942,31,2686,158,848,245,520,198,407,260,4105,34,1064,0,1329,24,712,0,560,10,440,0,8.81
2014-2018,13051,221747,23208,104094,19572,38111,2230,32505,5232,15603,3775,11268,4468,6607,3867,117653,3636,40036,1194,35543,1403,18546,774,13502,150,10026,115,10.47
2014-2018,13053,4009,877,1791,690,831,309,569,182,226,116,107,39,58,44,2218,187,963,98,780,89,231,0,162,0,82,0,21.88
2014-2018,13055,19202,1408,9911,1222,3076,62,3348,128,1652,247,1138,395,697,390,9291,186,2095,7,3151,68,1679,22,1321,68,1045,21,7.33
2014-2018,13057,180579,14278,87589,13280,24093,825,35055,3709,14452,2423,9528,3799,4461,2524,92990,998,24051,178,36413,442,15415,220,11040,70,6071,88,7.91
2014-2018,13059,102767,4570,48101,4039,25638,295,12165,912,5052,983,3405,1053,1841,796,54666,531,28326,50,12778,163,6001,231,4245,54,3316,33,4.45
2014-2018,13061,2417,221,1253,221,343,6,358,37,267,49,138,49,147,80,1164,0,243,0,309,0,216,0,211,0,185,0,9.14
2014-2018,13063,200158,16280,91198,13461,33685,1043,33859,4233,13446,3931,7168,2837,3040,1417,108960,2819,37100,679,40908,1161,16817,808,9339,134,4796,37,8.13
2014-2018,13065,4933,285,2354,250,580,8,904,52,401,98,296,58,173,34,2579,35,818,6,759,10,448,1,338,2,216,16,5.78
2014-2018,13067,564037,42191,268582,37186,86850,2722,102553,9550,42050,7598,24868,9821,12261,7495,295455,5005,88300,933,112464,2114,46703,1286,29673,353,18315,319,7.48
2014-2018,13069,32407,1815,16609,1678,5671,313,6058,381,2413,291,1671,400,796,293,15798,137,4711,0,5336,96,2490,29,1978,12,1283,0,5.6
2014-2018,13071,33533,2268,16325,2103,5104,168,5841,382,2468,497,1804,518,1108,538,17208,165,4819,17,5814,111,2783,6,2157,18,1635,13,6.76
2014-2018,13073,105756,16560,49647,13254,14444,1245,18313,4490,8429,2911,5502,2709,2959,1899,56109,3306,15925,511,20609,2039,9330,502,6153,235,4092,19,15.66
2014-2018,13075,12739,999,5983,923,1708,9,2103,223,1001,226,753,241,418,224,6756,76,1814,14,2371,31,1077,0,815,31,679,0,7.84
2014-2018,13077,105136,9743,50572,9063,14220,596,19637,2549,8472,1762,5470,2459,2773,1697,54564,680,14575,107,20824,368,8925,146,6254,28,3986,31,9.27
2014-2018,13079,9697,869,4837,816,1206,87,1677,134,951,174,683,276,320,145,4860,53,1064,0,1642,27,971,26,749,0,434,0,8.96
2014-2018,13081,17167,1133,7941,1014,2302,64,2439,207,1436,162,1118,341,646,240,9226,119,2290,47,2999,27,1687,6,1243,12,1007,27,6.6
2014-2018,13083,13065,1059,6253,937,1834,68,1993,128,1127,220,801,306,498,215,6812,122,1950,12,2038,52,1184,32,976,12,664,14,8.11
2014-2018,13085,18762,1347,9239,1292,2288,50,3209,192,1584,200,1432,484,726,366,9523,55,2206,0,3078,55,1738,0,1664,0,837,0,7.18
2014-2018,13087,20150,1226,9545,1047,2942,41,3222,296,1620,132,1094,311,667,267,10605,179,2855,40,3486,44,1804,53,1317,32,1143,10,6.08
2014-2018,13089,568423,36795,262891,31607,90788,2153,98382,9734,38735,6944,23003,7190,11983,5586,305532,5188,98744,666,108656,2698,47547,1351,30563,344,20022,129,6.47
2014-2018,13091,16728,1346,8707,1301,2533,84,3198,215,1427,215,981,441,568,346,8021,45,1970,0,2648,30,1412,0,1111,0,880,15,8.05
2014-2018,13093,11371,822,6273,767,1763,8,2252,182,1103,115,729,239,426,223,5098,55,1073,2,1610,6,1013,45,798,1,604,1,7.23
2014-2018,13095,68699,5770,30613,5197,10643,303,9490,1573,4989,1037,3530,1194,1961,1090,38086,573,12415,98,11580,269,6261,174,4346,25,3484,7,8.4
2014-2018,13097,104431,9797,48619,8204,14960,539,19043,2956,7810,1440,4558,1967,2248,1302,55812,1593,15864,280,22518,827,8651,324,5546,108,3233,54,9.38
2014-2018,13099,7770,466,3554,415,944,78,1162,54,659,70,478,119,311,94,4216,51,994,31,1363,20,720,0,607,0,532,0,6.0
2014-2018,13101,3133,128,1662,128,431,15,702,26,213,17,146,36,170,34,1471,0,323,0,592,0,226,0,212,0,118,0,4.09
2014-2018,13103,42612,5037,20753,4652,6376,899,8009,1637,3417,731,2013,938,938,447,21859,385,6266,84,8404,187,3621,83,2223,31,1345,0,11.82
2014-2018,13105,14998,1327,7107,1228,1956,38,2175,173,1338,335,1015,346,623,336,7891,99,1818,36,2504,15,1417,0,1142,48,1010,0,8.85
2014-2018,13107,16843,1220,8204,1057,2647,199,2747,159,1338,189,943,337,529,173,8639,163,2412,64,2696,76,1515,11,1147,12,869,0,7.24
2014-2018,13109,7878,820,3725,776,1101,39,1286,201,604,232,435,134,299,170,4153,44,1098,20,1392,11,685,0,544,4,434,9,10.41
2014-2018,13111,20674,2190,9865,2038,1908,114,2627,187,2042,361,2074,669,1214,707,10809,152,1820,0,3038,47,2282,77,2203,0,1466,28,10.59
2014-2018,13113,85161,10767,40659,9642,9780,579,14181,2352,7983,2104,5800,2988,2915,1619,44502,1125,9683,95,15774,646,8671,235,6259,131,4115,18,12.64
2014-2018,13115,74119,6226,35155,5783,10645,397,12048,1177,5697,1060,4104,1832,2661,1317,38964,443,11403,100,12253,192,6437,43,4838,47,4033,61,8.4
2014-2018,13117,157626,10294,77193,9473,18403,574,36038,2863,11489,1411,7272,2496,3991,2129,80433,821,18824,201,36216,375,11635,173,8539,44,5219,28,6.53
2014-2018,13119,17554,1102,8424,1041,2417,60,2738,87,1427,124,1181,430,661,340,9130,61,2365,0,2769,30,1473,8,1427,20,1096,3,6.28
2014-2018,13121,790926,42640,377681,37473,135871,2949,141131,10154,53333,7383,30867,8693,16479,8294,413245,5167,138643,1149,148752,2361,59794,1037,38652,382,27404,238,5.39
2014-2018,13123,23990,2514,12058,2427,2556,74,3767,237,2343,427,2214,922,1178,767,11932,87,2386,26,3530,0,2419,48,2222,13,1375,0,10.48
2014-2018,13125,2305,175,1075,172,260,6,396,44,204,35,139,49,76,38,1230,3,247,0,466,3,219,0,157,0,141,0,7.59
2014-2018,13127,65023,6535,29844,5941,8121,305,9663,1355,5164,949,4270,1871,2626,1461,35179,594,8794,34,10986,174,6501,124,5216,117,3682,145,10.05
2014-2018,13129,42559,2988,20639,2901,5993,163,7772,630,3425,491,2264,1129,1185,488,21920,87,5927,25,7911,21,3501,29,2660,12,1921,0,7.02
2014-2018,13131,18689,1571,8863,1486,2483,41,2900,328,1636,262,1173,435,671,420,9826,85,2548,51,3174,14,1671,0,1372,20,1061,0,8.41
2014-2018,13133,13693,1232,6507,1160,1366,4,1680,130,1177,128,1514,574,770,324,7186,72,1480,5,1801,0,1475,44,1544,23,886,0,9.0
2014-2018,13135,654333,38005,314917,33071,101070,2619,128749,10893,48633,6404,24905,8092,11560,5063,339416,4934,100848,870,139347,2628,52244,858,29745,359,17232,219,5.81
2014-2018,13137,34222,2806,15827,2649,4483,71,5176,400,2524,634,2208,900,1436,644,18395,157,4943,46,6145,21,2884,63,2561,0,1862,27,8.2
2014-2018,13139,144933,10382,71228,9668,22040,566,26007,2050,10819,1568,7731,3082,4631,2402,73705,714,21207,32,25724,307,11378,205,8808,110,6588,60,7.16
2014-2018,13141,7327,440,4446,423,1720,0,1229,54,656,127,559,91,282,151,2881,17,210,0,989,2,679,15,560,0,443,0,6.01
2014-2018,13143,21911,1470,10545,1400,2851,160,3872,349,1863,293,1253,352,706,246,11366,70,2910,60,4057,0,1836,10,1474,0,1089,0,6.71
2014-2018,13145,25966,3377,12678,2865,3127,209,4321,797,2457,490,1907,779,866,590,13288,512,2864,15,4804,297,2532,151,1959,48,1129,1,13.01
2014-2018,13147,20252,1392,9861,1336,2527,23,3167,238,1735,274,1537,392,895,409,10391,56,2381,19,3138,0,1848,12,1622,12,1402,13,6.87
2014-2018,13149,8956,761,4341,718,1101,30,1570,184,813,146,563,230,294,128,4615,43,1165,11,1581,21,840,5,598,4,431,2,8.5
2014-2018,13151,162633,16937,75784,14501,22525,972,30279,5263,12329,2593,7124,3302,3527,2371,86849,2436,24233,222,35466,1541,13493,370,8687,246,4970,57,10.41
2014-2018,13153,110299,17390,51667,14799,16710,1344,18393,5481,8471,3408,4929,2747,3164,1819,58632,2591,17918,390,20937,1339,9382,628,5895,95,4500,139,15.77
2014-2018,13155,7258,485,3731,402,1159,13,1326,124,468,54,430,119,348,92,3527,83,846,0,1157,0,574,48,506,18,444,17,6.68
2014-2018,13157,48854,4302,23858,3719,6515,383,9357,860,3776,520,2760,1144,1450,812,24996,583,6512,227,9231,238,3988,89,3072,29,2193,0,8.81
2014-2018,13159,10488,888,5011,827,1205,46,1787,216,973,98,676,299,370,168,5477,61,1360,27,1816,14,1023,20,749,0,529,0,8.47
2014-2018,13161,10945,546,5276,494,1615,10,1773,118,861,87,731,177,296,102,5669,52,1563,37,1963,11,873,0,788,4,482,0,4.99
2014-2018,13163,12012,942,5686,880,1727,99,1854,197,979,131,716,274,410,179,6326,62,1591,33,1966,13,1149,3,894,10,726,3,7.84
2014-2018,13165,6787,503,2960,461,824,0,974,88,634,195,424,113,104,65,3827,42,876,0,1189,0,806,39,629,0,327,3,7.41
2014-2018,13167,7801,698,4357,667,1258,40,1593,249,709,127,485,167,312,84,3444,31,863,0,1038,0,618,22,543,9,382,0,8.95
2014-2018,13169,21737,2345,10354,2115,2700,170,3723,494,1807,385,1334,509,790,557,11383,230,2672,21,4079,98,2008,73,1557,38,1067,0,10.79
2014-2018,13171,14633,1294,6892,1236,2174,146,2190,311,1189,274,908,282,431,223,7741,58,2641,0,2162,32,1243,16,1014,10,681,0,8.84
2014-2018,13173,7468,886,3627,703,1102,150,1260,194,624,121,409,66,232,172,3841,183,1137,104,1377,70,649,9,379,0,299,0,11.86
2014-2018,13175,35673,3312,16422,3035,4605,188,5617,646,2872,753,2035,907,1293,541,19251,277,5128,67,6202,70,3265,107,2477,28,2179,5,9.28
2014-2018,13177,21453,2251,10562,1991,2988,298,4136,610,1778,466,1202,378,458,239,10891,260,3047,69,4188,117,1818,23,1069,26,769,25,10.49
2014-2018,13179,38971,9472,17560,7481,7201,2221,5480,2326,2649,1611,1554,875,676,448,21411,1991,8950,944,6450,717,3052,264,1887,55,1072,11,24.31
2014-2018,13181,6267,578,3021,565,700,10,868,112,655,139,499,165,299,139,3246,13,615,0,1005,11,663,2,568,0,395,0,9.22
2014-2018,13183,12364,2152,5841,1545,2088,301,2288,633,840,320,433,176,192,115,6523,607,2225,66,2287,478,1035,44,539,19,437,0,17.41
2014-2018,13185,84411,8104,39691,6786,17081,1364,11609,1973,5422,1256,3494,1219,2085,974,44720,1318,18091,365,12827,613,6183,180,4344,76,3275,84,9.6
2014-2018,13187,26106,2410,12630,2203,4688,113,3391,505,2074,389,1643,692,834,504,13476,207,4805,0,3542,149,2269,21,1748,0,1112,37,9.23
2014-2018,13189,15921,1672,7266,1594,2039,170,2426,307,1314,493,988,427,499,197,8655,78,2318,0,2670,30,1558,14,1204,12,905,22,10.5
2014-2018,13191,11615,1605,5598,1528,1232,82,1549,265,1167,276,1054,540,596,365,6017,77,1194,52,1736,10,1284,0,1128,8,675,7,13.82
2014-2018,13193,10845,784,6059,761,2128,53,1994,198,956,152,699,249,282,109,4786,23,1051,0,1530,19,1032,0,709,4,464,0,7.23
2014-2018,13195,22220,1841,10874,1653,2894,118,3779,389,2097,197,1372,656,732,293,11346,188,2827,16,4033,80,2030,47,1470,43,986,2,8.29
2014-2018,13197,6832,897,3409,789,883,47,1022,95,688,217,451,181,365,249,3423,108,744,0,1135,79,636,25,600,4,308,0,13.13
2014-2018,13199,16493,1125,7800,933,2069,39,2490,156,1509,251,1145,303,587,184,8693,192,2109,5,2648,157,1586,1,1330,19,1020,10,6.82
2014-2018,13201,4497,261,2106,236,477,34,742,16,353,44,249,73,285,69,2391,25,565,25,729,0,387,0,361,0,349,0,5.8
2014-2018,13205,17220,1313,8973,1180,2816,136,3319,250,1384,208,904,379,550,207,8247,133,2067,20,2641,31,1476,48,1130,14,933,20,7.62
2014-2018,13207,21358,1924,10637,1782,2931,212,3495,407,2050,230,1384,552,777,381,10721,142,2403,10,3639,79,2104,35,1465,18,1110,0,9.01
2014-2018,13209,7139,467,3677,440,1209,29,1229,93,607,124,445,99,187,95,3462,27,932,0,1124,27,588,0,475,0,343,0,6.54
2014-2018,13211,14121,1173,6743,1155,1584,7,2339,232,1265,108,970,428,585,380,7378,18,1774,0,2324,12,1386,6,1079,0,815,0,8.31
2014-2018,13213,29628,1757,14440,1614,4186,100,5318,377,2489,303,1660,518,787,316,15188,143,4169,23,5500,9,2391,70,1937,26,1191,15,5.93
2014-2018,13215,141356,20779,64954,17400,22580,2348,21735,5138,10821,4178,6146,3369,3672,2367,76402,3379,24872,994,24655,1503,11981,642,8100,130,6794,110,14.7
2014-2018,13217,77945,7042,35892,6462,11105,633,13579,2140,5575,1034,3740,1620,1893,1035,42053,580,11844,99,16141,365,6583,75,4594,41,2891,0,9.03
2014-2018,13219,27083,1923,13050,1830,3066,133,5129,368,2329,378,1672,489,854,462,14033,93,3175,0,5536,24,2491,62,1694,0,1137,7,7.1
2014-2018,13221,11590,993,5660,914,1359,49,2092,195,984,205,789,305,436,160,5930,79,1364,0,2053,15,1068,4,820,60,625,0,8.57
2014-2018,13223,113709,9162,54653,8194,16420,760,23266,2909,8097,1742,4515,1917,2355,866,59056,968,17049,173,24360,463,8751,205,5559,110,3337,17,8.06
2014-2018,13225,21059,2144,9930,1906,3341,116,3066,243,1746,643,1159,633,618,271,11129,238,3638,0,3312,101,1886,105,1317,32,976,0,10.18
2014-2018,13227,24368,2779,11806,2692,2622,163,3917,417,2237,425,2007,1064,1023,623,12562,87,2753,19,3926,38,2496,8,2120,9,1267,13,11.4
2014-2018,13229,14322,1048,6979,1006,1721,0,2660,192,1172,214,865,383,561,217,7343,42,1820,0,2601,31,1174,11,1047,0,701,0,7.32
2014-2018,13231,13762,1192,6651,1131,1789,41,2437,170,1157,193,788,360,480,367,7111,61,1835,0,2609,24,1176,10,801,4,690,23,8.66
2014-2018,13233,30817,2612,14986,2474,4453,38,5382,771,2484,414,1714,803,953,448,15831,138,4376,16,5120,32,2732,73,2102,0,1501,17,8.48
2014-2018,13235,9302,727,3982,699,1145,36,1191,186,708,75,588,261,350,141,5320,28,1536,12,1836,16,747,0,668,0,533,0,7.82
2014-2018,13237,17067,1561,8202,1553,1871,74,2416,290,1521,173,1528,545,866,471,8865,8,2032,0,2449,8,1836,0,1665,0,883,0,9.15
2014-2018,13239,1855,132,894,132,283,15,200,16,161,33,132,34,118,34,961,0,179,0,202,0,222,0,166,0,192,0,7.12
2014-2018,13241,13661,1430,6687,1407,1500,20,1904,202,1215,230,1298,550,770,405,6974,23,1278,0,2033,5,1303,7,1337,11,1023,0,10.47
2014-2018,13243,5263,259,2523,259,642,5,677,5,494,91,360,98,350,60,2740,0,603,0,801,0,547,0,350,0,439,0,4.92
2014-2018,13245,149086,19275,68912,15292,24726,1792,21647,4026,11500,3565,6948,3369,4091,2540,80174,3983,26467,810,24555,1726,13590,1001,9010,320,6552,126,12.93
2014-2018,13247,66375,6668,30518,5735,8740,422,10993,1820,5618,1110,3465,1490,1702,893,35857,933,9455,111,13263,551,6350,164,4224,107,2565,0,10.05
2014-2018,13249,3977,320,1946,309,627,16,661,59,246,53,241,82,171,99,2031,11,567,4,717,0,295,0,276,0,176,7,8.05
2014-2018,13251,10913,969,5232,804,1448,27,1665,223,1017,133,728,220,374,201,5681,165,1406,45,1762,71,1143,18,798,16,572,15,8.88
2014-2018,13253,6622,574,3076,535,733,23,935,35,571,57,542,312,295,108,3546,39,792,0,1050,24,675,11,546,4,483,0,8.67
2014-2018,13255,49182,4437,23302,4048,6736,65,7899,1034,3905,774,3077,1469,1685,706,25880,389,6936,42,8394,251,4260,53,3713,24,2577,19,9.02
2014-2018,13257,19932,1730,9359,1501,2694,136,2859,184,1602,332,1447,521,757,328,10573,229,2769,101,3224,0,1892,65,1659,29,1029,34,8.68
2014-2018,13259,5229,312,3448,297,1674,33,1046,72,332,63,236,75,160,54,1781,15,400,3,527,3,338,3,262,0,254,6,5.97
2014-2018,13261,23279,1479,10757,1286,3841,34,3182,320,1688,218,1310,379,736,335,12522,193,4068,67,3649,48,2013,33,1571,24,1221,21,6.35
2014-2018,13263,5260,540,2474,492,553,15,700,82,572,135,435,166,214,94,2786,48,533,9,839,15,624,18,449,3,341,3,10.27
2014-2018,13265,1423,104,728,97,185,0,260,35,116,7,112,34,55,21,695,7,153,0,186,3,112,4,120,0,124,0,7.31
2014-2018,13267,20060,1876,12104,1724,4691,257,4335,377,1587,440,984,402,507,248,7956,152,1650,1,2938,65,1425,63,1097,5,846,18,9.35
2014-2018,13269,6499,360,3018,328,816,48,1000,78,563,48,371,63,268,91,3481,32,762,13,1130,0,695,0,524,14,370,5,5.54
2014-2018,13271,13372,877,8075,825,2468,60,3255,137,1175,241,749,228,428,159,5297,52,1201,15,1594,37,959,0,773,0,770,0,6.56
2014-2018,13273,6764,507,3160,428,896,12,1008,76,579,84,425,135,252,121,3604,79,873,24,1099,20,687,33,523,0,422,2,7.5
2014-2018,13275,33904,2921,15655,2615,4263,136,5374,675,2801,567,1954,707,1263,530,18249,306,4658,63,5866,155,3265,21,2556,59,1904,8,8.62
2014-2018,13277,30430,1771,14351,1580,4954,40,4808,393,2191,399,1570,301,828,447,16079,191,4942,13,5131,85,2626,56,1874,37,1506,0,5.82
2014-2018,13279,19786,1566,9128,1321,2712,69,3017,384,1533,226,1179,372,687,270,10658,245,3115,157,3334,11,1692,37,1352,29,1165,11,7.91
2014-2018,13281,9931,1150,4617,1092,1176,17,960,132,714,90,967,442,800,411,5314,58,1259,0,989,0,949,37,1152,0,965,21,11.58
