GEOID,NAME,pop,minDist_OTP
2020000701,"Census Tract 7.01, Anchorage Municipality, Alaska",6405,3.207160042
2020001701,"Census Tract 17.01, Anchorage Municipality, Alaska",6479,3.885439529
2020002811,"Census Tract 28.11, Anchorage Municipality, Alaska",6515,4.442217904
2050000100,"Census Tract 1, Bethel Census Area, Alaska",10209,424.812891
2090001700,"Census Tract 17, Fairbanks North Star Borough, Alaska",1202,64.05161666
2122000100,"Census Tract 1, Kenai Peninsula Borough, Alaska",483,121.2437128
2122000400,"Census Tract 4, Kenai Peninsula Borough, Alaska",6583,71.33569722
2122001200,"Census Tract 12, Kenai Peninsula Borough, Alaska",930,131.5948996
2164000100,"Census Tract 1, Lake and Peninsula Borough, Alaska",1375,285.1886156
2180000100,"Census Tract 1, Nome Census Area, Alaska",5840,477.1608941
2188000100,"Census Tract 1, Northwest Arctic Borough, Alaska",4446,371.9293366
2195000200,"Census Tract 2, Petersburg Borough, Alaska",3255,654.6328358
2198000200,"Census Tract 2, Prince of Wales-Hyder Census Area, Alaska",2540,639.1667392
2240000400,"Census Tract 4, Southeast Fairbanks Census Area, Alaska",4644,93.44469567
2282000100,"Census Tract 1, Yakutat City and Borough, Alaska",689,327.216484
2290000100,"Census Tract 1, Yukon-Koyukuk Census Area, Alaska",1111,166.1736511
2290000400,"Census Tract 4, Yukon-Koyukuk Census Area, Alaska",978,253.0493267
2050000200,"Census Tract 2, Bethel Census Area, Alaska",6424,402.1378412
2050000300,"Census Tract 3, Bethel Census Area, Alaska",1407,230.4761436
2090001100,"Census Tract 11, Fairbanks North Star Borough, Alaska",9664,23.19365292
2016000200,"Census Tract 2, Aleutians West Census Area, Alaska",4781,815.3470774
2020000202,"Census Tract 2.02, Anchorage Municipality, Alaska",6353,13.32941092
2020000702,"Census Tract 7.02, Anchorage Municipality, Alaska",5744,3.969254035
2020000802,"Census Tract 8.02, Anchorage Municipality, Alaska",5135,2.552577273
2020001601,"Census Tract 16.01, Anchorage Municipality, Alaska",4058,1.614369593
2020002302,"Census Tract 23.02, Anchorage Municipality, Alaska",5083,2.555311925
2020002603,"Census Tract 26.03, Anchorage Municipality, Alaska",5647,3.932230646
2020002821,"Census Tract 28.21, Anchorage Municipality, Alaska",5041,6.582765704
2020002900,"Census Tract 29, Anchorage Municipality, Alaska",2349,32.34110865
2122000200,"Census Tract 2, Kenai Peninsula Borough, Alaska",5908,39.32353752
2122000300,"Census Tract 3, Kenai Peninsula Borough, Alaska",1194,44.3285488
2122000800,"Census Tract 8, Kenai Peninsula Borough, Alaska",3759,101.8873954
2122001100,"Census Tract 11, Kenai Peninsula Borough, Alaska",3038,103.5976726
2122001300,"Census Tract 13, Kenai Peninsula Borough, Alaska",4402,85.47749119
2158000100,"Census Tract 1, Kusilvak Census Area, Alaska",8198,447.2205487
2170000101,"Census Tract 1.01, Matanuska-Susitna Borough, Alaska",552,70.94444933
2170000102,"Census Tract 1.02, Matanuska-Susitna Borough, Alaska",1851,58.9070464
2170000604,"Census Tract 6.04, Matanuska-Susitna Borough, Alaska",4840,11.37210498
2170000705,"Census Tract 7.05, Matanuska-Susitna Borough, Alaska",4626,3.141966073
2170001300,"Census Tract 13, Matanuska-Susitna Borough, Alaska",6562,14.0992301
2180000200,"Census Tract 2, Nome Census Area, Alaska",4085,521.7202806
2185000300,"Census Tract 3, North Slope Borough, Alaska",2842,364.195341
2290000300,"Census Tract 3, Yukon-Koyukuk Census Area, Alaska",1876,252.5481682
2020000201,"Census Tract 2.01, Anchorage Municipality, Alaska",4780,12.45835654
2020001802,"Census Tract 18.02, Anchorage Municipality, Alaska",5036,2.365893898
2090001900,"Census Tract 19, Fairbanks North Star Borough, Alaska",10918,37.78399457
2220000100,"Census Tract 1, Sitka City and Borough, Alaska",3331,577.8261613
2261000200,"Census Tract 2, Valdez-Cordova Census Area, Alaska",3059,174.8259622
2100000100,"Census Tract 1, Haines Borough, Alaska",2518,503.4219289
2020002602,"Census Tract 26.02, Anchorage Municipality, Alaska",6169,3.139634531
2110000500,"Census Tract 5, Juneau City and Borough, Alaska",3272,575.7289842
2170000502,"Census Tract 5.02, Matanuska-Susitna Borough, Alaska",1818,22.21594561
2198940100,"Census Tract 9401, Prince of Wales-Hyder Census Area, Alaska",1635,577.3799154
2020002303,"Census Tract 23.03, Anchorage Municipality, Alaska",9356,3.434558999
2016000100,"Census Tract 1, Aleutians West Census Area, Alaska",969,1138.814254
2020001801,"Census Tract 18.01, Anchorage Municipality, Alaska",5162,1.753908559
2070000200,"Census Tract 2, Dillingham Census Area, Alaska",2315,335.912193
2110000600,"Census Tract 6, Juneau City and Borough, Alaska",6134,564.2357598
2170000402,"Census Tract 4.02, Matanuska-Susitna Borough, Alaska",2126,20.89179927
2170001001,"Census Tract 10.01, Matanuska-Susitna Borough, Alaska",3824,4.332137211
2185000200,"Census Tract 2, North Slope Borough, Alaska",2503,349.7591469
2013000100,"Census Tract 1, Aleutians East Borough, Alaska",3425,596.4950778
2170000401,"Census Tract 4.01, Matanuska-Susitna Borough, Alaska",2172,13.67024917
2170000703,"Census Tract 7.03, Matanuska-Susitna Borough, Alaska",3750,6.595740432
2170000900,"Census Tract 9, Matanuska-Susitna Borough, Alaska",3161,2.474983976
2198000300,"Census Tract 3, Prince of Wales-Hyder Census Area, Alaska",15,587.0975432
2220000200,"Census Tract 2, Sitka City and Borough, Alaska",5407,584.5226584
2261000100,"Census Tract 1, Valdez-Cordova Census Area, Alaska",1929,179.5447512
2261000300,"Census Tract 3, Valdez-Cordova Census Area, Alaska",4313,84.53040902
2290000200,"Census Tract 2, Yukon-Koyukuk Census Area, Alaska",1450,121.2052061
2090001400,"Census Tract 14, Fairbanks North Star Borough, Alaska",6870,8.117724966
2105000300,"Census Tract 3, Hoonah-Angoon Census Area, Alaska",2085,527.2901188
2110000200,"Census Tract 2, Juneau City and Borough, Alaska",7146,555.9282468
2122000900,"Census Tract 9, Kenai Peninsula Borough, Alaska",2437,118.2311572
2170001004,"Census Tract 10.04, Matanuska-Susitna Borough, Alaska",5560,2.352417084
2020000101,"Census Tract 1.01, Anchorage Municipality, Alaska",5709,28.44652278
2020000400,"Census Tract 4, Anchorage Municipality, Alaska",5064,3.878407005
2020000703,"Census Tract 7.03, Anchorage Municipality, Alaska",5621,4.674211231
2020001000,"Census Tract 10, Anchorage Municipality, Alaska",3745,0.595182066
2020001500,"Census Tract 15, Anchorage Municipality, Alaska",5388,1.141647453
2020001731,"Census Tract 17.31, Anchorage Municipality, Alaska",6662,4.442565059
2020002000,"Census Tract 20, Anchorage Municipality, Alaska",3364,0.669718252
2020002202,"Census Tract 22.02, Anchorage Municipality, Alaska",3004,1.703797089
2020002813,"Census Tract 28.13, Anchorage Municipality, Alaska",4711,9.537925305
