<<<<<<< Updated upstream
G_ZCTA,ZCTA,pop,minDist_OTP
G36083,36083,7542,30.41
G35441,35441,1089,23.46
G35051,35051,9000,9.67
G35121,35121,15426,25.1
G35058,35058,9234,8.06
G35619,35619,4428,19.92
G35016,35016,16112,22.82
G36115,36115,964,3.67
G36353,36353,1720,19.76
G36728,36728,287,68.56
G35229,35229,1219,3.72
G36027,36027,15496,39.61
G35470,35470,4676,37.25
G86544,86544,1175,52.67
G35173,35173,27371,6.15
G35098,35098,1068,10.92
G71653,71653,4506,75.93
G81524,81524,1817,19.86
G93308,93308,53702,11.18
G20012,20012,16351,2.56
G83811,83811,1255,58.42
G04554,04554,911,24.53
G60034,60034,2077,13.03
G21529,21529,457,2.44
G02671,02671,877,5.26
G04019,04019,23,11.64
G49854,49854,6194,109.17
G56127,56127,426,99.25
G04766,04766,395,126.01
G39150,39150,5730,54.64
G59870,59870,10121,22.96
G59014,59014,1733,40.16
G02461,02461,7404,3.27
G88045,88045,3450,62.69
G85264,85264,1388,17.48
G86334,86334,4351,27.92
G85501,85501,13020,51.88
G85638,85638,1871,17.25
G85726,85726,0,1.68
G72756,72756,41494,16.25
G72950,72950,335,55.54
G71846,71846,2810,36.12
G93592,93592,77,97.48
G93060,93060,34181,3.93
G93960,93960,26610,25.29
G93235,93235,4198,6.49
G93622,93622,10395,34.89
G90018,90018,53256,2.12
G96057,96057,1299,53.52
G93666,93666,952,16.29
G94952,94952,36184,15.83
G94127,94127,21423,2.48
G96034,96034,236,61.94
G93620,93620,8889,20.89
G49934,49934,882,162.91
G28428,28428,6533,10.87
G39465,39465,21187,66.43
G65747,65747,3785,41.94
G64112,64112,8352,1.7
G39144,39144,786,52.29
G03076,03076,13596,7.46
G97368,97368,3506,42.63
G15316,15316,109,17.26
G19137,19137,8482,1.14
G29440,29440,27897,32.92
G69341,69341,10614,106.81
G11550,11550,57652,3.88
G78404,78404,18376,2.01
G84753,84753,12,64.37
G05450,05450,5136,16.36
G24171,24171,8524,34.08
G23092,23092,690,18.17
G24622,24622,878,11.3
G44123,44123,16515,6.21
G98382,98382,28326,17.63
G73505,73505,48713,4.12
G25425,25425,13600,15.32
G97630,97630,5123,125.24
G82225,82225,2008,172.16
G35079,35079,9267,10.43
G08073,08073,203,4.12
G87506,87506,13209,10.94
G88301,88301,1185,78.75
G87558,87558,439,59.14
G88042,88042,198,60.12
G88055,88055,39,56.71
G10171,10171,0,1.04
G10110,10110,0,0.59
G12758,12758,3908,36.91
G10282,10282,5593,0.75
G14212,14212,10695,2.53
G11956,11956,212,10.57
G14788,14788,73,15.94
G10040,10040,44571,0.78
G11501,11501,19393,3.8
G14035,14035,77,21.47
G13617,13617,11034,56.09
G13316,13316,6179,19.54
G34287,34287,27532,20.48
G33413,33413,17473,3.32
G32421,32421,5256,37.47
G30417,30417,10777,20.52
G30816,30816,2024,16.55
G30332,30332,3115,4.22
G30705,30705,33460,3.51
G31631,31631,415,37.46
G31038,31038,566,18.69
G30464,30464,83,18.18
G31018,31018,2674,34.91
G30428,30428,2783,18.35
G83553,83553,1154,95.43
G61414,61414,937,32.6
G13102,13102,32,13.29
G27893,27893,39372,5.72
G27295,27295,38511,3.64
G28504,28504,21852,21.58
G28787,28787,21314,4.37
G27825,27825,41,19.86
G28611,28611,1162,13.38
G28089,28089,217,10.32
G58205,58205,338,79.02
G43084,43084,766,21.63
G44493,44493,29,19.24
G44233,44233,7927,12.04
G43203,43203,8368,1.45
G44671,44671,290,11.52
G43330,43330,119,21.28
G01236,01236,1140,2.11
G01003,01003,11238,7.5
G49861,49861,526,131.58
G48625,48625,13005,30.49
G48233,48233,0,1.99
G48091,48091,30031,2.18
G49948,49948,530,125.11
G55029,55029,84,36.77
G56467,56467,2561,54.13
G56639,56639,436,101.97
G56671,56671,3294,101.07
G56001,56001,48214,58.35
G56313,56313,92,34.33
G39140,39140,2368,41.01
G39759,39759,44145,67.2
G38920,38920,549,75.67
G39170,39170,10513,19.19
G39069,39069,5672,69.5
G38945,38945,46,85.06
G39332,39332,1509,18.1
G64093,64093,28045,26.5
G90301,90301,37291,0.6
G95545,95545,101,36.94
G80023,80023,21368,8.57
G81227,81227,6,79.98
G80515,80515,1069,19.55
G06412,06412,4268,12.73
G06481,06481,1214,4.4
G19716,19716,1159,2.71
G34488,34488,10499,12.11
G34202,34202,23739,10.9
G62982,62982,960,31.13
G47708,47708,329,0.79
G51243,51243,826,43.45
G30660,30660,1204,28.45
G41073,41073,5792,1.95
G70357,70357,2487,43.47
G71254,71254,6505,52.36
G42464,42464,1496,24.99
G41083,41083,1270,28.4
G40444,40444,14412,17.51
G41035,41035,11602,15.17
G40057,40057,3579,16.58
G41612,41612,160,13.03
G40025,40025,48,4.66
G40313,40313,3316,40.32
G41725,41725,241,11.19
G40144,40144,1446,26.41
G71360,71360,37527,7.28
G71268,71268,2433,39.66
G70575,70575,111,28.36
G71479,71479,684,37.4
G04039,04039,7562,14.23
G04622,04622,1101,37.62
G04354,04354,1462,15.81
G04975,04975,0,7.23
G04920,04920,1681,42.32
G20899,20899,260,3.52
G21717,21717,77,3.97
G64125,64125,1389,4.41
G63653,63653,1310,57.56
G64066,64066,38,23.25
G65556,65556,6247,64.87
G65623,65623,21,39.35
G65612,65612,1041,12.18
G59456,59456,413,136.67
G59054,59054,250,72.95
G59735,59735,255,34.38
G59834,59834,2718,18.47
G68137,68137,25984,1.62
G69333,69333,293,182.85
G68841,68841,482,78.68
G68304,68304,360,14.57
G03280,03280,1164,26.65
G03753,03753,2874,11.59
G07621,07621,27372,4.01
G08740,08740,1733,1.64
G16244,16244,284,19.75
G15422,15422,189,8.5
G18444,18444,13615,7.74
G17576,17576,271,6.63
G15049,15049,848,8.06
G19102,19102,4937,0.39
G18617,18617,1897,9.49
G29108,29108,20890,21.92
G29030,29030,1928,30.03
G29483,29483,81942,15.76
G29591,29591,5350,15.71
G29117,29117,1056,33.83
G29368,29368,96,8.94
G57422,57422,249,112.4
G57054,57054,495,47.15
G37066,37066,50328,19.51
G38301,38301,33168,5.77
G37174,37174,34873,12.38
G60129,60129,260,16.65
G61839,61839,610,18.3
G61049,61049,560,15.11
G60144,60144,69,11.12
G60302,60302,32048,2.14
G60472,60472,4870,3.46
G47421,47421,27370,20.86
G47916,47916,62,32.58
G47860,47860,384,18.37
G46961,46961,121,30
G47281,47281,1199,35.62
G50230,50230,1050,41.5
G50227,50227,22,61.84
G50551,50551,94,79.95
G50105,50105,955,27.65
G52033,52033,3172,30.11
G50559,50559,287,110.15
G51230,51230,331,25.47
G67747,67747,238,107.8
G66621,66621,689,2.08
G67457,67457,836,59.8
G40372,40372,2090,16.87
G99109,99109,5234,44.49
G99166,99166,3058,84.19
G98304,98304,634,39.17
G98830,98830,581,99.17
G26405,26405,1330,25.18
G26554,26554,42011,12.42
G25271,25271,9630,29.1
G98638,98638,1296,29.68
G24844,24844,1193,28.92
G24845,24845,285,28.57
G24736,24736,493,26.19
G26250,26250,5274,27.27
G54521,54521,7782,69.36
G24847,24847,286,22.41
G54985,54985,415,5.32
G83116,83116,672,65.86
G26151,26151,781,31.85
G98305,98305,310,46.59
G24656,24656,2812,20.69
G19731,19731,300,9.25
G46376,46376,263,17.39
G54896,54896,1406,76.36
G33404,33404,28717,0.73
G35548,35548,1704,13.98
G36775,36775,839,47.53
G71651,71651,97,58.81
G53504,53504,1982,33.46
G03101,03101,2701,0.17
G21802,21802,89,1.37
G02141,02141,14052,1.15
G66019,66019,380,11.71
G61315,61315,213,27.42
G46987,46987,978,4.03
G48083,48083,22981,1.59
G04490,04490,266,32.71
G06059,06059,0,12.01
G80290,80290,0,0.58
G99124,99124,315,75.08
G05747,05747,323,19.61
G76483,76483,1065,56.84
G88134,88134,57,71.41
G07702,07702,4088,4.28
G17083,17083,51,4.37
G84629,84629,2638,31.65
G19103,19103,24219,0.72
G15015,15015,1201,4.34
G17250,17250,95,12.27
G43970,43970,80,19.27
G43529,43529,328,28.45
G12307,12307,6115,0.55
G36522,36522,7685,29.94
G30165,30165,41961,8.74
G85922,85922,37,57.21
G85620,85620,639,24.47
G84531,84531,913,97.01
G96120,96120,1044,29.34
G82063,82063,214,54.12
G93643,93643,2960,35.09
G96080,96080,28487,27.79
G95458,95458,3019,47.85
G74578,74578,6138,22.79
G97624,97624,3459,64.21
G97343,97343,203,42.95
G97148,97148,3735,23.54
G16616,16616,122,19.5
G97123,97123,48770,10
G97424,97424,17854,21.1
G17756,17756,12242,11.63
G97758,97758,99,85.16
G97494,97494,36,8.45
G19442,19442,0,9.03
G17887,17887,232,1.08
G15078,15078,465,12.68
G15737,15737,64,19.94
G15546,15546,310,13.82
G18428,18428,11996,22.98
G18814,18814,210,20.53
G17041,17041,248,9.51
G85019,85019,26659,1.15
G71665,71665,5856,52.7
G71671,71671,8501,74.37
G71998,71998,384,46.67
G72476,72476,6607,19.7
G71837,71837,5312,15.78
G71763,71763,1604,51.83
G71858,71858,2285,45.79
G93254,93254,858,35.33
G20520,20520,0,0.17
G20427,20427,0,0.35
G32714,32714,37223,3.25
G32134,32134,7376,22.46
G33498,33498,14404,6.62
G31021,31021,28391,3.68
G30521,30521,5042,14.09
G31804,31804,5865,10.57
G30252,30252,46286,5.04
G39842,39842,8021,16.75
G30474,30474,16665,1.9
G95835,95835,40101,4.26
G93203,93203,22744,18.81
G95364,95364,0,52.22
G91203,91203,15000,1.27
G95363,95363,26900,18.04
G93665,93665,875,25.49
G90071,90071,0,0.9
G95724,95724,20,30.53
G80302,80302,29109,8.34
G80746,80746,64,119.18
G81223,81223,1439,52.82
G81243,81243,101,79.96
G80218,80218,19129,0.94
G19977,19977,25568,3.48
G20202,20202,0,1.56
G34681,34681,775,12.79
G32097,32097,18518,6.92
G30513,30513,11753,12.93
G31318,31318,432,13.87
G31780,31780,2100,30.34
G30326,30326,6030,4.46
G30293,30293,2948,22.7
G83244,83244,328,158.48
G83544,83544,6079,98.61
G83218,83218,327,109.78
G83467,83467,5978,126.97
G62089,62089,501,35.66
G61243,61243,248,46.2
G62987,62987,1424,17.35
G60171,60171,10148,1.78
G60643,60643,49870,1.04
G62865,62865,1977,18.49
G61936,61936,290,12.23
G61039,61039,1012,23.08
G47457,47457,170,23.98
G47337,47337,177,29.26
G46183,46183,15,5.74
G46068,46068,2811,25.7
G47836,47836,0,17.75
G47683,47683,180,23.48
G47969,47969,152,22.69
G52060,52060,8402,25.29
G51244,51244,78,46.39
G50603,50603,581,59.66
G52647,52647,210,54.78
G51036,51036,1018,49.39
G66216,66216,24727,7.32
G66728,66728,29,13.53
G67520,67520,290,117.08
G40380,40380,7291,27.01
G42431,42431,26055,34.55
G41260,41260,889,2.69
G40404,40404,853,0.72
G42210,42210,4218,16.71
G42411,42411,1783,38.47
G40049,40049,112,27.42
G70549,70549,3591,25.08
G70582,70582,19546,11.74
G95441,95441,2053,20.99
G94574,94574,8677,18.49
G90621,90621,35398,3.14
G95485,95485,2688,53.51
G93664,93664,408,37.41
G37338,37338,3547,25.35
G37374,37374,2403,19.58
G76597,76597,2817,33.05
G37132,37132,2387,26.14
G37246,37246,0,1.14
G75752,75752,7222,29.62
G78076,78076,13184,46.64
G79781,79781,266,93.3
G78653,78653,22804,10.01
G77880,77880,1197,21.74
G75779,75779,135,15.39
G78014,78014,5631,59.69
G76305,76305,4352,8.66
G75652,75652,16946,22.95
G77575,77575,16640,32.97
G76801,76801,25319,62.52
G78058,78058,1121,76.65
G76877,76877,4332,71.89
G78881,78881,2122,54.34
G75844,75844,6001,33.14
G77954,77954,11939,26.5
G78620,78620,16882,20
G79731,79731,4792,30.21
G76148,76148,23586,3.72
G75929,75929,1682,33.92
G75831,75831,5494,56.72
G79081,79081,4001,79.65
G76676,76676,297,25.11
G24153,24153,38125,7.06
G84648,84648,6111,39.52
G84751,84751,1991,100.68
G05056,05056,418,13.78
G05079,05079,681,21.07
G05405,05405,4327,1.36
G22514,22514,2243,23.81
G24483,24483,579,24.78
G24013,24013,8473,4.13
G22845,22845,9,26.59
G17885,17885,214,26.55
G98045,98045,14795,28
G99203,99203,20943,2.64
G26562,26562,510,25.92
G26763,26763,1676,14.54
G15027,15027,2221,3.22
G54143,54143,15006,43.34
G97838,97838,26057,26.5
G36766,36766,18,58.82
G35650,35650,13992,29.67
G36784,36784,7370,60.42
G35579,35579,3513,17.21
G36268,36268,5814,10.25
G86520,86520,1689,105.26
G86326,86326,25015,19.11
G85924,85924,2696,31.41
G29670,29670,9297,7.16
G57346,57346,62,146.79
G37324,37324,5683,28.49
G57236,57236,138,107.35
G37377,37377,15691,13.07
G37315,37315,1566,9.93
G37725,37725,17572,10.22
G38029,38029,0,5.42
G38047,38047,85,7.44
G37770,37770,2675,42.2
G70772,70772,843,25.09
G70128,70128,19500,10.32
G70648,70648,8864,27.83
G04450,04450,1214,10.49
G04472,04472,2115,16.02
G33432,33432,19578,1.75
