"","NAME","FIPS","year","totPopE","whiteP","blackP","hispanicP","und18P","age35_49P","age50_64P","ovr65P","VetPercent","noHSP","disbP"
"2038","Towner County, North Dakota","38095",2000,2876,97.25,0.07,0.17,24.62,23.96,16.97,23.3,9.91,18.08,23.26
"2039","Traill County, North Dakota","38097",2000,8477,96.38,0.11,2.18,24.82,21.95,14.56,19.15,10.53,16.26,24.25
"2040","Walsh County, North Dakota","38099",2000,12389,92.31,0.19,5.65,24.95,23.24,16.39,19.29,10.84,23.39,36.24
"2041","Ward County, North Dakota","38101",2000,58795,91.48,2.15,1.91,26.23,21.61,12.6,12.49,10.47,12.64,25.22
"2042","Wells County, North Dakota","38103",2000,5102,98.86,0.14,0.29,22.52,22.13,17.31,25.99,10.04,27.43,31.97
"2043","Williams County, North Dakota","38105",2000,19761,92.33,0.09,0.94,26.17,24.65,15.5,16.5,10.46,17.47,30.32
"2044","Adams County, Ohio","39001",2000,27330,97.34,0.17,0.64,26.35,22.13,16.39,13.33,9.87,31.36,49.32
"2045","Allen County, Ohio","39003",2000,108473,84.22,12.1,1.42,25.9,22.67,15.09,14.17,10.47,17.5,29.19
"2046","Ashland County, Ohio","39005",2000,52523,97.14,0.8,0.65,25.74,21.99,15.73,13.94,9.35,16.66,25.53
"2047","Ashtabula County, Ohio","39007",2000,102728,92.95,3.08,2.23,26.15,23.17,16.04,14.65,10.98,20.09,34.88
"2048","Athens County, Ohio","39009",2000,62223,92.84,2.36,1.03,18.34,17.44,12.2,9.31,8.15,17.06,28.96
"2049","Auglaize County, Ohio","39011",2000,46611,97.73,0.23,0.67,27.62,23.43,14.42,14.36,10.16,14.33,25.31
"2050","Belmont County, Ohio","39013",2000,70226,94.71,3.63,0.39,21.76,23.47,16.95,18.17,11.75,19.14,39.41
"2051","Brown County, Ohio","39015",2000,42285,97.77,0.9,0.44,27.59,23.54,15.48,11.62,9.93,25.21,35.96
"2052","Butler County, Ohio","39017",2000,332807,90.47,5.23,1.43,25.93,23.65,14.43,10.68,9.55,16.75,27.26
"2053","Carroll County, Ohio","39019",2000,28836,97.77,0.53,0.55,25.15,23.79,17.83,14.16,11.06,19.91,34.11
"2054","Champaign County, Ohio","39021",2000,38890,95.34,2.29,0.69,26.17,22.84,17.52,12.62,9.8,17.68,31.88
"2055","Clark County, Ohio","39023",2000,144742,87.57,8.89,1.17,25.12,21.89,17,14.69,12.25,18.76,35.39
"2056","Clermont County, Ohio","39025",2000,177977,96.56,0.9,0.87,27.92,25.26,14.97,9.41,9.68,17.95,27.82
"2057","Clinton County, Ohio","39027",2000,40543,95.58,2.17,0.66,26.4,23.34,14.94,12.16,10.48,16.87,30.3
"2058","Columbiana County, Ohio","39029",2000,112075,95.51,2.16,1.17,24.33,23.86,16.28,15.03,11.32,19.43,33.92
"2059","Coshocton County, Ohio","39031",2000,36655,97,1.08,0.59,26.24,22.69,16.73,14.66,10.72,21.3,34.01
"2060","Crawford County, Ohio","39033",2000,46966,97.49,0.59,0.77,24.94,22.42,16.94,15.2,10.87,19.81,32.73
"2061","Cuyahoga County, Ohio","39035",2000,1393978,65.9,27.22,3.38,24.96,22.99,14.95,15.58,9.4,18.37,33.02
"2062","Darke County, Ohio","39037",2000,53309,97.63,0.38,0.86,26.29,22.25,16.12,15.25,9.85,17.16,32.87
"2063","Defiance County, Ohio","39039",2000,39500,89.8,1.66,7.23,26.54,23.05,16.07,12.91,9.91,15.32,27.85
"2064","Delaware County, Ohio","39041",2000,109989,93.59,2.49,1.01,28.24,27.38,14.94,8.19,8.76,7.15,18.23
"2065","Erie County, Ohio","39043",2000,79551,87.38,8.57,2.09,24.72,23.44,17.68,15.57,12.3,16.04,28.55
"2066","Fairfield County, Ohio","39045",2000,122759,94.66,2.64,0.81,26.78,24.62,16.16,11.14,11.02,12.4,25.08
"2067","Fayette County, Ohio","39047",2000,28433,95.04,2,1.24,25.35,22.69,16.54,14.41,10.27,21.27,33.08
"2068","Franklin County, Ohio","39049",2000,1068978,74.43,17.74,2.27,25.1,23.06,13.22,9.76,8.87,14.26,27.78
"2069","Fulton County, Ohio","39051",2000,42084,92.7,0.22,5.76,28.26,24.07,14.83,12.72,8.45,14.75,27.26
"2070","Gallia County, Ohio","39053",2000,31069,94.81,2.68,0.61,25.01,23.02,16.92,13.55,9.87,26.26,45.94
"2071","Geauga County, Ohio","39055",2000,90895,96.99,1.21,0.59,28.37,25.16,18.23,11.97,9.07,13.68,21.41
"2072","Greene County, Ohio","39057",2000,147886,88.49,6.31,1.23,23.91,22.88,16.16,11.83,11.93,12.15,24.61
"2073","Guernsey County, Ohio","39059",2000,40792,95.87,1.52,0.62,26.17,22.64,16.7,14.45,11.09,21.56,37.65
"2074","Hamilton County, Ohio","39061",2000,845303,72.37,23.33,1.13,25.81,22.95,14.27,13.47,9.16,17.25,29.66
"2075","Hancock County, Ohio","39063",2000,71295,93.6,1.06,3.07,25.72,22.93,15.34,13.22,9.88,11.57,23.17
"2076","Hardin County, Ohio","39065",2000,31945,97.07,0.69,0.78,24.32,20.31,14.73,12.91,8.65,19.45,33.36
"2077","Harrison County, Ohio","39067",2000,15856,96.27,2.18,0.37,23,23.57,17.79,17.68,12.44,20.42,35.97
"2078","Henry County, Ohio","39069",2000,29210,92.95,0.57,5.4,27.56,23.12,14.94,14.01,9.66,16.48,26.31
"2079","Highland County, Ohio","39071",2000,40875,96.57,1.48,0.53,26.98,21.54,16.19,13.82,10.23,23.65,41.34
"2080","Hocking County, Ohio","39073",2000,28241,97.16,0.91,0.44,25.46,23.3,17.69,13.13,11.73,22,38.11
"2081","Holmes County, Ohio","39075",2000,38943,98.43,0.31,0.75,35.58,18.63,12.14,10.51,4.84,48.46,23.91
"2082","Huron County, Ohio","39077",2000,59487,94.23,0.94,3.56,28.28,22.63,14.87,12.36,9.85,18.96,28.75
"2083","Jackson County, Ohio","39079",2000,32641,97.52,0.59,0.6,25.98,22.56,15.74,13.6,11.11,26.51,45.66
"2084","Jefferson County, Ohio","39081",2000,73894,92.09,5.67,0.62,21.41,22.65,17.89,18.61,12.73,18.35,36.11
"2085","Knox County, Ohio","39083",2000,54500,97.23,0.66,0.68,24.79,22.41,15.83,13.79,10.09,18.2,32.07
"2086","Lake County, Ohio","39085",2000,227511,94.45,1.95,1.7,24.19,24.68,16.9,14.08,10.87,13.59,25.83
"2087","Lawrence County, Ohio","39087",2000,62319,96.14,2.08,0.57,24.5,22,17.39,14.39,11.05,24.36,49.74
"2088","Licking County, Ohio","39089",2000,145491,95.19,2.04,0.76,26,24.09,16.58,11.89,11.36,15.34,28.76
"2089","Logan County, Ohio","39091",2000,46005,95.74,1.69,0.72,26.68,23.04,15.89,13.9,10.89,16.35,30.06
"2090","Lorain County, Ohio","39093",2000,284664,82.41,8.21,6.91,26.19,24.12,15.7,12.5,10.94,17.19,28.25
"2091","Lucas County, Ohio","39095",2000,455054,75.41,16.81,4.54,26.26,22.48,14.5,13.06,9.42,17.08,33.88
"2092","Madison County, Ohio","39097",2000,40213,91.37,6.23,0.73,24.68,25.36,15.22,10.9,11.14,20.97,30.44
"2093","Mahoning County, Ohio","39099",2000,257555,79.58,15.64,2.97,23.74,22.69,15.94,17.76,11.43,17.56,34.57
"2094","Marion County, Ohio","39101",2000,66217,91.49,5.71,1.09,24.45,24.11,15.98,13.38,10.99,19.68,34.27
"2095","Medina County, Ohio","39103",2000,151095,96.6,0.86,0.93,27.49,25.89,16.42,10.53,9.54,11.2,22
"2096","Meigs County, Ohio","39105",2000,23072,97.35,0.69,0.6,23.92,23.11,17.35,14.76,11.83,26.8,46.94
"2097","Mercer County, Ohio","39107",2000,40924,97.78,0.1,1.15,29.61,22.54,13.94,14.5,8.71,16.05,24.77
"2098","Miami County, Ohio","39109",2000,98868,95.34,1.95,0.73,25.93,23.43,17.31,13.25,10.5,17.33,27.64
"2099","Monroe County, Ohio","39111",2000,15180,98.45,0.25,0.41,23.59,22.25,19.59,16.25,13.21,21.21,38.24
"2100","Montgomery County, Ohio","39113",2000,559062,75.87,19.76,1.27,24.68,22.63,15.7,13.72,11.25,16.51,32.61
"2101","Morgan County, Ohio","39115",2000,14897,93.36,3.38,0.41,25.29,22.08,17.97,15.62,10.78,19.4,39.35
"2102","Morrow County, Ohio","39117",2000,31628,97.96,0.27,0.58,27.32,24.27,16.54,11.46,10.52,21.41,32.25
"2103","Muskingum County, Ohio","39119",2000,84585,93.54,3.98,0.52,25.93,22.22,15.64,14.3,10.05,19.44,33.16
"2104","Noble County, Ohio","39121",2000,14058,92.18,6.67,0.43,22.62,23.62,14.11,13.06,10.57,21.43,31.18
"2105","Ottawa County, Ohio","39123",2000,40985,94.59,0.63,3.75,23.28,24.09,18.75,16.37,11.72,15.85,31.02
"2106","Paulding County, Ohio","39125",2000,20293,94.75,0.93,3.02,26.79,23.31,16.43,12.59,10.04,18.39,30.85
"2107","Perry County, Ohio","39127",2000,34078,98.22,0.21,0.45,28.12,22.79,15.26,12.01,9.82,21.11,36.28
"2108","Pickaway County, Ohio","39129",2000,52727,91.51,6.42,0.63,24.25,25.07,15.97,10.82,11.53,22.78,27.61
"2109","Pike County, Ohio","39131",2000,27695,96.28,0.87,0.56,27.16,21.91,15,13.56,10.76,29.88,43.64
"2110","Portage County, Ohio","39133",2000,152061,93.93,3.16,0.72,23.75,23.17,15.04,10.97,9.51,14.08,24.94
"2111","Preble County, Ohio","39135",2000,42337,98.2,0.32,0.43,26.05,23.86,16.9,13.16,10.59,18.35,31.79
"2112","Putnam County, Ohio","39137",2000,34726,94.79,0.13,4.38,29.71,23.24,13.51,13.31,7.41,13.89,23.07
"2113","Richland County, Ohio","39139",2000,128852,87.63,9.38,0.93,24.84,23.2,16.55,14.16,11.3,19.85,30.48
"2114","Ross County, Ohio","39141",2000,73345,91.34,6.18,0.58,23.99,24.81,16.07,12.17,11.9,23.86,34.03
"2115","Sandusky County, Ohio","39143",2000,61792,89.03,2.62,6.96,26.17,23.33,15.6,14.47,9.79,17.88,30.76
"2116","Scioto County, Ohio","39145",2000,79195,94.52,2.71,0.6,24.43,21.56,15.93,14.93,10.95,25.89,48.32
"2117","Seneca County, Ohio","39147",2000,58683,93.42,1.73,3.36,25.96,23.07,14.81,14.06,10.11,16.92,28.84
"2118","Shelby County, Ohio","39149",2000,47910,95.53,1.48,0.8,28.57,23,14.54,12.21,9.3,18.52,27.86
"2119","Stark County, Ohio","39151",2000,378098,89.66,7.15,0.92,24.84,23.22,16.37,15.09,10.68,16.57,28.78
"2120","Summit County, Ohio","39153",2000,542899,83,13.12,0.88,25.05,23.83,15.46,14.1,10.2,14.3,29.32
"2121","Trumbull County, Ohio","39155",2000,225116,89.71,7.83,0.8,24.35,22.74,17.24,15.74,12.08,17.51,32.2
"2122","Tuscarawas County, Ohio","39157",2000,90914,97.43,0.72,0.71,25.4,23.16,16.07,14.96,10.47,19.67,30.29
"2123","Union County, Ohio","39159",2000,40909,94.83,2.78,0.76,27.61,25.65,13.87,9.63,9.42,13.96,24.54
"2124","Van Wert County, Ohio","39161",2000,29659,96.72,0.75,1.56,26.03,22.68,15.6,15.48,10.42,13.37,26.57
"2125","Vinton County, Ohio","39163",2000,12806,97.75,0.35,0.47,26.91,22.75,15.9,12.11,10.16,29.3,43.38
"2126","Warren County, Ohio","39165",2000,158383,93.98,2.7,1.03,27.73,26.68,14.36,9.38,9.49,13.82,21.99
"2127","Washington County, Ohio","39167",2000,63251,96.95,0.92,0.51,23.54,23.59,17.37,14.96,11.89,15.51,32.85
"2128","Wayne County, Ohio","39169",2000,111564,96.04,1.54,0.75,27.45,23,15.37,12.21,8.84,19.95,26.95
"2129","Williams County, Ohio","39171",2000,39188,95.28,0.71,2.68,26.19,23.49,15.47,13.88,9.97,16.94,27.13
"2130","Wood County, Ohio","39173",2000,121065,93.27,1.23,3.33,23.69,22.03,14.1,11.01,8.64,11.39,21.94
"2131","Wyandot County, Ohio","39175",2000,22908,97.3,0.14,1.46,25.84,22.5,15.52,15.44,9.11,17.53,27.21
"2132","Adair County, Oklahoma","40001",2000,21038,47.7,0.16,3.12,30.27,20.37,15.13,12.05,8.04,33.34,44.55
