"","NAME","FIPS","year","totPopE","whiteP","blackP","hispanicP","und18P","age35_49P","age50_64P","ovr65P","VetPercent","noHSP","disbP"
"1","Autauga County, Alabama","01001",2000,43671,79.74,17.01,1.4,28.61,24.49,15.57,10.19,11.97,21.28,36.93
"2","Baldwin County, Alabama","01003",2000,140415,86.08,10.22,1.76,24.44,22.89,17.62,15.46,13.41,17.98,36.21
"3","Barbour County, Alabama","01005",2000,29038,50.93,46.04,1.65,25.43,22.35,15.61,13.34,9.57,35.35,44.33
"4","Bibb County, Alabama","01007",2000,20826,76.2,22.01,1.01,25.38,22.04,15.91,11.59,7.7,36.81,45.64
"5","Blount County, Alabama","01009",2000,51024,92.11,1.17,5.33,25.38,22.19,17.13,12.85,9.18,29.55,43.51
"6","Bullock County, Alabama","01011",2000,11714,23.6,72.44,2.75,26.11,22.47,14.3,13.17,8.85,39.52,42.56
"7","Butler County, Alabama","01013",2000,21399,58.08,40.52,0.67,26.89,21.44,15.81,16.38,9.79,32.24,53.14
"8","Calhoun County, Alabama","01015",2000,112249,78.04,18.46,1.56,23.57,22.4,16.64,14.14,12.45,26.1,44.92
"9","Chambers County, Alabama","01017",2000,36583,60.44,37.92,0.77,24.65,20.91,16.61,16.2,10.13,35.83,47.41
"10","Cherokee County, Alabama","01019",2000,23988,92.4,5.53,0.85,22.18,21.44,19.71,15.92,10.04,36.48,45.58
"11","Chilton County, Alabama","01021",2000,39593,85.61,10.43,2.91,25.67,22,16.52,12.87,9.31,33.81,44.05
"12","Choctaw County, Alabama","01023",2000,15922,54.79,43.87,0.67,26.05,21.18,18.28,14.65,7.61,35.05,54
"13","Clarke County, Alabama","01025",2000,27867,55.69,42.77,0.65,28.03,21.35,15.96,13.51,8.08,29.18,44.51
"14","Clay County, Alabama","01027",2000,14254,81.49,15.57,1.77,23.83,21.26,17.6,16.55,9.83,34.01,46.42
"15","Cleburne County, Alabama","01029",2000,14123,93.71,3.69,1.4,24.32,22.15,18.03,13.69,8.53,37.09,45.57
"16","Coffee County, Alabama","01031",2000,43615,75.6,18.23,2.71,24.78,22.18,17.03,14.15,13.53,26.85,40.63
"17","Colbert County, Alabama","01033",2000,54984,80.88,16.54,1.12,23.78,22.14,17.82,15.45,10.32,26.67,45.33
"18","Conecuh County, Alabama","01035",2000,14089,55.08,43.23,0.72,25.89,21.14,17.21,15.78,10.08,32.33,50.82
"19","Coosa County, Alabama","01037",2000,12202,63.45,33.99,1.29,23.69,22.83,16.96,14.43,10.11,34.29,55.53
"20","Covington County, Alabama","01039",2000,37631,85.69,12.27,0.78,23.54,21.35,17.5,17.91,11.07,31.57,51.73
"21","Crenshaw County, Alabama","01041",2000,13665,73.49,24.65,0.64,24.68,21.35,17.04,17.11,9.08,39.92,53.96
"22","Cullman County, Alabama","01043",2000,77483,95.43,0.94,2.18,24.25,21.94,17.06,14.64,10.17,29.59,41.81
"23","Dale County, Alabama","01045",2000,49129,72.81,20.16,3.34,26.56,21.85,15.25,11.82,14.77,22.22,38.29
"24","Dallas County, Alabama","01047",2000,46365,35.41,62.98,0.63,28.58,21.38,15.12,13.86,8.01,29.66,47.86
"25","DeKalb County, Alabama","01049",2000,64452,90.67,1.65,5.55,24.67,21.68,16.54,13.78,8.25,36.19,46.3
"26","Elmore County, Alabama","01051",2000,65874,76.47,20.5,1.22,25.69,24.32,15.42,10.73,12.01,22.42,32.45
"27","Escambia County, Alabama","01053",2000,38440,63.93,30.69,0.99,24.12,22.5,16.61,13.62,9.97,31.48,45.21
"28","Etowah County, Alabama","01055",2000,103459,82.08,14.61,1.7,23.83,21.47,16.98,16.01,10.76,25.94,45.86
"29","Fayette County, Alabama","01057",2000,18495,86.48,11.89,0.82,23.92,21.44,18.05,16.09,9.02,33.91,47.51
"30","Franklin County, Alabama","01059",2000,31223,87.33,4.19,7.42,24.49,21.05,16.64,14.85,7.61,37.89,50.12
"31","Geneva County, Alabama","01061",2000,25764,86.09,10.58,1.76,24,21.53,18.31,16.31,10.85,34.38,51.18
"32","Greene County, Alabama","01063",2000,9974,19.03,79.85,0.58,29.19,21.99,14.5,14.74,6.85,35.17,50.23
"33","Hale County, Alabama","01065",2000,17185,39.59,58.62,0.91,29.6,21.4,14.37,13.48,6.66,34.77,50.01
"34","Henry County, Alabama","01067",2000,16310,65.28,32.17,1.53,24.06,21.07,17.92,16.36,11.34,33.32,49.71
"35","Houston County, Alabama","01069",2000,88787,72.43,24.44,1.26,25.89,22.83,16.18,13.7,10.73,23.47,37.69
"36","Jackson County, Alabama","01071",2000,53926,91.24,3.71,1.13,24.17,22.22,18.18,13.37,9.13,32.95,42.61
"37","Jefferson County, Alabama","01073",2000,662047,57.35,39.22,1.55,24.81,23.19,14.73,13.64,9.57,19.11,38.12
"38","Lamar County, Alabama","01075",2000,15904,86.11,11.94,1.3,23.58,21.36,17.59,15.9,9.73,34.94,53.43
"39","Lauderdale County, Alabama","01077",2000,87966,87.81,9.8,1.02,23.04,22.02,16.78,15.05,9.83,23.63,38.51
"40","Lawrence County, Alabama","01079",2000,34803,77.29,13.25,1.05,25.69,22.7,16.87,12.05,6.78,34.38,48.71
"41","Lee County, Alabama","01081",2000,115092,73.24,22.55,1.43,23.29,19.49,11.94,8.11,8.48,18.59,29.84
"42","Limestone County, Alabama","01083",2000,65676,82.44,13.25,2.65,24.88,24.29,16.04,11.07,10,25.5,37.75
"43","Lowndes County, Alabama","01085",2000,13473,25.71,73.04,0.63,30.19,21.75,14.7,12.22,6.2,35.74,53.08
"44","Macon County, Alabama","01087",2000,24105,13.82,84.21,0.72,25.23,18.53,14.47,13.97,8.68,30.01,49.45
"45","Madison County, Alabama","01089",2000,276700,71.01,22.62,1.89,25.58,24.87,15.53,10.85,11.88,14.58,30.13
"46","Marengo County, Alabama","01091",2000,22539,46.95,51.38,0.97,28.49,21.19,16.07,14.58,7.92,28.06,50.1
"47","Marion County, Alabama","01093",2000,31214,94.15,3.62,1.15,22.55,21.56,18.54,15.81,9.18,36.84,48.76
"48","Marshall County, Alabama","01095",2000,82231,91.3,1.45,5.66,24.85,22.01,16.7,14.25,10.1,30.65,40.88
"49","Mobile County, Alabama","01097",2000,399843,62.47,33.22,1.22,27.48,22.27,14.95,11.98,9.86,23.28,39.5
"50","Monroe County, Alabama","01099",2000,24324,57.4,39.81,0.78,28.3,21.39,15.43,13.83,8.34,32.12,39.99
"51","Montgomery County, Alabama","01101",2000,223510,48.26,48.39,1.19,25.79,22.14,14.04,11.77,10.69,19.74,35.6
"52","Morgan County, Alabama","01103",2000,111064,83.36,11.15,3.28,25.34,23.78,16.46,12.34,9.97,23.66,37.93
"53","Perry County, Alabama","01105",2000,11861,30.71,67.93,0.86,29.82,18.47,14.92,14.86,7.01,37.62,49.89
"54","Pickens County, Alabama","01107",2000,20949,55.74,42.68,0.7,27.26,20.93,15.97,15.72,8.83,30.35,49.36
"55","Pike County, Alabama","01109",2000,29605,60.09,36.37,1.23,24.36,19.36,15.15,12.59,8.4,30.91,42.5
"56","Randolph County, Alabama","01111",2000,22380,75.69,22.11,1.22,25.11,21.12,16.69,15.92,9.18,38.06,44.54
"57","Russell County, Alabama","01113",2000,49756,56.12,40.63,1.5,26.52,21.97,15.56,13.15,10.73,33.48,47
"58","St. Clair County, Alabama","01115",2000,64742,89.46,8.11,1.06,25.36,23.69,17.01,11.7,10.44,28.66,36.85
"59","Shelby County, Alabama","01117",2000,143293,88.6,7.38,2.03,26.25,25.83,15.42,8.5,8.91,13.15,25.66
"60","Sumter County, Alabama","01119",2000,14798,25.77,72.43,1.12,29.09,20.04,12.92,13.89,5.69,35.24,47.13
"61","Talladega County, Alabama","01121",2000,80321,66.48,31.38,1.01,24.98,22.64,16.52,13.27,10.04,30.35,49.36
"62","Tallapoosa County, Alabama","01123",2000,41475,73.16,25.29,0.58,24.2,21.56,17.84,16.57,10.39,29.92,49.43
"63","Tuscaloosa County, Alabama","01125",2000,164875,67.55,29.19,1.29,23.38,21.18,13.72,11.26,9.26,21.18,36.28
"64","Walker County, Alabama","01127",2000,70713,91.72,6.11,0.86,23.53,21.97,17.94,14.78,10.43,32.79,55.13
"65","Washington County, Alabama","01129",2000,18097,64.5,26.62,0.88,28.67,21.46,16.02,12.41,7.45,27.69,41.17
"66","Wilcox County, Alabama","01131",2000,13183,27.39,71.48,0.74,30.65,20.09,14.55,13.73,5.68,40.46,49.59
"67","Winston County, Alabama","01133",2000,24843,96.83,0.37,1.5,23.7,21.86,18.73,14.22,9,37.4,46.09
"68","Aleutians East Borough, Alaska","02013",2000,2697,19.32,1.56,12.57,16.83,35.41,17.54,2.63,7.79,25.26,21.28
"69","Aleutians West Census Area, Alaska","02016",2000,5465,37.68,3.02,10.48,17.18,35.9,14.8,2.29,9.19,21.48,29.62
"70","Anchorage Municipality, Alaska","02020",2000,260283,69.92,5.64,5.69,29.15,26.85,13.55,5.47,11.88,9.71,24.09
"71","Bethel Census Area, Alaska","02050",2000,16006,12.23,0.37,0.87,39.84,21.44,10.36,5.19,7.12,29.03,26.4
"72","Bristol Bay Borough, Alaska","02060",2000,1258,52.15,0.56,0.56,31.32,33.15,14.47,3.82,12.8,11.13,39.75
"73","Denali Borough, Alaska","02068",2000,1893,84.52,1.43,2.48,23.77,34.71,17.43,3.06,14.32,8.28,17.12
"74","Dillingham Census Area, Alaska","02070",2000,4922,20.95,0.37,2.26,38.13,24.44,11.91,5.73,6.22,23.35,28.06
"75","Fairbanks North Star Borough, Alaska","02090",2000,82840,75.98,5.7,4.15,30.08,24.73,12.03,4.64,12.64,8.17,19.44
"76","Haines Borough, Alaska","02100",2000,2392,81.94,0.13,1.38,25.63,28.68,19.86,10.45,14.21,11.08,26.51
"77","Hoonah-Angoon Census Area, Alaska","02105",2000,2574.0000284,57.48,0.15,2.82,26.78,27.88,19.27,7.33,10.54,15.62,22.99
"78","Juneau City and Borough, Alaska","02110",2000,30711,73.26,0.77,3.39,27.41,28.73,15.78,6.08,8.95,6.83,21.22
"79","Kenai Peninsula Borough, Alaska","02122",2000,49691,85.05,0.44,2.19,29.9,28.34,16.16,7.34,11.96,11.49,27.47
"80","Ketchikan Gateway Borough, Alaska","02130",2000,14076.999998992,72.94,0.48,2.64,28.17,27.31,16.43,7.88,12.12,10.36,28.74
"81","Kodiak Island Borough, Alaska","02150",2000,13913,57.51,0.93,6.1,32.44,27.28,12.29,4.84,9.83,14.58,17.65
"82","Lake and Peninsula Borough, Alaska","02164",2000,1823,18.76,0.05,1.15,37.79,25.95,12.73,5.43,7.9,27.83,26.99
"83","Matanuska-Susitna Borough, Alaska","02170",2000,59322,86.27,0.67,2.5,32.21,28.96,13.82,5.9,13.05,11.85,27.99
"84","Nome Census Area, Alaska","02180",2000,9196,19.05,0.38,1,37.15,22.71,11.6,5.87,8.49,25.2,24.59
"85","North Slope Borough, Alaska","02185",2000,7385,16.63,0.69,2.37,38.17,23.56,11.23,4.17,5.93,22.59,17.81
"86","Northwest Arctic Borough, Alaska","02188",2000,7208,12.18,0.21,0.79,41.48,19.95,9.6,4.98,7.82,27.96,16.51
"87","Petersburg Census Area, Alaska","02195",2000,4244.7584184,72.5,0.22,1.97,29.7,26.9,16.64,9.49,11.56,14.18,25.24
"88","Prince of Wales-Hyder Census Area, Alaska","02198",2000,6108.000001082,52.52,0.15,1.74,30.96,27.63,16.32,5.69,10.62,15.93,21.64
"89","Sitka City and Borough, Alaska","02220",2000,8835,67.09,0.27,3.28,27.15,26.56,15.38,8.42,10.54,9.4,24.84
"90","Skagway Municipality, Alaska","02230",2000,861.9999716,57.48,0.15,2.82,26.78,27.88,19.27,7.33,10.54,15.62,22.99
"91","Southeast Fairbanks Census Area, Alaska","02240",2000,6174,77.42,1.91,2.7,32.78,25.46,16.94,6.07,13.2,13.19,22.01
"92","Valdez-Cordova Census Area, Alaska","02261",2000,10195,74.66,0.32,2.81,29.61,29.49,16.4,6.02,12.27,11.46,20.01
"93","Wade Hampton Census Area, Alaska","02270",2000,7028,4.7,0.06,0.33,46.59,16.73,8.71,5.01,4.48,33.68,26.58
"94","Wrangell City and Borough, Alaska","02275",2000,2470.241581526,72.25,0.22,1.97,29.71,26.91,16.63,9.44,11.55,14.2,25.19
"95","Yakutat City and Borough, Alaska","02282",2000,808,50.25,0.12,0.74,28.09,32.55,17.08,5.32,11.76,15.71,14.36
"96","Yukon-Koyukuk Census Area, Alaska","02290",2000,6551,24.03,0.09,1.19,35.02,24.3,13.97,7.3,9.3,25.68,22.26
"97","Apache County, Arizona","04001",2000,69423,17.69,0.23,4.49,38.5,19.62,12.69,8.27,6.39,36.35,41.73
"98","Cochise County, Arizona","04003",2000,117755,60.09,4.3,30.69,26.32,20.86,16.89,14.75,16.17,20.54,34.79
"99","Coconino County, Arizona","04005",2000,116320,57.57,0.99,10.94,28.74,22.64,13.18,7,8.35,16.22,26.31
"100","Gila County, Arizona","04007",2000,51335,68.94,0.34,16.65,25.11,19.81,19.7,19.79,14.69,21.78,41.37
"101","Graham County, Arizona","04009",2000,33489,55.21,1.8,27.04,30.09,19.74,12.78,11.9,9.44,24.42,30.04
"102","Greenlee County, Arizona","04011",2000,8547,53.87,0.4,43.07,31.73,23.35,14.96,9.93,11.19,17.51,32.85
"103","La Paz County, Arizona","04012",2000,19715,63.77,0.76,22.42,21.1,17.69,20.68,25.81,18.23,30.72,45.11
"104","Maricopa County, Arizona","04013",2000,3072149,66.22,3.53,24.85,26.95,21.82,13.45,11.68,10.02,17.5,28.25
"105","Mohave County, Arizona","04015",2000,155032,84.04,0.51,11.08,23.13,19.75,20.23,20.47,16.46,22.49,43.31
"106","Navajo County, Arizona","04017",2000,97470,42.27,0.81,8.22,35.42,20.18,14.18,10.01,8.04,28.82,37.33
"107","Pima County, Arizona","04019",2000,843746,61.48,2.85,29.34,24.64,21.89,14.94,14.16,12.1,16.57,33.48
"108","Pinal County, Arizona","04021",2000,179727,58.78,2.59,29.86,25.08,20.3,16.51,16.23,13.33,27.3,34.71
"109","Santa Cruz County, Arizona","04023",2000,38381,17.81,0.2,80.78,33.64,20.96,14.18,10.72,5.48,39.34,28.21
"110","Yavapai County, Arizona","04025",2000,167517,86.58,0.35,9.78,21.13,20.66,19.94,21.98,16.12,15.28,36.43
"111","Yuma County, Arizona","04027",2000,160026,44.34,1.96,50.47,28.91,18.35,13.64,16.53,11.37,34.19,31.38
"112","Arkansas County, Arkansas","05001",2000,20749,74.78,23.24,0.76,24.82,22.1,16.73,16.19,8.73,27.58,46.42
"113","Ashley County, Arkansas","05003",2000,24209,68.99,26.87,3.21,26.81,20.82,17.15,13.8,8.95,27.51,43.46
"114","Baxter County, Arkansas","05005",2000,38386,97.12,0.11,1,18.97,18.69,20.94,26.79,16.88,22.46,45.69
"115","Benton County, Arkansas","05007",2000,153406,86.76,0.36,8.78,26.61,21.29,14.92,14.32,11.41,19.58,31.58
"116","Boone County, Arkansas","05009",2000,33948,96.93,0.11,1.06,23.93,21.12,17.83,16.67,11.66,23.16,41.84
"117","Bradley County, Arkansas","05011",2000,12600,62.31,28.56,8.25,23.56,20.63,16.24,17.48,9.56,33.39,47.32
"118","Calhoun County, Arkansas","05013",2000,5744,73.96,23.36,1.5,24.63,23.38,17.37,15.96,10.46,31.26,48.92
"119","Carroll County, Arkansas","05015",2000,25357,87.74,0.1,9.74,23.98,22.03,18.55,15.83,11.36,28.23,38.04
"120","Chicot County, Arkansas","05017",2000,14117,42.36,53.42,2.88,27.46,20.62,15.44,15.4,7.72,35.78,55.26
"121","Clark County, Arkansas","05019",2000,23546,73.48,21.94,2.4,21.68,18.03,14.1,14.58,8.61,24.73,42.57
"122","Clay County, Arkansas","05021",2000,17609,97.55,0.16,0.8,23.1,20.07,18.09,19.35,10.67,39.39,51.85
"123","Cleburne County, Arkansas","05023",2000,24046,97.28,0.12,1.17,21.3,20.34,20.64,21.09,15.61,25.22,45.2
"124","Cleveland County, Arkansas","05025",2000,8571,83.99,13.11,1.62,26.16,21.32,18.15,13.56,9.91,26.93,42.06
"125","Columbia County, Arkansas","05027",2000,25603,61.62,35.95,1.05,25.08,20.01,14.99,15.91,8.5,25.94,40.32
"126","Conway County, Arkansas","05029",2000,20336,83.46,13.03,1.77,25.42,21.68,16.78,16.13,10.42,26.83,51.74
"127","Craighead County, Arkansas","05031",2000,82148,88.24,7.72,2.12,24.11,20.94,14.75,11.76,9.14,22.7,37.7
"128","Crawford County, Arkansas","05033",2000,53247,90.73,0.87,3.27,28.23,22.99,15.93,11.27,10.88,28.51,43.71
"129","Crittenden County, Arkansas","05035",2000,50866,50.41,46.84,1.42,31.13,21.99,13.82,9.94,7.78,30.83,39.58
"130","Cross County, Arkansas","05037",2000,19526,74.39,23.6,0.93,27.83,21.54,16.16,13.66,7.34,31.66,47.42
"131","Dallas County, Arkansas","05039",2000,9210,56.38,40.64,1.92,26.17,21.36,16.34,16.98,8.75,33.16,50.03
"132","Desha County, Arkansas","05041",2000,15341,49.61,45.92,3.16,28.86,20.75,15.85,14.16,7.91,35,48.87
"133","Drew County, Arkansas","05043",2000,18723,69.68,27.08,1.76,25.81,21.03,14.91,12.83,9.3,26.95,41.81
"134","Faulkner County, Arkansas","05045",2000,86014,87.45,8.44,1.75,25.58,21.86,13.12,9.49,9.32,16.65,33.5
"135","Franklin County, Arkansas","05047",2000,17771,95.34,0.61,1.74,25.83,21.29,16.47,15.76,11.09,28.91,49.72
"136","Fulton County, Arkansas","05049",2000,11642,97.29,0.2,0.53,22.76,20.01,20.43,20.21,13.15,27.84,49.79
"137","Garland County, Arkansas","05051",2000,88068,87.26,7.75,2.56,21.3,20.88,18.31,21.18,13.75,21.71,42.91
"138","Grant County, Arkansas","05053",2000,16464,95.13,2.47,1.15,25.92,23.44,17.15,12.18,10.31,22.82,42.03
"139","Greene County, Arkansas","05055",2000,37331,96.82,0.13,1.16,25.21,21.62,16.29,13.91,10,27.94,48.55
"140","Hempstead County, Arkansas","05057",2000,23587,59.81,30.13,8.25,27.33,20.96,15.21,14.1,8.59,30.83,42.15
"141","Hot Spring County, Arkansas","05059",2000,30353,86.63,10.24,1.27,25.07,21.83,17.33,15.76,11.71,26.75,42.34
"142","Howard County, Arkansas","05061",2000,14300,71.47,21.76,5.08,26.85,21.2,15.5,15.1,8.75,29.26,38.32
"143","Independence County, Arkansas","05063",2000,34233,94.22,2,1.53,24.53,22.63,16.94,14.48,10.86,24.5,42.78
"144","Izard County, Arkansas","05065",2000,13249,95.87,1.43,1,20.89,20.18,19.63,21.13,13.83,26.67,45.8
"145","Jackson County, Arkansas","05067",2000,18418,79.95,17.43,1.27,22.16,21.22,17.18,16.52,8.49,33.96,50.33
"146","Jefferson County, Arkansas","05069",2000,84278,48.03,49.39,0.96,26.3,22.27,14.89,12.92,10.35,25.18,41.16
"147","Johnson County, Arkansas","05071",2000,22781,90.04,1.33,6.7,25.17,20.93,16.45,14.77,9.93,32.37,48.11
"148","Lafayette County, Arkansas","05073",2000,8559,61.48,36.29,1.03,25.4,20.42,17.78,17.72,9.88,34.72,55.82
"149","Lawrence County, Arkansas","05075",2000,17774,97.36,0.44,0.68,23.96,19.93,17.05,17.41,9.91,36.75,54.95
"150","Lee County, Arkansas","05077",2000,12580,40.33,56.77,2.19,26.05,20.67,14.77,13.97,7.31,43.78,49.35
"151","Lincoln County, Arkansas","05079",2000,14492,64.28,32.85,1.81,22.18,23.93,13.81,11.88,9.67,35,37.37
"152","Little River County, Arkansas","05081",2000,13628,73.84,21.21,1.72,25.17,20.54,18.77,15.07,10.07,26.55,46.66
"153","Logan County, Arkansas","05083",2000,22486,95.74,1.05,1.21,25.9,21.33,17.24,16.01,11.27,30.21,47.39
"154","Lonoke County, Arkansas","05085",2000,52828,90.02,6.42,1.75,28.75,24.02,15.12,10.39,11.02,22.36,37.16
"155","Madison County, Arkansas","05087",2000,14243,94.52,0.11,3.06,26.8,22.44,17.26,14.38,9.23,32.18,42.18
"156","Marion County, Arkansas","05089",2000,16140,96.94,0.11,0.76,22.13,21.03,21.65,20.02,16.36,24.01,49.34
"157","Miller County, Arkansas","05091",2000,40443,73.2,22.87,1.58,26.54,21.46,15.28,13.12,10.09,25.7,40.32
"158","Mississippi County, Arkansas","05093",2000,51979,63.56,32.53,2.25,29.64,21,14.27,12.22,8.56,35.27,48.04
"159","Monroe County, Arkansas","05095",2000,10254,58.54,38.66,1.29,27.91,20.4,16.62,17.3,8.69,36.22,49.85
"160","Montgomery County, Arkansas","05097",2000,9245,94.54,0.29,2.53,23.52,20.87,19.61,18.92,13.02,30.17,48.42
"161","Nevada County, Arkansas","05099",2000,9955,66.48,31.02,1.52,25.2,20.96,16.9,16.13,9.49,30.92,57.94
"162","Newton County, Arkansas","05101",2000,8608,96.81,0.14,1.08,24.88,22.07,20.12,14.82,10.11,29.81,52.93
"163","Ouachita County, Arkansas","05103",2000,28790,59.44,38.5,0.73,25.89,22.07,16.17,16.93,10.62,26.52,49.65
"164","Perry County, Arkansas","05105",2000,10209,95.12,1.73,1.18,25.33,21.99,17.8,14.77,12.08,26.18,48.31
"165","Phillips County, Arkansas","05107",2000,26445,38.74,58.59,1.44,32.19,18.88,15.1,13.94,6.87,37.81,48.4
"166","Pike County, Arkansas","05109",2000,11303,91.21,3.46,3.57,24.91,20.53,18.23,16.97,10.02,31.16,45.54
"167","Poinsett County, Arkansas","05111",2000,25614,90.47,7.09,1.43,26.1,21.12,16.95,14.28,9.04,37.99,55.38
"168","Polk County, Arkansas","05113",2000,20229,93.11,0.16,3.5,25.58,19.88,17.9,17,12.96,27.44,47.56
"169","Pope County, Arkansas","05115",2000,54469,92.78,2.58,2.06,25.52,21.82,15.19,12.75,10.65,22.55,41.76
"170","Prairie County, Arkansas","05117",2000,9539,84.5,13.67,0.81,23.94,21.6,18.26,17.31,10.75,31.76,49.59
"171","Pulaski County, Arkansas","05119",2000,361474,62.91,31.74,2.44,25.23,23.43,15.09,11.46,11.08,15.63,34.94
"172","Randolph County, Arkansas","05121",2000,18195,96.5,0.96,0.82,24.62,21,17.5,17.03,11.14,30.76,46.06
"173","St. Francis County, Arkansas","05123",2000,29329,45.09,48.67,4.88,27.93,22.15,14.46,11.87,8.27,34.85,43.82
"174","Saline County, Arkansas","05125",2000,83529,94.54,2.17,1.3,25.47,23.59,17.04,12.47,11.78,17.67,35.16
"175","Scott County, Arkansas","05127",2000,10996,90.51,0.22,5.71,26.55,20.57,18.03,14.66,10.82,34.63,45.4
"176","Searcy County, Arkansas","05129",2000,8261,96.76,0.04,1.04,22.67,21.03,19.69,19.25,11.97,31.98,55.89
"177","Sebastian County, Arkansas","05131",2000,115071,79.96,6.09,6.7,26.02,22.58,15.27,12.95,10.55,23.42,38.05
"178","Sevier County, Arkansas","05133",2000,15757,72.49,4.8,19.72,28.22,19.67,15.16,13.18,8.95,35.4,40.21
"179","Sharp County, Arkansas","05135",2000,17119,96.4,0.49,0.98,21.89,18.75,19.34,23.61,14.7,27.07,53.03
"180","Stone County, Arkansas","05137",2000,11499,96.46,0.08,1.08,22.24,21.29,21.39,18.56,12.84,31.96,58.26
"181","Union County, Arkansas","05139",2000,45629,65.64,31.87,1.14,25.93,22.29,15.56,16.11,9.43,25.49,44.84
"182","Van Buren County, Arkansas","05141",2000,16192,96.04,0.31,1.33,21.54,19.34,19.36,23.33,15.24,28.37,52.96
"183","Washington County, Arkansas","05143",2000,157715,84.56,2.16,8.2,25.04,21.04,13.11,9.89,9.1,20.49,31.04
"184","White County, Arkansas","05145",2000,67165,92.57,3.56,1.88,24.38,20.83,15.53,13.78,10.19,27.12,39.28
"185","Woodruff County, Arkansas","05147",2000,8741,67.49,30.56,0.79,26.02,20.86,17.3,16.68,8.36,39.36,52.29
"186","Yell County, Arkansas","05149",2000,21139,83.49,1.4,12.73,25.79,20.98,15.7,15.03,9.3,35.9,46.85
"187","Alameda County, California","06001",2000,1443741,40.94,14.62,18.97,24.56,24.61,14.32,10.22,6.95,17.64,30.69
"188","Alpine County, California","06003",2000,1208,71.77,0.58,7.78,22.85,27.32,19.29,9.93,10.76,11.67,25.41
"189","Amador County, California","06005",2000,35100,82.39,3.84,8.91,20.58,24.47,20.04,18.03,15.18,16.03,32.77
"190","Butte County, California","06007",2000,203171,80.01,1.33,10.5,24,20.39,14.82,15.78,11.36,17.74,39.43
"191","Calaveras County, California","06009",2000,40554,87.45,0.74,6.82,22.8,23.18,22.66,18.18,16.22,14.3,37.92
"192","Colusa County, California","06011",2000,18804,47.96,0.47,46.54,31.57,21.1,13.11,11.35,8.21,35.99,31.5
"193","Contra Costa County, California","06013",2000,948816,57.9,9.15,17.68,26.54,25.08,16.04,11.31,8.51,13.09,27.77
"194","Del Norte County, California","06015",2000,27507,70.14,4.24,13.92,25.07,25.15,14.83,12.53,12.4,28.36,39.14
"195","El Dorado County, California","06017",2000,156299,84.92,0.48,9.32,26.1,27.04,17.67,12.37,11.78,10.93,27.74
"196","Fresno County, California","06019",2000,799407,39.72,5.04,43.99,32.08,20.76,12.19,9.91,6.92,32.48,34.91
"197","Glenn County, California","06021",2000,26453,62.56,0.44,29.64,30.78,21.26,14.15,12.97,8.78,31.54,32.95
"198","Humboldt County, California","06023",2000,126518,81.59,0.82,6.49,23.25,23.07,16.17,12.47,11.1,15.09,39.6
"199","Imperial County, California","06025",2000,142361,20.21,3.62,72.22,31.43,22.09,11.83,10.05,6,40.96,31.77
"200","Inyo County, California","06027",2000,17945,74.41,0.11,12.58,24.39,24.02,18.38,19.11,12.98,17.67,31.61
"201","Kern County, California","06029",2000,661645,49.45,5.72,38.39,31.95,22.07,12.3,9.38,8.22,31.53,35.47
"202","Kings County, California","06031",2000,129461,41.57,8.05,43.61,28.99,23.24,10.71,7.38,8.93,31.17,26.95
"203","Lake County, California","06033",2000,58309,80.49,2.07,11.39,24.12,22.14,19.1,19.48,15.3,22.73,55.65
"204","Lassen County, California","06035",2000,33828,70.63,8.8,13.84,21.84,26.66,13.55,9.03,12.94,20.35,26.38
"205","Los Angeles County, California","06037",2000,9519338,31.09,9.47,44.56,28.03,22.5,12.82,9.73,5.36,30.1,33.34
"206","Madera County, California","06039",2000,123109,46.62,3.83,44.28,29.62,22.17,13.61,11.04,8.3,34.61,33.97
"207","Marin County, California","06041",2000,247289,78.55,2.81,11.06,20.29,27.39,20.34,13.52,9.09,8.75,24.52
"208","Mariposa County, California","06043",2000,17130,84.87,0.65,7.76,21.62,24.23,20.63,17.16,16.02,14.93,35.87
"209","Mendocino County, California","06045",2000,86265,74.86,0.55,16.48,25.55,22.91,18.66,13.57,11.17,19.17,39.41
"210","Merced County, California","06047",2000,210554,40.65,3.61,45.34,34.52,20.36,11.9,9.5,7.27,36.19,34.32
"211","Modoc County, California","06049",2000,9449,81.1,0.62,11.51,25.64,21.73,19.97,17.6,13.17,22.94,45.89
"212","Mono County, California","06051",2000,12853,76.53,0.41,17.69,22.98,27.32,16.73,7.59,9.23,12.06,20.32
"213","Monterey County, California","06053",2000,401762,40.33,3.51,46.79,28.39,22,12.76,10.03,7.89,31.57,30.1
"214","Napa County, California","06055",2000,124279,69.14,1.23,23.67,24.14,22.92,16.61,15.36,10.45,19.6,30.75
"215","Nevada County, California","06057",2000,92033,90.29,0.25,5.65,23.12,24.6,20,17.44,13.94,9.68,31.73
"216","Orange County, California","06059",2000,2846289,51.26,1.5,30.76,27,23.51,13.82,9.86,6.8,20.54,26.56
"217","Placer County, California","06061",2000,248399,83.43,0.76,9.67,26.47,25.37,16.35,13.11,11.7,9.55,26.6
"218","Plumas County, California","06063",2000,20824,88.71,0.62,5.65,22.7,23.46,21.97,17.89,14.89,11.97,38.51
"219","Riverside County, California","06065",2000,1545387,51.04,5.98,36.21,30.33,21.91,12.65,12.68,9.33,25.05,32.23
