"COUNTYFP","countyArea","parkArea","cover"
1001,1566268128.41926,40173257.2445097,0.0256490293811024
1003,4356828020.87849,138232886.077595,0.0317278729881384
1005,2344289453.66508,171019467.820371,0.0729515152461217
1007,1623117095.51914,1378930499.45005,0.849557005626269
1009,1685593537.34012,1779066.6768537,0.00105545413970979
1011,1620279793.22756,11011011.9316723,0.00679574723927071
1013,2015974035.14301,2666519.34551082,0.00132269528229398
1015,1586261297.92435,188168692.544164,0.118624020387048
1017,1563055335.31749,996412.53081342,0.000637477450925323
1019,1554225695.38644,49040776.0843504,0.0315531883367537
1021,1815790665.49956,202265817.341289,0.111392695856624
1023,2387216523.0353,16899110.1132407,0.00707900182081254
1025,3246978243.40772,13690573.8220456,0.00421640454469978
1027,1569656906.1784,594369425.533152,0.378662001354324
1029,1453961192.28061,547197516.254248,0.376349464593303
1031,1764397672.86485,9227499.10687661,0.0052298295609821
1033,1614920552.33398,165916534.135781,0.102739750197611
1035,2210903016.87472,1288584.64921172,0.000582831829065587
1037,1726909508.40931,94445055.9709676,0.0546902171254838
1039,2705806931.0728,63139091.7533276,0.0233346625837396
1041,1583488141.7509,4363755.1376605,0.00275578643287811
1043,1955628805.05446,1577113.70158619,0.000806448390159744
1045,1457934195.57351,186152378.115173,0.127682290929425
1047,2575659998.69732,48427008.3162051,0.0188017860822849
1049,2017207032.70234,36527765.3407907,0.0181080894269224
1051,1702760648.60403,33203808.1470675,0.0194999856111831
1053,2469792953.90935,4601869.73145722,0.00186326134106629
1055,1421553112.95615,2939358.10560208,0.00206770895776776
1057,1630739024.28017,1144985.16921446,0.000702126552542565
1059,1675390563.40699,18226200.7777353,0.0108787772689082
1061,1500823984.71634,40445973.7415501,0.0269491786867961
1063,1710224645.63094,16657846.9472358,0.00974015138291399
1065,1700558338.85832,338498889.966379,0.199051618654631
1067,1473248487.54695,1567991.3945955,0.0010643088439251
1069,1507650369.39752,183654371.967394,0.121814961674957
1071,2919399731.55073,529327573.712853,0.181313839277393
1073,2912494694.7486,111059603.313523,0.0381321220992333
1075,1569465501.42313,67679207.02119,0.0431224559952552
1077,1864419296.36327,122360619.468013,0.0656293462026966
1079,1857288394.87061,359056990.522584,0.193323229453333
1081,1595996084.56475,379044108.996365,0.237496891541394
1083,1572888344.9098,94216203.0630415,0.0599001215616767
1085,1879282849.07915,72181307.4287719,0.0384089640705979
1087,1589018489.77371,46239624.9231088,0.0290994882820362
1089,2105244399.29306,372665002.036372,0.177017453252227
1091,2546639980.39972,115468845.904627,0.0453416449884302
1093,1926094541.94425,29573885.9416603,0.0153543272656843
1095,1614379528.32524,39056716.9894019,0.0241930204788458
1097,3289155324.1652,64029794.572115,0.0194669415888306
1099,2681953985.56254,11366321.1039916,0.00423807461469459
1101,2072991266.76852,5185531.2273943,0.0025014727801906
1103,1551871062.63356,52731540.5473452,0.0339793310262893
1105,1876297782.24267,817322793.305724,0.435603986233362
1107,2305090230.47258,867782.863217084,0.000376463728727519
1109,1744361279.77786,12230133.6169627,0.00701123887507996
1111,1513225076.51758,114880.326870271,7.59175410538712e-05
