GEOID,pop,minDist_OTP
15001020702,4864,3.059280884
15001020701,4461,1.969051273
15001020801,5182,5.578778029
15001020900,4769,4.960823702
15003000110,4184,12.31594558
15003000111,4605,11.17048713
15003940001,3826,10.59432698
15003001201,3227,3.923224532
15003002800,4018,3.598879945
15003001202,2805,3.910387391
15003000903,3023,4.550818869
15003001300,4556,3.824862245
15003002701,5554,2.818463559
15003000902,4171,4.554117228
15003001500,3267,3.725384911
15003001000,3443,5.137996769
15003001801,1042,3.36028652
15003001803,2730,3.297727336
15003002100,3494,3.236121574
15003001700,1762,4.03704328
15003001804,1371,3.531046083
15003002004,1220,3.035021295
15003001901,245,2.493533152
15003001100,3415,4.168214983
15003002900,2355,3.212741932
15003003000,4719,2.437095326
15003003102,3493,3.948872919
15003003101,4351,4.211648592
15003003407,920,1.528421514
15003002702,5360,2.123642702
15003003404,4612,1.310432049
15003003502,3963,1.396073994
15003003406,5859,1.18696577
15003002600,4378,2.193387926
15003003405,3522,1.611949677
15003004900,3398,1.016678844
15003005000,4542,0.745579425
15003005600,7280,0.867091648
15003005500,2162,0.858969467
15003004800,6990,2.125905603
15003005300,4149,0.520662245
15003004700,4857,1.509246012
15003006000,6858,1.031050614
15003006202,1476,1.392727117
15003005900,3588,0.779146673
15003006100,4053,1.115817448
15003006201,6372,1.41323561
15003006600,738,2.331033286
15003005800,3199,0.527123588
15003006302,3013,2.184091168
15003006402,6630,2.959536897
15003006500,4779,4.126582509
15003006301,4413,1.807534791
15003006702,2641,3.759654989
15003007502,786,5.222617252
15003007506,807,3.976359828
15003006804,5470,3.691755806
15003006701,6236,4.021154508
15003006808,4724,2.836863864
15003006809,5678,2.743101212
15003006805,6199,3.000648361
15003006806,1935,3.287863611
15003006900,4153,2.454455457
15003007000,4319,3.668726772
15003007100,3344,4.079772612
15003007302,5482,5.464527845
15003007400,5213,5.645932978
15003980200,612,3.075897156
15003007303,432,4.479942117
15003007805,4724,7.324538265
15003008007,5783,8.148904483
15003007811,4608,6.419287945
15003007804,2280,7.75011211
15003008002,3092,7.478297325
15003007809,3433,6.760483792
15003007810,5840,7.498759574
15003008412,7611,10.01798136
15003008617,10324,10.4323696
15003008405,4296,9.552201843
15003008411,3601,10.1828782
15003008906,3814,13.1281745
15003008907,4204,12.99408825
15003009000,2391,14.76127598
15003008908,5907,11.99298722
15003008917,4510,12.51516146
15003008918,5359,11.99902581
15003008924,7371,13.14990214
15003008909,4132,12.38189802
15003008915,5443,13.77683993
15003008928,3985,13.31658225
15003008927,5116,13.67338309
15003008926,1745,14.06449841
15003008929,3996,13.20225031
15003008931,3313,10.73867144
15003009802,7146,23.79987326
15003009701,6474,21.51280175
15003009801,2598,24.92155234
15003011104,4579,9.24153211
15003011106,5974,9.535737611
15003011105,3163,9.601450583
15003011103,3771,8.707231997
15003981400,4,1.743309616
15003005700,2541,0.486708266
15009030901,2719,1.701678975
15009030800,7427,3.932378693
15009030902,3619,0.465155977
15009030903,7071,0.863740369
15009031000,9373,2.078614484
15009031404,3855,12.70901928
15009031402,2932,10.40706822
15009031405,6316,10.20595782
15009032000,850,7.550973432
15009030706,2606,8.138980014
15009030707,8752,10.04998418
15009030705,4179,7.42481903
15009030201,2173,15.31134794
15003000107,2678,10.73819906
15003000108,2951,9.550296575
15003000106,7997,9.646832992
15003000112,5398,10.37119554
15003000402,3687,6.154355615
15003000301,3163,6.922156961
15003000401,2441,5.638296765
15003000500,3610,5.625744528
15003000302,2920,6.772749148
15003000800,3417,4.540064974
15003000600,1319,4.85291747
15003001600,3901,4.026029347
15003000700,3171,4.981712442
15003001400,2716,4.038419489
15003004000,1245,0.2952318
15003005200,2474,0.411913542
15003005100,3077,0.30480932
15003003900,261,0.709033433
15003004200,3262,0.144873618
15003004100,4287,0.386513571
15003004500,6007,3.592715013
15003004300,5630,0.666203092
15003008003,4387,8.510621019
15003008006,4237,8.730734957
15003008005,6736,8.614876895
15003008407,4007,9.153076239
15003008408,8391,10.0272532
15003008302,6908,8.283053327
15003008402,7809,8.668922771
15001020202,2565,12.86492591
15001020600,5792,1.746009635
15001020500,6842,1.042236396
15001022102,1510,20.20391306
15001020300,4270,2.838106518
15001021010,8298,14.86507472
15001020100,4162,11.23766799
15001021013,4969,6.356858728
15001021011,3969,17.20424223
15001020802,6507,3.653531599
15001020400,3522,1.582455117
15001021202,9473,44.34067518
15001021502,4220,48.66968836
15001022000,2520,30.81559825
15001021300,6977,55.55180069
15001021402,3791,56.78034011
15001021003,7169,12.04028431
15001021106,7856,19.72631998
15001021702,11832,42.61315626
15001021504,5120,61.81559379
15001021509,5646,58.95915362
15001021704,8023,49.55455208
15001021507,10044,58.12864267
15001021601,9943,59.65447033
15001021604,8658,59.51888142
15001021902,4152,41.99812749
15003008609,2022,14.74121364
15003011500,9457,12.66372485
15003008622,4490,13.77819639
15003008610,876,15.86154246
15003008502,2666,12.77674193
15003008912,2968,9.611860349
15003008702,5772,9.509543435
15003008800,8917,9.987310404
15003008701,8232,8.881987888
15003008922,7062,10.39744772
15003007504,3366,4.988689891
15003007505,5908,4.412890428
15003007701,4368,5.655715795
15003007503,5222,4.895157352
15003007807,5161,6.267832652
15003007702,5071,5.712969209
15003007808,3615,6.360457814
15003002201,3585,2.842502956
15003002300,5578,2.752147343
15003002401,3412,2.347565206
15003002006,1713,2.638348529
15003002202,3539,2.542800382
15003002402,3266,2.318916543
15003002500,4033,1.953884463
15003003403,5426,0.878684744
15003003501,2475,0.914076874
15003003800,5775,1.03829525
15003003601,3815,1.299733131
15003003700,6569,1.48331458
15003010601,3361,7.840719687
15003010503,1767,7.435337568
15003010308,3386,6.068557103
15003010504,4561,8.261141624
15003010602,5324,6.97166431
15003010701,4067,8.975739592
15003010702,3615,7.451526373
15003010901,2896,9.880966146
15003010904,2934,9.72901291
15003010903,3706,9.241134965
15003010801,3779,11.23255086
15003010802,7296,11.72254309
15003011000,4087,6.835439196
15003011201,4319,10.14454839
15003011202,1500,10.54872776
15003981100,27,9.807772341
15003010905,2428,9.503100839
15007040400,11060,109.822104
15007940000,3338,111.2132175
15007040800,4049,120.821203
15007040700,9246,114.3323157
15007040104,782,121.8147365
15007040205,4087,107.4517537
15007040500,7212,105.1099072
15007040204,6129,109.57037
15007040604,3469,111.1767461
15007040603,3105,108.3741331
15007040103,5450,115.7869643
15007040300,7926,107.2184192
15003009400,4905,15.97619963
15003009503,4116,16.39173728
15003009507,3563,17.47047219
15003009100,5083,15.24744155
15003009504,1295,16.32688679
15003009300,4530,15.64252968
15003009902,3884,23.56573558
15003010000,3875,20.00184345
