"","GEOID","totPop","age18_64","age0_4","age5_14","age15_19","age20_24","age15_44","age55_59","age60_64","ageOv65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","NoHSP"
"1",20013,7768,5737,628,1002,854,1540,5382,144,81,107,30.82,90.27,1.38,61.47,4.24,3.82,24.9,6.87,0.59,1.93,22.89
"2",20016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",280107,28164,14431,2528,5335,2975,2251,11315,1272,1281,3897,18.56,68.09,13.84,50.82,48.95,1,0.02,0.1,0.01,0.11,59.06
"4",280101,19944,10993,1480,3227,2024,1489,7991,1041,965,3175,17.61,63.67,15.92,70.19,27.23,0.78,2.46,0.07,0.02,0.05,46.98
"5",280027,36918,18422,3782,7255,4191,2970,14862,1547,1534,4825,19.4,70.15,13.07,35.41,64.01,1.16,0.04,0.39,0.02,0.12,56.2
"6",220065,15975,7720,1785,3194,1512,1238,6053,664,660,2303,17.21,69.06,14.42,40.64,58.62,1.83,0.03,0.08,0.01,0.61,55.7
"7",510540,39916,27733,2129,4015,3481,8348,22709,1747,1542,4547,29.63,72.28,11.39,80.5,18.11,0.94,0.07,0.94,0.01,0.38,34.87
"8",510510,103217,74814,5486,9887,6054,11295,58350,5540,4353,9465,16.81,71.43,9.17,72.4,22.29,3.92,0.26,2.74,0.06,2.26,16.99
"9",510530,6717,4083,424,1106,714,522,3046,351,322,730,18.4,68.13,10.87,95.86,3.95,0.63,0.01,0.09,0,0.09,56.64
"10",510600,19390,13337,1129,2667,1945,2167,10326,1144,715,1080,21.21,72.83,5.57,93.34,3.02,1.95,0.25,2.45,0.02,0.92,14.35
"11",480113,1556390,985307,119571,247357,138886,162061,793505,68976,52781,121523,19.34,74.56,7.81,74.14,18.47,9.93,0.42,0.94,0.03,6,28.8
"12",480227,33142,19601,2566,5093,2996,2716,13935,1908,1632,4092,17.23,65.16,12.35,81.36,4.01,21.05,0.36,0.48,0.02,13.77,45.66
"13",480155,2158,1079,140,285,176,101,711,141,140,547,12.84,52.64,25.35,88.37,6.12,11.03,0.19,0.09,0,5.24,52.54
"14",480153,9834,5085,865,1821,952,666,3778,488,478,1430,16.45,65.73,14.54,75.14,4.08,33.89,0.23,0.11,0.01,20.43,54.87
"15",480043,7573,4696,516,1118,860,1036,3712,373,339,867,25.04,70.59,11.45,81.04,0.77,43.07,0.26,0.44,0.01,17.48,32.53
"16",480159,6893,3725,506,992,512,425,2525,428,410,1346,13.59,58.36,19.53,92.99,5.93,1.13,0.26,0.12,0.03,0.67,49.01
"17",480231,55248,32316,3703,8216,5313,5318,24062,2911,2703,8084,19.24,65.13,14.63,85.26,12.68,2.39,0.31,0.26,0.01,1.47,43.38
"18",480351,13254,7050,1078,2486,1290,894,5282,683,600,1779,16.48,66.74,13.42,75.68,24.12,0.82,0.05,0.05,0.01,0.1,54.82
"19",480427,27266,13492,2797,6487,3189,2085,11363,982,827,2437,19.34,75.72,8.94,89.29,0.01,96.93,0.1,0.05,0,10.56,73.36
"20",480271,2279,1223,163,422,220,129,798,165,136,328,15.31,60.68,14.39,77.45,3.95,57.48,0.53,0.13,0,17.95,59.85
"21",480087,4648,2333,331,736,397,292,1633,255,249,995,14.82,58.09,21.41,85.82,7.34,11.92,0.73,0.17,0,5.94,46.75
"22",480451,84784,51369,6407,12384,8610,9404,39870,4138,3600,10253,21.25,69.19,12.09,84.81,3.99,21.17,0.27,0.5,0.03,10.41,40.2
"23",480083,10439,5219,706,1325,799,621,3429,632,681,2669,13.6,52.3,25.57,89.86,3.8,9.05,0.23,0.22,0.01,5.88,55.62
"24",480039,169587,106526,15002,28374,15990,17854,87265,6842,5021,10263,19.96,77.03,6.05,85.05,7.76,13.37,0.3,0.43,0.01,6.44,34.8
"25",480289,9594,4908,609,1326,739,534,3139,601,682,2274,13.27,52.89,23.7,79.52,19.88,1.81,0.07,0.06,0,0.47,54.7
"26",480131,12517,6432,1157,2359,1311,933,4928,617,550,1743,17.93,67.46,13.93,92.35,0.08,85.76,0.1,0.02,0,7.46,63.45
"27",480279,18669,9788,1719,3238,1816,1281,7292,859,969,2749,16.59,65.61,14.72,75.69,6.13,30.39,0.29,0.09,0.01,17.79,53.55
"28",480343,14629,8285,1250,2291,1241,1219,6076,749,691,2024,16.82,65.74,13.84,76.88,21.8,1.69,0.37,0.08,0.04,0.83,46.02
"29",480423,128366,75132,9878,20554,11662,11257,57065,6388,5830,16049,17.85,68.16,12.5,75.67,21.98,3.14,0.18,0.27,0.01,1.89,34.85
"30",480239,13352,7504,1091,2114,1302,1042,5534,712,682,1847,17.56,65.45,13.83,82.59,10.31,18.68,0.08,0.04,0.01,6.97,54.52
"31",480325,23164,12540,1844,4188,2247,1534,9282,1303,1053,3112,16.32,66.11,13.43,90,0.43,43.35,0.26,0.06,0.09,9.17,54.57
"32",480483,7137,3756,583,1029,604,491,2741,320,393,1393,15.34,60.99,19.52,94.03,2.47,4.18,0.43,0.57,0,2.49,45.4
"33",480111,6531,3551,640,1145,600,500,2768,310,264,817,16.84,69.71,12.51,89.62,2.53,16.69,0.66,0.43,0,6.77,41.93
"34",480059,10992,5943,738,1588,918,674,4175,564,581,2121,14.48,59.14,19.3,97.42,0.04,3.38,0.19,0.45,0,1.9,45.46
"35",480277,42156,22966,2871,6929,3698,3157,16860,2187,2223,7115,16.26,63.24,16.88,83.94,14.92,0.9,0.51,0.2,0.02,0.41,46.86
"36",480099,56767,38010,4867,8149,7898,12141,35366,1115,1014,3137,35.3,85.23,5.53,72.63,18.98,8.21,0.6,1.84,0.38,5.57,27.83
"37",480165,13150,7166,1331,2570,1383,1079,5726,537,476,1193,18.72,73.21,9.07,86.9,2.71,30.63,0.23,0.12,0.01,10.03,49.12
"38",480259,10635,5964,644,1688,977,579,4212,621,597,1702,14.63,61.53,16,93.6,0.23,13.22,0.24,0.19,0,5.75,35.05
"39",480347,46786,29903,3205,6090,5523,7825,24497,1825,1835,5635,28.53,72.23,12.04,81.17,17.15,2.82,0.18,0.38,0.01,1.1,42.06
"40",480331,22732,11901,1780,3629,1961,1532,8494,1212,1194,4158,15.37,61.16,18.29,79.83,13.47,10.51,0.12,0.1,0.01,6.48,54.56
"41",480209,40594,27333,2431,5455,6555,8313,24063,1420,1170,3290,36.63,78.7,8.1,84.02,2.71,30.51,0.2,0.27,0.03,12.76,37.88
"42",480489,17495,8984,1804,3752,1885,1378,7123,796,621,1768,18.65,72.47,10.11,67.32,0.53,80.3,0.09,0.03,0.01,32.03,66.39
"43",340017,556972,342217,37306,78763,48168,49889,246956,33093,29422,69932,17.61,65.18,12.56,76.36,12.58,26.06,0.1,2.72,0.01,8.23,48.45
"44",340011,132866,76919,9573,22780,12603,10448,57798,7143,6284,15516,17.35,67.85,11.68,78.06,14.95,9.43,0.56,0.62,0.02,5.79,46.71
"45",230019,137015,84792,9309,20980,15171,15696,67313,6295,5314,14158,22.53,71.23,10.33,98.53,0.2,0.3,0.75,0.25,0.01,0.25,28.11
"46",500009,6313,3592,525,1020,572,474,2690,335,313,782,16.57,67.08,12.39,99.33,0.08,0.3,0.11,0.17,0,0.3,43.71
"47",500011,34788,19613,2918,6252,3236,2683,15342,1615,1430,3917,17.01,70.46,11.26,98.3,0.13,0.28,1.21,0.09,0,0.26,40.78
"48",560001,29062,20425,1997,3501,3523,6080,17855,906,822,2005,33.04,80.36,6.9,94.62,1.01,6.43,0.53,0.95,0.01,2.87,15.33
"49",560015,12040,6826,959,1810,1158,962,5116,605,594,1771,17.61,65.49,14.71,94.63,0.02,7.45,0.32,0.09,0.02,4.91,30.14
"50",560045,7106,4187,716,1167,625,654,3255,340,273,657,18,72.31,9.25,98.21,0.07,1.1,1.03,0.28,0.01,0.39,27.31
"51",560017,5710,3189,472,836,471,454,2367,295,278,930,16.2,64.36,16.29,97.44,0.23,1.52,1.94,0.12,0,0.26,29.74
"52",560039,9355,6603,597,1248,661,1153,5693,307,235,486,19.39,80.58,5.2,98.74,0.03,1.41,0.41,0.24,0.02,0.57,9.57
"53",560003,11896,6341,1145,2077,1052,854,4845,552,567,1652,16.02,67.81,13.89,98.08,0,3.82,0.55,0.21,0,1.16,29.24
"54",560027,2924,1631,217,429,218,217,1118,161,157,506,14.88,60.33,17.31,99.35,0.03,0.92,0.31,0.03,0,0.27,29.46
"55",560033,25048,14809,2145,3821,2047,2106,11539,1175,1142,2984,16.58,69.89,11.91,97.97,0.12,1.88,0.81,0.32,0.03,0.74,23.74
"56",560043,9496,5406,928,1618,940,760,4339,424,377,922,17.9,72.5,9.71,92.93,0.07,8.53,0.51,0.36,0,6.13,24.72
"57",560005,24367,15271,2840,4362,2124,3289,13774,582,377,693,22.21,86.08,2.84,97.63,0.04,2.56,0.96,0.22,0,1.14,19.86
"58",560025,71856,45807,6563,11335,6530,7866,37003,3201,2215,4546,20.03,76.4,6.33,96.57,0.71,3.55,0.64,0.33,0.03,1.72,17.49
"59",500005,25808,14971,1982,4131,2483,2152,11566,1277,1148,3252,17.96,68.5,12.6,99.64,0.1,0.4,0.06,0.1,0,0.1,31.74
"60",560031,11975,7182,1125,1962,960,1081,5769,548,421,1082,17.04,73.95,9.04,97.84,0.08,4.78,0.4,0.15,0,1.53,26.5
"61",560009,14069,8301,1594,2647,1256,1507,7222,402,309,780,19.64,81.48,5.54,97.23,0.08,4.95,0.77,0.08,0.06,1.78,23.95
"62",560011,5308,3048,515,901,523,427,2393,242,249,501,17.9,71.76,9.44,99.36,0,0.36,0.41,0.09,0.02,0.11,27.84
"63",500001,29406,17938,2141,4845,3424,3161,14818,1238,1068,2852,22.39,74.15,9.7,99.32,0.23,0.6,0.1,0.17,0,0.18,29.59
"64",560019,6700,3767,566,1088,522,480,2886,336,295,927,14.96,67.76,13.84,98.78,0.01,1.37,0.58,0.12,0,0.51,24.11
"65",560021,68649,42309,5730,10835,6397,7267,34021,2963,2534,6023,19.9,73.69,8.77,91.96,2.87,9.65,0.61,0.69,0.08,3.79,19.85
