ZCTA,GEOID,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
54521,054521,0,0,0
24847,024847,0,0,0
54985,054985,0,0,0
83116,083116,0,0,0
26151,026151,0,0,0
98305,098305,0,0,0
24656,024656,0,0,0
19731,019731,0,0,0
46376,046376,0,0,0
54896,054896,0,0,0
33404,033404,0,0,0
35548,035548,0,0,0
36775,036775,0,0,0
71651,071651,0,0,0
53504,053504,0,0,0
03101,03101,169,157,169
21802,021802,0,0,0
02141,02141,29,28,29
66019,066019,0,0,0
61315,061315,0,0,0
46987,046987,0,0,0
48083,048083,108,108,108
04490,04490,0,0,0
06059,06059,0,0,0
80290,080290,0,0,0
99124,099124,0,0,0
05747,05747,0,0,0
76483,076483,0,0,0
88134,088134,0,0,0
07702,07702,0,0,0
17083,017083,0,0,0
84629,084629,0,0,0
19103,019103,167,126,140
15015,015015,0,0,0
17250,017250,0,0,0
43970,043970,0,0,0
43529,043529,0,0,0
12307,012307,397,382,386
36522,036522,0,0,0
30165,030165,98,93,98
85922,085922,0,0,0
85620,085620,0,0,0
84531,084531,0,0,0
96120,096120,0,0,0
82063,082063,0,0,0
93643,093643,0,0,0
96080,096080,134,135,94
95458,095458,0,0,0
74578,074578,0,0,0
97624,097624,0,0,0
97343,097343,0,0,0
97148,097148,37,37,37
16616,016616,0,0,0
97123,097123,255,233,254
97424,097424,0,0,0
17756,017756,0,0,0
97758,097758,0,0,0
97494,097494,0,0,0
19442,019442,0,0,0
17887,017887,0,0,0
15078,015078,0,0,0
15737,015737,0,0,0
15546,015546,0,0,0
18428,018428,0,0,0
18814,018814,0,0,0
17041,017041,0,0,0
85019,085019,107,107,107
71665,071665,0,0,0
71671,071671,0,0,0
71998,071998,0,0,0
72476,072476,0,0,0
71837,071837,0,0,0
71763,071763,0,0,0
71858,071858,0,0,0
93254,093254,0,0,0
20520,020520,0,0,0
20427,020427,0,0,0
32714,032714,0,0,0
32134,032134,0,0,0
33498,033498,0,0,0
31021,031021,72,62,72
30521,030521,0,0,0
31804,031804,0,0,0
30252,030252,0,0,0
39842,039842,1,1,1
30474,030474,32,17,32
95835,095835,0,0,0
93203,093203,0,0,0
95364,095364,0,0,0
91203,091203,62,57,62
95363,095363,25,19,25
93665,093665,0,0,0
90071,090071,0,0,0
95724,095724,0,0,0
80302,080302,174,169,174
80746,080746,0,0,0
81223,081223,0,0,0
81243,081243,0,0,0
80218,080218,283,210,283
19977,019977,0,0,0
20202,020202,0,0,0
34681,034681,0,0,0
32097,032097,0,0,0
30513,030513,55,50,51
31318,031318,0,0,0
31780,031780,0,0,0
30326,030326,0,0,0
30293,030293,0,0,0
