ZCTA,minDisMet,time_to_nearest_methadone,count_in_range_methadone,methadone_score,minDisBup,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score,minDisNalV,time_to_nearest_naltrexone,count_in_range_naltrexone,naltrexone_score
01001,2.55,8.0,8,2.1,1.88,8.0,233.0,0.73,1.85,8.0,27,2.2
01002,7.17,18.0,4,0.9,0.45,0.0,98.0,1.0,7.79,18.0,14,0.7
01003,7.42,20.0,5,0.7,0.18,0.0,129.0,1.0,7.7,20.0,15,0.5
01005,14.98,32.0,0,0.0,0.99,0.0,25.0,1.0,8.18,16.0,4,0.67
01007,11.2,25.0,2,0.33,1.52,0.0,91.0,1.0,7.96,18.0,17,1.17
01008,10.58,18.0,1,0.4,10.04,18.0,10.0,0.4,10.2,18.0,3,1.2
01009,14.45,29.0,1,0.03,2.95,7.0,146.0,0.77,2.95,7.0,18,2.3
01010,9.54,17.0,1,0.43,5.25,12.0,39.0,0.6,6.69,15.0,12,1.5
01011,15.92,34.0,0,0.0,11.27,34.0,0.0,0.0,8.56,34.0,0,0.0
01012,12.14,25.0,2,0.33,6.8,18.0,49.0,0.4,5.06,13.0,4,1.2
01013,1.32,0.0,10,2.4,1.3,9.0,264.0,0.7,1.32,8.0,32,2.2
01020,3.06,8.0,10,2.13,2.37,8.0,274.0,0.73,1.23,0.0,32,3.0
01022,4.33,11.0,9,1.83,2.46,9.0,261.0,0.7,2.46,8.0,30,2.2
01026,14.92,37.0,0,0.0,2.01,13.0,10.0,0.57,2.01,13.0,2,1.03
01027,4.36,9.0,9,1.97,1.83,0.0,257.0,1.0,4.85,9.0,26,1.83
01028,3.94,6.0,8,2.1,0.49,0.0,248.0,1.0,0.62,0.0,33,2.5
01029,15.91,27.0,1,0.1,13.78,27.0,11.0,0.1,15.36,27.0,3,0.3
01030,4.99,12.0,8,1.73,3.6,11.0,229.0,0.63,3.63,11.0,27,1.9
01031,18.92,40.0,0,0.0,3.74,9.0,33.0,0.7,4.88,13.0,8,1.4
01032,13.09,26.0,2,0.27,4.48,20.0,46.0,0.33,4.48,20.0,4,0.87
01033,6.72,13.0,8,1.47,1.3,0.0,251.0,1.0,5.88,13.0,28,1.7
01034,10.28,28.0,1,0.07,8.91,28.0,11.0,0.07,9.13,28.0,3,0.2
01035,4.4,13.0,4,1.33,0.94,0.0,92.0,1.0,4.75,13.0,9,1.13
01036,7.49,16.0,5,1.17,2.74,12.0,201.0,0.6,4.43,12.0,23,1.57
01037,19.79,48.0,0,0.0,0.54,0.0,24.0,1.0,8.48,22.0,3,0.73
01038,4.88,13.0,5,1.3,2.03,0.0,127.0,1.0,4.16,13.0,15,1.17
01039,6.34,15.0,2,1.0,2.49,9.0,45.0,0.7,2.97,9.0,3,1.23
01040,2.56,0.0,10,2.7,0.1,0.0,292.0,1.0,0.12,0.0,33,3.0
01050,10.91,23.0,3,0.3,5.72,23.0,51.0,0.23,10.97,20.0,6,0.8
01053,4.62,8.0,4,1.67,0.23,0.0,88.0,1.0,0.75,0.0,9,1.93
01054,10.32,26.0,3,0.27,2.63,0.0,77.0,1.0,10.07,26.0,7,0.4
01056,7.77,15.0,8,1.4,0.68,0.0,250.0,1.0,1.58,6.0,31,2.07
01057,12.68,26.0,3,0.27,4.2,11.0,113.0,0.63,4.24,11.0,24,1.9
01060,0.98,0.0,10,2.47,0.51,0.0,282.0,1.0,1.02,0.0,30,2.2
01062,2.82,8.0,4,1.7,0.9,0.0,88.0,1.0,1.41,7.0,9,1.73
01063,0.81,1.0,10,2.43,0.29,1.0,287.0,0.97,1.17,1.0,31,2.17
01066,6.87,14.0,5,1.27,0.93,9.0,126.0,0.7,5.02,14.0,15,1.1
01068,12.98,31.0,0,0.0,4.51,20.0,25.0,0.33,8.52,23.0,2,0.33
01069,13.98,25.0,7,0.47,1.08,0.0,232.0,1.0,1.08,0.0,34,3.0
01070,14.11,38.0,0,0.0,2.83,0.0,8.0,1.0,2.83,0.0,2,1.1
01071,6.64,16.0,1,0.47,6.34,16.0,47.0,0.47,6.49,16.0,5,1.4
01072,13.15,35.0,0,0.0,4.64,13.0,19.0,0.57,12.58,31.0,0,0.0
01073,6.04,15.0,9,1.43,2.07,0.0,231.0,1.0,4.99,15.0,24,1.5
01074,15.6,34.0,0,0.0,1.53,7.0,35.0,0.77,10.06,20.0,6,0.6
01075,5.63,7.0,9,2.07,1.56,0.0,280.0,1.0,2.55,7.0,31,2.3
01077,5.94,13.0,7,1.23,2.79,10.0,226.0,0.67,4.77,13.0,27,1.7
01079,14.14,28.0,5,0.17,1.65,4.0,191.0,0.87,1.65,4.0,26,2.6
01080,12.4,24.0,6,0.47,1.32,6.0,233.0,0.8,1.32,6.0,28,2.4
01081,9.9,24.0,1,0.2,8.32,16.0,26.0,0.47,8.49,21.0,9,0.9
01082,17.5,41.0,0,0.0,1.16,0.0,31.0,1.0,1.21,0.0,7,2.4
01083,12.57,25.0,1,0.17,1.71,5.0,37.0,0.83,3.75,16.0,12,1.4
01084,13.95,34.0,0,0.0,6.54,23.0,22.0,0.23,3.25,13.0,3,0.9
01085,0.67,0.0,9,1.8,0.67,0.0,244.0,1.0,0.65,0.0,26,3.0
01086,2.71,6.0,7,1.23,1.88,6.0,202.0,0.8,2.04,6.0,23,2.4
01088,5.43,11.0,5,1.5,1.68,9.0,127.0,0.7,3.74,11.0,15,1.37
01089,1.8,7.0,10,2.13,0.82,0.0,265.0,1.0,1.96,0.0,32,2.77
01092,13.71,29.0,1,0.03,0.18,0.0,44.0,1.0,3.23,12.0,13,1.8
01093,8.54,18.0,5,1.07,1.91,10.0,127.0,0.67,6.41,13.0,15,1.23
01094,17.05,41.0,0,0.0,3.28,10.0,24.0,0.67,8.7,22.0,4,0.7
01095,6.97,14.0,7,1.47,2.03,0.0,226.0,1.0,2.89,11.0,28,1.9
01096,9.37,21.0,2,0.6,4.56,16.0,42.0,0.47,5.51,16.0,3,0.77
01097,5.22,9.0,5,0.9,4.97,9.0,181.0,0.7,5.12,9.0,21,2.1
01098,14.47,38.0,0,0.0,6.61,27.0,8.0,0.1,1.17,0.0,2,1.1
01103,0.91,1.0,12,2.73,0.23,0.0,280.0,1.0,0.42,0.0,37,3.0
01104,1.47,3.0,10,2.47,0.48,0.0,268.0,1.0,1.5,4.0,32,2.6
01105,0.62,0.0,12,2.77,0.05,0.0,280.0,1.0,0.92,1.0,37,2.9
01106,2.75,7.0,11,2.17,0.8,0.0,268.0,1.0,2.8,7.0,37,2.23
01107,0.51,0.0,10,2.67,0.1,0.0,269.0,1.0,0.85,2.0,32,2.8
01108,0.87,0.0,10,2.7,0.07,0.0,274.0,1.0,1.75,4.0,33,2.6
01109,1.9,4.0,10,2.5,0.65,0.0,273.0,1.0,0.57,0.0,33,2.73
01118,2.32,3.0,8,2.43,0.89,0.0,255.0,1.0,0.9,0.0,33,2.67
01119,3.83,11.0,8,1.83,0.87,0.0,237.0,1.0,2.11,7.0,31,2.27
01128,4.26,8.0,8,1.93,0.91,5.0,247.0,0.83,1.05,5.0,33,2.3
01129,4.84,11.0,8,1.77,1.72,6.0,242.0,0.8,2.25,7.0,32,2.23
01151,5.5,10.0,10,1.9,0.65,0.0,265.0,1.0,0.98,0.0,32,2.47
01199,0.54,1.0,10,2.6,0.07,1.0,269.0,0.97,0.94,3.0,32,2.7
01201,1.92,0.0,1,1.0,0.22,0.0,59.0,1.0,0.22,0.0,8,3.0
01220,3.16,11.0,2,0.63,5.17,11.0,72.0,0.63,3.16,11.0,14,1.9
01222,19.53,42.0,0,0.0,3.84,7.0,13.0,0.77,3.66,12.0,4,1.57
01223,12.75,37.0,0,0.0,8.76,24.0,3.0,0.2,11.1,37.0,0,0.0
01224,3.47,14.0,2,0.6,2.44,11.0,64.0,0.63,3.47,14.0,13,1.6
01225,7.75,20.0,2,0.63,6.5,19.0,62.0,0.37,7.75,20.0,13,1.0
01226,2.79,10.0,1,0.67,1.47,0.0,59.0,1.0,2.79,10.0,8,2.0
01229,14.07,28.0,1,0.07,4.25,11.0,64.0,0.63,5.8,16.0,10,1.0
01230,20.16,39.0,0,0.0,0.38,0.0,14.0,1.0,0.37,0.0,4,2.13
01235,6.12,21.0,1,0.3,4.5,11.0,56.0,0.63,6.12,21.0,9,0.9
01236,16.43,34.0,0,0.0,3.8,10.0,10.0,0.67,4.08,10.0,2,1.33
01237,5.63,15.0,1,0.5,5.12,15.0,60.0,0.5,5.63,15.0,8,1.5
01238,10.94,21.0,1,0.3,0.72,0.0,66.0,1.0,9.42,21.0,10,0.9
01240,7.18,13.0,1,0.57,0.75,0.0,66.0,1.0,5.89,13.0,10,1.7
01242,8.9,18.0,1,0.4,1.87,5.0,66.0,0.83,7.96,18.0,10,1.2
01243,12.36,38.0,0,0.0,10.45,29.0,2.0,0.03,5.95,36.0,0,0.0
01244,21.78,44.0,0,0.0,6.7,20.0,11.0,0.33,7.48,23.0,4,0.7
01245,19.37,44.0,0,0.0,7.05,17.0,8.0,0.43,7.17,17.0,2,0.87
01247,2.18,0.0,1,1.0,0.26,0.0,9.0,1.0,0.25,0.0,5,3.0
01253,18.49,35.0,0,0.0,10.59,26.0,8.0,0.13,12.75,30.0,2,0.0
01254,9.49,20.0,1,0.33,4.09,15.0,66.0,0.5,7.52,20.0,10,1.0
01255,19.49,37.0,0,0.0,12.9,31.0,0.0,0.0,12.89,31.0,0,0.0
01256,7.58,30.0,1,0.0,9.41,18.0,16.0,0.4,7.58,18.0,6,0.4
01257,23.13,44.0,0,0.0,5.37,10.0,13.0,0.67,6.72,14.0,4,1.6
01258,23.91,61.0,0,0.0,5.15,24.0,7.0,0.2,6.27,24.0,2,0.4
01259,19.1,48.0,0,0.0,6.07,19.0,4.0,0.37,5.98,19.0,2,0.73
01260,13.21,27.0,1,0.1,3.35,10.0,64.0,0.67,6.6,16.0,10,1.03
01262,12.76,27.0,1,0.1,3.09,11.0,64.0,0.63,7.06,16.0,10,1.03
01264,15.76,35.0,0,0.0,6.19,14.0,10.0,0.53,8.66,27.0,2,0.2
01266,12.57,27.0,1,0.1,5.14,13.0,64.0,0.57,8.85,19.0,10,0.83
01267,5.63,14.0,1,0.53,0.42,0.0,18.0,1.0,4.81,14.0,6,1.6
01270,9.27,22.0,1,0.27,7.82,12.0,64.0,0.6,8.16,20.0,10,0.93
01301,1.43,0.0,4,1.07,0.37,0.0,83.0,1.0,0.36,0.0,10,3.0
01330,10.65,31.0,0,0.0,4.57,15.0,24.0,0.5,4.57,15.0,3,0.67
01331,17.12,28.0,3,0.2,1.42,0.0,20.0,1.0,1.39,0.0,8,2.43
01337,7.45,14.0,2,0.67,5.45,14.0,56.0,0.53,6.08,14.0,9,1.6
01338,9.63,34.0,0,0.0,4.34,16.0,10.0,0.47,7.55,24.0,1,0.2
01339,12.02,36.0,0,0.0,5.51,17.0,11.0,0.43,9.69,26.0,1,0.13
01340,7.6,23.0,1,0.23,5.28,11.0,40.0,0.63,7.81,23.0,6,0.7
01341,6.81,27.0,3,0.1,6.25,18.0,79.0,0.4,7.58,27.0,8,0.3
01342,3.32,10.0,3,1.07,3.23,10.0,92.0,0.67,3.5,10.0,8,2.0
01343,5.76,23.0,1,0.23,4.68,20.0,7.0,0.33,5.76,23.0,5,0.7
01344,8.88,19.0,1,0.37,5.84,15.0,53.0,0.5,7.37,19.0,9,1.1
01346,12.1,42.0,0,0.0,4.81,22.0,3.0,0.27,12.66,42.0,0,0.0
01347,5.66,18.0,1,0.4,3.73,11.0,58.0,0.63,4.68,18.0,6,1.2
01349,6.46,15.0,1,0.5,5.0,13.0,60.0,0.57,5.13,15.0,6,1.5
01350,8.44,27.0,1,0.1,2.9,14.0,7.0,0.53,7.64,27.0,5,0.3
01351,5.32,16.0,3,0.47,2.78,11.0,82.0,0.63,4.67,16.0,7,1.4
01354,6.24,10.0,1,0.67,3.92,10.0,43.0,0.67,4.55,10.0,6,2.0
01355,15.67,38.0,0,0.0,6.12,13.0,27.0,0.57,7.38,16.0,3,1.2
01360,10.89,19.0,2,0.4,7.51,19.0,59.0,0.37,9.2,19.0,9,1.1
01364,16.34,34.0,0,0.0,1.67,0.0,13.0,1.0,2.71,12.0,3,1.53
01366,16.32,32.0,0,0.0,2.24,0.0,32.0,1.0,2.24,0.0,4,1.87
01367,10.61,38.0,0,0.0,0.82,0.0,1.0,1.0,10.46,38.0,0,0.0
01368,14.61,31.0,0,0.0,6.46,14.0,20.0,0.53,6.57,14.0,4,1.17
01370,5.63,18.0,1,0.4,0.21,0.0,41.0,1.0,6.46,18.0,6,1.2
01373,7.65,15.0,5,1.43,4.4,5.0,127.0,0.83,7.93,15.0,15,1.5
01375,9.65,19.0,3,1.07,3.93,0.0,100.0,1.0,9.73,19.0,8,1.03
01376,3.35,10.0,1,0.67,1.62,10.0,48.0,0.67,1.79,10.0,6,2.0
01378,12.24,32.0,0,0.0,5.43,13.0,11.0,0.57,7.29,24.0,3,0.4
01379,11.31,31.0,0,0.0,5.01,19.0,12.0,0.37,8.74,30.0,3,0.0
01420,1.81,0.0,5,2.07,0.81,0.0,44.0,1.0,0.82,0.0,16,3.0
01430,7.92,16.0,4,1.4,5.5,15.0,22.0,0.5,4.04,15.0,12,1.43
01431,8.02,15.0,5,0.67,5.48,15.0,34.0,0.5,1.77,0.0,15,2.5
01432,9.51,21.0,3,0.47,0.87,0.0,101.0,1.0,9.05,21.0,21,0.9
01434,6.93,16.0,5,0.8,0.5,0.0,54.0,1.0,6.53,16.0,17,1.4
01436,10.53,20.0,3,1.0,0.7,0.0,34.0,1.0,4.32,11.0,8,1.5
01438,7.84,14.0,5,1.6,1.89,7.0,58.0,0.77,2.02,7.0,17,1.83
01440,5.92,11.0,5,1.9,0.39,0.0,55.0,1.0,0.45,0.0,19,2.27
01450,10.51,26.0,2,0.13,2.5,11.0,87.0,0.63,9.51,25.0,16,0.37
01451,9.18,20.0,3,0.47,2.45,0.0,78.0,1.0,6.36,20.0,15,1.0
01452,7.43,19.0,3,1.1,4.42,15.0,31.0,0.5,6.06,15.0,9,1.27
01453,0.05,0.0,7,2.0,0.03,0.0,153.0,1.0,0.03,0.0,26,3.0
01460,9.07,17.0,5,0.97,3.89,10.0,183.0,0.67,7.36,13.0,32,1.43
01462,3.12,12.0,5,1.33,3.33,12.0,37.0,0.6,3.33,12.0,14,1.8
01463,11.75,29.0,1,0.03,5.17,16.0,50.0,0.47,7.2,20.0,7,0.73
01464,5.87,17.0,5,0.63,2.16,0.0,37.0,1.0,5.37,17.0,12,1.3
01467,7.43,22.0,5,0.33,2.88,7.0,73.0,0.77,7.25,20.0,16,0.87
01468,9.36,16.0,5,1.4,2.0,9.0,58.0,0.7,3.7,9.0,17,1.63
01469,7.65,21.0,2,0.5,7.07,21.0,34.0,0.3,7.07,15.0,10,1.3
01473,1.46,0.0,5,3.0,1.41,0.0,48.0,1.0,1.42,0.0,18,3.0
01474,7.61,19.0,2,0.63,6.0,19.0,31.0,0.37,5.17,10.0,10,1.7
01475,12.53,19.0,3,1.1,4.78,11.0,33.0,0.63,7.65,14.0,10,1.27
01501,2.72,7.0,10,2.2,0.24,0.0,195.0,1.0,2.65,6.0,29,2.37
01503,6.68,17.0,11,1.17,3.86,8.0,245.0,0.73,4.21,10.0,34,1.57
01504,2.76,6.0,14,1.33,1.89,6.0,295.0,0.8,1.88,6.0,41,2.4
01505,3.86,9.0,9,1.67,0.83,0.0,193.0,1.0,3.86,9.0,24,2.1
01506,9.1,21.0,3,0.37,3.46,8.0,34.0,0.73,3.94,9.0,16,1.3
01507,5.69,12.0,6,1.27,0.45,0.0,167.0,1.0,5.57,12.0,24,1.8
01510,8.35,19.0,9,0.87,4.06,8.0,208.0,0.73,7.14,19.0,29,1.1
01515,10.04,19.0,4,0.83,4.71,12.0,126.0,0.6,0.82,0.0,23,1.73
01516,9.89,18.0,7,0.7,1.96,0.0,223.0,1.0,6.6,18.0,24,1.0
01518,5.53,11.0,1,0.63,3.32,6.0,62.0,0.8,5.37,11.0,12,1.9
01519,3.49,10.0,9,1.47,3.34,10.0,188.0,0.67,6.28,16.0,22,1.33
01520,4.78,11.0,9,1.7,0.68,0.0,182.0,1.0,4.78,11.0,23,1.9
01521,6.65,18.0,1,0.4,5.31,13.0,24.0,0.57,6.63,18.0,10,1.2
01522,7.48,22.0,4,0.53,2.33,13.0,152.0,0.57,6.39,22.0,17,0.8
01523,5.38,12.0,10,1.2,2.97,9.0,175.0,0.7,5.38,12.0,28,1.8
01524,4.0,8.0,9,1.97,3.73,8.0,183.0,0.73,3.25,8.0,27,2.2
01525,7.42,19.0,10,0.87,0.73,7.0,218.0,0.77,6.85,20.0,25,1.0
01527,0.35,0.0,10,2.33,0.34,0.0,231.0,1.0,3.84,7.0,27,2.23
01529,5.33,15.0,5,0.77,3.26,14.0,191.0,0.53,4.11,15.0,20,1.5
01531,15.42,36.0,0,0.0,5.15,12.0,24.0,0.6,7.56,19.0,4,0.7
01532,2.52,9.0,10,2.1,0.59,0.0,213.0,1.0,0.58,0.0,27,2.4
01534,6.26,14.0,9,1.03,1.9,9.0,186.0,0.7,7.3,19.0,24,1.0
01535,12.33,28.0,3,0.13,3.54,10.0,46.0,0.67,3.41,9.0,16,1.17
01536,3.7,11.0,9,1.83,1.79,9.0,200.0,0.7,4.94,10.0,24,1.87
01537,5.94,12.0,10,1.7,3.75,7.0,189.0,0.77,5.48,12.0,29,1.8
01540,8.15,17.0,7,1.27,5.51,9.0,188.0,0.7,6.18,9.0,30,1.93
01541,6.4,16.0,9,1.4,1.8,0.0,204.0,1.0,1.2,0.0,30,1.93
01542,4.8,10.0,6,1.77,3.83,10.0,181.0,0.67,4.13,10.0,25,2.0
01543,10.39,21.0,4,0.7,5.37,12.0,170.0,0.6,7.23,17.0,19,1.03
01545,2.79,11.0,10,1.83,0.8,0.0,207.0,1.0,2.79,11.0,28,1.9
01550,0.17,0.0,4,1.13,0.16,0.0,67.0,1.0,0.16,0.0,20,3.0
01560,4.19,9.0,9,1.43,3.9,9.0,200.0,0.7,7.67,16.0,24,1.37
01561,6.72,19.0,4,0.67,3.25,10.0,167.0,0.67,6.72,19.0,21,1.1
01562,7.6,15.0,6,1.23,7.1,15.0,171.0,0.5,2.88,8.0,22,1.73
01564,6.24,12.0,9,1.27,1.32,0.0,198.0,1.0,6.12,12.0,31,1.8
01566,3.34,6.0,4,0.97,1.24,0.0,105.0,1.0,3.17,6.0,19,2.4
01568,5.7,13.0,11,1.57,3.6,11.0,247.0,0.63,5.25,13.0,30,1.7
01569,8.8,18.0,7,1.07,0.56,0.0,241.0,1.0,7.81,18.0,23,1.2
01570,8.59,15.0,7,1.07,1.57,0.0,182.0,1.0,1.6,0.0,30,2.5
01571,5.95,19.0,5,0.67,0.69,0.0,72.0,1.0,3.73,8.0,19,1.83
01581,1.35,0.0,10,3.0,2.34,0.0,222.0,1.0,1.35,0.0,29,2.7
01583,4.29,11.0,13,1.63,1.92,0.0,204.0,1.0,4.29,11.0,32,1.9
01585,12.84,27.0,1,0.1,0.92,0.0,44.0,1.0,4.47,12.0,12,1.67
01588,7.1,15.0,10,1.0,1.25,0.0,225.0,1.0,8.33,21.0,26,0.9
01590,3.88,9.0,9,1.43,3.53,9.0,218.0,0.7,7.79,15.0,23,1.4
01602,1.52,5.0,8,2.5,0.65,0.0,182.0,1.0,0.68,0.0,23,2.73
01603,0.11,0.0,9,2.77,0.11,0.0,203.0,1.0,0.11,0.0,28,3.0
01604,2.14,7.0,8,2.23,1.07,0.0,190.0,1.0,1.08,0.0,22,2.67
01605,1.08,0.0,9,2.53,0.06,0.0,196.0,1.0,0.93,0.0,26,3.0
01606,1.76,5.0,9,2.23,0.83,0.0,195.0,1.0,1.76,5.0,25,2.5
01607,2.33,7.0,8,2.3,1.34,4.0,194.0,0.87,1.32,4.0,23,2.5
01608,0.63,4.0,9,2.6,0.15,0.0,208.0,1.0,0.62,2.0,26,2.73
01609,0.77,0.0,9,2.57,0.57,0.0,196.0,1.0,0.77,0.0,26,3.0
01610,1.2,3.0,9,2.63,0.18,0.0,204.0,1.0,0.38,0.0,28,2.9
01611,1.85,5.0,9,2.27,1.58,5.0,182.0,0.83,1.08,5.0,27,2.5
01612,6.11,12.0,8,1.8,4.39,8.0,182.0,0.73,5.41,8.0,21,1.93
01701,2.85,7.0,7,1.3,1.12,0.0,199.0,1.0,1.58,0.0,30,2.53
01702,0.36,0.0,8,1.53,0.32,0.0,267.0,1.0,0.36,0.0,34,3.0
01718,8.32,20.0,5,0.6,4.5,11.0,154.0,0.63,4.59,11.0,23,1.9
01719,12.32,27.0,2,0.17,4.14,12.0,121.0,0.6,3.84,13.0,18,1.43
01720,10.99,23.0,6,0.53,2.84,8.0,268.0,0.73,3.13,9.0,36,2.1
01721,2.68,9.0,5,1.5,2.43,9.0,128.0,0.7,2.68,9.0,16,2.1
01730,7.74,15.0,10,1.33,0.14,0.0,585.0,1.0,0.64,0.0,55,2.17
01731,4.97,13.0,14,1.43,2.38,7.0,909.0,0.77,3.57,10.0,62,1.8
01740,9.64,21.0,12,0.9,0.62,0.0,289.0,1.0,6.0,11.0,46,1.4
01741,6.56,17.0,6,0.9,0.54,0.0,250.0,1.0,4.29,10.0,39,1.83
01742,7.5,18.0,6,0.93,0.42,0.0,359.0,1.0,0.43,0.0,37,3.0
01745,4.34,11.0,13,1.83,1.66,3.0,340.0,0.9,4.34,11.0,47,1.9
01746,4.72,15.0,6,1.17,0.49,0.0,134.0,1.0,4.6,15.0,17,1.5
01747,2.61,4.0,7,1.37,0.63,4.0,106.0,0.87,2.09,4.0,14,2.6
01748,5.26,12.0,8,1.8,5.19,11.0,274.0,0.63,5.26,12.0,26,1.8
01749,8.15,19.0,10,1.1,1.81,7.0,250.0,0.77,4.84,9.0,35,1.63
01752,6.26,15.0,9,1.5,0.65,0.0,246.0,1.0,5.08,10.0,29,1.7
01754,9.97,23.0,4,0.53,0.17,0.0,204.0,1.0,1.63,7.0,26,2.03
01756,4.73,10.0,6,1.1,1.32,0.0,86.0,1.0,4.28,10.0,10,2.0
01757,1.36,0.0,7,1.47,1.21,0.0,108.0,1.0,0.86,0.0,14,3.0
01760,3.16,10.0,12,1.07,1.02,0.0,666.0,1.0,1.22,0.0,49,2.33
01770,3.73,11.0,4,0.9,2.59,0.0,212.0,1.0,3.55,10.0,26,1.93
01772,4.92,10.0,10,2.0,1.16,0.0,288.0,1.0,4.92,10.0,33,1.87
01773,3.57,10.0,13,1.6,1.43,0.0,972.0,1.0,3.57,10.0,67,2.0
01775,11.57,28.0,5,0.13,3.14,6.0,151.0,0.8,1.4,0.0,19,1.87
01776,7.42,17.0,3,0.8,0.68,0.0,170.0,1.0,4.51,12.0,21,1.53
01778,5.26,13.0,13,1.4,2.28,0.0,684.0,1.0,4.26,7.0,54,2.0
01801,1.9,0.0,23,2.0,0.44,0.0,1281.0,1.0,1.91,0.0,110,3.0
01803,3.98,6.0,23,1.67,0.8,0.0,1172.0,1.0,0.27,0.0,95,2.6
01810,3.62,12.0,12,1.8,0.46,0.0,318.0,1.0,3.65,8.0,40,2.2
01821,4.67,11.0,8,1.77,1.79,0.0,367.0,1.0,3.42,9.0,42,1.97
01824,2.13,8.0,7,1.8,0.71,0.0,275.0,1.0,2.16,0.0,36,2.4
01826,4.16,9.0,5,1.5,2.28,7.0,219.0,0.77,2.18,7.0,26,2.17
01827,8.25,21.0,2,0.5,3.27,12.0,100.0,0.6,4.39,14.0,14,1.33
01830,2.56,0.0,4,1.57,0.56,0.0,170.0,1.0,0.76,0.0,18,3.0
01832,2.46,5.0,5,1.6,1.48,5.0,196.0,0.83,1.62,5.0,23,2.5
01833,8.76,16.0,8,1.13,2.19,0.0,230.0,1.0,4.27,16.0,20,1.4
01834,5.87,7.0,7,1.27,1.37,7.0,151.0,0.77,1.37,7.0,16,2.3
01835,4.08,5.0,8,1.3,1.18,5.0,171.0,0.83,1.38,5.0,23,2.5
01840,0.58,3.0,7,1.87,0.09,0.0,233.0,1.0,0.08,0.0,31,2.9
01841,0.66,0.0,7,1.9,0.18,0.0,230.0,1.0,0.37,2.0,31,2.73
01843,0.91,4.0,10,1.87,0.19,0.0,261.0,1.0,0.95,0.0,37,3.0
01844,1.93,6.0,7,1.63,0.56,0.0,227.0,1.0,1.74,6.0,31,2.37
01845,3.59,11.0,11,1.4,0.91,0.0,242.0,1.0,2.53,9.0,35,2.1
01850,3.3,6.0,7,1.93,0.75,5.0,252.0,0.83,0.78,5.0,33,2.5
01851,1.09,0.0,6,2.07,0.32,0.0,264.0,1.0,1.14,0.0,33,2.7
01852,2.76,5.0,7,2.17,0.63,0.0,260.0,1.0,0.7,0.0,34,3.0
01854,1.98,4.0,6,1.87,0.24,0.0,250.0,1.0,0.49,0.0,30,2.67
01860,5.17,10.0,2,0.97,3.73,9.0,165.0,0.7,5.17,10.0,14,2.0
01862,4.57,10.0,7,1.93,0.48,0.0,338.0,1.0,3.86,9.0,40,2.0
01863,1.98,7.0,6,1.57,1.55,7.0,242.0,0.77,1.57,7.0,29,2.17
01864,5.79,19.0,14,1.03,2.19,0.0,626.0,1.0,2.78,14.0,49,1.57
01867,2.43,11.0,23,1.6,1.0,0.0,1238.0,1.0,2.01,6.0,102,2.1
01876,0.6,0.0,7,2.53,0.23,0.0,288.0,1.0,2.69,0.0,34,2.7
01879,4.66,12.0,4,1.27,1.86,0.0,167.0,1.0,3.93,12.0,26,1.77
01880,2.7,9.0,22,1.93,1.13,0.0,1158.0,1.0,1.72,5.0,89,2.2
01886,4.97,15.0,5,1.03,3.89,12.0,218.0,0.6,4.63,12.0,29,1.53
01887,4.32,9.0,21,1.93,2.04,0.0,998.0,1.0,1.8,0.0,79,2.4
01890,3.16,6.0,23,2.1,1.27,0.0,1168.0,1.0,2.67,6.0,116,2.4
01901,0.99,3.0,18,2.27,0.06,0.0,1064.0,1.0,0.1,0.0,85,3.0
01902,1.46,4.0,18,2.2,0.1,0.0,1047.0,1.0,0.34,0.0,84,3.0
01904,2.44,4.0,18,2.2,1.17,0.0,999.0,1.0,1.23,0.0,74,2.73
01905,1.0,0.0,18,2.5,0.39,0.0,1066.0,1.0,1.18,0.0,85,2.8
01906,1.84,0.0,19,2.5,2.39,4.0,1118.0,0.87,1.84,0.0,96,2.63
01907,2.95,8.0,16,1.83,0.21,0.0,941.0,1.0,0.86,5.0,63,2.5
01908,2.44,10.0,15,1.63,0.35,0.0,861.0,1.0,2.41,8.0,52,2.2
01913,8.88,14.0,2,0.7,0.52,0.0,165.0,1.0,8.49,14.0,14,1.6
01915,3.61,8.0,10,2.2,0.12,0.0,276.0,1.0,3.61,7.0,31,2.23
01921,6.67,19.0,8,1.1,1.78,0.0,222.0,1.0,6.19,19.0,19,1.1
01922,9.66,21.0,6,0.83,0.98,0.0,87.0,1.0,5.93,21.0,10,0.9
01923,0.3,0.0,11,3.0,1.07,0.0,503.0,1.0,0.26,0.0,40,3.0
01929,5.17,11.0,6,1.43,4.61,7.0,170.0,0.77,5.17,11.0,20,1.67
01930,0.49,0.0,6,1.47,0.5,0.0,99.0,1.0,0.48,0.0,9,2.23
01937,0.37,7.0,12,2.3,0.38,4.0,556.0,0.87,0.34,7.0,42,2.3
01938,8.88,23.0,6,0.7,2.16,0.0,113.0,1.0,8.88,23.0,9,0.7
01940,2.38,11.0,19,1.8,1.49,0.0,994.0,1.0,1.49,0.0,70,2.23
01944,5.44,10.0,7,1.53,4.2,10.0,171.0,0.67,5.43,10.0,21,1.77
01945,5.72,13.0,12,1.43,0.46,0.0,781.0,1.0,2.35,8.0,40,2.13
01949,1.74,9.0,12,2.1,1.12,0.0,417.0,1.0,1.76,9.0,40,2.1
01950,10.92,21.0,5,0.43,0.18,0.0,69.0,1.0,8.78,21.0,12,0.9
