ZCTA,minDisMet,time_to_nearest_methadone,count_in_range_methadone,methadone_score,minDisBup,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score,minDisNalV,time_to_nearest_naltrexone,count_in_range_naltrexone,naltrexone_score
92382,11.73,40.0,0,0.0,8.95,34.0,0.0,0.0,7.36,19.0,3,0.73
92384,,109.0,0,0.0,21.56,42.0,0.0,0.0,,96.0,0,0.0
92385,12.19,40.0,0,0.0,7.68,32.0,0.0,0.0,3.02,10.0,2,1.33
92386,25.23,71.0,0,0.0,3.26,15.0,2.0,0.5,14.38,36.0,0,0.0
92389,,132.0,0,0.0,26.45,65.0,0.0,0.0,,119.0,0,0.0
92391,12.39,33.0,0,0.0,7.18,26.0,14.0,0.13,0.44,0.0,5,2.13
92392,2.13,16.0,1,0.47,1.24,0.0,15.0,1.0,3.02,0.0,5,2.6
92394,4.98,22.0,1,0.27,2.05,13.0,15.0,0.57,2.11,13.0,5,1.67
92395,3.71,11.0,1,0.63,0.46,0.0,15.0,1.0,1.67,0.0,5,2.63
92397,17.35,37.0,0,0.0,14.99,34.0,0.0,0.0,12.83,34.0,0,0.0
92398,41.72,62.0,0,0.0,9.94,15.0,1.0,0.5,8.87,15.0,1,0.5
92399,10.01,16.0,2,0.7,0.35,0.0,122.0,1.0,1.35,0.0,17,2.0
92401,3.56,8.0,3,1.6,0.16,0.0,169.0,1.0,1.6,5.0,40,2.37
92404,5.89,13.0,3,1.33,1.0,0.0,169.0,1.0,2.01,6.0,38,2.2
92405,5.62,10.0,3,1.43,1.15,0.0,167.0,1.0,0.49,0.0,38,2.4
92407,8.36,12.0,3,1.2,3.46,0.0,165.0,1.0,0.75,0.0,36,2.37
92408,1.75,7.0,3,1.83,0.79,0.0,183.0,1.0,1.08,0.0,39,2.53
92410,3.37,7.0,3,1.7,0.28,0.0,180.0,1.0,1.78,5.0,40,2.37
92411,4.67,8.0,3,1.53,1.03,4.0,170.0,0.87,1.52,6.0,39,2.3
92501,1.23,0.0,5,1.9,1.06,0.0,244.0,1.0,0.31,0.0,50,3.0
92503,8.77,14.0,3,0.93,0.35,0.0,190.0,1.0,2.29,0.0,39,2.4
