ZCTA,ZIPCODE,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
02839,2839,4.29,2062,0,0.0,0.0
02840,2840,7.22,23211,11,1.52,0.0
02841,2841,0.47,1632,0,0.0,0.0
02842,2842,12.7,15997,3,0.24,0.0
02852,2852,30.88,22031,4,0.13,0.0
02857,2857,41.75,8733,1,0.02,0.0
02858,2858,0.58,728,0,0.0,0.0
02859,2859,28.35,7227,1,0.04,0.0
02860,2860,5.4,47127,13,2.41,0.0
02861,2861,3.56,25044,5,1.4,0.0
02863,2863,1.2,19346,2,1.67,0.0
02864,2864,26.42,34624,6,0.23,0.0
02865,2865,16.65,17448,1,0.06,0.0
02871,2871,17.04,17140,4,0.23,0.0
02872,2872,5.95,278,0,0.0,0.0
02873,2873,2.82,190,0,0.0,0.0
02874,2874,15.17,5960,0,0.0,0.0
02875,2875,1.15,546,0,0.0,0.0
02876,2876,0.13,291,0,0.0,0.0
02878,2878,29.08,15816,3,0.1,0.0
02879,2879,37.37,20524,5,0.13,0.0
02881,2881,3.61,7836,0,0.0,0.0
02882,2882,12.79,13951,3,0.23,0.0
02885,2885,6.13,10464,3,0.49,0.0
02886,2886,14.91,29007,5,0.34,0.0
02888,2888,5.93,19167,4,0.67,0.0
02889,2889,8.7,27333,4,0.46,0.0
02891,2891,26.35,21085,4,0.15,0.0
02892,2892,27.41,5186,1,0.04,0.0
02893,2893,7.84,29153,7,0.89,0.0
02894,2894,4.33,674,0,0.0,0.0
02895,2895,7.75,41539,11,1.42,0.0
02896,2896,23.76,12058,2,0.08,0.0
02898,2898,11.55,1643,1,0.09,0.0
02903,2903,1.75,10542,6,3.43,0.0
02904,2904,5.22,30522,8,1.53,0.0
02905,2905,3.68,25488,5,1.36,0.0
02906,2906,3.24,28196,6,1.85,0.0
02907,2907,2.2,30781,7,3.18,0.0
02908,2908,3.16,37549,8,2.53,0.0
02909,2909,3.46,40572,8,2.31,0.0
02910,2910,3.45,22143,5,1.45,0.0
02911,2911,2.49,15864,1,0.4,0.0
02912,2912,0.04,1360,0,0.0,0.0
02914,2914,4.89,21605,3,0.61,0.0
02915,2915,5.54,16646,2,0.36,0.0
02916,2916,2.56,9075,2,0.78,0.0
02917,2917,21.34,13803,2,0.09,0.0
02919,2919,23.53,29254,5,0.21,0.0
02920,2920,9.2,37199,8,0.87,0.0
02921,2921,13.16,12415,1,0.08,0.0
03031,3031,34.44,11393,1,0.03,0.0
03032,3032,25.32,5385,0,0.0,0.0
03033,3033,19.82,5298,1,0.05,0.0
03034,3034,32.98,4033,0,0.0,0.0
03036,3036,26.04,5039,0,0.0,0.0
03037,3037,48.11,4355,0,0.0,0.0
03038,3038,35.84,33826,1,0.03,0.0
03042,3042,25.97,6919,0,0.0,0.0
03043,3043,31.12,1673,0,0.0,0.0
03044,3044,16.97,4649,0,0.0,0.0
03045,3045,35.8,13678,0,0.0,0.0
03046,3046,30.87,2811,0,0.0,0.0
03047,3047,26.42,1765,0,0.0,0.0
03048,3048,29.55,3504,0,0.0,0.0
03049,3049,31.7,7880,0,0.0,0.0
03051,3051,28.29,25328,1,0.04,0.0
03052,3052,14.9,8395,0,0.0,0.0
03053,3053,41.09,25270,2,0.05,0.0
03054,3054,32.59,25815,2,0.06,0.0
03055,3055,25.01,15486,1,0.04,0.0
03057,3057,16.86,2533,1,0.06,0.0
03060,3060,6.54,29586,3,0.46,0.0
03062,3062,12.07,27938,2,0.17,0.0
03063,3063,8.11,16781,3,0.37,0.0
03064,3064,4.13,14301,1,0.24,0.0
03070,3070,43.0,5621,1,0.02,0.0
03071,3071,32.72,5316,0,0.0,0.0
03076,3076,26.32,13596,2,0.08,0.0
03077,3077,29.46,10389,0,0.0,0.0
03079,3079,24.83,29133,3,0.12,0.0
03082,3082,28.58,1670,0,0.0,0.0
03084,3084,22.12,1307,0,0.0,0.0
03086,3086,26.96,3788,0,0.0,0.0
03087,3087,26.74,14508,0,0.0,0.0
03101,3101,0.77,2701,2,2.58,0.0
03102,3102,9.04,32564,2,0.22,0.0
03103,3103,9.75,37641,2,0.21,0.0
03104,3104,8.27,32603,2,0.24,0.0
03106,3106,36.14,14203,3,0.08,0.0
03109,3109,7.36,10550,0,0.0,0.0
03110,3110,32.78,22388,0,0.0,0.0
03215,3215,48.01,183,0,0.0,0.0
03216,3216,38.19,2548,0,0.0,0.0
03217,3217,10.96,2142,0,0.0,0.0
03218,3218,14.31,872,0,0.0,0.0
03220,3220,30.61,7453,5,0.16,0.0
03221,3221,46.11,2190,0,0.0,0.0
03222,3222,72.8,5855,0,0.0,0.0
03223,3223,73.28,3383,1,0.01,0.0
03224,3224,40.35,2335,0,0.0,0.0
03225,3225,29.19,3670,0,0.0,0.0
03226,3226,13.45,995,1,0.07,0.0
03227,3227,64.86,979,0,0.0,0.0
03229,3229,43.33,5670,0,0.0,0.0
03230,3230,40.98,1280,0,0.0,0.0
03231,3231,2.2,251,0,0.0,0.0
03233,3233,0.56,101,0,0.0,0.0
03234,3234,34.39,4713,1,0.03,0.0
03235,3235,29.74,8698,1,0.03,0.0
03237,3237,37.02,2433,0,0.0,0.0
03238,3238,2.76,125,0,0.0,0.0
03240,3240,41.48,1220,0,0.0,0.0
03241,3241,41.54,752,0,0.0,0.0
03242,3242,44.02,4950,0,0.0,0.0
03243,3243,26.36,931,0,0.0,0.0
03244,3244,82.05,7892,1,0.01,0.0
03245,3245,30.4,2180,0,0.0,0.0
03246,3246,19.98,16324,2,0.1,0.0
03249,3249,38.84,7157,0,0.0,0.0
03251,3251,150.61,1229,0,0.0,0.0
03253,3253,38.91,6322,2,0.05,0.0
03254,3254,59.52,4095,0,0.0,0.0
03255,3255,36.66,1961,0,0.0,0.0
03256,3256,37.71,2333,0,0.0,0.0
03257,3257,22.89,4696,0,0.0,0.0
03258,3258,21.14,2664,0,0.0,0.0
03259,3259,23.65,336,0,0.0,0.0
03260,3260,24.49,736,0,0.0,0.0
03261,3261,28.11,4343,0,0.0,0.0
03262,3262,57.01,899,0,0.0,0.0
03263,3263,24.2,4084,1,0.04,0.0
03264,3264,36.77,7307,0,0.0,0.0
03266,3266,102.56,2209,0,0.0,0.0
03268,3268,30.22,1134,0,0.0,0.0
03269,3269,47.43,2976,0,0.0,0.0
03273,3273,5.9,398,0,0.0,0.0
03275,3275,43.02,11542,0,0.0,0.0
03276,3276,39.41,8263,0,0.0,0.0
03278,3278,62.08,2948,1,0.02,0.0
03279,3279,45.77,852,0,0.0,0.0
03280,3280,45.54,1164,0,0.0,0.0
03281,3281,59.07,9011,0,0.0,0.0
03282,3282,41.45,871,0,0.0,0.0
03284,3284,38.84,843,0,0.0,0.0
03285,3285,50.08,2502,0,0.0,0.0
03287,3287,26.19,1566,0,0.0,0.0
03290,3290,45.78,4860,0,0.0,0.0
03291,3291,0.18,106,0,0.0,0.0
03293,3293,1.62,195,0,0.0,0.0
03301,3301,49.39,33004,6,0.12,0.0
03303,3303,67.53,15834,0,0.0,0.0
03304,3304,28.16,7837,1,0.04,0.0
03307,3307,49.38,5488,0,0.0,0.0
03431,3431,59.37,25463,4,0.07,0.0
03440,3440,36.19,3015,0,0.0,0.0
03441,3441,3.92,185,0,0.0,0.0
03442,3442,11.36,1407,0,0.0,0.0
03443,3443,11.11,552,0,0.0,0.0
03444,3444,27.89,1479,0,0.0,0.0
03445,3445,20.01,765,0,0.0,0.0
03446,3446,42.73,5940,0,0.0,0.0
03447,3447,35.0,2395,0,0.0,0.0
03448,3448,19.48,738,0,0.0,0.0
03449,3449,29.97,1785,0,0.0,0.0
03450,3450,18.63,921,0,0.0,0.0
03451,3451,21.38,3966,1,0.05,0.0
03452,3452,38.38,5307,1,0.03,0.0
03455,3455,23.5,2295,0,0.0,0.0
03456,3456,25.96,813,0,0.0,0.0
03457,3457,23.03,796,0,0.0,0.0
03458,3458,53.74,6904,2,0.04,0.0
03461,3461,37.13,6106,1,0.03,0.0
03462,3462,19.54,1345,0,0.0,0.0
03464,3464,49.82,1054,0,0.0,0.0
03465,3465,17.67,2015,0,0.0,0.0
03466,3466,15.29,1698,1,0.07,0.0
03467,3467,35.43,1685,0,0.0,0.0
03470,3470,87.36,5126,1,0.01,0.0
03561,3561,50.83,5931,1,0.02,0.0
03570,3570,105.34,10382,1,0.01,0.0
03574,3574,90.59,2568,0,0.0,0.0
03575,3575,27.81,80,0,0.0,0.0
03576,3576,142.47,2807,1,0.01,0.0
03579,3579,549.26,344,0,0.0,0.0
03580,3580,94.97,1306,0,0.0,0.0
03581,3581,150.41,3080,1,0.01,0.0
03582,3582,85.37,2459,0,0.0,0.0
03583,3583,50.23,941,0,0.0,0.0
03584,3584,59.06,3686,1,0.02,0.0
03585,3585,80.82,2666,0,0.0,0.0
03586,3586,16.69,629,0,0.0,0.0
03588,3588,142.73,1580,0,0.0,0.0
03590,3590,105.27,940,0,0.0,0.0
03592,3592,329.05,1060,0,0.0,0.0
03593,3593,93.42,422,0,0.0,0.0
03595,3595,36.8,660,0,0.0,0.0
03597,3597,53.44,435,0,0.0,0.0
03598,3598,61.8,3231,2,0.03,0.0
03601,3601,19.2,390,0,0.0,0.0
03602,3602,58.05,2568,0,0.0,0.0
03603,3603,42.61,5290,0,0.0,0.0
03604,3604,0.49,269,0,0.0,0.0
03605,3605,32.34,911,0,0.0,0.0
03607,3607,15.52,440,0,0.0,0.0
03608,3608,33.84,2926,1,0.03,0.0
03609,3609,0.89,680,0,0.0,0.0
03740,3740,34.3,656,0,0.0,0.0
03741,3741,76.93,4033,0,0.0,0.0
03743,3743,61.18,13676,3,0.05,0.0
03745,3745,34.9,1546,0,0.0,0.0
03746,3746,7.06,267,0,0.0,0.0
03748,3748,42.99,4864,0,0.0,0.0
03750,3750,12.53,879,0,0.0,0.0
03751,3751,3.05,583,0,0.0,0.0
03752,3752,22.44,772,0,0.0,0.0
03753,3753,27.12,2874,0,0.0,0.0
03754,3754,0.04,267,0,0.0,0.0
03755,3755,36.09,10885,0,0.0,0.0
03765,3765,4.44,471,0,0.0,0.0
03766,3766,31.75,9392,1,0.03,0.0
03768,3768,53.82,1682,0,0.0,0.0
03770,3770,4.95,513,0,0.0,0.0
03771,3771,22.06,927,0,0.0,0.0
03773,3773,92.4,7658,0,0.0,0.0
03774,3774,25.89,2115,0,0.0,0.0
03777,3777,45.16,1507,0,0.0,0.0
03779,3779,39.78,807,0,0.0,0.0
03780,3780,16.28,536,0,0.0,0.0
03781,3781,47.27,1902,0,0.0,0.0
03782,3782,21.06,3006,0,0.0,0.0
03784,3784,8.38,4004,1,0.12,0.0
03785,3785,59.72,2240,1,0.02,0.0
03801,3801,23.77,22576,9,0.38,0.0
03809,3809,40.71,3660,0,0.0,0.0
03810,3810,23.28,1720,0,0.0,0.0
03811,3811,11.13,6897,0,0.0,0.0
03812,3812,60.49,577,1,0.02,0.0
03813,3813,96.09,2702,2,0.02,0.0
03814,3814,31.57,2353,2,0.06,0.0
03816,3816,28.74,1536,0,0.0,0.0
03817,3817,9.76,765,0,0.0,0.0
03818,3818,85.43,3948,1,0.01,0.0
03819,3819,11.65,4498,0,0.0,0.0
03820,3820,27.75,31367,4,0.14,0.0
03823,3823,10.59,1816,0,0.0,0.0
03824,3824,22.41,16440,0,0.0,0.0
03825,3825,46.19,9201,0,0.0,0.0
03826,3826,2.77,2309,0,0.0,0.0
03827,3827,17.84,3171,0,0.0,0.0
03830,3830,12.88,2095,0,0.0,0.0
03832,3832,24.96,323,0,0.0,0.0
03833,3833,48.65,22096,0,0.0,0.0
03835,3835,36.65,6884,1,0.03,0.0
03836,3836,34.97,1353,0,0.0,0.0
03837,3837,20.1,1305,0,0.0,0.0
03838,3838,22.99,1184,1,0.04,0.0
03839,3839,8.47,3938,0,0.0,0.0
03840,3840,10.49,3941,0,0.0,0.0
03841,3841,10.96,6437,0,0.0,0.0
03842,3842,12.77,15412,3,0.23,0.0
03844,3844,12.32,2344,0,0.0,0.0
03845,3845,13.29,1056,0,0.0,0.0
03846,3846,64.8,966,0,0.0,0.0
03847,3847,0.85,337,0,0.0,0.0
03848,3848,19.78,6190,0,0.0,0.0
03849,3849,24.99,1462,0,0.0,0.0
03850,3850,3.02,275,0,0.0,0.0
03851,3851,26.4,4072,0,0.0,0.0
03852,3852,6.74,571,0,0.0,0.0
03853,3853,7.92,538,0,0.0,0.0
03854,3854,0.81,780,0,0.0,0.0
03855,3855,41.38,2699,0,0.0,0.0
03856,3856,7.09,1670,0,0.0,0.0
03857,3857,12.65,9064,0,0.0,0.0
03858,3858,9.82,4886,0,0.0,0.0
03860,3860,20.11,4395,1,0.05,0.0
03861,3861,19.99,4424,1,0.05,0.0
03862,3862,13.86,4465,3,0.22,0.0
03864,3864,34.3,1801,0,0.0,0.0
03865,3865,10.6,7677,2,0.19,0.0
03867,3867,29.58,21519,1,0.03,0.0
03868,3868,7.55,5204,1,0.13,0.0
03869,3869,7.08,2479,0,0.0,0.0
03870,3870,12.22,5319,0,0.0,0.0
03871,3871,0.42,115,0,0.0,0.0
03872,3872,47.44,3301,0,0.0,0.0
03873,3873,13.32,6194,0,0.0,0.0
03874,3874,9.01,8868,3,0.33,0.0
03875,3875,13.92,1067,0,0.0,0.0
03878,3878,10.01,11959,1,0.1,0.0
