"","GEOID","year","TotalPop","TotalVetPop","VetPercent","MalePop","MaleVetPop","Male18To34","MaleVet18To34","Male35To54","MaleVet35To54","Male55To64","MaleVet55To64","Male65To74","MaleVet65To74","Male75Plus","MaleVet75Plus","FemalePop","FemaleVetPop","Female18To34","FemaleVet18To34","Female35To54","FemaleVet35To54","Female55To64","FemaleVet55To64","Female65To74","FemaleVet65To74","Female75Plus","FemaleVet75Plus"
"1","01",2010,3564416,408032,11.45,1692570,378354,522214,25588,638196,105579,266044,100375,161365,74616,104751,72196,1871846,29678,537481,7279,674480,14039,290784,4299,191869,1661,177232,2400
"2","02",2010,488956,71798,14.68,248427,63338,79329,7581,103445,22490,41441,18571,16487,9214,7725,5482,240529,8460,78032,2369,99492,4479,37063,1095,15532,325,10410,192
"3","04",2010,4612916,542210,11.75,2264806,502922,743330,35186,818598,118823,324865,125303,219478,110406,158535,113204,2348110,39288,710385,7705,825107,18155,357403,5772,242932,2972,212283,4684
"4","05",2010,2159362,249621,11.56,1040777,234572,322972,16457,380558,58491,162051,62970,104656,48492,70540,48162,1118585,15049,322594,2916,391387,7118,173905,2407,118675,1205,112024,1403
"5","06",2010,27168806,2051959,7.55,13324056,1919171,4562542,149845,5191391,446272,1815977,490084,985960,381897,768186,451073,13844750,132788,4373739,29015,5216188,53841,1948373,17567,1149587,10647,1156863,21718
"6","08",2010,3654234,405722,11.1,1806970,372458,593421,29394,716614,106636,270899,100947,134340,69277,91696,66204,1847264,33264,567115,6827,712329,16477,278834,4632,149450,2145,139536,3183
"7","09",2010,2709414,243147,8.97,1292741,229948,362803,10905,523930,46654,201454,59161,110117,49144,94437,64084,1416673,13199,360386,1855,551432,5916,217706,1927,130010,918,157139,2583
"8","10",2010,672254,78195,11.63,319162,72575,95985,4252,120570,18949,49260,18731,31510,15070,21837,15573,353092,5620,99363,967,128750,2988,55414,645,36381,421,33184,599
"9","11",2010,478248,33139,6.93,221637,30849,89165,2593,77439,8347,28280,6888,15512,5912,11241,7109,256611,2290,104406,386,78242,1101,33608,337,19725,280,20630,186
"10","12",2010,14439481,1672288,11.58,6946799,1554737,1971291,88834,2536352,356692,1049923,356628,760473,342353,628760,410230,7492682,117551,1946581,21706,2625519,52786,1175710,16998,872541,9449,872331,16612
"11","13",2010,6950293,708862,10.2,3320017,641828,1100461,49739,1339059,203160,473928,172114,256075,116745,150494,100070,3630276,67034,1132238,15159,1408420,38082,524836,7886,304690,2588,260092,3319
"12","15",2010,993265,116610,11.74,479360,106219,136716,11246,178827,25312,81856,27672,44314,20455,37647,21534,513905,10391,141791,3923,184574,3943,83101,868,49482,771,54957,886
"13","16",2010,1103151,130011,11.79,545376,121235,179081,9299,198928,30724,83533,32204,49458,24517,34376,24491,557775,8776,174174,1780,199692,3944,84735,1288,51363,692,47811,1072
"14","17",2010,9570501,795806,8.32,4620673,751484,1507227,49841,1791772,166599,668451,202137,369555,148968,283668,183939,4949828,44322,1478932,9710,1836860,20814,719059,5345,441124,2754,473853,5699
"15","18",2010,4805095,489150,10.18,2328492,462466,738564,27896,896593,122417,350536,125800,198059,87399,144740,98954,2476603,26684,724401,4336,907189,13189,372506,3846,231562,1941,240945,3372
"16","19",2010,2289873,245537,10.72,1116530,232390,344483,13907,410642,51497,173254,63122,101456,45718,86695,58146,1173343,13147,330838,2503,407949,5822,176077,1813,115972,1008,142507,2001
"17","20",2010,2078785,228805,11.01,1011874,213040,325112,15175,377286,51555,152714,58079,85018,39079,71744,49152,1066911,15765,316333,3527,382567,7488,156956,2293,96810,921,114245,1536
"18","21",2010,3248702,331344,10.2,1565502,309944,477326,22436,605120,82711,246113,84759,143348,58747,93595,61291,1683200,21400,477820,4670,619136,10877,263153,2851,166968,1243,156123,1759
"19","22",2010,3308275,318533,9.63,1586454,296600,520313,26543,598751,72971,240958,79782,135315,57380,91117,59924,1721821,21933,528414,6653,623255,9559,259488,2756,160611,1211,150053,1754
"20","23",2010,1042922,137386,13.17,501971,128387,128841,7095,196224,34001,88922,34303,50274,25708,37710,27280,540951,8999,129749,1330,204241,4576,91782,1015,55827,903,59352,1175
"21","24",2010,4306523,455328,10.57,2037430,409137,627706,32194,814145,116052,310713,104098,165740,74749,119126,82044,2269093,46191,641111,10341,889607,25565,345961,5228,196484,1827,195930,3230
"22","25",2010,5039038,425979,8.45,2394770,402216,735128,20396,935768,81057,361978,102286,196122,85829,165774,112648,2644268,23763,750938,3743,984040,8622,394589,3372,234291,2169,280410,5857
"23","26",2010,7526062,731023,9.71,3639958,692826,1081418,35272,1420997,161738,575222,196897,319618,135452,242703,163467,3886104,38197,1070882,5991,1453544,18874,607007,5407,366128,3181,388543,4744
"24","27",2010,3956608,395262,9.99,1943236,374439,609481,20021,759759,85177,289412,106017,158279,75711,126305,87513,2013372,20823,589970,3500,754006,10245,295817,2769,175578,1323,198001,2986
"25","28",2010,2170828,212088,9.77,1030222,196147,333702,14959,385105,53898,158332,49633,93760,38477,59323,39180,1140606,15941,342817,4274,410056,7745,171479,1935,112260,889,103994,1098
"26","29",2010,4473324,511253,11.43,2148571,480675,659734,30052,815055,119125,327399,131875,199160,94629,147223,104994,2324753,30578,666095,5869,837555,14984,354762,4578,229962,2157,236379,2990
"27","30",2010,746963,100874,13.5,370188,93846,107243,6505,133514,21781,65404,26547,36979,19700,27048,19313,376775,7028,101947,1621,135167,3104,63805,1184,37865,407,37991,712
"28","31",2010,1339924,149594,11.16,654553,139363,210976,10237,242361,33597,98516,35633,55251,26618,47449,33278,685371,10231,204950,2344,241535,4918,100800,1133,62906,716,75180,1120
"29","32",2010,1966797,234081,11.9,986612,216714,313969,15518,382242,57427,147293,59055,90254,46935,52854,37779,980185,17367,302231,3753,366000,8313,152023,2364,92370,1751,67561,1186
"30","33",2010,1016702,121711,11.97,495404,113178,133557,5845,204798,30018,82483,30781,43456,23253,31110,23281,521298,8533,132280,1192,209020,4170,84233,1076,47074,616,48691,1479
"31","34",2010,6630588,488675,7.37,3171658,465331,932507,21886,1289765,85321,472111,118329,263966,103036,213309,136759,3458930,23344,910130,4039,1350290,9581,520214,3407,320682,1585,357614,4732
"32","35",2010,1492129,177740,11.91,724995,164440,229592,12313,264036,42193,115527,44776,68505,32687,47335,32471,767134,13300,224466,2623,275839,5948,124281,2436,76134,871,66414,1422
"33","36",2010,14819772,1025496,6.92,7034592,972731,2241893,53150,2707985,200690,1033548,246888,584589,204726,466577,267277,7785180,52765,2273173,10575,2851394,24046,1156451,6268,720490,3257,783672,8619
"34","37",2010,6947547,747052,10.75,3296349,686097,1007284,50522,1290671,192119,507697,183707,298145,130923,192552,128826,3651198,60955,1054922,14134,1358514,31830,560687,8175,352501,2983,324574,3833
"35","38",2010,506311,55739,11.01,251930,51711,84390,4615,87246,11820,38795,14660,21675,9748,19824,10868,254381,4028,77228,1099,85880,1753,36762,340,23815,369,30696,467
"36","39",2010,8734389,936383,10.72,4192365,881569,1249103,49832,1619878,216618,659758,241982,373338,170544,290288,202593,4542024,54814,1248390,9680,1668009,27424,704552,7700,443004,3592,478069,6418
"37","40",2010,2741203,327913,11.96,1329550,305245,428987,24534,486380,74412,201670,83863,125031,61780,87482,60656,1411653,22668,420482,5677,496357,10394,215905,3384,143685,1584,135224,1629
"38","41",2010,2895050,345700,11.94,1417312,323165,437124,19485,522818,75254,233104,91604,127395,67256,96871,69566,1477738,22535,424987,3617,525549,9955,243703,3652,139660,1968,143839,3343
"39","42",2010,9781377,1034976,10.58,4685402,979456,1361511,52191,1784655,206165,738724,256833,431383,204263,369129,260004,5095975,55520,1348924,9109,1833830,25656,786876,7345,510132,4287,616213,9123
"40","44",2010,822070,78976,9.61,388627,74489,119993,4507,148399,15523,59284,19572,32143,15173,28808,19714,433443,4487,122532,760,157993,1915,63909,654,38520,285,50489,873
"41","45",2010,3405584,401258,11.78,1620478,370487,499404,27092,606415,99897,259765,100456,159034,76058,95860,66984,1785106,30771,511031,7455,644540,15690,288993,3499,183624,1903,156918,2224
"42","46",2010,596764,72138,12.09,294517,66946,91059,4878,107897,16077,45859,17730,26185,12625,23517,15636,302247,5192,87545,1186,105735,2250,44624,736,28774,352,35569,668
"43","47",2010,4730569,505746,10.69,2262811,471630,693319,30762,867264,125814,356698,132646,212142,93284,133388,89124,2467758,34116,705595,6833,907778,17291,385165,5128,246020,2414,223200,2450
"44","48",2010,17537127,1635367,9.33,8561561,1504183,2996275,139500,3335800,416811,1162048,390198,639063,280666,428375,277008,8975566,131184,2941307,32737,3394339,63643,1240716,16774,735359,7873,663845,10157
"45","49",2010,1817205,149469,8.23,900626,140475,374596,11923,311017,32260,108818,36121,61108,27691,45087,32480,916579,8994,367010,1759,307677,4158,112790,1127,67452,633,61650,1317
"46","50",2010,491120,52765,10.74,238766,49531,67385,2181,91490,12117,41766,13935,22141,10436,15984,10862,252354,3234,65789,518,95006,1475,42447,470,23952,340,25160,431
"47","51",2010,5878933,749609,12.75,2805441,665697,865805,64313,1110351,208513,432729,167906,239079,113977,157477,110988,3073492,83912,895085,22471,1178356,44309,467429,9182,275318,3196,257304,4754
