ZIP,ZCTA,SVIS,SVI_THEME1,SVI_THEME2,SVI_THEME3,SVI_THEME4
29540,29540,0.82,0.86,0.72,0.53,0.73
29536,29536,0.9,0.92,0.86,0.59,0.79
29565,29565,0.77,0.79,0.91,0.33,0.63
29484,29484,0.88,0.75,0.88,0.66,0.88
29426,29426,0.72,0.76,0.71,0.59,0.56
29472,29472,0.69,0.81,0.36,0.47,0.69
29821,29821,0.56,0.56,0.76,0.37,0.45
29824,29824,0.78,0.76,0.56,0.59,0.81
29130,29130,0.6,0.67,0.5,0.33,0.64
29180,29180,0.74,0.79,0.68,0.52,0.65
29016,29016,0.48,0.42,0.46,0.54,0.53
29065,29065,0.75,0.83,0.8,0.5,0.56
29132,29132,0.61,0.73,0.77,0.4,0.35
29501,29501,0.52,0.52,0.61,0.43,0.52
29505,29505,0.49,0.51,0.74,0.44,0.33
29502,29502,0.51,0.5,0.82,0.31,0.41
29504,29504,0.3,0.37,0.67,0.43,0.13
29541,29541,0.68,0.61,0.71,0.52,0.67
29560,29560,0.82,0.86,0.89,0.41,0.65
29440,29440,0.74,0.72,0.85,0.48,0.64
29442,29442,0.39,0.28,0.68,0.44,0.38
29576,29576,0.27,0.3,0.49,0.16,0.39
29585,29585,0.23,0.17,0.35,0.31,0.39
29609,29609,0.51,0.48,0.58,0.45,0.56
29614,29614,0.08,0.21,0.08,0.28,0.26
29607,29607,0.42,0.4,0.29,0.51,0.56
29601,29601,0.5,0.49,0.31,0.47,0.7
29604,29604,0.02,0.01,0.23,0.15,0.06
29605,29605,0.61,0.61,0.62,0.52,0.54
29687,29687,0.41,0.44,0.48,0.45,0.39
29615,29615,0.38,0.24,0.45,0.51,0.54
29650,29650,0.34,0.23,0.37,0.56,0.43
29617,29617,0.78,0.74,0.59,0.67,0.78
29651,29651,0.46,0.5,0.52,0.48,0.39
29652,29652,0.92,0.8,0.89,0.7,0.92
29690,29690,0.53,0.53,0.57,0.25,0.67
29681,29681,0.22,0.2,0.38,0.44,0.21
29662,29662,0.52,0.37,0.52,0.64,0.62
29644,29644,0.55,0.62,0.56,0.42,0.47
29680,29680,0.25,0.22,0.37,0.5,0.26
29636,29636,0.8,0.93,0.88,0.67,0.31
29610,29610,0.98,0.96,0.85,0.79,0.94
29635,29635,0.25,0.42,0.45,0.06,0.3
29661,29661,0.61,0.65,0.63,0.32,0.65
29692,29692,0.67,0.79,0.77,0.17,0.61
29646,29646,0.85,0.8,0.92,0.63,0.76
29647,29647,0.72,0.66,0.87,0.41,0.67
29666,29666,0.55,0.72,0.78,0.3,0.25
29819,29819,0.68,0.72,0.75,0.48,0.52
29566,29566,0.44,0.38,0.73,0.24,0.5
29568,29568,0.6,0.63,0.79,0.38,0.44
29582,29582,0.43,0.42,0.41,0.39,0.53
29572,29572,0.31,0.29,0.4,0.27,0.48
29577,29577,0.64,0.59,0.61,0.5,0.72
29575,29575,0.4,0.47,0.63,0.3,0.34
29587,29587,0.41,0.57,0.51,0.36,0.24
29588,29588,0.5,0.52,0.63,0.47,0.39
29579,29579,0.36,0.47,0.53,0.35,0.28
29526,29526,0.57,0.65,0.6,0.44,0.44
29528,29528,0.44,0.44,0.77,0.43,0.26
29527,29527,0.71,0.75,0.78,0.42,0.56
29020,29020,0.61,0.65,0.74,0.39,0.52
29058,29058,0.56,0.76,0.71,0.29,0.3
29067,29067,0.74,0.84,0.8,0.31,0.64
29074,29074,0.28,0.55,0.5,0.33,0.07
29175,29175,0.28,0.55,0.5,0.33,0.07
29032,29032,0.73,0.87,0.88,0.37,0.36
29021,29021,0.69,0.71,0.65,0.36,0.74
29720,29720,0.61,0.64,0.63,0.46,0.53
29707,29707,0.14,0.15,0.32,0.29,0.19
29715,29715,0.3,0.3,0.45,0.41,0.3
29009,29009,0.69,0.91,0.75,0.44,0.26
29010,29010,0.79,0.85,0.62,0.44,0.76
29033,29033,0.44,0.57,0.47,0.44,0.36
29169,29169,0.72,0.58,0.48,0.67,0.82
29072,29072,0.29,0.23,0.46,0.36,0.39
29073,29073,0.43,0.56,0.58,0.36,0.29
29214,29214,0.36,0.39,0.24,0.44,0.59
29171,29171,0.73,0.65,0.64,0.75,0.66
29172,29172,0.58,0.74,0.67,0.47,0.31
29071,29071,0.81,0.58,0.92,0.54,0.89
29063,29063,0.22,0.25,0.35,0.42,0.21
29036,29036,0.16,0.18,0.52,0.23,0.17
29075,29075,0.27,0.32,0.35,0.36,0.27
29054,29054,0.4,0.47,0.53,0.34,0.32
29070,29070,0.53,0.61,0.67,0.36,0.41
29006,29006,0.7,0.71,0.82,0.51,0.57
29835,29835,0.65,0.77,0.67,0.37,0.52
29840,29840,0.38,0.57,0.45,0.22,0.29
29848,29848,0.57,0.69,0.64,0.36,0.41
29512,29512,0.88,0.91,0.86,0.46,0.76
29108,29108,0.88,0.84,0.85,0.66,0.8
29676,29676,0.23,0.22,0.49,0.1,0.4
29686,29686,0.36,0.38,0.65,0.11,0.44
29672,29672,0.46,0.37,0.7,0.29,0.55
29691,29691,0.81,0.81,0.89,0.49,0.76
29696,29696,0.68,0.68,0.87,0.49,0.58
29675,29675,0.53,0.2,0.68,0.29,0.93
29678,29678,0.74,0.64,0.81,0.39,0.78
29693,29693,0.63,0.72,0.78,0.25,0.52
29665,29665,0.38,0.41,0.65,0.42,0.25
29115,29115,0.8,0.83,0.82,0.49,0.66
29116,29116,0.8,0.83,0.71,0.4,0.82
29671,29671,0.56,0.6,0.69,0.12,0.64
29685,29685,0.36,0.42,0.5,0.13,0.49
29630,29630,0.58,0.64,0.21,0.44,0.74
29682,29682,0.35,0.46,0.46,0.16,0.42
29640,29640,0.6,0.68,0.72,0.24,0.57
29641,29641,0.86,0.88,0.85,0.4,0.82
29667,29667,0.61,0.77,0.78,0.17,0.45
29631,29631,0.38,0.51,0.07,0.37,0.69
29201,29201,0.53,0.71,0.05,0.4,0.83
29204,29204,0.65,0.65,0.54,0.5,0.65
29205,29205,0.31,0.41,0.23,0.37,0.42
29260,29260,0.24,0.17,0.35,0.47,0.3
29223,29223,0.61,0.52,0.66,0.71,0.5
29002,29002,0.25,0.13,0.49,0.36,0.4
29177,29177,0.25,0.13,0.49,0.36,0.4
29219,29219,0.78,0.73,0.9,0.8,0.45
29224,29224,0.58,0.61,0.5,0.66,0.4
29290,29290,0.66,0.6,0.82,0.59,0.51
29301,29301,0.69,0.63,0.59,0.67,0.66
29306,29306,0.74,0.74,0.8,0.48,0.62
29376,29376,0.62,0.56,0.76,0.44,0.56
29304,29304,0.78,0.64,0.73,0.69,0.82
29305,29305,0.78,0.64,0.73,0.69,0.82
29302,29302,0.45,0.43,0.61,0.3,0.51
29307,29307,0.57,0.49,0.76,0.39,0.59
29303,29303,0.8,0.8,0.54,0.64,0.77
29316,29316,0.53,0.4,0.6,0.48,0.64
29333,29333,0.89,0.77,0.47,0.78,0.97
29369,29369,0.31,0.3,0.43,0.44,0.31
29346,29346,0.19,0.43,0.53,0.07,0.12
