ZIP,ZCTA,SVIS,SVI_THEME1,SVI_THEME2,SVI_THEME3,SVI_THEME4
36201,36201,0.78,0.91,0.89,0.39,0.5
36260,36260,0.63,0.72,0.89,0.17,0.48
36206,36206,0.78,0.79,0.94,0.48,0.57
36608,36608,0.4,0.45,0.4,0.45,0.41
36688,36688,0.82,0.74,0.42,0.89,0.82
35124,35124,0.35,0.34,0.31,0.59,0.33
99734,99734,,0.0,0.01,0.15,
85395,85395,0.3,0.23,0.32,0.54,0.36
85008,85008,0.83,0.78,0.39,0.88,0.84
85034,85034,0.81,0.81,0.34,0.85,0.83
85281,85281,0.58,0.71,0.05,0.7,0.81
85226,85226,0.27,0.24,0.2,0.55,0.39
85248,85248,0.16,0.15,0.37,0.38,0.23
85756,85756,0.87,0.89,0.78,0.88,0.66
85365,85365,0.68,0.65,0.57,0.75,0.58
85367,85367,0.44,0.5,0.54,0.43,0.34
72118,72118,0.67,0.67,0.75,0.52,0.52
93215,93215,0.9,0.93,0.42,0.98,0.75
93561,93561,0.58,0.54,0.59,0.54,0.56
93212,93212,0.98,0.97,0.89,0.94,0.86
93204,93204,0.94,0.99,0.65,0.98,0.68
90024,90024,0.43,0.43,0.12,0.66,0.7
90077,90077,0.11,0.08,0.2,0.47,0.17
90095,90095,0.51,0.54,0.0,0.56,0.88
91604,91604,0.23,0.23,0.12,0.49,0.44
91608,91608,0.04,0.18,0.01,0.2,0.25
91768,91768,0.86,0.85,0.48,0.93,0.77
91789,91789,0.35,0.33,0.15,0.93,0.27
90242,90242,0.73,0.67,0.38,0.92,0.63
90280,90280,0.82,0.89,0.52,0.98,0.46
90815,90815,0.25,0.27,0.19,0.56,0.31
90840,90840,,,0.0,0.77,
90822,90822,0.34,0.45,0.14,0.68,0.46
93536,93536,0.6,0.53,0.55,0.7,0.52
91384,91384,0.35,0.37,0.3,0.7,0.29
91505,91505,0.3,0.33,0.11,0.65,0.46
91605,91605,0.81,0.8,0.31,0.91,0.78
90744,90744,0.86,0.84,0.55,0.96,0.67
90745,90745,0.76,0.63,0.37,0.92,0.79
90810,90810,0.84,0.84,0.58,0.92,0.66
93535,93535,0.82,0.88,0.52,0.84,0.62
93550,93550,0.86,0.88,0.75,0.91,0.57
93552,93552,0.73,0.79,0.53,0.93,0.41
93599,93599,,,,,
90501,90501,0.67,0.48,0.37,0.85,0.81
90503,90503,0.46,0.21,0.18,0.8,0.7
90504,90504,0.57,0.43,0.28,0.85,0.66
90808,90808,0.15,0.15,0.12,0.54,0.23
90803,90803,0.21,0.27,0.11,0.5,0.35
90027,90027,0.45,0.45,0.09,0.7,0.65
90068,90068,0.21,0.31,0.04,0.47,0.45
91201,91201,0.68,0.62,0.35,0.77,0.72
90245,90245,0.25,0.28,0.16,0.47,0.39
90304,90304,0.86,0.84,0.41,0.97,0.73
90755,90755,0.57,0.55,0.13,0.79,0.68
90806,90806,0.82,0.75,0.4,0.92,0.8
90807,90807,0.55,0.35,0.39,0.76,0.68
91342,91342,0.75,0.64,0.56,0.91,0.66
91344,91344,0.48,0.4,0.33,0.77,0.51
91304,91304,0.64,0.56,0.33,0.83,0.68
91311,91311,0.46,0.33,0.27,0.74,0.59
90220,90220,0.9,0.86,0.62,0.96,0.77
90746,90746,0.67,0.55,0.63,0.87,0.51
90009,90009,,,,,
90045,90045,0.23,0.25,0.13,0.61,0.32
90250,90250,0.76,0.7,0.41,0.91,0.71
90293,90293,0.09,0.11,0.04,0.51,0.24
90266,90266,0.13,0.09,0.28,0.37,0.21
93933,93933,0.7,0.53,0.49,0.81,0.74
93955,93955,0.72,0.63,0.37,0.87,0.73
93905,93905,0.85,0.78,0.47,0.99,0.75
93908,93908,0.2,0.15,0.37,0.53,0.22
92802,92802,0.81,0.77,0.31,0.93,0.83
92805,92805,0.77,0.71,0.28,0.93,0.82
92812,92812,,,0.33,0.52,
92225,92225,0.87,0.81,0.87,0.84,0.67
92346,92346,0.66,0.64,0.55,0.77,0.6
92408,92408,0.92,0.89,0.69,0.92,0.78
92410,92410,0.97,0.97,0.73,0.95,0.87
92394,92394,0.79,0.89,0.63,0.84,0.44
92106,92106,0.22,0.21,0.19,0.41,0.39
92136,92136,0.71,0.7,0.1,0.39,0.86
92101,92101,0.51,0.38,0.12,0.68,0.82
92134,92134,0.45,0.11,0.37,0.5,0.88
92110,92110,0.46,0.42,0.16,0.6,0.7
92140,92140,0.6,0.47,0.18,0.46,0.88
93409,93409,,,,0.74,
94125,94125,,,,,
94128,94128,0.79,0.63,0.51,0.91,0.8
93117,93117,0.54,0.55,0.11,0.7,0.74
95687,95687,0.42,0.32,0.45,0.67,0.42
94535,94535,0.19,0.3,0.33,0.43,0.18
94585,94585,0.6,0.51,0.36,0.82,0.6
93257,93257,0.94,0.92,0.74,0.9,0.85
95327,95327,0.63,0.6,0.63,0.22,0.82
80022,80022,0.53,0.52,0.5,0.73,0.47
80239,80239,0.67,0.68,0.44,0.91,0.46
80266,80266,0.24,0.01,0.35,0.48,0.58
80020,80020,0.16,0.19,0.19,0.46,0.24
80238,80238,0.24,0.08,0.3,0.44,0.54
80840,80840,0.38,0.31,0.59,0.59,0.23
80841,80841,,,0.0,0.18,
80920,80920,0.14,0.21,0.27,0.33,0.14
81212,81212,0.54,0.52,0.8,0.15,0.62
80204,80204,0.68,0.64,0.4,0.75,0.75
80225,80225,,,,,
80228,80228,0.2,0.2,0.19,0.37,0.35
81003,81003,0.8,0.87,0.68,0.55,0.67
80631,80631,0.77,0.79,0.44,0.75,0.75
80639,80639,0.75,0.83,0.03,0.71,0.96
6026,06026,0.21,0.22,0.76,0.27,0.11
6096,06096,0.39,0.38,0.48,0.44,0.4
6071,06071,0.07,0.13,0.35,0.23,0.06
19802,19802,0.7,0.72,0.64,0.64,0.54
19809,19809,0.5,0.4,0.56,0.51,0.57
20007,20007,0.2,0.17,0.05,0.48,0.56
20057,20057,0.28,0.27,0.03,0.36,0.79
32920,32920,0.41,0.32,0.63,0.28,0.55
32925,32925,0.47,0.61,0.44,0.47,0.31
33870,33870,0.77,0.76,0.67,0.58,0.74
33876,33876,0.69,0.7,0.56,0.64,0.63
33592,33592,0.76,0.74,0.76,0.48,0.72
33647,33647,0.25,0.28,0.19,0.67,0.25
33607,33607,0.59,0.6,0.33,0.83,0.55
33614,33614,0.82,0.77,0.46,0.93,0.75
33622,33622,,,,,
33623,33623,,,,,
33630,33630,,,,,
33548,33548,0.19,0.09,0.33,0.38,0.36
32960,32960,0.63,0.52,0.5,0.52,0.77
32967,32967,0.53,0.55,0.61,0.44,0.53
33913,33913,0.18,0.29,0.2,0.41,0.21
32304,32304,0.64,0.89,0.11,0.53,0.73
32306,32306,0.58,0.85,0.0,0.26,1.0
32313,32313,,0.87,0.0,0.28,
33128,33128,0.96,0.91,0.59,0.98,0.88
33130,33130,0.62,0.54,0.33,0.91,0.75
33132,33132,0.4,0.28,0.02,0.84,0.81
33136,33136,0.89,0.82,0.55,0.92,0.94
33165,33165,0.68,0.6,0.35,0.98,0.57
33174,33174,0.8,0.72,0.43,0.98,0.73
33175,33175,0.64,0.61,0.31,0.98,0.48
33199,33199,,,0.0,0.64,
33178,33178,0.46,0.36,0.2,0.95,0.42
33182,33182,0.52,0.43,0.43,0.95,0.33
33194,33194,0.54,0.59,0.21,0.96,0.4
33186,33186,0.43,0.4,0.22,0.9,0.33
33149,33149,0.22,0.11,0.25,0.79,0.22
33122,33122,0.56,0.47,0.13,0.93,0.62
33126,33126,0.83,0.76,0.43,0.99,0.81
33142,33142,0.96,0.93,0.65,0.97,0.87
33166,33166,0.7,0.58,0.18,0.96,0.78
33206,33206,,,,,
33032,33032,0.91,0.89,0.7,0.97,0.7
33190,33190,0.65,0.57,0.56,0.93,0.43
33054,33054,0.94,0.95,0.63,0.96,0.81
33185,33185,0.39,0.39,0.22,0.94,0.24
33193,33193,0.61,0.66,0.26,0.96,0.4
33139,33139,0.52,0.36,0.17,0.86,0.79
33431,33431,0.32,0.2,0.28,0.54,0.46
33432,33432,0.25,0.21,0.3,0.47,0.33
33430,33430,0.97,0.97,0.73,0.95,0.92
33413,33413,0.72,0.67,0.71,0.82,0.47
33412,33412,0.13,0.24,0.18,0.51,0.1
33418,33418,0.17,0.13,0.31,0.39,0.26
33406,33406,0.69,0.54,0.52,0.86,0.67
33415,33415,0.79,0.72,0.56,0.87,0.68
34946,34946,0.79,0.79,0.72,0.65,0.7
34785,34785,0.39,0.44,0.44,0.25,0.49
31321,31321,0.63,0.81,0.81,0.2,0.41
31324,31324,0.41,0.4,0.57,0.47,0.34
31421,31421,,,,,
31401,31401,0.55,0.65,0.27,0.43,0.68
31408,31408,0.77,0.69,0.76,0.68,0.6
31415,31415,0.83,0.9,0.76,0.61,0.6
31805,31805,0.78,0.78,0.89,0.32,0.71
31905,31905,0.33,0.52,0.17,0.57,0.31
30320,30320,,,,,
30337,30337,0.77,0.75,0.58,0.67,0.7
30354,30354,0.84,0.79,0.77,0.75,0.69
30032,30032,0.76,0.81,0.62,0.58,0.65
30317,30317,0.51,0.51,0.41,0.44,0.62
30315,30315,0.84,0.86,0.76,0.66,0.73
30427,30427,0.74,0.72,0.72,0.53,0.62
31316,31316,0.79,0.82,0.84,0.6,0.55
96818,96818,0.4,0.34,0.25,0.76,0.43
96853,96853,0.16,0.39,0.13,0.61,0.07
96707,96707,0.47,0.33,0.34,0.76,0.52
96825,96825,0.25,0.04,0.32,0.74,0.39
96819,96819,0.71,0.56,0.36,0.86,0.74
96857,96857,0.13,0.41,0.02,0.45,0.29
96786,96786,0.54,0.5,0.51,0.75,0.5
96744,96744,0.31,0.14,0.29,0.7,0.42
96795,96795,0.57,0.4,0.57,0.74,0.56
60609,60609,0.79,0.87,0.52,0.86,0.51
60007,60007,0.32,0.26,0.21,0.61,0.45
60018,60018,0.55,0.55,0.32,0.76,0.48
60131,60131,0.54,0.58,0.27,0.83,0.41
60176,60176,0.5,0.63,0.11,0.77,0.42
60666,60666,0.92,0.82,0.34,0.9,0.99
60688,60688,,,,,
60701,60701,,,,,
60632,60632,0.79,0.87,0.44,0.96,0.46
60638,60638,0.53,0.54,0.43,0.78,0.34
60088,60088,0.38,0.52,0.04,0.55,0.58
60481,60481,0.35,0.46,0.53,0.15,0.39
46368,46368,0.46,0.56,0.6,0.44,0.32
47906,47906,0.42,0.49,0.18,0.48,0.65
47907,47907,0.36,0.59,0.02,0.44,0.77
50321,50321,0.34,0.28,0.54,0.42,0.38
66061,66061,0.38,0.32,0.42,0.51,0.38
66215,66215,0.35,0.22,0.52,0.45,0.44
66219,66219,0.08,0.05,0.15,0.26,0.28
66250,66250,,,,,
66217,66217,0.31,0.29,0.49,0.36,0.29
66218,66218,0.02,0.03,0.18,0.14,0.06
66220,66220,0.03,0.01,0.15,0.23,0.1
66503,66503,0.24,0.1,0.2,0.4,0.59
67432,67432,0.35,0.28,0.82,0.05,0.48
66101,66101,0.85,0.9,0.7,0.88,0.55
66115,66115,0.87,0.95,0.6,0.81,0.67
66118,66118,,,,,
66105,66105,0.87,0.86,0.78,0.94,0.55
66102,66102,0.9,0.89,0.76,0.9,0.68
66106,66106,0.58,0.68,0.7,0.7,0.24
41018,41018,0.46,0.48,0.63,0.32,0.41
41048,41048,0.09,0.12,0.23,0.21,0.15
45275,45275,,,,,
40165,40165,0.37,0.52,0.54,0.13,0.37
42259,42259,0.57,0.82,0.57,0.18,0.39
40121,40121,0.22,0.31,0.22,0.28,0.4
40122,40122,,,,0.26,
40160,40160,0.74,0.72,0.87,0.47,0.63
40177,40177,0.66,0.79,0.85,0.18,0.49
42701,42701,0.49,0.48,0.7,0.32,0.5
40209,40209,0.79,0.82,0.3,0.8,0.79
40213,40213,0.51,0.62,0.7,0.48,0.28
40219,40219,0.6,0.6,0.54,0.72,0.44
40221,40221,,,,,
42045,42045,0.32,0.49,0.52,0.03,0.37
42211,42211,0.56,0.61,0.77,0.18,0.58
71108,71108,0.81,0.87,0.84,0.47,0.62
71109,71109,0.86,0.94,0.85,0.55,0.57
70615,70615,0.78,0.84,0.82,0.47,0.58
70605,70605,0.46,0.28,0.68,0.41,0.6
70607,70607,0.64,0.67,0.63,0.6,0.49
70807,70807,0.87,0.87,0.81,0.64,0.67
70811,70811,0.78,0.77,0.86,0.61,0.54
70062,70062,0.77,0.79,0.71,0.78,0.62
70508,70508,0.41,0.32,0.36,0.42,0.6
70117,70117,0.66,0.79,0.56,0.55,0.47
70119,70119,0.57,0.67,0.34,0.6,0.48
70124,70124,0.06,0.11,0.15,0.27,0.11
70129,70129,0.78,0.86,0.61,0.83,0.52
71203,71203,0.66,0.68,0.66,0.42,0.64
20794,20794,0.38,0.2,0.11,0.64,0.77
21061,21061,0.51,0.46,0.46,0.64,0.48
21090,21090,0.16,0.21,0.19,0.28,0.32
21240,21240,0.03,0.05,0.09,0.34,0.05
21219,21219,0.35,0.46,0.63,0.22,0.25
21227,21227,0.49,0.55,0.42,0.56,0.41
21740,21740,0.72,0.7,0.79,0.44,0.67
21746,21746,,,,0.68,
21202,21202,0.46,0.43,0.24,0.59,0.8
21225,21225,0.71,0.79,0.73,0.58,0.46
21226,21226,0.42,0.46,0.42,0.56,0.27
1002,01002,0.41,0.46,0.21,0.45,0.57
2152,02152,0.32,0.26,0.31,0.44,0.46
2121,02121,0.95,0.91,0.9,0.93,0.74
2124,02124,0.81,0.73,0.73,0.88,0.66
2130,02130,0.4,0.34,0.16,0.67,0.57
2132,02132,0.4,0.25,0.35,0.55,0.6
2136,02136,0.74,0.61,0.64,0.86,0.66
2131,02131,0.49,0.41,0.37,0.76,0.5
2125,02125,0.67,0.66,0.34,0.85,0.65
2127,02127,0.24,0.22,0.15,0.39,0.61
2210,02210,0.15,0.1,0.01,0.4,0.76
2134,02134,0.43,0.5,0.01,0.72,0.78
2135,02135,0.42,0.42,0.08,0.68,0.73
2215,02215,0.46,0.5,0.02,0.7,0.9
2128,02128,0.76,0.67,0.43,0.91,0.78
2151,02151,0.68,0.58,0.38,0.8,0.71
2116,02116,0.3,0.19,0.05,0.52,0.77
1610,01610,0.87,0.83,0.54,0.85,0.84
49788,49788,0.91,0.95,0.81,0.51,0.87
48505,48505,0.84,0.95,0.92,0.54,0.42
48880,48880,0.7,0.62,0.85,0.23,0.78
48824,48824,0.18,0.77,0.0,0.64,0.07
48825,48825,0.18,0.77,0.0,0.55,0.07
48823,48823,0.41,0.53,0.15,0.51,0.56
48910,48910,0.56,0.66,0.58,0.47,0.44
48915,48915,0.66,0.75,0.55,0.69,0.52
48917,48917,0.45,0.36,0.55,0.49,0.52
48933,48933,0.67,0.69,0.42,0.74,0.55
48819,48819,0.2,0.32,0.52,0.06,0.25
48854,48854,0.31,0.27,0.52,0.23,0.45
48846,48846,0.61,0.61,0.56,0.18,0.79
49201,49201,0.53,0.53,0.7,0.23,0.59
48045,48045,0.34,0.32,0.32,0.26,0.54
48091,48091,0.8,0.84,0.73,0.68,0.6
48092,48092,0.49,0.59,0.49,0.64,0.27
48093,48093,0.49,0.5,0.57,0.52,0.41
48383,48383,0.26,0.35,0.39,0.13,0.35
48176,48176,0.17,0.12,0.32,0.24,0.35
48197,48197,0.32,0.43,0.17,0.52,0.38
48204,48204,0.84,0.95,0.89,0.57,0.43
48210,48210,0.88,0.97,0.73,0.9,0.47
48214,48214,0.77,0.78,0.76,0.52,0.67
48215,48215,0.84,0.9,0.86,0.55,0.65
48207,48207,0.63,0.7,0.57,0.48,0.52
48218,48218,0.77,0.94,0.79,0.6,0.32
48120,48120,0.75,0.67,0.4,0.67,0.88
48126,48126,0.78,0.89,0.54,0.58,0.62
48211,48211,0.83,0.9,0.7,0.66,0.67
55112,55112,0.47,0.31,0.51,0.44,0.65
55106,55106,0.88,0.79,0.74,0.87,0.78
55119,55119,0.68,0.53,0.61,0.74,0.71
55003,55003,0.15,0.03,0.53,0.14,0.38
55082,55082,0.17,0.1,0.48,0.1,0.39
39501,39501,0.82,0.9,0.77,0.56,0.66
39503,39503,0.65,0.66,0.68,0.51,0.56
39507,39507,0.64,0.59,0.86,0.41,0.56
39459,39459,0.41,0.46,0.47,0.09,0.62
38801,38801,0.72,0.67,0.76,0.55,0.65
38676,38676,0.92,0.9,0.79,0.52,0.93
64130,64130,0.79,0.79,0.9,0.57,0.55
64132,64132,0.76,0.8,0.73,0.61,0.55
64129,64129,0.82,0.79,0.81,0.67,0.66
64133,64133,0.49,0.52,0.67,0.49,0.38
64015,64015,0.28,0.3,0.63,0.34,0.23
64079,64079,0.32,0.22,0.55,0.21,0.53
64153,64153,0.28,0.16,0.54,0.33,0.4
59030,59030,0.17,0.23,0.05,0.31,0.47
68508,68508,0.7,0.76,0.13,0.65,0.9
68588,68588,0.67,0.73,0.06,0.56,0.88
68522,68522,0.48,0.44,0.32,0.59,0.54
68502,68502,0.46,0.47,0.29,0.48,0.53
68524,68524,0.29,0.29,0.57,0.36,0.29
89023,89023,,,,,
89502,89502,0.78,0.69,0.66,0.73,0.78
89506,89506,0.53,0.53,0.43,0.64,0.49
89511,89511,0.18,0.2,0.25,0.39,0.24
3103,03103,0.6,0.64,0.65,0.57,0.47
3053,03053,0.09,0.12,0.31,0.16,0.18
8327,08327,0.47,0.52,0.56,0.44,0.37
7105,07105,0.81,0.81,0.55,0.91,0.61
7114,07114,0.95,0.94,0.77,0.9,0.77
7112,07112,0.8,0.81,0.69,0.8,0.58
7305,07305,0.78,0.7,0.64,0.87,0.68
8611,08611,0.9,0.93,0.65,0.95,0.67
8087,08087,0.32,0.39,0.6,0.28,0.27
7512,07512,0.22,0.18,0.28,0.64,0.22
87508,87508,0.32,0.26,0.41,0.54,0.32
10465,10465,0.64,0.53,0.65,0.77,0.56
10456,10456,0.99,0.96,0.86,0.98,0.93
10457,10457,0.99,0.96,0.84,0.98,0.95
10453,10453,0.99,0.96,0.79,0.99,0.94
10471,10471,0.61,0.34,0.44,0.69,0.85
14901,14901,0.76,0.83,0.84,0.25,0.69
14903,14903,0.34,0.4,0.56,0.09,0.41
12901,12901,0.53,0.52,0.46,0.27,0.7
13753,13753,0.58,0.41,0.55,0.29,0.89
14213,14213,0.79,0.78,0.68,0.83,0.65
14222,14222,0.39,0.4,0.16,0.6,0.51
14004,14004,0.18,0.19,0.48,0.08,0.35
14013,14013,0.44,0.47,0.53,0.28,0.5
12051,12051,0.39,0.41,0.54,0.14,0.56
11220,11220,0.83,0.81,0.31,0.95,0.8
11232,11232,0.75,0.7,0.3,0.91,0.83
11209,11209,0.56,0.44,0.18,0.71,0.8
11228,11228,0.61,0.57,0.33,0.82,0.57
11252,11252,0.46,0.11,0.36,0.73,0.8
11215,11215,0.32,0.21,0.06,0.56,0.76
11218,11218,0.72,0.59,0.28,0.79,0.87
11225,11225,0.66,0.61,0.18,0.78,0.8
11226,11226,0.79,0.69,0.32,0.88,0.86
11238,11238,0.49,0.39,0.12,0.7,0.84
11207,11207,0.88,0.85,0.63,0.89,0.77
11229,11229,0.65,0.55,0.33,0.77,0.74
11234,11234,0.46,0.4,0.37,0.72,0.44
11235,11235,0.69,0.56,0.37,0.73,0.82
11203,11203,0.73,0.63,0.53,0.83,0.72
11236,11236,0.61,0.55,0.42,0.84,0.53
11208,11208,0.85,0.79,0.54,0.91,0.78
14454,14454,0.41,0.44,0.41,0.14,0.67
14510,14510,0.73,0.67,0.75,0.31,0.85
14556,14556,,0.68,0.02,0.63,
14620,14620,0.46,0.51,0.13,0.58,0.62
14627,14627,,,0.0,0.59,
14624,14624,0.32,0.3,0.42,0.37,0.4
11530,11530,0.13,0.09,0.2,0.31,0.31
10004,10004,0.13,0.01,0.01,0.5,0.82
10017,10017,0.23,0.05,0.05,0.47,0.78
10019,10019,0.45,0.24,0.09,0.69,0.89
10024,10024,0.31,0.11,0.11,0.5,0.81
10026,10026,0.71,0.62,0.23,0.79,0.88
10035,10035,0.93,0.84,0.65,0.92,0.95
10034,10034,0.77,0.7,0.4,0.92,0.8
10032,10032,0.87,0.8,0.26,0.95,0.93
10033,10033,0.81,0.73,0.37,0.92,0.87
13502,13502,0.61,0.61,0.68,0.52,0.52
13501,13501,0.81,0.78,0.77,0.74,0.7
13440,13440,0.5,0.49,0.68,0.27,0.54
13441,13441,0.89,0.86,0.92,0.33,0.92
11101,11101,0.39,0.35,0.1,0.71,0.78
11102,11102,0.52,0.48,0.16,0.81,0.74
11106,11106,0.57,0.51,0.15,0.82,0.81
11105,11105,0.4,0.39,0.1,0.73,0.65
11104,11104,0.51,0.46,0.03,0.87,0.78
11378,11378,0.55,0.48,0.3,0.78,0.56
11433,11433,0.81,0.84,0.53,0.92,0.61
11451,11451,,,,,
11103,11103,0.46,0.46,0.05,0.78,0.7
11370,11370,0.63,0.52,0.2,0.85,0.74
11377,11377,0.63,0.56,0.11,0.93,0.75
11371,11371,0.85,0.74,0.5,0.96,0.84
11368,11368,0.87,0.78,0.56,0.98,0.77
11355,11355,0.77,0.73,0.13,0.98,0.84
11367,11367,0.7,0.55,0.36,0.8,0.82
11375,11375,0.47,0.22,0.23,0.77,0.75
11425,11425,,0.75,0.48,0.8,
11434,11434,0.64,0.54,0.63,0.76,0.53
11379,11379,0.41,0.41,0.23,0.7,0.41
11418,11418,0.72,0.63,0.31,0.92,0.72
11421,11421,0.65,0.62,0.3,0.92,0.54
11430,11430,0.8,0.87,0.4,0.85,0.61
11499,11499,,,,,
11697,11697,0.25,0.1,0.5,0.18,0.56
11359,11359,0.18,0.05,0.24,0.71,0.22
11693,11693,0.67,0.53,0.51,0.74,0.73
11365,11365,0.6,0.56,0.18,0.91,0.65
11364,11364,0.49,0.37,0.27,0.87,0.5
11366,11366,0.59,0.55,0.22,0.85,0.56
11361,11361,0.51,0.34,0.21,0.85,0.66
11362,11362,0.49,0.27,0.24,0.83,0.68
10306,10306,0.39,0.38,0.29,0.59,0.42
13617,13617,0.53,0.59,0.39,0.29,0.62
12043,12043,0.58,0.51,0.76,0.14,0.75
10562,10562,0.62,0.42,0.48,0.82,0.67
10507,10507,0.59,0.42,0.52,0.73,0.64
28465,28465,0.14,0.18,0.36,0.02,0.34
28469,28469,0.3,0.34,0.48,0.18,0.4
28310,28310,0.38,0.62,0.15,0.47,0.26
28303,28303,0.65,0.59,0.63,0.63,0.61
28390,28390,0.71,0.71,0.67,0.65,0.56
28311,28311,0.66,0.61,0.64,0.58,0.66
27708,27708,0.49,0.79,0.05,0.43,0.78
27560,27560,0.23,0.16,0.09,0.73,0.41
27703,27703,0.53,0.47,0.39,0.74,0.57
27709,27709,0.52,0.46,0.31,0.5,0.72
27713,27713,0.4,0.33,0.24,0.71,0.45
27509,27509,0.95,0.93,0.95,0.68,0.87
27409,27409,0.41,0.4,0.2,0.64,0.47
27410,27410,0.32,0.26,0.25,0.47,0.48
28785,28785,0.27,0.4,0.57,0.12,0.26
28376,28376,0.72,0.71,0.7,0.71,0.55
28208,28208,0.8,0.82,0.62,0.74,0.71
28214,28214,0.55,0.63,0.45,0.74,0.35
28217,28217,0.66,0.7,0.38,0.87,0.66
28219,28219,,,,,
28278,28278,0.31,0.32,0.27,0.71,0.27
28134,28134,0.65,0.48,0.65,0.75,0.59
28273,28273,0.47,0.45,0.26,0.78,0.46
28401,28401,0.73,0.75,0.65,0.52,0.67
28405,28405,0.46,0.47,0.38,0.42,0.51
28445,28445,0.31,0.36,0.43,0.25,0.37
28539,28539,0.5,0.55,0.7,0.4,0.34
28540,28540,0.63,0.66,0.71,0.46,0.5
28544,28544,0.69,0.75,0.66,0.53,0.65
28547,28547,0.35,0.59,0.53,0.35,0.11
27514,27514,0.42,0.34,0.14,0.5,0.79
27516,27516,0.24,0.22,0.22,0.47,0.41
27599,27599,0.55,0.58,0.0,0.43,0.98
28713,28713,0.66,0.79,0.77,0.17,0.59
28719,28719,0.84,0.77,0.87,0.58,0.77
45150,45150,0.31,0.27,0.66,0.13,0.39
45244,45244,0.19,0.27,0.51,0.12,0.17
44101,44101,,,,,
44105,44105,0.78,0.94,0.88,0.56,0.29
44113,44113,0.54,0.65,0.26,0.59,0.65
44115,44115,0.68,0.74,0.32,0.74,0.86
44127,44127,0.89,0.99,0.89,0.63,0.57
44135,44135,0.66,0.78,0.61,0.62,0.4
44142,44142,0.48,0.58,0.7,0.29,0.34
44181,44181,,,,,
43213,43213,0.7,0.69,0.7,0.72,0.5
43219,43219,0.79,0.76,0.7,0.74,0.64
43230,43230,0.19,0.17,0.35,0.4,0.24
45433,45433,0.32,0.44,0.13,0.29,0.51
43146,43146,0.31,0.42,0.64,0.16,0.24
97217,97217,0.33,0.33,0.16,0.49,0.53
97227,97227,0.37,0.31,0.09,0.48,0.81
15215,15215,0.29,0.34,0.43,0.28,0.3
15238,15238,0.27,0.16,0.47,0.27,0.44
15217,15217,0.31,0.23,0.09,0.52,0.65
15212,15212,0.5,0.52,0.44,0.36,0.59
15214,15214,0.47,0.53,0.5,0.46,0.39
15213,15213,0.51,0.65,0.08,0.45,0.82
15219,15219,0.64,0.65,0.48,0.5,0.76
15233,15233,0.59,0.58,0.59,0.43,0.53
15267,15267,,,,0.35,
15201,15201,0.2,0.3,0.1,0.26,0.44
15224,15224,0.3,0.44,0.16,0.45,0.44
15221,15221,0.48,0.51,0.53,0.41,0.42
19030,19030,0.31,0.27,0.42,0.36,0.41
19067,19067,0.18,0.17,0.27,0.39,0.22
19382,19382,0.17,0.2,0.12,0.34,0.4
19383,19383,0.11,0.56,0.03,0.29,0.35
17011,17011,0.35,0.25,0.44,0.42,0.46
19153,19153,0.74,0.75,0.58,0.77,0.54
18202,18202,0.72,0.72,0.72,0.63,0.6
19112,19112,0.32,0.21,0.16,0.57,0.7
19145,19145,0.65,0.67,0.63,0.66,0.45
19114,19114,0.48,0.48,0.54,0.49,0.42
19154,19154,0.37,0.43,0.54,0.53,0.22
19140,19140,0.89,0.94,0.92,0.79,0.53
19148,19148,0.66,0.71,0.5,0.74,0.5
19147,19147,0.33,0.34,0.09,0.54,0.55
19139,19139,0.82,0.86,0.81,0.7,0.54
19151,19151,0.75,0.73,0.73,0.69,0.56
19142,19142,0.88,0.94,0.82,0.87,0.54
19143,19143,0.72,0.82,0.66,0.67,0.44
19146,19146,0.45,0.47,0.29,0.57,0.56
19176,19176,,,,,
19136,19136,0.64,0.7,0.55,0.6,0.49
2886,02886,0.34,0.27,0.49,0.34,0.46
29831,29831,0.49,0.66,0.57,0.31,0.32
29853,29853,0.86,0.86,0.85,0.43,0.81
29808,29808,,,,,
29812,29812,0.74,0.71,0.76,0.53,0.68
29445,29445,0.42,0.49,0.48,0.54,0.25
29506,29506,0.89,0.87,0.76,0.59,0.83
29170,29170,0.49,0.55,0.52,0.42,0.45
29210,29210,0.55,0.6,0.38,0.57,0.52
29212,29212,0.29,0.28,0.48,0.42,0.3
29147,29147,,0.93,0.18,0.38,
29203,29203,0.8,0.81,0.74,0.64,0.66
29207,29207,0.41,0.38,0.36,0.51,0.5
29209,29209,0.53,0.48,0.56,0.53,0.5
29044,29044,0.84,0.82,0.9,0.42,0.79
29045,29045,0.46,0.46,0.57,0.55,0.38
29061,29061,0.64,0.58,0.77,0.67,0.42
29078,29078,0.52,0.62,0.7,0.29,0.39
29206,29206,0.3,0.25,0.47,0.43,0.34
29229,29229,0.44,0.35,0.67,0.65,0.31
29730,29730,0.61,0.69,0.48,0.49,0.55
29733,29733,,0.9,0.0,0.25,
37830,37830,0.5,0.46,0.7,0.41,0.51
37701,37701,0.71,0.68,0.88,0.53,0.47
37777,37777,0.36,0.4,0.41,0.16,0.52
38348,38348,0.5,0.77,0.4,0.27,0.31
37722,37722,0.54,0.76,0.69,0.18,0.35
37209,37209,0.44,0.44,0.23,0.57,0.54
37243,37243,0.51,0.52,0.21,0.5,0.79
37214,37214,0.36,0.34,0.33,0.43,0.48
