COUNTYFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
06001,361,361.0,3.78,1.0
06003,1,0.0,61.34,0.0
06005,9,4.0,36.57,0.44
06007,51,50.0,10.34,0.98
06009,10,0.0,73.42,0.0
06011,5,4.0,15.25,0.8
06013,208,208.0,7.72,1.0
06015,8,6.0,13.24,0.75
06017,43,26.0,28.2,0.6
06019,199,196.0,4.99,0.98
06021,6,4.0,15.67,0.67
06023,31,31.0,6.56,1.0
06025,31,30.0,9.95,0.97
06027,6,0.0,221.27,0.0
06029,151,144.0,5.87,0.95
06031,27,27.0,5.35,1.0
06033,15,6.0,29.55,0.4
06035,9,8.0,12.85,0.89
06037,2347,,,
06039,23,21.0,10.19,0.91
06041,56,55.0,6.87,0.98
06043,6,0.0,51.06,0.0
06045,21,19.0,12.21,0.9
06047,49,49.0,5.73,1.0
06049,4,0.0,116.42,0.0
06051,3,0.0,201.47,0.0
06053,94,91.0,7.26,0.97
06055,40,39.0,7.33,0.98
06057,20,19.0,14.75,0.95
06059,583,583.0,6.02,1.0
06061,85,81.0,13.31,0.95
06063,7,0.0,67.29,0.0
06065,453,448.0,7.12,0.99
06067,317,316.0,6.41,1.0
06069,11,10.0,9.46,0.91
06071,369,345.0,10.45,0.93
06073,628,628.0,5.85,1.0
06075,197,196.0,2.76,0.99
06077,139,139.0,6.01,1.0
06079,54,53.0,8.45,0.98
06081,158,157.0,6.45,0.99
06083,90,88.0,4.68,0.98
06085,372,372.0,5.56,1.0
06087,53,51.0,7.5,0.96
06089,48,47.0,7.91,0.98
06091,1,1.0,0.0,1.0
06093,14,10.0,13.45,0.71
06095,96,96.0,6.23,1.0
06097,100,97.0,6.68,0.97
06099,94,93.0,5.07,0.99
06101,21,20.0,7.78,0.95
06103,11,9.0,16.49,0.82
06105,5,1.0,62.59,0.2
06107,78,78.0,3.22,1.0
06109,11,0.0,71.44,0.0
06111,174,172.0,6.01,0.99
06113,41,41.0,3.99,1.0
06115,14,12.0,10.01,0.86
08001,97,96.0,8.17,0.99
08003,4,4.0,10.24,1.0
08005,147,147.0,8.04,1.0
08007,4,0.0,86.36,0.0
08009,2,0.0,68.3,0.0
08011,1,1.0,0.0,1.0
08013,68,66.0,9.63,0.97
08014,18,18.0,11.14,1.0
08015,5,2.0,27.43,0.4
08017,1,0.0,86.96,0.0
08019,3,0.0,39.06,0.0
08021,2,2.0,0.0,1.0
08023,2,1.0,18.91,0.5
08025,1,1.0,0.0,1.0
08027,1,0.0,63.71,0.0
08029,7,5.0,19.72,0.71
08031,144,144.0,3.26,1.0
08033,1,1.0,0.0,1.0
08035,61,54.0,19.5,0.89
08037,14,12.0,17.76,0.86
08039,7,3.0,29.8,0.43
08041,130,128.0,9.68,0.98
08043,14,13.0,13.04,0.93
08045,11,11.0,8.84,1.0
08047,1,0.0,51.55,0.0
08049,3,0.0,87.61,0.0
08051,4,0.0,130.97,0.0
08053,1,0.0,143.22,0.0
08055,2,1.0,18.86,0.5
08057,1,0.0,78.48,0.0
08059,138,128.0,10.38,0.93
08061,1,0.0,35.58,0.0
08063,3,1.0,39.94,0.33
08065,2,2.0,3.16,1.0
08067,10,7.0,18.07,0.7
08069,73,70.0,10.13,0.96
08071,6,4.0,18.93,0.67
08073,2,1.0,24.36,0.5
08075,6,5.0,17.24,0.83
08077,29,27.0,10.72,0.93
08079,1,0.0,82.55,0.0
08081,4,3.0,16.4,0.75
08083,7,7.0,13.25,1.0
08085,10,9.0,15.1,0.9
08087,8,8.0,9.24,1.0
08089,7,7.0,8.67,1.0
08091,1,0.0,44.08,0.0
08093,5,1.0,46.1,0.2
08095,2,0.0,64.44,0.0
08097,4,1.0,26.08,0.25
08099,5,5.0,0.66,1.0
08101,55,53.0,8.29,0.96
08103,2,0.0,75.04,0.0
08105,3,3.0,12.48,1.0
08107,8,6.0,19.9,0.75
08109,2,2.0,0.0,1.0
08111,1,0.0,62.74,0.0
08113,4,1.0,73.3,0.25
08115,1,0.0,70.06,0.0
08117,5,5.0,0.0,1.0
08119,6,4.0,27.22,0.67
08121,2,0.0,77.17,0.0
08123,77,76.0,11.07,0.99
08125,2,0.0,107.94,0.0
09001,211,211.0,5.87,1.0
09003,224,224.0,5.53,1.0
09005,51,47.0,13.45,0.92
09007,37,37.0,6.66,1.0
09009,190,190.0,4.93,1.0
09011,66,66.0,7.7,1.0
09013,29,29.0,9.65,1.0
09015,25,25.0,8.24,1.0
10001,33,33.0,11.59,1.0
10003,131,131.0,8.43,1.0
10005,54,53.0,14.6,0.98
11001,179,179.0,2.17,1.0
12001,56,56.0,11.64,1.0
12003,4,0.0,41.88,0.0
12005,44,43.0,13.1,0.98
12007,4,4.0,12.93,1.0
12009,114,112.0,11.82,0.98
12011,362,361.0,9.72,1.0
12013,3,3.0,18.14,1.0
12015,39,38.0,12.75,0.97
12017,28,28.0,14.69,1.0
12019,30,28.0,16.15,0.93
12021,74,68.0,10.82,0.92
12023,12,11.0,17.94,0.92
12027,9,9.0,12.2,1.0
12029,4,3.0,16.87,0.75
12031,174,173.0,10.55,0.99
12033,72,70.0,10.64,0.97
12035,21,21.0,15.84,1.0
12037,6,5.0,16.29,0.83
12039,9,8.0,13.52,0.89
12041,5,5.0,11.82,1.0
12043,4,4.0,14.3,1.0
12045,4,3.0,14.5,0.75
12047,3,1.0,28.37,0.33
12049,6,6.0,11.93,1.0
12051,7,6.0,12.59,0.86
12053,45,45.0,13.18,1.0
12055,27,16.0,27.75,0.59
12057,321,321.0,8.95,1.0
12059,4,3.0,18.57,0.75
12061,31,31.0,6.23,1.0
12063,11,10.0,17.78,0.91
12065,4,0.0,36.04,0.0
12067,2,2.0,14.77,1.0
12069,56,54.0,13.14,0.96
12071,167,163.0,10.82,0.98
12073,68,67.0,10.75,0.99
12075,10,8.0,22.09,0.8
12077,2,2.0,13.1,1.0
12079,5,5.0,13.88,1.0
12081,79,79.0,6.96,1.0
12083,63,55.0,15.69,0.87
12085,36,36.0,12.99,1.0
12086,519,517.0,3.64,1.0
12087,31,,,
12089,13,5.0,34.25,0.38
12091,43,42.0,13.33,0.98
12093,12,11.0,13.93,0.92
12095,207,207.0,9.06,1.0
12097,41,39.0,10.94,0.95
12099,338,334.0,10.39,0.99
12101,134,134.0,10.58,1.0
12103,246,246.0,7.78,1.0
12105,154,150.0,12.26,0.97
12107,17,17.0,13.31,1.0
12109,41,39.0,15.24,0.95
12111,45,45.0,9.39,1.0
12113,26,18.0,20.89,0.69
12115,95,95.0,10.22,1.0
12117,86,86.0,10.91,1.0
12119,19,17.0,22.33,0.89
12121,7,6.0,15.73,0.86
12123,5,3.0,21.74,0.6
12125,3,3.0,10.54,1.0
12127,114,106.0,14.25,0.93
12129,5,4.0,21.48,0.8
12131,12,11.0,16.09,0.92
12133,7,5.0,23.0,0.71
13001,5,5.0,14.87,1.0
13003,3,3.0,12.33,1.0
13005,3,3.0,12.97,1.0
13007,2,2.0,14.9,1.0
13009,9,9.0,7.08,1.0
13011,4,4.0,6.78,1.0
13013,18,18.0,10.83,1.0
13015,15,14.0,17.78,0.93
13017,5,5.0,8.24,1.0
13019,6,6.0,17.81,1.0
13021,44,44.0,8.5,1.0
13023,3,3.0,6.96,1.0
13025,3,3.0,12.65,1.0
13027,5,4.0,15.03,0.8
13029,7,5.0,25.74,0.71
13031,12,11.0,14.82,0.92
13033,6,4.0,16.66,0.67
13035,3,3.0,8.23,1.0
13037,2,2.0,9.32,1.0
13039,11,8.0,18.33,0.73
13043,3,3.0,8.48,1.0
13045,17,14.0,19.17,0.82
13047,11,11.0,10.86,1.0
13049,2,1.0,23.6,0.5
13051,72,72.0,7.75,1.0
13053,5,5.0,14.28,1.0
13055,6,6.0,12.09,1.0
13057,26,26.0,19.58,1.0
13059,30,30.0,6.93,1.0
13061,1,1.0,29.22,1.0
13063,50,50.0,9.95,1.0
13065,2,0.0,47.24,0.0
13067,120,120.0,13.84,1.0
13069,9,8.0,14.98,0.89
13071,10,10.0,7.82,1.0
13073,20,19.0,18.57,0.95
13075,4,4.0,14.76,1.0
13077,20,14.0,24.6,0.7
13079,3,2.0,17.3,0.67
13081,6,6.0,7.34,1.0
13083,4,3.0,16.1,0.75
13085,3,3.0,13.0,1.0
13087,7,6.0,13.59,0.86
13089,145,145.0,7.96,1.0
13091,6,5.0,18.42,0.83
13093,3,3.0,6.89,1.0
13095,27,27.0,5.17,1.0
13097,20,20.0,14.15,1.0
13099,5,5.0,15.17,1.0
13101,2,2.0,13.12,1.0
13103,10,3.0,38.09,0.3
13105,5,3.0,20.95,0.6
13107,6,6.0,12.86,1.0
13109,3,3.0,12.69,1.0
13111,5,5.0,15.16,1.0
13113,20,20.0,19.13,1.0
13115,20,12.0,29.16,0.6
13117,45,45.0,18.18,1.0
13119,5,4.0,19.96,0.8
13121,204,202.0,8.92,0.99
13123,5,5.0,12.92,1.0
13125,1,1.0,0.0,1.0
13127,16,16.0,11.25,1.0
13129,9,0.0,39.48,0.0
13131,6,3.0,31.72,0.5
13133,7,7.0,11.43,1.0
13135,113,113.0,14.71,1.0
13137,8,8.0,11.91,1.0
13139,36,35.0,17.16,0.97
13141,2,2.0,12.88,1.0
13143,5,1.0,34.14,0.2
13145,5,5.0,21.24,1.0
13147,5,5.0,13.56,1.0
13149,3,0.0,41.38,0.0
13151,25,23.0,21.96,0.92
13153,23,23.0,7.38,1.0
13155,2,2.0,8.59,1.0
13157,11,11.0,13.81,1.0
13159,3,2.0,33.11,0.67
13161,3,1.0,32.7,0.33
13163,4,4.0,9.24,1.0
13165,2,2.0,7.96,1.0
13167,3,3.0,15.42,1.0
13169,6,6.0,11.13,1.0
13171,3,3.0,9.05,1.0
13173,2,0.0,31.72,0.0
13175,13,12.0,15.17,0.92
13177,5,5.0,10.54,1.0
13179,15,13.0,15.39,0.87
13181,2,0.0,35.98,0.0
13183,3,1.0,22.22,0.33
13185,25,25.0,11.31,1.0
13187,4,2.0,21.4,0.5
13189,5,3.0,25.67,0.6
13191,5,4.0,20.04,0.8
13193,4,3.0,14.49,0.75
13195,6,6.0,14.75,1.0
13197,2,1.0,29.94,0.5
13199,4,3.0,12.52,0.75
13201,3,2.0,29.3,0.67
13205,5,3.0,28.4,0.6
13207,5,5.0,12.48,1.0
13209,3,3.0,13.62,1.0
13211,5,4.0,27.04,0.8
13213,8,8.0,13.88,1.0
13215,53,53.0,10.89,1.0
13217,13,12.0,22.17,0.92
13219,6,6.0,20.47,1.0
13221,4,4.0,17.41,1.0
13223,19,11.0,27.48,0.58
13225,6,6.0,10.05,1.0
13227,6,6.0,15.94,1.0
13229,4,2.0,27.56,0.5
13231,4,4.0,16.14,1.0
13233,7,7.0,13.81,1.0
13235,3,3.0,8.88,1.0
13237,5,3.0,27.06,0.6
13239,1,1.0,0.0,1.0
13241,5,4.0,21.18,0.8
13243,2,1.0,26.82,0.5
13245,47,47.0,9.13,1.0
13247,15,15.0,10.72,1.0
13249,2,2.0,0.0,1.0
13251,5,4.0,16.97,0.8
13253,3,3.0,15.06,1.0
13255,12,12.0,8.93,1.0
13257,5,5.0,24.49,1.0
13259,2,2.0,10.66,1.0
13261,8,8.0,10.8,1.0
13263,3,3.0,12.74,1.0
13265,1,1.0,0.0,1.0
13267,5,3.0,18.79,0.6
13269,3,3.0,11.53,1.0
13271,3,1.0,28.7,0.33
13273,4,4.0,4.41,1.0
13275,11,11.0,11.61,1.0
13277,9,9.0,8.33,1.0
13279,6,6.0,12.93,1.0
13281,3,0.0,41.78,0.0
13283,2,2.0,7.19,1.0
13285,14,8.0,30.79,0.57
13287,2,2.0,6.04,1.0
13289,2,1.0,15.77,0.5
13291,6,1.0,38.56,0.17
13293,7,7.0,11.32,1.0
13295,13,13.0,13.55,1.0
13297,15,15.0,17.58,1.0
13299,9,9.0,10.22,1.0
13301,2,2.0,6.41,1.0
13303,5,5.0,10.27,1.0
13305,6,6.0,17.72,1.0
13307,2,2.0,18.84,1.0
13309,2,2.0,6.85,1.0
13311,5,4.0,21.79,0.8
13313,18,18.0,21.64,1.0
13315,4,4.0,15.14,1.0
13317,4,0.0,44.44,0.0
13319,3,3.0,4.22,1.0
13321,5,4.0,27.19,0.8
15001,50,47.0,12.72,0.94
15003,244,,,
15005,2,2.0,9.56,1.0
15007,17,15.0,17.68,0.88
15009,38,38.0,15.56,1.0
16001,59,59.0,6.38,1.0
16003,2,1.0,19.62,0.5
16005,22,22.0,5.11,1.0
16007,2,2.0,8.38,1.0
16009,2,2.0,0.0,1.0
16011,8,7.0,10.97,0.88
16013,4,0.0,75.44,0.0
16015,1,0.0,97.72,0.0
16017,9,6.0,19.28,0.67
16019,21,20.0,9.66,0.95
16021,2,1.0,16.06,0.5
16023,1,0.0,100.86,0.0
16025,1,1.0,0.0,1.0
16027,29,29.0,4.31,1.0
16029,2,0.0,57.22,0.0
16031,6,4.0,15.29,0.67
16033,1,0.0,47.32,0.0
16035,2,0.0,102.68,0.0
16037,1,1.0,0.0,1.0
16039,5,5.0,8.84,1.0
16041,2,2.0,8.48,1.0
16043,3,2.0,21.88,0.67
16045,3,3.0,12.55,1.0
16047,2,1.0,32.76,0.5
16049,5,0.0,119.19,0.0
16051,4,4.0,16.84,1.0
16053,5,5.0,12.85,1.0
16055,25,23.0,9.05,0.92
16057,7,4.0,18.22,0.57
16059,3,0.0,149.94,0.0
16061,3,0.0,83.5,0.0
16063,1,0.0,97.58,0.0
16065,6,6.0,7.02,1.0
16067,5,5.0,11.64,1.0
16069,10,8.0,16.68,0.8
16071,1,0.0,55.33,0.0
16073,3,3.0,0.0,1.0
16075,4,4.0,4.27,1.0
16077,2,1.0,23.96,0.5
16079,3,3.0,4.8,1.0
16081,1,0.0,88.27,0.0
16083,14,13.0,6.99,0.93
16085,3,0.0,81.09,0.0
16087,3,2.0,12.38,0.67
17001,18,16.0,9.09,0.89
17003,4,4.0,7.98,1.0
17005,4,1.0,38.26,0.25
17007,7,7.0,8.87,1.0
17009,2,0.0,42.27,0.0
17011,10,1.0,36.6,0.1
17013,2,0.0,62.42,0.0
17015,6,1.0,38.26,0.17
17017,5,4.0,10.07,0.8
17019,43,42.0,7.86,0.98
17021,10,9.0,17.29,0.9
17023,4,2.0,31.32,0.5
17025,4,4.0,9.73,1.0
17027,8,3.0,37.3,0.38
17029,12,11.0,8.81,0.92
17031,1319,1319.0,4.28,1.0
17033,6,0.0,53.27,0.0
17035,3,2.0,16.56,0.67
17037,21,16.0,14.65,0.76
17039,5,3.0,34.34,0.6
17041,5,1.0,39.37,0.2
17043,216,216.0,9.84,1.0
17045,5,1.0,40.53,0.2
17047,3,3.0,11.75,1.0
17049,8,7.0,16.21,0.88
17051,7,6.0,20.73,0.86
17053,5,1.0,37.42,0.2
17055,12,11.0,14.26,0.92
17057,12,0.0,51.72,0.0
17059,2,1.0,15.37,0.5
17061,5,1.0,42.91,0.2
17063,10,5.0,32.06,0.5
17065,3,0.0,35.44,0.0
17067,7,5.0,23.88,0.71
17069,2,2.0,0.0,1.0
17071,3,3.0,0.0,1.0
17073,13,5.0,32.74,0.38
17075,9,7.0,22.58,0.78
17077,14,14.0,8.38,1.0
17079,3,2.0,30.01,0.67
17081,11,10.0,11.95,0.91
17083,6,2.0,32.4,0.33
17085,6,2.0,43.32,0.33
17087,4,4.0,9.93,1.0
17089,82,82.0,7.71,1.0
17091,29,27.0,12.02,0.93
17093,10,10.0,14.2,1.0
17095,16,14.0,14.18,0.88
17097,154,154.0,9.87,1.0
17099,28,9.0,39.59,0.32
17101,5,4.0,24.13,0.8
17103,9,8.0,23.09,0.89
17105,10,0.0,57.42,0.0
17107,8,8.0,11.36,1.0
17109,10,0.0,53.16,0.0
17111,52,52.0,14.53,1.0
17113,41,36.0,13.31,0.88
17115,34,34.0,7.13,1.0
17117,13,11.0,14.45,0.85
17119,61,56.0,10.49,0.92
17121,12,11.0,22.81,0.92
17123,5,0.0,49.67,0.0
17125,6,0.0,51.62,0.0
17127,4,4.0,8.22,1.0
17129,3,1.0,39.17,0.33
17131,4,1.0,37.27,0.25
17133,6,5.0,25.12,0.83
17135,8,3.0,33.53,0.38
17137,10,9.0,10.55,0.9
17139,4,3.0,18.51,0.75
17141,11,4.0,34.96,0.36
17143,48,47.0,8.33,0.98
17145,6,4.0,21.84,0.67
17147,4,1.0,34.69,0.25
17149,5,4.0,21.53,0.8
17151,2,1.0,17.39,0.5
17153,2,2.0,11.86,1.0
17155,2,0.0,50.25,0.0
17157,9,4.0,30.57,0.44
17159,5,5.0,9.11,1.0
17161,40,39.0,6.61,0.98
17163,60,59.0,7.54,0.98
17165,9,8.0,8.63,0.89
17167,53,52.0,9.32,0.98
17169,3,2.0,30.66,0.67
17171,2,0.0,33.97,0.0
17173,6,1.0,40.4,0.17
17175,2,2.0,11.48,1.0
17177,13,0.0,40.83,0.0
17179,30,27.0,15.2,0.9
17181,5,5.0,13.59,1.0
17183,24,21.0,15.41,0.88
17185,4,3.0,25.6,0.75
17187,5,4.0,26.46,0.8
17189,4,0.0,41.01,0.0
17191,5,4.0,17.62,0.8
17193,5,5.0,14.0,1.0
17195,18,17.0,11.62,0.94
17197,152,148.0,11.4,0.97
17199,15,15.0,9.06,1.0
17201,77,77.0,6.19,1.0
17203,9,4.0,31.9,0.44
18001,7,6.0,26.05,0.86
18003,96,95.0,11.75,0.99
18005,15,15.0,17.86,1.0
18007,3,0.0,41.71,0.0
18009,4,2.0,29.47,0.5
18011,10,10.0,13.63,1.0
18013,4,1.0,35.88,0.25
18015,7,7.0,9.81,1.0
18017,11,11.0,10.12,1.0
18019,26,24.0,12.06,0.92
18021,6,5.0,25.38,0.83
18023,8,7.0,18.39,0.88
18025,3,2.0,10.58,0.67
18027,7,2.0,35.81,0.29
18029,10,6.0,31.89,0.6
18031,6,2.0,30.46,0.33
18033,9,2.0,34.17,0.22
18035,30,30.0,5.82,1.0
18037,7,1.0,42.97,0.14
18039,36,36.0,8.54,1.0
18041,7,7.0,9.87,1.0
18043,20,20.0,9.61,1.0
18045,5,2.0,34.68,0.4
18047,5,1.0,37.27,0.2
18049,6,0.0,41.96,0.0
18051,7,7.0,9.73,1.0
18053,16,16.0,9.99,1.0
18055,9,9.0,16.95,1.0
18057,39,39.0,10.29,1.0
18059,10,10.0,12.36,1.0
18061,6,5.0,17.99,0.83
18063,21,19.0,19.05,0.9
18065,13,13.0,10.15,1.0
18067,20,20.0,9.15,1.0
18069,9,1.0,35.4,0.11
18071,10,10.0,10.28,1.0
18073,8,5.0,27.95,0.62
18075,7,7.0,11.62,1.0
18077,7,1.0,38.21,0.14
18079,6,2.0,31.29,0.33
18081,22,22.0,7.84,1.0
18083,10,9.0,13.3,0.9
18085,19,2.0,41.96,0.11
18087,8,0.0,39.49,0.0
18089,118,118.0,6.67,1.0
18091,29,29.0,9.77,1.0
18093,10,1.0,37.95,0.1
18095,37,37.0,7.14,1.0
18097,224,224.0,4.61,1.0
18099,12,9.0,26.83,0.75
18101,3,1.0,40.33,0.33
18103,10,10.0,11.86,1.0
18105,31,31.0,10.6,1.0
18107,9,9.0,12.09,1.0
18109,13,8.0,29.72,0.62
18111,4,1.0,37.9,0.25
