ZCTA,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
"1260","172","88.37","11.63","0","67.78","46.05",68.49708947
"1262","954","56.08","43.92","0","32.52","50.84",79.25239237
"1264","121","62.81","37.19","0","45.91","25",10.66850531
"1266","1106","54.34","45.66","2.8","45.6","12.65",42.45274406
"1267","3140","76.34","23.66","3.47","35.41","25.28",57.58681546
"1270","462","72.29","27.71","0","49.74","0",14.50364435
"1301","8456","94.48","5.52","1.09","24.42","43.97",331.6820541
"1330","741","79.35","20.65","0","46.19","17.18",22.24117744
"1331","6183","85.41","14.59","2.04","33.47","26.89",116.1669054
"1337","1183","89.01","10.99","5.49","41.75","20.42",31.76360761
"1338","74","67.57","32.43","0","24.41","12",21.43953873
"1339","758","76.52","23.48","2.24","46.35","14.31",13.80005731
"1340","1025","72.49","27.51","14.44","43.09","17.23",23.40923563
"1341","874","85.93","14.07","0.34","43.92","13.98",24.47128835
"1342","457","100","0","0","39.8","35.01",25.60572467
"1343","39","61.54","38.46","0","28.89","0",8.012329834
"1344","618","94.01","5.99","1.62","43.59","18.93",45.40485156
"1346","358","48.32","51.68","25.98","50.82","4.05",16.76322215
"1347","100","79","21","0","38.86","25.32",172.7619161
"1349","521","88.87","11.13","0.38","45.74","20.52",67.7625425
"1350","69","68.12","31.88","0","38.46","34.04",6.442378689
"1351","1005","95.42","4.58","2.09","40.74","28.26",48.04061756
"1354","623","92.46","7.54","0.96","45.74","15.1",45.24345122
"1355","452","89.82","10.18","0.66","44.47","11.82",9.543403402
"1360","1431","86.23","13.77","0","33.75","19.53",41.76527767
"1364","3654","87.55","12.45","8.48","32.7","28.35",93.13373853
"1366","566","87.46","12.54","2.47","48.57","15.76",14.01753846
"1367","319","69.59","30.41","5.64","39.66","13.06",12.02392257
"1368","625","79.52","20.48","2.56","41.79","16.5",14.93832072
"1370","2068","88.93","11.07","1.6","41.8","27.79",41.50713977
"1373","2224","88.76","11.24","0","35.77","16.82",92.0178564
"1375","1670","96.41","3.59","0","17.75","58.2",117.4337682
"1376","2566","90.37","9.63","2.07","28.28","47.87",931.1376444
"1378","490","69.18","30.82","2.24","52.01","3.83",14.40085172
"1379","445","86.52","13.48","4.72","44.35","19.74",14.73374234
"1420","16726","88.59","11.41","0.92","24.46","47.05",551.6442365
"1430","2589","77.56","22.44","1.35","35.65","11.5",70.07175638
"1431","1191","93.2","6.8","0.42","48.71","8.74",50.32933705
"1432","3515","97.16","2.84","0.43","18.28","38.71",414.9547526
"1434","212","100","0","0","2.58","33.96",40.16947145
"1436","1327","96.01","3.99","0.68","21.84","29.2",138.3738849
"1438","246","83.74","16.26","0","22.88","7.77",453.8144086
"1440","9117","90.18","9.82","1.8","28.83","47.85",379.3552235
"1450","4278","94.62","5.38","0","37.19","13.29",130.5140681
"1451","1590","99.56","0.44","0","36.5","6",83.06926501
"1452","1854","93.42","6.58","0","42.57","9.93",45.16028668
"1453","18039","93.91","6.09","1.08","29.59","42.94",633.4398923
"1460","3729","95.44","4.56","4.05","43.38","14.75",225.7880599
"1462","4460","94.24","5.76","1.88","34.86","17.32",168.8112227
"1463","4559","95.15","4.85","1.58","41.57","21.05",201.8920469
"1464","2585","94.43","5.57","4.95","41.14","30.73",172.5926844
"1467","184","73.37","26.63","0","47.66","0",97.42590839
"1468","1906","91.87","8.13","3.31","33.18","14.73",89.04959516
"1469","2765","98.92","1.08","0","37.87","18.43",121.365015
"1473","3095","91.89","8.11","0","42.26","8.33",87.33144474
"1474","805","86.21","13.79","2.86","64.4","5.62",81.06316364
"1475","4515","84.63","15.37","0.86","26.72","27.64",105.3741231
"1501","7033","95.31","4.69","3.44","40.55","15.37",454.9019042
"1503","1228","91.61","8.39","0.49","33.32","14.84",94.65192743
"1504","3683","93.08","6.92","0.24","36.21","25.44",331.5106619
"1505","1813","97.68","2.32","0","41.12","15.64",112.912937
"1506","1503","97.6","2.4","17.96","41.37","15.81",96.79560514
"1507","5204","93.89","6.11","0","40.12","18.62",123.3782539
"1510","6088","90.88","9.12","0.46","29.78","45.78",1076.864606
"1515","950","86.53","13.47","1.16","45.25","17.15",96.22521448
"1516","3306","95.16","4.84","0.54","34.93","20.25",89.91122063
"1518","1449","100","0","0","22.95","31.61",163.1253391
"1519","2509","97.65","2.35","0","31.14","19.47",229.8442114
"1520","5950","95.66","4.34","0","30.77","9.98",329.1278734
"1521","1352","70.49","29.51","0.3","43.56","14.06",110.0418153
