ZCTA,year,totWrkE,eduP,hghRskP,hltCrP,retailP
601,2018,3495,16.11,20.49,13.99,10.73
602,2018,11536,9.32,18.46,9.74,14.73
603,2018,12400,11.69,17.24,9.23,12.77
606,2018,1355,5.31,47.31,11.81,5.17
610,2018,8464,10.53,28.75,8.22,14.43
612,2018,15455,10.68,17.72,14.4,16.29
616,2018,3120,14.71,21.54,17.6,8.91
617,2018,5835,7.51,23.82,13.73,16.93
622,2018,1286,3.27,10.65,19.36,16.72
623,2018,10922,12.11,19.02,10.01,18.63
624,2018,5596,15.56,21.18,17.91,11.26
627,2018,8543,9.14,22.95,11.19,17.84
631,2018,394,21.07,23.6,30.2,4.06
637,2018,5698,15.71,17.44,16.09,12.14
638,2018,3209,18.07,20.5,14.33,9.94
641,2018,6168,13.6,22.76,9.35,15.21
646,2018,11617,6.97,18.25,12.68,11.38
647,2018,1104,15.58,11.59,15.22,18.84
650,2018,3950,8.46,20.78,9.16,19.37
652,2018,959,10.74,20.65,6.26,17.52
653,2018,2329,17.82,17.43,12.07,15.8
656,2018,4663,15.29,20.52,16.08,9.09
659,2018,12069,14.16,19.69,12.2,16.65
660,2018,4781,14.64,13.28,14.72,16.31
662,2018,10134,10.46,15.48,14.19,15.04
664,2018,3361,14.82,37.94,6.99,10.89
667,2018,4647,9.15,21.95,14.35,14.42
669,2018,6282,12.03,23.53,11.54,14.9
670,2018,2177,15.8,19.71,15.48,10.15
674,2018,11062,7.17,22.23,16.22,15.38
676,2018,9017,10.72,20.92,9.35,15.75
677,2018,4572,4.94,21.78,14.57,9.25
678,2018,7468,11.82,20.96,10.11,15.69
680,2018,11511,12.1,16.05,16.68,15.28
682,2018,7738,15.74,9.98,12.65,16.67
683,2018,7860,15.11,21.82,12.44,11.35
685,2018,8598,12.12,23.27,12.43,14.18
687,2018,8586,10.05,25.67,16.5,12.67
688,2018,3360,8.9,24.79,14.02,15.42
690,2018,1451,11.78,26.4,4.96,10.13
692,2018,9499,8.11,19.33,12.71,15.91
693,2018,14490,10.43,20.97,15.52,9.46
694,2018,0,NA,NA,NA,NA
698,2018,8918,14.5,20.49,15.09,10.25
703,2018,7519,6.6,22.52,16.92,13.5
704,2018,2296,8.62,33.84,13.76,13.28
705,2018,6466,13.69,23.68,12.93,16.9
707,2018,2183,14.93,20.48,10.9,11.96
714,2018,3701,10.27,17.64,23.8,10.78
715,2018,640,9.06,10.16,7.66,9.22
716,2018,7072,14.93,12.03,14.83,13.39
717,2018,3803,13.2,15.15,11.28,12.81
718,2018,6903,8.71,20.99,10.82,11
719,2018,7680,13.01,16.63,10.7,18.24
