COUNTYFP,year,totPopE,whiteP,blackP,amIndP,asianP,pacIsP,otherP,hispP,noHSP,age0_4,age5_14,age15_19,age20_24,age15_44,age45_49,age50_54,age55_59,age60_64,ageOv65,ageOv18,age18_64,a15_24P,und45P,ovr65P,disbP
01001,2018,55200,76.88,19.14,0.29,1.03,0.06,2.61,2.77,11.31,3263,7579,3855,3337,21630,3874,3979,4131,2694,8050,41831,33781,13.03,58.83,14.58,19.3
01003,2018,208107,86.27,9.5,0.73,0.81,0.0,2.69,4.49,9.74,11609,26012,12707,10790,72200,13694,14636,14440,14851,40665,162430,121765,11.29,52.77,19.54,14.0
01005,2018,25782,47.38,47.58,0.28,0.37,0.0,4.39,4.29,26.97,1390,3127,1434,1658,9871,1672,1780,1657,1651,4634,20346,15712,11.99,55.81,17.97,22.2
01007,2018,22527,76.65,22.28,0.04,0.16,0.0,0.87,2.43,16.79,1275,2467,1514,1491,8975,1813,1626,1494,1216,3661,17868,14207,13.34,56.45,16.25,16.7
01009,2018,57645,95.51,1.5,0.24,0.34,0.03,2.38,9.13,19.84,3485,7627,3717,3189,20845,3959,3988,3895,3613,10233,44177,33944,11.98,55.44,17.75,14.2
01011,2018,10352,21.99,76.25,1.18,0.54,0.0,0.05,0.49,24.77,596,1174,772,706,4197,611,711,593,854,1616,8202,6586,14.28,57.64,15.61,14.4
01013,2018,20025,52.0,45.22,0.01,1.15,0.0,1.61,0.33,15.42,1205,2567,1292,1073,7190,1168,1259,1460,1370,3806,15459,11653,11.81,54.74,19.01,17.7
01015,2018,115098,74.33,20.57,0.31,0.93,0.01,3.85,3.65,15.95,6562,14002,7773,7626,44261,7148,7810,7851,8078,19386,89902,70516,13.38,56.32,16.84,20.8
01017,2018,33826,57.6,39.38,0.29,1.2,0.0,1.54,2.27,18.6,1950,3827,1960,2525,12149,2281,2367,2638,2205,6409,26820,20411,13.26,52.99,18.95,16.7
01019,2018,25853,92.82,4.9,0.91,0.21,0.0,1.15,1.54,19.77,1204,2990,1603,1383,8432,1749,1893,2047,1917,5621,20567,14946,11.55,48.84,21.74,20.0
01021,2018,43930,83.31,9.44,0.28,0.43,0.0,6.53,7.78,17.8,2767,5972,2823,2575,16835,2843,2813,3037,2736,6927,33283,26356,12.29,58.22,15.77,17.7
01023,2018,13075,56.75,42.75,0.07,0.1,0.0,0.33,0.56,18.59,671,1467,807,694,4273,826,980,1074,900,2884,10425,7541,11.48,49.03,22.06,28.4
01025,2018,24387,53.04,45.82,0.1,0.5,0.0,0.54,0.2,18.82,1364,2966,1611,1576,8701,1568,1749,1940,1473,4626,18998,14372,13.07,53.43,18.97,17.1
01027,2018,13378,83.02,14.78,1.16,0.13,0.0,0.91,3.1,24.5,670,1648,893,882,4623,814,1010,1126,835,2652,10559,7907,13.27,51.88,19.82,15.3
01029,2018,14938,94.18,2.63,0.26,0.02,0.0,2.91,2.42,22.63,821,2017,895,760,5185,1109,1001,966,1036,2803,11500,8697,11.08,53.71,18.76,22.6
01031,2018,51288,75.89,17.21,1.2,1.3,0.0,4.39,6.92,13.84,3178,6839,3271,3088,19597,3470,3367,3543,2919,8375,39127,30752,12.4,57.74,16.33,17.7
01033,2018,54495,79.43,15.81,0.67,0.49,0.05,3.54,2.48,15.57,3098,6461,3134,3164,19330,3578,3817,3831,3878,10502,42887,32385,11.56,53.01,19.27,18.7
01035,2018,12514,50.89,47.71,0.45,0.14,0.0,0.8,0.84,19.25,715,1466,872,613,4124,740,861,1075,826,2707,9863,7156,11.87,50.38,21.63,22.8
01037,2018,10855,65.71,34.21,0.08,0.0,0.0,0.0,0.46,20.35,342,1154,550,579,3548,778,768,1109,788,2368,9005,6637,10.4,46.47,21.81,22.6
