ZCTA,totalP,totalP_hh,totalP_fhh,nonRel_fhh,nonRel_fhhR,totalP_nfhh,nonRel_nfhh,nonRel_nfhhR,groupQuar,groupQuarR
57066,1592,1515,1064,46,4.32,451,79,17.52,167,10.49
57067,459,459,446,10,2.24,13,0,0.0,10,2.18
57068,1444,1444,1228,56,4.56,216,39,18.06,107,7.41
57075,1093,1093,953,16,1.68,140,36,25.71,68,6.22
57078,19107,17309,13744,162,1.18,3565,580,16.27,1582,8.28
57201,25277,24659,19187,366,1.91,5472,1151,21.03,2037,8.06
57273,1164,1164,1013,39,3.85,151,18,11.92,76,6.53
57274,2589,2511,1950,35,1.79,561,43,7.66,273,10.54
57313,1285,1239,1064,7,0.66,175,1,0.57,97,7.55
57321,456,456,404,2,0.5,52,2,3.85,33,7.24
57330,468,468,387,1,0.26,81,12,14.81,41,8.76
57331,429,429,388,4,1.03,41,9,21.95,24,5.59
57334,969,969,868,5,0.58,101,3,2.97,55,5.68
57353,800,800,656,17,2.59,144,12,8.33,58,7.25
57356,1960,1827,1578,86,5.45,249,53,21.29,107,5.46
57363,995,995,894,28,3.13,101,2,1.98,63,6.33
57364,21,21,21,0,0.0,0,0,,0,0.0
57367,232,232,190,4,2.11,42,8,19.05,19,8.19
57382,1376,1333,1027,0,0.0,306,41,13.4,95,6.9
57383,799,758,590,0,0.0,168,20,11.9,94,11.76
57446,398,398,355,0,0.0,43,0,0.0,25,6.28
57452,271,271,206,0,0.0,65,10,15.38,33,12.18
57651,129,129,111,0,0.0,18,7,38.89,11,8.53
57631,421,421,339,6,1.77,82,7,8.54,46,10.93
57633,427,427,387,3,0.78,40,5,12.5,29,6.79
57650,30,30,30,0,0.0,0,0,,0,0.0
98645,1355,1355,1196,7,0.59,159,20,12.58,87,6.42
98648,3128,3091,2432,51,2.1,659,153,23.22,245,7.83
98664,22873,22552,17890,1055,5.9,4662,1263,27.09,1534,6.71
98665,26556,26527,22186,712,3.21,4341,1205,27.76,1493,5.62
98682,58178,57924,50109,2168,4.33,7815,2420,30.97,2770,4.76
98686,20021,19946,17242,376,2.18,2704,642,23.74,1031,5.15
98821,313,313,246,0,0.0,67,0,0.0,67,21.41
98822,1909,1900,1554,64,4.12,346,128,36.99,124,6.5
98837,43078,42466,36100,1230,3.41,6366,1470,23.09,2329,5.41
98942,17148,16991,14935,476,3.19,2056,350,17.02,926,5.4
98055,24231,23992,19213,582,3.03,4779,1278,26.74,1684,6.95
98065,15548,15382,14581,138,0.95,801,164,20.47,279,1.79
98103,51377,51074,29019,1111,3.83,22055,7726,35.03,7225,14.06
98112,25426,25201,16279,388,2.38,8922,3063,34.33,2661,10.47
98144,31845,31355,21125,796,3.77,10230,3648,35.66,3354,10.53
97383,9952,9935,9110,401,4.4,825,56,6.79,414,4.16
97391,5559,5537,4638,145,3.13,899,217,24.14,402,7.23
97411,7572,7409,6106,99,1.62,1303,67,5.14,511,6.75
97444,5732,5676,4608,246,5.34,1068,134,12.55,373,6.51
97448,12889,12759,10616,415,3.91,2143,507,23.66,898,6.97
98351,1228,1228,1108,19,1.71,120,22,18.33,48,3.91
98354,7088,7074,5559,220,3.96,1515,424,27.99,444,6.26
98355,917,917,694,98,14.12,223,16,7.17,138,15.05
98361,836,836,605,41,6.78,231,33,14.29,141,16.87
98363,14083,13896,11362,566,4.98,2534,614,24.23,1083,7.69
