"","GEOID","totPop","age18_64","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","agOver65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","NoHSP","DisbP"
"1",2013,2697,2172,116,248,156,208,1504,285,252,141,80,71,13.5,69.26,2.63,23.95,1.67,12.57,37.26,26.51,0.3,28600,25.26,22
"2",2016,5465,4401,257,514,260,336,3198,562,460,203,146,125,10.91,72.63,2.29,40.04,3.02,10.48,20.95,24.59,0.62,62300,21.48,31
"3",28107,34274,20051,2644,5627,3013,2348,14741,2221,1993,1550,1356,4142,15.64,67.14,12.08,50.48,48.36,1.12,0.16,0.18,0.01,27800,36.53,53
"4",28101,21838,12866,1557,3202,1890,1512,9082,1404,1327,1033,973,3260,15.58,63.38,14.93,65.01,30.37,0.91,3.68,0.18,0,16700,27.1,50
"5",28027,30622,16760,2739,5597,2852,2086,12674,1930,1609,1224,1095,3754,16.13,68.61,12.26,29.28,69.21,0.9,0.09,0.47,0.02,29400,37.8,49
"6",22065,13728,7655,1126,2290,1595,1002,6095,876,731,569,446,1595,18.92,69.28,11.62,37.86,60.34,2.1,0.15,0.16,0.01,20500,36.61,39
"7",51540,45049,33666,1981,3802,6053,10207,27865,2235,1975,1433,1210,4548,36.09,74.69,10.1,69.56,22.22,2.45,0.11,4.93,0.03,143100,19.16,23
"8",51510,128283,95141,7962,10675,4739,9919,70415,9011,8630,6117,3868,11605,11.43,69.42,9.05,59.79,22.54,14.72,0.28,5.65,0.09,1506200,13.16,25
"9",51530,6349,3889,392,795,493,420,2565,414,458,354,337,1034,14.38,59.1,16.29,93.56,4.8,1.01,0.3,0.43,0.02,5800,30.99,46
"10",51600,21498,14329,1289,2399,1165,1531,9937,1524,1525,1181,890,2753,12.54,63.38,12.81,72.91,5.07,13.64,0.34,12.17,0.07,204300,11.4,25
"11",48113,2218899,1420996,181951,340788,161126,172678,1098009,144619,120874,88600,65186,178872,15.04,73.04,8.06,58.35,20.31,29.87,0.56,3.98,0.06,37270500,25.05,33
"12",48227,33627,20590,1998,4643,2452,2072,14925,2386,1903,1515,1359,4898,13.45,64.13,14.57,80.14,4.13,37.46,0.59,0.59,0.01,489100,29.37,36
"13",48155,1622,828,93,244,116,60,538,105,88,92,87,375,10.85,53.95,23.12,84.16,3.27,16.34,0.62,0.18,0,19100,30.02,57
"14",48153,7771,4076,638,1361,642,374,2909,512,379,379,337,1256,13.07,63.16,16.16,74.16,3.38,45.93,0.76,0.17,0.05,167300,36.46,38
"15",48043,8866,5605,482,1086,818,894,3886,621,623,456,415,1297,19.31,61.52,14.63,81.09,1.22,43.62,0.85,0.37,0.06,146100,21.42,38
"16",48159,9458,5406,537,1310,711,432,3492,657,598,545,566,1753,12.09,56.45,18.53,89.19,3.94,8.9,0.63,0.21,0,56900,22.58,41
"17",48231,76596,46610,5160,11607,5916,5295,32686,5180,4679,4169,3457,9658,14.64,64.56,12.61,83.57,9.45,8.31,0.73,0.54,0.07,436600,23.14,43
"18",48351,15072,8993,983,2183,1212,917,6140,1054,1018,854,706,2134,14.13,61.74,14.16,75.84,20.69,3.79,0.63,0.27,0.03,38800,31.27,49
"19",48427,53597,29156,5569,11227,5182,3966,23685,2688,2401,1969,1659,4399,17.07,75.53,8.21,87.92,0.15,97.54,0.25,0.28,0.04,611400,65.3,51
"20",48271,3379,1689,208,486,236,118,1082,182,211,179,209,822,10.48,52.56,24.33,75.82,1.69,50.52,0.33,0.12,0,74500,33.15,42
"21",48087,3206,1656,190,488,263,117,1104,217,194,160,149,704,11.85,55.58,21.96,79.82,5.33,20.43,1.62,0.19,0,41800,28.67,41
"22",48451,104010,62910,7132,15078,9226,9054,46415,6902,5864,4576,4074,13969,17.58,65.98,13.43,79.08,4.13,30.71,0.65,0.86,0.07,1589400,23.75,37
"23",48083,9235,4925,533,1248,613,397,3107,560,579,560,520,2128,10.94,52.93,23.04,88.53,2.19,13.96,0.62,0.22,0.01,78000,29.04,44
"24",48039,241767,151334,18708,38625,18592,14043,111043,18414,14538,10971,8138,21330,13.5,69.64,8.82,77.09,8.5,22.78,0.53,2,0.03,2872200,20.46,28
"25",48289,15335,8540,863,2098,1113,679,5385,1044,973,968,934,3070,11.69,54.42,20.02,83.53,10.39,7.91,0.34,0.18,0.01,85400,26.19,44
"26",48131,13120,7414,971,2187,1119,843,5427,777,753,627,540,1838,14.95,65.43,14.01,80.22,0.54,87.99,0.53,0.11,0.03,244000,40.33,50
"27",48279,14709,7808,1087,2389,1292,776,5628,913,748,711,688,2545,14.06,61.89,17.3,76.1,4.3,43.46,0.68,0.1,0.02,276900,36.29,40
"28",48343,13048,7373,776,1905,974,646,4790,982,813,707,689,2386,12.42,57.26,18.29,71.71,24.13,3.66,0.53,0.18,0.06,45100,26.34,46
"29",48423,174706,103606,12402,26012,13875,11335,73156,11995,10515,8637,7387,24602,14.43,63.86,14.08,72.61,19.06,11.17,0.43,0.7,0.03,1259100,19.79,38
"30",48239,14391,8153,1022,2126,1227,752,5733,1089,838,676,612,2295,13.75,61.71,15.95,76.49,7.64,24.68,0.39,0.39,0.06,217200,27.28,44
"31",48325,39304,23047,2817,6489,3060,2319,16667,2603,2417,1907,1526,4878,13.69,66.08,12.41,79.38,2.2,45.47,0.68,0.33,0.05,683900,27.8,36
"32",48483,5284,2866,317,735,394,213,1798,380,331,339,281,1103,11.49,53.94,20.87,87.83,2.78,12.57,0.78,0.55,0.08,42600,27.96,49
"33",48111,6222,3606,533,1108,495,377,2663,440,340,274,226,638,14.01,69.17,10.25,82.64,1.64,28.38,0.9,0.21,0,90900,34.97,37
"34",48059,12905,7333,704,1965,1023,537,4779,955,836,722,750,2194,12.09,57.71,17,94.78,0.22,6.29,0.63,0.26,0.05,53000,20.72,38
