COUNTYFP,year,unempP,povP,pciE
05089,2018,7.9,20.6,19710.0
05091,2018,8.1,21.2,22938.0
05093,2018,9.3,25.8,20879.0
05095,2018,6.8,28.1,22274.0
05097,2018,5.7,18.9,22347.0
05099,2018,5.6,27.7,18618.0
05101,2018,2.0,14.2,18907.0
05103,2018,7.2,24.1,21520.0
05105,2018,6.8,17.0,21699.0
05107,2018,10.5,33.2,18402.0
05109,2018,4.5,16.6,21919.0
05111,2018,5.9,21.8,19413.0
05113,2018,9.0,24.5,20176.0
05115,2018,6.2,18.5,22110.0
05117,2018,6.4,15.7,24075.0
05119,2018,5.2,17.0,31359.0
05121,2018,4.2,18.3,21338.0
05123,2018,8.0,26.6,17491.0
05125,2018,3.9,8.5,29358.0
05127,2018,10.3,22.1,17375.0
05129,2018,3.0,21.1,20709.0
05131,2018,4.9,20.3,25084.0
05133,2018,5.2,21.0,20627.0
05135,2018,5.0,21.6,20721.0
05137,2018,6.4,22.5,20496.0
05139,2018,7.3,20.1,24522.0
05141,2018,7.2,18.8,21622.0
05143,2018,4.4,16.8,27823.0
05145,2018,5.8,17.0,23747.0
05147,2018,8.9,25.0,21276.0
05149,2018,5.6,16.3,21584.0
06001,2018,5.1,10.6,44283.0
06003,2018,17.8,19.8,29041.0
06005,2018,8.6,9.7,30100.0
06007,2018,8.7,20.1,27537.0
06009,2018,6.1,11.7,32494.0
06011,2018,5.1,13.8,27336.0
06013,2018,6.1,9.1,45524.0
06015,2018,8.3,22.5,22832.0
06017,2018,6.2,8.9,40382.0
06019,2018,9.4,24.1,23284.0
06021,2018,6.8,18.8,21736.0
06023,2018,8.0,20.3,26747.0
06025,2018,15.3,24.2,17590.0
06027,2018,5.2,10.2,31540.0
06029,2018,10.3,22.0,22553.0
06031,2018,8.4,20.8,21186.0
06033,2018,9.8,21.0,25404.0
06035,2018,6.1,13.8,21897.0
06037,2018,6.8,16.0,32469.0
06039,2018,8.3,20.8,21394.0
06041,2018,3.8,7.6,69275.0
06043,2018,8.7,14.0,29776.0
06045,2018,9.2,18.5,27395.0
06047,2018,12.7,22.7,21634.0
06049,2018,8.1,16.6,23235.0
06051,2018,3.1,10.4,33421.0
06053,2018,5.4,14.1,28836.0
06055,2018,5.0,8.1,42677.0
06057,2018,6.4,11.4,37145.0
06059,2018,5.1,11.5,39590.0
06061,2018,4.9,8.0,41508.0
06063,2018,6.4,11.7,32710.0
06065,2018,8.6,14.7,27142.0
06067,2018,7.4,15.8,31311.0
06069,2018,7.4,9.2,31475.0
06071,2018,8.8,17.3,23956.0
06073,2018,6.4,12.5,36156.0
06075,2018,4.7,10.9,64157.0
06077,2018,8.7,15.9,26145.0
06079,2018,4.6,13.3,35832.0
06081,2018,4.1,7.0,57375.0
06083,2018,6.1,14.8,34229.0
