COUNTYFP,year,totWrkE,eduP,hghRskP,hltCrP,retailP
13255,2018,25042.0,9.34,20.29,11.09,14.97
13257,2018,10301.0,11.22,27.58,16.08,12.56
13259,2018,1498.0,12.55,24.57,13.82,9.28
13261,2018,11841.0,10.55,26.47,15.65,11.16
13263,2018,2536.0,5.56,30.6,15.42,10.13
13265,2018,580.0,4.83,39.31,4.14,5.0
13267,2018,7801.0,8.41,30.79,10.9,10.15
13269,2018,2987.0,11.52,26.65,12.35,9.57
13271,2018,4919.0,11.75,33.79,9.92,8.86
13273,2018,3332.0,5.1,27.61,10.29,14.44
13275,2018,18645.0,10.94,21.64,15.7,10.11
13277,2018,18126.0,7.76,24.54,15.43,12.91
13279,2018,10541.0,8.28,28.86,13.35,12.67
13281,2018,4267.0,13.94,15.35,14.98,10.97
13283,2018,2523.0,8.01,33.02,12.01,8.36
13285,2018,29824.0,9.12,31.83,11.5,10.52
13287,2018,3120.0,10.1,24.1,20.9,19.71
13289,2018,2647.0,4.19,29.58,11.45,11.86
13291,2018,8119.0,7.27,25.1,17.5,13.52
13293,2018,10005.0,11.57,25.78,14.28,10.69
13295,2018,29376.0,8.27,27.11,12.17,13.07
13297,2018,40399.0,8.16,24.26,9.56,14.79
13299,2018,13200.0,9.01,24.35,15.02,11.17
13301,2018,2165.0,10.02,38.61,12.52,13.58
13303,2018,7504.0,8.57,27.41,11.69,13.69
13305,2018,10612.0,10.75,27.21,12.16,11.46
13307,2018,1058.0,12.29,34.97,7.75,7.18
13309,2018,1928.0,9.85,25.31,19.09,9.85
13311,2018,12294.0,10.06,25.26,12.58,13.14
13313,2018,47247.0,6.32,48.14,7.59,9.72
13315,2018,2418.0,9.02,28.21,10.84,9.88
13317,2018,4035.0,7.71,31.95,17.55,9.42
13319,2018,3258.0,7.09,28.7,13.63,10.34
13321,2018,8801.0,6.53,29.85,12.56,12.0
15001,2018,86515.0,9.57,15.58,10.81,12.78
15003,2018,470748.0,9.47,12.01,12.05,11.36
15005,2018,57.0,0.0,10.53,10.53,7.02
15007,2018,36129.0,6.96,13.98,8.84,10.78
15009,2018,83997.0,7.39,13.3,9.62,11.5
16001,2018,221254.0,8.23,17.41,14.84,11.79
16003,2018,1517.0,8.44,32.56,10.81,9.43
16005,2018,36974.0,13.09,17.23,14.94,12.3
16007,2018,2514.0,8.71,33.69,17.34,8.59
16009,2018,3429.0,6.3,28.84,16.24,6.04
16011,2018,19674.0,9.33,27.87,15.32,9.73
16013,2018,12435.0,6.14,17.27,11.03,13.49
16015,2018,2858.0,10.43,26.24,12.07,10.36
16017,2018,17690.0,6.42,28.2,11.79,13.65
16019,2018,49395.0,9.17,19.81,14.34,11.77
16021,2018,4401.0,8.57,28.52,12.52,10.86
16023,2018,967.0,9.1,25.34,10.13,12.51
16025,2018,382.0,7.85,37.17,7.33,7.85
16027,2018,91663.0,6.72,25.88,13.33,12.16
16029,2018,3011.0,10.69,45.87,10.13,9.2
16031,2018,10138.0,7.34,41.45,10.44,10.91
16033,2018,463.0,4.1,71.92,1.73,4.54
16035,2018,2939.0,8.2,34.2,20.28,8.51
16037,2018,1619.0,4.94,44.29,9.2,9.45
16039,2018,9733.0,6.46,29.54,9.13,12.84
16041,2018,5861.0,7.22,38.44,12.9,12.01
16043,2018,5212.0,12.74,29.64,8.02,10.78
16045,2018,6654.0,8.25,26.84,13.8,14.52
16047,2018,6970.0,7.99,43.07,7.23,6.11
16049,2018,6291.0,7.42,29.68,11.19,9.68
16051,2018,12485.0,8.41,29.19,11.43,11.46
16053,2018,10607.0,6.27,43.89,9.84,10.73
16055,2018,70446.0,7.26,20.97,13.64,12.65
16057,2018,19601.0,27.18,16.12,11.77,12.86
16059,2018,3212.0,6.07,30.98,13.08,16.41
16061,2018,1515.0,10.56,31.29,14.52,8.05
16063,2018,2494.0,8.5,39.29,11.23,8.7
16065,2018,17962.0,25.59,15.4,10.82,12.2
16067,2018,9339.0,7.04,38.66,8.76,8.82
16069,2018,18892.0,8.34,24.39,16.15,13.7
16071,2018,1700.0,11.0,36.88,13.12,7.71
16073,2018,4964.0,7.39,47.28,6.39,8.84
16075,2018,9859.0,8.54,31.88,13.13,12.13
16077,2018,3218.0,12.46,40.8,8.64,7.61
16079,2018,4866.0,5.69,26.37,12.41,17.67
16081,2018,5698.0,5.37,24.83,8.07,13.16
16083,2018,39657.0,7.66,25.44,14.51,14.53
16085,2018,4118.0,7.75,14.62,9.06,11.1
16087,2018,4024.0,4.82,31.11,14.51,10.71
17001,2018,32501.0,8.33,22.6,17.51,14.61
17003,2018,2218.0,5.59,16.95,15.28,12.31
17005,2018,7481.0,11.63,26.79,13.81,9.49
17007,2018,25748.0,6.54,31.51,10.34,13.14
17009,2018,2448.0,4.37,18.42,11.85,9.27
17011,2018,16029.0,7.51,29.13,14.55,14.7
17013,2018,2047.0,8.45,28.04,16.46,9.72
17015,2018,6595.0,8.49,35.92,13.31,9.63
17017,2018,6130.0,6.26,32.43,12.22,11.11
17019,2018,103515.0,25.15,13.0,12.7,10.24
17021,2018,14965.0,8.12,25.33,19.08,9.05
17023,2018,7773.0,7.23,38.16,12.44,9.55
17025,2018,6093.0,7.58,37.08,16.97,9.4
17027,2018,18709.0,7.87,25.87,17.73,10.18
17029,2018,24987.0,15.44,23.4,15.19,11.25
17031,2018,2548996.0,9.06,15.0,13.65,9.76
17033,2018,8000.0,8.69,35.7,13.84,8.39
17035,2018,5270.0,7.89,34.67,16.17,10.7
17037,2018,52449.0,13.61,21.45,11.37,13.7
17039,2018,8119.0,11.44,23.67,10.12,12.45
17041,2018,9382.0,8.68,34.64,10.77,11.53
17043,2018,489858.0,9.1,17.59,12.05,9.92
17045,2018,8306.0,8.11,35.61,14.6,11.11
17047,2018,3043.0,6.11,39.04,13.8,11.44
17049,2018,17344.0,6.34,27.87,15.19,12.84
17051,2018,8627.0,5.32,30.06,16.98,13.03
17053,2018,6264.0,10.04,27.17,15.37,10.95
17055,2018,15528.0,9.4,24.95,15.93,14.75
17057,2018,15077.0,9.08,24.17,19.47,11.0
17059,2018,2139.0,6.55,29.78,18.75,13.09
17061,2018,6026.0,7.17,30.42,16.43,12.74
17063,2018,25041.0,10.53,25.74,11.7,12.7
17065,2018,3635.0,10.67,34.5,13.89,9.24
17067,2018,8127.0,7.06,30.45,15.2,12.55
17069,2018,1379.0,3.05,32.99,28.35,7.4
17071,2018,3262.0,8.46,34.46,14.78,7.69
17073,2018,22904.0,8.53,28.41,12.53,12.27
17075,2018,13260.0,9.03,27.6,16.09,11.04
17077,2018,25059.0,21.91,14.69,16.05,12.9
17079,2018,4438.0,6.35,36.03,11.04,10.23
17081,2018,16150.0,7.57,23.96,17.71,13.07
17083,2018,10675.0,8.68,22.56,16.41,13.11
17085,2018,10723.0,5.45,28.87,11.74,11.27
17087,2018,3878.0,12.56,15.47,22.46,8.51
17089,2018,266113.0,8.2,24.24,10.63,11.05
17091,2018,50539.0,10.95,22.86,16.17,12.09
17093,2018,64083.0,10.49,20.06,11.79,13.37
17095,2018,21236.0,11.33,19.67,17.36,14.57
17097,2018,350731.0,8.13,21.74,11.04,11.7
17099,2018,51365.0,8.0,26.8,13.83,13.15
17101,2018,6333.0,7.47,29.64,18.41,9.68
17103,2018,15455.0,8.11,26.57,17.34,11.34
17105,2018,16284.0,7.31,32.68,14.2,10.66
17107,2018,12456.0,10.12,24.53,14.11,11.37
17109,2018,13464.0,22.13,16.56,12.5,13.26
17111,2018,163471.0,8.33,24.11,10.88,12.32
17113,2018,90407.0,14.23,12.22,11.85,11.18
17115,2018,47876.0,7.88,26.24,15.64,12.03
17117,2018,20652.0,10.64,25.35,14.73,10.7
17119,2018,125733.0,9.66,19.88,14.39,11.1
17121,2018,16723.0,7.74,25.76,20.6,11.27
17123,2018,5404.0,6.88,31.35,14.67,11.03
17125,2018,6162.0,7.16,26.61,14.51,13.21
17127,2018,5617.0,5.34,22.15,15.47,15.06
17129,2018,6077.0,8.29,17.99,18.58,8.56
17131,2018,7392.0,6.87,33.63,12.59,9.58
17133,2018,17910.0,9.79,23.49,15.39,8.32
17135,2018,11245.0,9.15,24.46,16.85,13.64
17137,2018,15653.0,12.01,20.42,15.95,11.19
17139,2018,6925.0,5.18,42.45,12.16,8.33
17141,2018,24879.0,10.28,30.97,13.05,9.33
17143,2018,83236.0,9.1,21.9,18.76,11.06
17145,2018,7988.0,8.3,26.69,16.8,12.39
17147,2018,8575.0,9.92,28.7,12.4,10.74
17149,2018,6935.0,8.28,28.19,15.52,10.47
17151,2018,1267.0,7.18,26.05,12.08,14.36
17153,2018,1863.0,9.98,20.34,20.4,5.26
17155,2018,2993.0,6.15,29.37,15.6,11.26
17157,2018,12944.0,6.07,32.86,13.86,11.35
17159,2018,7257.0,9.19,27.96,17.25,13.85
17161,2018,68166.0,8.83,25.72,13.24,12.51
17163,2018,118602.0,8.69,15.99,15.15,11.76
17165,2018,9736.0,10.23,24.79,18.29,13.53
17167,2018,95308.0,9.06,11.95,17.45,11.16
17169,2018,2872.0,10.76,28.1,15.74,8.91
17171,2018,2343.0,7.98,25.95,15.96,11.22
17173,2018,10347.0,6.41,30.51,17.79,10.5
17175,2018,2508.0,8.61,37.64,13.24,11.6
17177,2018,21222.0,8.39,30.12,16.15,12.09
17179,2018,63328.0,7.19,24.48,16.77,12.4
17181,2018,7148.0,11.71,21.21,20.84,11.36
17183,2018,31575.0,7.4,24.7,17.32,12.04
17185,2018,5325.0,6.99,37.69,17.28,9.45
17187,2018,8086.0,14.54,27.96,17.7,8.79
17189,2018,7121.0,9.21,33.56,12.29,11.07
17191,2018,7507.0,5.65,37.03,15.92,10.66
17193,2018,5926.0,9.94,33.56,13.48,9.48
17195,2018,26393.0,7.29,29.03,15.62,12.43
17197,2018,348560.0,9.01,19.05,13.23,11.98
17199,2018,28899.0,11.39,17.44,19.4,12.58
17201,2018,132751.0,6.87,29.11,14.53,11.16
17203,2018,18800.0,9.32,25.94,12.9,11.34
18001,2018,15536.0,5.83,43.0,11.2,9.83
18003,2018,179102.0,7.73,24.69,15.01,11.59
18005,2018,40192.0,6.91,39.31,12.94,10.4
18007,2018,4073.0,13.43,33.02,7.34,12.99
18009,2018,5348.0,10.32,37.08,13.52,9.93
18011,2018,33689.0,8.22,22.77,15.08,8.85
18013,2018,7022.0,6.68,32.77,11.85,14.65
18015,2018,9242.0,9.01,40.65,11.89,9.14
18017,2018,17098.0,6.9,41.23,15.59,9.98
18019,2018,57679.0,6.48,23.79,14.65,12.34
18021,2018,12218.0,9.08,34.82,13.05,10.85
18023,2018,15129.0,6.33,39.74,12.6,9.21
18025,2018,4361.0,5.55,36.37,14.88,10.34
18027,2018,14513.0,6.51,40.03,11.49,10.02
18029,2018,24790.0,7.03,27.58,14.18,11.92
18031,2018,13121.0,6.94,42.84,10.48,10.09
18033,2018,21374.0,5.63,43.69,10.64,10.67
18035,2018,53067.0,14.99,19.54,16.32,12.1
18037,2018,22194.0,7.03,44.24,12.08,7.76
18039,2018,96156.0,7.67,41.46,9.61,10.38
18041,2018,9858.0,5.27,33.75,20.49,10.0
18043,2018,38611.0,7.9,23.39,15.26,11.4
18045,2018,7506.0,7.86,39.29,9.53,9.49
18047,2018,11080.0,5.81,36.93,13.42,10.28
18049,2018,9557.0,5.64,39.49,10.8,13.31
18051,2018,16281.0,7.97,39.99,11.52,10.15
18053,2018,29052.0,14.62,23.66,16.42,12.19
18055,2018,14124.0,8.53,28.73,11.68,11.7
18057,2018,168749.0,9.64,17.23,13.31,9.96
18059,2018,38632.0,8.49,24.51,13.97,10.94
18061,2018,17765.0,7.14,30.75,15.71,11.12
18063,2018,84103.0,9.32,20.61,14.88,11.08
18065,2018,20056.0,8.69,29.42,15.98,10.91
18067,2018,36898.0,7.23,33.27,14.08,10.11
18069,2018,18366.0,9.44,34.99,14.12,8.9
18071,2018,20533.0,6.47,40.13,10.11,12.29
18073,2018,15493.0,6.57,35.65,11.98,14.0
18075,2018,9491.0,6.68,47.21,13.24,8.87
18077,2018,14454.0,7.14,39.03,14.37,11.46
18079,2018,13225.0,6.69,37.88,12.73,13.44
18081,2018,76397.0,8.27,24.11,14.45,10.54
18083,2018,18068.0,8.01,27.9,15.44,11.04
18085,2018,39265.0,7.44,48.08,9.92,8.72
18087,2018,16906.0,4.77,57.44,6.67,9.91
18089,2018,217505.0,8.29,23.65,15.14,11.06
18091,2018,47006.0,6.67,30.71,13.96,11.76
18093,2018,20460.0,6.73,28.61,14.82,12.69
18095,2018,56373.0,7.7,22.84,17.03,11.29
18097,2018,457060.0,7.51,16.98,14.1,12.66
18099,2018,21365.0,9.37,41.8,10.02,9.79
18101,2018,4705.0,5.27,30.22,13.45,10.84
18103,2018,15271.0,6.65,36.47,12.57,10.2
18105,2018,72599.0,24.23,14.28,12.54,10.02
18107,2018,18836.0,10.38,36.04,9.83,11.26
18109,2018,33028.0,7.34,25.87,13.64,11.99
18111,2018,6161.0,4.43,35.22,8.16,14.48
18113,2018,22947.0,5.82,46.77,11.29,8.11
18115,2018,3004.0,4.59,29.79,13.18,7.82
18117,2018,8424.0,6.58,38.49,11.13,9.73
18119,2018,9411.0,5.97,39.85,11.65,8.27
18121,2018,6748.0,6.79,38.2,8.34,9.9
18123,2018,8351.0,6.55,42.94,15.08,7.98
18125,2018,5726.0,6.55,43.36,14.08,9.43
18127,2018,80189.0,10.3,26.67,14.69,10.22
18129,2018,12398.0,9.13,32.18,13.37,8.67
18131,2018,5536.0,7.08,43.52,13.33,8.91
18133,2018,16250.0,13.03,29.57,11.42,13.33
18135,2018,11271.0,8.45,38.54,14.59,10.39
18137,2018,13884.0,7.35,37.38,12.36,9.36
18139,2018,7440.0,4.53,39.29,11.87,10.07
18141,2018,128360.0,13.37,23.91,14.89,11.29
18143,2018,10004.0,7.13,41.08,12.65,14.33
18145,2018,22158.0,7.0,33.49,13.7,8.5
18147,2018,9947.0,5.54,40.96,12.35,7.54
18149,2018,9661.0,9.69,41.88,12.07,9.76
18151,2018,17250.0,7.27,36.26,8.97,13.36
18153,2018,8286.0,6.71,33.88,15.57,10.26
18155,2018,4355.0,6.15,33.41,13.98,8.15
18157,2018,94285.0,21.17,23.25,11.17,10.78
18159,2018,7450.0,6.98,39.58,14.46,6.24
18161,2018,3368.0,11.02,23.55,15.53,13.75
18163,2018,87595.0,7.75,25.15,15.03,11.96
18165,2018,6549.0,8.98,34.34,12.52,11.83
18167,2018,48565.0,12.74,21.48,15.74,11.65
18169,2018,14813.0,8.56,34.67,14.73,10.28
18171,2018,3948.0,9.4,39.59,12.89,9.02
18173,2018,31570.0,8.27,28.57,17.09,10.92
18175,2018,12021.0,7.31,37.56,14.39,11.65
18177,2018,29728.0,10.38,26.88,18.08,11.69
18179,2018,13750.0,5.67,31.37,14.89,10.79
18181,2018,11453.0,9.08,38.64,12.3,10.08
18183,2018,16976.0,6.6,37.4,13.57,10.76
19001,2018,3580.0,7.07,34.22,12.91,8.55
19003,2018,1756.0,6.04,35.88,22.15,10.25
19005,2018,6923.0,6.85,34.77,19.3,12.47
19007,2018,5520.0,8.42,32.79,12.26,13.24
19009,2018,2908.0,5.88,32.87,17.23,9.39
19011,2018,13323.0,7.79,31.99,14.32,10.56
19013,2018,69573.0,10.94,25.36,14.53,13.58
19015,2018,13879.0,11.51,21.57,15.55,16.4
19017,2018,12957.0,14.29,30.17,13.72,10.41
19019,2018,10407.0,7.32,37.24,16.12,10.38
19021,2018,10523.0,11.95,42.44,11.17,9.74
19023,2018,7287.0,7.92,32.98,14.12,11.94
19025,2018,4416.0,9.15,28.74,17.48,11.73
19027,2018,10632.0,7.36,25.17,19.14,12.56
19029,2018,6455.0,7.42,31.71,15.62,14.31
19031,2018,9920.0,10.08,31.47,15.66,11.92
19033,2018,21912.0,6.64,27.28,17.49,11.72
19035,2018,5930.0,8.15,32.07,17.08,16.76
19037,2018,6457.0,7.06,41.89,15.04,8.12
19039,2018,4612.0,9.24,30.75,13.64,11.93
19041,2018,8262.0,8.34,26.39,15.61,13.51
19043,2018,9181.0,6.95,39.46,13.32,12.66
19045,2018,22653.0,7.54,32.41,14.05,13.41
19047,2018,7993.0,6.76,42.81,10.43,10.95
19049,2018,46027.0,7.63,15.19,13.84,9.57
19051,2018,4158.0,11.14,33.53,12.19,14.26
19053,2018,3720.0,23.17,24.22,10.83,11.16
19055,2018,9334.0,7.42,39.17,14.2,11.68
19057,2018,19087.0,8.63,31.6,13.34,12.24
19059,2018,9189.0,5.94,33.4,13.82,11.98
19061,2018,50388.0,9.92,24.15,13.41,13.63
19063,2018,4802.0,8.75,38.23,17.06,7.25
19065,2018,9937.0,10.73,31.34,16.41,11.38
19067,2018,7920.0,7.66,34.04,15.1,12.64
19069,2018,4845.0,10.82,38.39,13.7,6.71
19071,2018,3373.0,10.58,30.77,16.54,8.98
19073,2018,4498.0,7.65,32.39,16.01,12.32
19075,2018,6244.0,10.38,31.63,14.46,10.68
19077,2018,5275.0,7.32,27.22,14.82,13.27
19079,2018,7607.0,9.64,30.84,12.78,12.63
19081,2018,5653.0,9.48,36.99,13.69,10.47
19083,2018,8713.0,8.87,34.37,13.39,10.17
19085,2018,7347.0,6.55,29.14,15.42,12.06
19087,2018,9335.0,10.49,31.49,15.16,13.38
19089,2018,4783.0,9.3,37.84,17.9,9.91
19091,2018,4672.0,6.04,36.39,13.59,11.75
19093,2018,3443.0,8.86,42.55,15.71,7.75
19095,2018,8353.0,8.2,34.54,15.81,12.41
19097,2018,9531.0,6.97,31.2,14.22,13.2
19099,2018,17587.0,8.07,27.41,13.55,11.88
19101,2018,8235.0,14.03,23.67,10.42,9.37
19103,2018,82627.0,20.53,13.89,21.59,10.8
19105,2018,9825.0,7.05,31.02,13.2,11.82
19107,2018,4996.0,8.17,36.13,14.91,10.01
19109,2018,7496.0,6.1,36.1,13.3,12.54
19111,2018,15928.0,8.68,32.29,15.17,10.77
19113,2018,118580.0,8.41,24.73,14.06,11.97
19115,2018,5510.0,6.21,46.26,12.85,9.44
19117,2018,3981.0,8.82,18.97,12.64,23.06
19119,2018,6089.0,9.94,37.63,13.75,7.34
19121,2018,8363.0,6.82,25.28,11.25,13.36
19123,2018,10783.0,9.27,37.97,14.79,9.25
19125,2018,16957.0,12.46,33.08,14.06,9.57
19127,2018,19085.0,6.02,38.57,13.86,11.31
19129,2018,7475.0,7.97,21.93,17.89,12.24
19131,2018,5225.0,6.39,39.71,16.8,9.38
19133,2018,4269.0,10.12,28.6,15.3,11.31
19135,2018,3662.0,6.96,30.09,17.75,9.18
19137,2018,4779.0,7.22,30.34,19.17,14.15
19139,2018,21523.0,9.06,43.57,11.67,7.81
19141,2018,7379.0,5.61,34.64,16.47,12.4
19143,2018,3162.0,7.4,39.22,16.13,8.38
19145,2018,7143.0,7.64,29.92,18.47,15.23
19147,2018,4781.0,10.0,29.78,12.97,11.36
19149,2018,13314.0,8.11,32.9,13.91,11.42
19151,2018,3396.0,7.57,38.31,12.25,11.34
19153,2018,253971.0,7.75,16.71,13.24,11.46
19155,2018,47226.0,8.34,21.59,14.8,13.31
19157,2018,9850.0,17.37,28.99,10.2,10.09
19159,2018,2121.0,10.14,37.58,16.83,8.02
19161,2018,5027.0,7.14,31.83,16.43,9.57
19163,2018,84812.0,8.99,24.84,13.92,11.99
19165,2018,6006.0,7.43,27.81,14.27,14.89
19167,2018,18820.0,15.27,34.11,13.67,8.33
19169,2018,51875.0,26.05,17.15,11.25,9.43
19171,2018,8512.0,7.87,35.44,12.81,12.29
19173,2018,2993.0,7.99,39.69,16.17,7.42
19175,2018,6071.0,7.46,34.36,14.45,12.88
19177,2018,3138.0,6.76,39.23,14.05,11.85
19179,2018,16399.0,10.18,32.75,15.88,11.44
19181,2018,25999.0,10.64,16.61,11.82,13.72
19183,2018,11115.0,11.13,28.1,15.4,14.12
19185,2018,2817.0,7.06,34.9,14.16,12.71
19187,2018,17033.0,9.59,26.93,15.46,13.7
19189,2018,5296.0,8.19,41.2,12.67,9.55
19191,2018,11802.0,19.93,28.93,12.15,9.34
19193,2018,51572.0,8.72,27.17,13.68,13.43
19195,2018,3854.0,7.03,32.51,13.47,10.61
19197,2018,5729.0,9.62,36.27,13.75,9.29
20001,2018,5887.0,14.71,33.31,12.62,10.58
20003,2018,3524.0,10.98,30.51,16.29,10.39
20005,2018,7721.0,15.89,28.05,13.55,9.67
20007,2018,2172.0,8.98,32.5,14.87,13.58
20009,2018,13479.0,8.26,27.84,15.59,9.21
20011,2018,6334.0,8.79,25.78,16.83,11.29
20013,2018,4500.0,8.29,30.6,16.84,10.76
20015,2018,31098.0,11.98,27.26,15.18,9.02
20017,2018,1116.0,8.78,33.51,16.22,12.37
20019,2018,1403.0,11.69,35.35,19.53,8.91
20021,2018,8699.0,11.98,30.38,14.38,9.89
20023,2018,1243.0,9.41,29.93,18.66,8.21
20025,2018,1020.0,13.92,33.63,14.22,9.31
20027,2018,4016.0,12.2,29.61,10.48,10.51
20029,2018,4496.0,10.65,23.69,17.35,11.21
20031,2018,4126.0,8.82,39.12,12.55,10.16
20033,2018,958.0,9.71,30.48,15.66,10.33
20035,2018,15544.0,13.42,31.5,13.36,8.64
20037,2018,18831.0,15.3,24.34,17.47,10.64
20039,2018,1386.0,11.26,31.02,14.57,8.3
20041,2018,8617.0,10.18,25.65,14.65,13.07
20043,2018,3712.0,12.34,32.06,15.36,7.57
20045,2018,66273.0,19.17,13.39,11.25,12.9
20047,2018,1444.0,6.44,39.75,12.05,8.93
20049,2018,993.0,14.7,26.59,16.82,4.63
20051,2018,16239.0,13.75,19.77,15.03,10.71
20053,2018,2678.0,8.4,27.18,19.12,7.99
20055,2018,18631.0,8.58,36.09,11.01,11.75
20057,2018,16646.0,7.84,42.4,8.48,8.67
20059,2018,12787.0,9.47,23.94,14.19,14.64
20061,2018,11798.0,10.03,13.77,15.38,10.6
20063,2018,1290.0,11.47,33.57,13.41,7.67
20065,2018,1149.0,10.01,31.51,19.5,9.4
20067,2018,3611.0,4.87,39.46,11.41,6.06
20069,2018,3166.0,10.52,34.71,11.28,10.96
20071,2018,565.0,7.43,28.5,21.06,8.14
20073,2018,2866.0,9.39,34.82,14.38,9.28
20075,2018,1192.0,8.39,39.85,11.41,10.91
20077,2018,2536.0,8.99,35.96,14.31,12.11
20079,2018,16922.0,13.39,27.7,18.63,7.95
20081,2018,1938.0,10.68,39.58,8.46,6.3
20083,2018,946.0,12.9,31.71,16.38,10.25
20085,2018,6199.0,8.74,23.75,12.66,10.32
20087,2018,9287.0,10.39,28.29,12.59,8.71
20089,2018,1228.0,9.53,30.86,15.31,8.71
20091,2018,317390.0,8.75,13.68,13.9,10.63
20093,2018,1693.0,12.05,41.82,10.45,5.61
20095,2018,3579.0,7.38,40.74,11.99,6.93
20097,2018,1249.0,17.69,26.74,12.49,10.57
20099,2018,9545.0,10.27,30.47,21.3,9.9
20101,2018,885.0,7.91,43.84,12.99,6.33
20103,2018,35313.0,11.44,16.86,13.93,11.5
20105,2018,1464.0,9.7,36.34,12.91,8.88
20107,2018,4145.0,8.9,32.38,13.41,13.46
20109,2018,1422.0,9.35,25.53,12.94,14.42
20111,2018,17377.0,15.91,28.07,12.87,10.81
20113,2018,14932.0,12.62,34.6,14.39,8.85
20115,2018,5632.0,12.68,36.29,12.54,10.6
20117,2018,4759.0,8.62,36.12,13.22,10.72
20119,2018,2084.0,11.04,39.25,17.08,6.86
20121,2018,16404.0,8.78,26.32,13.66,12.25
20123,2018,2753.0,9.99,27.72,16.78,10.75
20125,2018,14519.0,9.2,31.23,17.21,11.74
20127,2018,2602.0,10.11,31.82,14.26,7.11
20129,2018,1276.0,13.87,35.27,10.5,3.84
20131,2018,5132.0,8.48,34.31,19.1,8.2
20133,2018,7359.0,10.5,29.49,17.23,10.31
20135,2018,1387.0,10.31,37.06,16.15,4.69
20137,2018,2440.0,11.52,32.05,14.92,8.11
20139,2018,7419.0,10.32,23.13,15.16,10.28
20141,2018,1771.0,12.2,29.02,17.11,8.53
20143,2018,2949.0,9.7,30.21,16.79,6.92
20145,2018,2595.0,7.4,20.92,28.82,8.63
20147,2018,2690.0,10.71,30.19,17.96,6.43
20149,2018,10868.0,15.18,26.46,13.96,10.36
20151,2018,4515.0,11.89,28.75,12.05,14.37
20153,2018,1226.0,6.44,34.99,14.44,10.93
20155,2018,29866.0,10.83,24.33,15.32,12.86
20157,2018,2332.0,10.68,36.66,16.77,8.19
20159,2018,4753.0,16.73,30.0,14.71,7.85
20161,2018,36646.0,26.45,13.13,10.45,11.0
20163,2018,2414.0,9.82,29.99,14.46,10.89
20165,2018,1489.0,11.01,31.7,16.86,6.18
20167,2018,3221.0,12.95,27.2,15.62,12.2
20169,2018,27342.0,9.92,26.3,13.88,11.19
20171,2018,2589.0,6.1,40.56,14.87,6.41
20173,2018,246997.0,9.56,25.74,13.96,11.39
20175,2018,10733.0,7.36,45.06,9.63,11.18
20177,2018,84391.0,9.36,18.47,16.26,10.36
20179,2018,1261.0,9.44,35.53,12.21,9.83
20181,2018,2905.0,12.36,22.79,8.64,10.74
20183,2018,1697.0,9.96,31.64,13.32,9.07
20185,2018,2040.0,11.18,28.19,14.17,8.97
20187,2018,1030.0,10.87,42.52,10.49,5.73
20189,2018,2549.0,8.28,42.57,11.02,6.79
20191,2018,10727.0,10.25,29.62,13.57,10.25
20193,2018,4327.0,14.56,18.88,13.4,13.91
20195,2018,1634.0,8.2,34.39,15.91,11.75
20197,2018,3368.0,11.16,31.5,14.28,9.41
20199,2018,781.0,12.55,29.83,13.7,5.89
20201,2018,2692.0,9.44,37.22,17.53,11.03
20203,2018,1084.0,5.63,44.93,13.28,3.51
20205,2018,4045.0,8.78,34.31,19.13,9.39
20207,2018,1400.0,9.0,34.43,14.93,7.21
20209,2018,74707.0,6.62,24.48,12.2,10.46
21001,2018,8020.0,12.87,32.06,14.2,10.69
21003,2018,8616.0,8.09,35.48,13.5,12.45
21005,2018,10381.0,8.71,25.55,8.31,11.7
21007,2018,3341.0,5.42,27.75,17.93,12.6
21009,2018,18622.0,7.53,34.35,12.61,12.2
21011,2018,4750.0,9.43,35.33,12.19,10.42
21013,2018,7543.0,9.2,25.81,17.73,14.04
21015,2018,66174.0,6.69,20.24,11.72,13.67
21017,2018,9402.0,7.22,32.47,12.51,11.0
21019,2018,18353.0,9.48,16.12,20.12,13.14
21021,2018,12357.0,14.77,27.62,15.8,9.95
21023,2018,3622.0,9.14,33.66,8.95,10.88
21025,2018,3950.0,14.68,18.66,19.09,11.11
21027,2018,7785.0,10.46,39.06,11.47,11.0
21029,2018,39278.0,6.0,25.83,12.79,13.0
21031,2018,5078.0,9.73,39.66,10.28,7.11
21033,2018,5365.0,8.13,35.47,12.17,11.03
21035,2018,17816.0,21.31,19.66,10.34,12.06
21037,2018,46679.0,9.87,17.87,14.25,11.32
21039,2018,1862.0,8.75,31.53,12.03,9.61
21041,2018,4446.0,5.96,40.26,6.75,10.03
21043,2018,8769.0,13.92,22.41,17.07,11.48
21045,2018,5563.0,12.48,32.57,16.07,10.64
21047,2018,23711.0,8.31,28.52,13.7,11.14
21049,2018,16231.0,8.62,28.35,13.1,12.24
21051,2018,5492.0,14.06,20.88,14.69,11.03
21053,2018,3573.0,10.02,33.11,15.62,9.21
21055,2018,3643.0,7.05,34.86,15.15,10.46
21057,2018,2440.0,10.66,33.2,17.95,12.05
21059,2018,45375.0,8.44,25.49,15.45,12.25
21061,2018,4642.0,12.28,30.74,12.58,10.06
21063,2018,1792.0,7.48,27.85,19.59,8.93
21065,2018,4625.0,11.24,34.08,10.88,18.53
21067,2018,166264.0,13.52,15.72,14.36,12.84
21069,2018,6145.0,10.56,38.29,13.39,13.91
21071,2018,10592.0,10.33,18.69,18.54,13.82
