COUNTYFP,dissim.b,inter.bw,iso.b,dissim.h,inter.hw,iso.h,dissim.a,inter.aw,iso.a
45015,0.3,0.56,0.32,0.35,0.6,0.1,0.49,0.6,0.06
45017,0.19,0.52,0.44,0.35,0.6,0.06,0.0,0.0,0.0
45019,0.51,0.45,0.46,0.47,0.48,0.15,0.34,0.69,0.03
45021,0.41,0.6,0.33,0.33,0.72,0.07,0.44,0.7,0.01
45023,0.36,0.48,0.48,0.44,0.61,0.04,0.64,0.71,0.0
45025,0.28,0.56,0.38,0.53,0.58,0.12,0.65,0.51,0.02
45027,0.35,0.39,0.57,0.4,0.41,0.05,0.89,0.33,0.01
45029,0.27,0.51,0.43,0.42,0.53,0.06,0.9,0.6,0.02
45031,0.34,0.44,0.52,0.34,0.57,0.03,0.65,0.57,0.02
45033,0.23,0.42,0.5,0.56,0.42,0.06,0.69,0.54,0.01
45035,0.23,0.6,0.29,0.24,0.62,0.07,0.42,0.65,0.04
45037,0.28,0.51,0.41,0.3,0.53,0.07,0.51,0.58,0.01
45039,0.18,0.36,0.58,0.6,0.38,0.06,0.67,0.52,0.01
45041,0.38,0.4,0.55,0.37,0.52,0.04,0.5,0.57,0.03
45043,0.39,0.53,0.42,0.35,0.66,0.06,0.46,0.78,0.01
45045,0.41,0.55,0.31,0.37,0.6,0.15,0.46,0.7,0.06
45047,0.3,0.52,0.38,0.48,0.43,0.12,0.5,0.67,0.02
45049,0.34,0.35,0.58,0.59,0.28,0.07,0.32,0.43,0.01
45051,0.4,0.67,0.25,0.38,0.71,0.12,0.49,0.76,0.03
45053,0.26,0.39,0.47,0.51,0.33,0.24,0.38,0.41,0.01
45055,0.23,0.63,0.29,0.33,0.66,0.06,0.66,0.64,0.01
45057,0.42,0.54,0.38,0.39,0.68,0.09,0.33,0.77,0.02
45059,0.27,0.6,0.32,0.32,0.63,0.07,0.52,0.68,0.01
45061,0.31,0.29,0.67,0.55,0.24,0.05,0.66,0.41,0.0
45063,0.39,0.63,0.26,0.3,0.72,0.09,0.43,0.72,0.04
45065,0.25,0.46,0.5,0.5,0.51,0.02,0.58,0.39,0.01
45067,0.17,0.37,0.59,0.45,0.42,0.07,0.52,0.41,0.02
45069,0.27,0.36,0.54,0.5,0.34,0.08,0.45,0.39,0.01
45071,0.33,0.5,0.41,0.44,0.51,0.15,0.45,0.64,0.0
45073,0.42,0.75,0.14,0.45,0.75,0.11,0.37,0.84,0.01
45075,0.3,0.29,0.66,0.4,0.36,0.04,0.6,0.32,0.02
45077,0.34,0.81,0.1,0.31,0.82,0.06,0.57,0.8,0.05
45079,0.44,0.31,0.59,0.43,0.4,0.09,0.43,0.44,0.06
45081,0.31,0.51,0.29,0.45,0.45,0.23,0.0,0.0,0.0
45083,0.41,0.54,0.34,0.45,0.57,0.17,0.44,0.64,0.05
45085,0.34,0.37,0.56,0.42,0.42,0.07,0.36,0.49,0.03
45087,0.27,0.58,0.37,0.53,0.62,0.04,0.97,0.32,0.0
45089,0.3,0.28,0.68,0.65,0.21,0.15,0.53,0.36,0.01
45091,0.4,0.56,0.35,0.3,0.69,0.08,0.38,0.72,0.04
46003,0.0,0.88,0.01,0.0,0.88,0.07,0.0,0.0,0.0
46005,0.6,0.91,0.02,0.51,0.65,0.19,0.56,0.64,0.2
46007,0.53,0.34,0.0,0.0,0.34,0.08,0.53,0.34,0.01
46009,0.5,0.81,0.03,0.25,0.84,0.03,0.37,0.83,0.01
46011,0.41,0.89,0.02,0.2,0.9,0.04,0.26,0.9,0.04
46013,0.49,0.85,0.05,0.29,0.86,0.04,0.5,0.77,0.09
46015,0.45,0.96,0.0,0.41,0.77,0.04,0.45,0.76,0.01
46017,0.0,0.12,0.0,0.0,0.12,0.03,0.0,0.0,0.0
46019,0.05,0.92,0.01,0.08,0.92,0.04,0.0,0.0,0.0
46021,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.99,0.0
46023,0.75,0.43,0.0,0.5,0.55,0.06,0.42,0.49,0.0
46025,0.0,0.94,0.0,0.0,0.94,0.03,0.0,0.94,0.0
46027,0.56,0.85,0.02,0.21,0.87,0.03,0.23,0.85,0.03
46029,0.26,0.93,0.01,0.27,0.92,0.03,0.34,0.93,0.01
46031,0.73,0.14,0.01,0.48,0.23,0.0,0.73,0.14,0.0
46033,0.67,0.9,0.01,0.08,0.91,0.03,0.09,0.91,0.0
46035,0.37,0.9,0.01,0.25,0.9,0.04,0.44,0.92,0.01
46037,0.0,0.0,0.0,0.19,0.87,0.03,0.61,0.96,0.0
46039,0.0,0.0,0.0,0.19,0.96,0.03,0.0,0.0,0.0
46041,0.39,0.19,0.0,0.09,0.28,0.01,0.11,0.33,0.0
46043,0.0,0.0,0.0,0.0,0.95,0.01,0.0,0.95,0.0
46045,0.44,0.96,0.0,0.08,0.97,0.02,0.56,0.98,0.0
46047,0.41,0.81,0.01,0.22,0.83,0.05,0.41,0.81,0.02
46049,0.0,0.95,0.0,0.0,0.95,0.01,0.0,0.95,0.0
46051,0.28,0.94,0.0,0.63,0.91,0.06,0.22,0.92,0.0
46053,0.0,0.0,0.0,0.18,0.88,0.01,0.52,0.87,0.03
46055,0.0,0.94,0.0,0.0,0.94,0.01,0.0,0.0,0.0
46057,0.44,0.91,0.0,0.36,0.91,0.06,0.2,0.92,0.0
46059,0.56,0.97,0.0,0.25,0.98,0.01,0.44,0.98,0.01
46061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46063,0.0,0.91,0.02,0.0,0.91,0.02,0.0,0.91,0.0
46065,0.55,0.75,0.01,0.09,0.83,0.03,0.57,0.87,0.01
46067,0.0,0.0,0.0,0.36,0.93,0.04,0.43,0.93,0.01
46069,0.0,0.85,0.01,0.0,0.85,0.01,0.0,0.0,0.0
46071,0.68,0.19,0.0,0.68,0.19,0.01,0.29,0.41,0.01
46073,0.0,0.0,0.0,0.0,0.96,0.02,0.0,0.0,0.0
46075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46077,0.0,0.0,0.0,0.42,0.95,0.04,0.58,0.99,0.0
46079,0.31,0.91,0.0,0.35,0.9,0.02,0.41,0.9,0.03
46081,0.31,0.9,0.01,0.17,0.91,0.04,0.36,0.9,0.02
46083,0.61,0.87,0.06,0.34,0.91,0.03,0.47,0.92,0.02
46085,0.95,0.06,0.0,0.35,0.58,0.02,0.17,0.74,0.01
46087,0.3,0.95,0.01,0.12,0.94,0.04,0.0,0.0,0.0
46089,0.0,0.95,0.0,0.0,0.95,0.01,0.0,0.95,0.0
46091,0.0,0.82,0.0,0.0,0.82,0.09,0.0,0.82,0.0
46093,0.41,0.79,0.05,0.2,0.84,0.06,0.24,0.87,0.02
46095,0.0,0.0,0.0,0.0,0.4,0.05,0.0,0.0,0.0
46097,0.0,0.95,0.01,0.0,0.95,0.02,0.0,0.95,0.0
46099,0.5,0.73,0.12,0.41,0.75,0.1,0.46,0.73,0.07
46101,0.61,0.6,0.0,0.38,0.68,0.05,0.43,0.66,0.04
46102,0.8,0.02,0.0,0.23,0.04,0.05,0.0,0.0,0.0
46103,0.45,0.74,0.02,0.29,0.75,0.08,0.42,0.78,0.03
46105,0.0,0.0,0.0,0.0,0.96,0.02,0.0,0.0,0.0
46107,0.0,0.0,0.0,0.0,0.93,0.03,0.0,0.93,0.01
46109,0.26,0.52,0.01,0.3,0.55,0.04,0.41,0.89,0.0
46111,0.0,0.0,0.0,0.0,0.94,0.04,0.0,0.94,0.0
46115,0.5,0.96,0.0,0.3,0.93,0.04,0.0,0.0,0.0
46117,0.0,0.0,0.0,0.0,0.84,0.02,0.0,0.0,0.0
46119,0.0,0.0,0.0,0.0,0.95,0.01,0.0,0.0,0.0
46121,0.32,0.08,0.0,0.44,0.07,0.05,0.18,0.12,0.03
46123,0.0,0.0,0.0,0.58,0.81,0.0,0.25,0.82,0.0
46125,0.07,0.95,0.0,0.12,0.96,0.02,0.51,0.95,0.0
46127,0.29,0.92,0.01,0.19,0.92,0.04,0.44,0.9,0.02
46129,0.33,0.74,0.06,0.21,0.84,0.03,0.4,0.73,0.02
46135,0.55,0.82,0.03,0.24,0.86,0.05,0.4,0.84,0.0
46137,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.24,0.01
47001,0.48,0.78,0.1,0.5,0.81,0.07,0.6,0.81,0.07
47003,0.4,0.67,0.11,0.46,0.65,0.19,0.82,0.88,0.01
47005,0.25,0.92,0.04,0.33,0.93,0.03,0.78,0.96,0.0
47007,0.16,0.88,0.05,0.3,0.9,0.03,0.58,0.89,0.0
47009,0.57,0.79,0.11,0.39,0.86,0.06,0.38,0.88,0.01
47011,0.43,0.78,0.1,0.41,0.78,0.11,0.59,0.81,0.04
47013,0.45,0.96,0.01,0.48,0.95,0.03,0.64,0.96,0.01
47015,0.27,0.94,0.02,0.39,0.93,0.04,0.71,0.97,0.0
47017,0.21,0.83,0.12,0.3,0.85,0.04,0.47,0.88,0.01
47019,0.61,0.9,0.06,0.34,0.93,0.03,0.63,0.93,0.02
47021,0.17,0.92,0.02,0.32,0.9,0.05,0.58,0.89,0.01
47023,0.44,0.78,0.17,0.33,0.85,0.02,0.7,0.73,0.01
47025,0.62,0.93,0.03,0.36,0.94,0.02,0.52,0.93,0.02
47027,0.34,0.93,0.05,0.34,0.93,0.01,0.34,0.93,0.0
47029,0.52,0.9,0.04,0.25,0.91,0.03,0.0,0.0,0.0
47031,0.47,0.84,0.06,0.28,0.86,0.06,0.33,0.88,0.02
47033,0.16,0.72,0.14,0.22,0.71,0.12,0.58,0.67,0.01
47035,0.66,0.9,0.03,0.47,0.91,0.07,0.44,0.95,0.01
47037,0.49,0.39,0.46,0.48,0.47,0.2,0.41,0.58,0.07
47039,0.24,0.9,0.05,0.29,0.89,0.03,0.62,0.91,0.01
47041,0.25,0.9,0.02,0.3,0.85,0.11,0.62,0.85,0.02
47043,0.38,0.85,0.07,0.37,0.86,0.06,0.6,0.87,0.02
47045,0.47,0.67,0.23,0.19,0.77,0.04,0.59,0.76,0.02
47047,0.32,0.6,0.36,0.37,0.72,0.07,0.62,0.68,0.05
47049,0.75,0.94,0.01,0.45,0.96,0.03,0.46,0.98,0.01
47051,0.31,0.86,0.08,0.26,0.87,0.05,0.35,0.87,0.01
47053,0.46,0.61,0.32,0.27,0.7,0.04,0.66,0.65,0.02
47055,0.25,0.81,0.13,0.44,0.82,0.05,0.58,0.88,0.01
47057,0.42,0.95,0.01,0.36,0.92,0.05,0.56,0.91,0.01
47059,0.31,0.91,0.04,0.25,0.92,0.04,0.44,0.92,0.01
47061,0.53,0.82,0.01,0.31,0.85,0.02,0.81,0.8,0.01
47063,0.45,0.71,0.06,0.44,0.7,0.2,0.54,0.81,0.03
47065,0.57,0.43,0.48,0.45,0.63,0.12,0.42,0.74,0.04
47067,0.4,0.97,0.01,0.4,0.97,0.01,0.4,0.97,0.01
47069,0.38,0.45,0.52,0.57,0.56,0.04,0.41,0.77,0.02
47071,0.42,0.87,0.07,0.51,0.84,0.06,0.77,0.81,0.03
47073,0.47,0.92,0.03,0.37,0.93,0.03,0.41,0.93,0.01
47075,0.17,0.42,0.54,0.43,0.46,0.1,0.84,0.48,0.0
47077,0.33,0.82,0.11,0.31,0.82,0.04,0.53,0.85,0.0
47079,0.5,0.75,0.2,0.28,0.88,0.05,0.46,0.91,0.01
47081,0.55,0.74,0.21,0.2,0.91,0.03,0.65,0.8,0.01
47083,0.35,0.89,0.07,0.63,0.9,0.02,0.61,0.97,0.01
47085,0.27,0.92,0.03,0.23,0.93,0.03,0.64,0.92,0.02
47087,0.48,0.93,0.02,0.33,0.94,0.03,0.8,0.91,0.0
47089,0.43,0.89,0.04,0.27,0.9,0.05,0.52,0.9,0.02
47091,0.61,0.84,0.09,0.19,0.92,0.02,0.46,0.88,0.01
47093,0.54,0.59,0.3,0.36,0.77,0.07,0.41,0.82,0.05
47095,0.22,0.64,0.32,0.08,0.67,0.02,0.38,0.6,0.0
47097,0.34,0.51,0.43,0.24,0.71,0.04,0.57,0.52,0.01
47099,0.57,0.87,0.06,0.33,0.92,0.03,0.73,0.94,0.02
47101,0.21,0.93,0.02,0.28,0.93,0.03,0.62,0.93,0.02
47103,0.54,0.75,0.18,0.3,0.84,0.05,0.48,0.9,0.01
47105,0.47,0.82,0.02,0.44,0.8,0.14,0.51,0.86,0.02
47107,0.52,0.82,0.09,0.29,0.86,0.06,0.58,0.89,0.03
47109,0.17,0.89,0.07,0.2,0.9,0.02,0.53,0.9,0.0
47111,0.27,0.92,0.0,0.19,0.91,0.06,0.58,0.92,0.02
47113,0.43,0.42,0.52,0.51,0.51,0.1,0.52,0.61,0.03
47115,0.42,0.88,0.04,0.28,0.91,0.02,0.7,0.85,0.02
47117,0.48,0.67,0.18,0.44,0.68,0.12,0.53,0.73,0.01
47119,0.36,0.69,0.21,0.33,0.73,0.09,0.53,0.84,0.03
47121,0.04,0.94,0.02,0.19,0.94,0.02,0.67,0.94,0.0
47123,0.54,0.89,0.06,0.17,0.91,0.05,0.62,0.92,0.01
47125,0.35,0.55,0.25,0.35,0.57,0.13,0.37,0.59,0.03
47127,0.29,0.91,0.02,0.61,0.89,0.01,0.39,0.96,0.03
47129,0.74,0.79,0.17,0.5,0.84,0.03,0.0,0.0,0.0
47131,0.48,0.66,0.23,0.33,0.73,0.07,0.41,0.9,0.01
47133,0.76,0.93,0.03,0.45,0.94,0.03,0.53,0.95,0.02
47135,0.39,0.91,0.06,0.1,0.93,0.03,0.39,0.91,0.01
47137,0.0,0.99,0.01,0.0,0.99,0.01,0.0,0.0,0.0
47139,0.2,0.95,0.0,0.29,0.94,0.03,0.66,0.93,0.0
47141,0.42,0.84,0.05,0.34,0.84,0.1,0.38,0.87,0.02
47143,0.36,0.85,0.04,0.37,0.85,0.08,0.63,0.89,0.01
47145,0.31,0.91,0.04,0.36,0.89,0.05,0.51,0.9,0.02
47147,0.57,0.65,0.19,0.42,0.71,0.13,0.59,0.82,0.02
47149,0.33,0.64,0.2,0.4,0.61,0.15,0.32,0.71,0.05
47151,0.53,0.97,0.01,0.27,0.97,0.01,0.71,0.97,0.0
47153,0.46,0.92,0.0,0.27,0.93,0.04,0.0,0.0,0.0
47155,0.59,0.89,0.02,0.41,0.85,0.11,0.63,0.87,0.04
47157,0.66,0.17,0.74,0.59,0.32,0.19,0.42,0.55,0.08
47159,0.42,0.91,0.05,0.28,0.93,0.04,0.76,0.92,0.0
47161,0.3,0.92,0.01,0.04,0.92,0.03,0.17,0.92,0.01
47163,0.49,0.88,0.06,0.39,0.91,0.05,0.45,0.93,0.01
47165,0.42,0.71,0.17,0.36,0.76,0.08,0.51,0.84,0.04
47167,0.35,0.67,0.28,0.32,0.76,0.04,0.51,0.8,0.02
47169,0.41,0.79,0.16,0.46,0.79,0.01,0.72,0.75,0.01
47171,0.42,0.92,0.01,0.16,0.93,0.05,0.44,0.93,0.01
47173,0.52,0.96,0.01,0.17,0.96,0.02,0.7,0.97,0.01
47175,0.49,0.96,0.0,0.51,0.96,0.02,0.0,0.0,0.0
47177,0.22,0.85,0.02,0.09,0.85,0.1,0.31,0.85,0.01
47179,0.5,0.82,0.09,0.35,0.85,0.06,0.45,0.86,0.03
47181,0.41,0.85,0.12,0.2,0.92,0.03,0.65,0.93,0.02
47183,0.36,0.81,0.14,0.27,0.84,0.03,0.56,0.83,0.01
47185,0.56,0.91,0.06,0.43,0.92,0.05,0.52,0.9,0.0
47187,0.27,0.8,0.07,0.35,0.78,0.1,0.47,0.8,0.09
47189,0.31,0.79,0.12,0.35,0.78,0.09,0.47,0.84,0.03
48001,0.4,0.49,0.3,0.33,0.53,0.22,0.58,0.58,0.02
48003,0.22,0.44,0.02,0.18,0.39,0.58,0.54,0.49,0.01
48005,0.46,0.44,0.27,0.41,0.47,0.33,0.58,0.62,0.05
48007,0.68,0.55,0.05,0.25,0.63,0.31,0.35,0.65,0.03
48009,0.58,0.82,0.02,0.36,0.85,0.12,0.36,0.92,0.01
48011,0.0,0.91,0.0,0.0,0.91,0.07,0.0,0.0,0.0
48013,0.28,0.4,0.0,0.25,0.32,0.66,0.57,0.42,0.01
48015,0.22,0.61,0.11,0.28,0.58,0.31,0.69,0.69,0.02
48017,0.0,0.33,0.01,0.0,0.33,0.64,0.0,0.33,0.01
48019,0.5,0.81,0.03,0.13,0.77,0.2,0.31,0.76,0.0
48021,0.32,0.5,0.13,0.4,0.43,0.48,0.29,0.62,0.01
48023,0.0,0.85,0.03,0.0,0.85,0.1,0.0,0.0,0.0
48025,0.66,0.27,0.23,0.16,0.31,0.61,0.41,0.33,0.01
48027,0.45,0.35,0.3,0.27,0.43,0.27,0.36,0.42,0.04
48029,0.44,0.26,0.16,0.43,0.22,0.68,0.38,0.36,0.08
48031,0.49,0.82,0.0,0.15,0.76,0.2,0.3,0.8,0.02
48033,0.0,0.0,0.0,0.0,0.89,0.08,0.0,0.0,0.0
48035,0.45,0.76,0.03,0.23,0.75,0.21,0.51,0.77,0.01
48037,0.42,0.5,0.37,0.36,0.58,0.11,0.5,0.72,0.03
48039,0.41,0.41,0.2,0.24,0.46,0.35,0.55,0.38,0.15
48041,0.43,0.43,0.17,0.4,0.43,0.38,0.38,0.61,0.13
48043,0.17,0.59,0.0,0.3,0.44,0.52,0.3,0.45,0.01
48045,0.0,0.57,0.02,0.0,0.57,0.35,0.0,0.0,0.0
48047,0.34,0.05,0.0,0.07,0.06,0.94,0.0,0.0,0.0
48049,0.43,0.64,0.07,0.24,0.67,0.27,0.55,0.7,0.02
48051,0.19,0.62,0.14,0.17,0.63,0.22,0.71,0.78,0.02
48053,0.47,0.66,0.04,0.24,0.7,0.26,0.48,0.76,0.02
48055,0.32,0.39,0.09,0.18,0.38,0.54,0.78,0.47,0.07
48057,0.39,0.36,0.04,0.25,0.38,0.53,0.33,0.39,0.07
48059,0.58,0.88,0.01,0.16,0.86,0.11,0.31,0.86,0.0
48061,0.6,0.13,0.02,0.4,0.08,0.91,0.55,0.12,0.02
48063,0.26,0.52,0.19,0.23,0.53,0.27,0.72,0.41,0.01
48065,0.31,0.84,0.02,0.03,0.86,0.1,0.26,0.87,0.01
48067,0.28,0.69,0.24,0.35,0.71,0.06,0.42,0.86,0.01
48069,0.37,0.26,0.01,0.22,0.3,0.67,0.44,0.25,0.02
48071,0.2,0.66,0.12,0.27,0.64,0.26,0.45,0.58,0.04
48073,0.43,0.49,0.22,0.38,0.5,0.31,0.54,0.68,0.01
48075,0.44,0.52,0.13,0.06,0.58,0.31,0.11,0.6,0.02
48077,0.5,0.9,0.01,0.19,0.89,0.07,0.47,0.88,0.01
48079,0.0,0.37,0.03,0.0,0.37,0.58,0.0,0.0,0.0
48081,0.38,0.74,0.01,0.09,0.75,0.22,0.53,0.73,0.0
48083,0.34,0.79,0.05,0.23,0.75,0.2,0.8,0.82,0.06
48085,0.27,0.54,0.12,0.32,0.52,0.24,0.38,0.53,0.25
48087,0.0,0.63,0.07,0.0,0.63,0.28,0.0,0.0,0.0
48089,0.26,0.5,0.15,0.28,0.5,0.34,0.52,0.61,0.0
48091,0.45,0.65,0.04,0.29,0.61,0.35,0.46,0.7,0.03
48093,0.43,0.64,0.01,0.36,0.62,0.37,0.37,0.74,0.01
48095,0.0,0.4,0.02,0.0,0.4,0.56,0.0,0.4,0.01
48097,0.53,0.6,0.06,0.42,0.65,0.27,0.65,0.62,0.02
48099,0.37,0.5,0.18,0.24,0.54,0.2,0.43,0.53,0.04
48101,0.0,0.53,0.15,0.0,0.53,0.24,0.0,0.0,0.0
48103,0.0,0.32,0.04,0.0,0.32,0.64,0.0,0.32,0.0
48105,0.0,0.36,0.01,0.0,0.36,0.63,0.0,0.0,0.0
48107,0.25,0.39,0.04,0.1,0.39,0.56,0.59,0.44,0.01
48109,0.0,0.24,0.0,0.0,0.24,0.73,0.0,0.24,0.01
48111,0.27,0.45,0.01,0.19,0.47,0.48,0.26,0.45,0.02
48113,0.58,0.18,0.42,0.5,0.21,0.55,0.5,0.34,0.21
48115,0.68,0.25,0.16,0.14,0.35,0.58,0.67,0.37,0.0
48117,0.35,0.22,0.01,0.24,0.23,0.75,0.59,0.23,0.01
48119,0.55,0.74,0.15,0.03,0.81,0.07,0.23,0.79,0.01
48121,0.41,0.51,0.15,0.32,0.53,0.26,0.43,0.53,0.17
48123,0.45,0.46,0.15,0.23,0.52,0.37,0.8,0.37,0.0
48125,0.0,0.66,0.03,0.0,0.66,0.3,0.0,0.66,0.01
48127,0.03,0.09,0.0,0.04,0.09,0.87,0.1,0.1,0.04
48129,0.35,0.79,0.07,0.01,0.81,0.11,0.29,0.79,0.01
48131,0.51,0.1,0.03,0.47,0.08,0.9,0.0,0.0,0.0
48133,0.25,0.81,0.04,0.19,0.78,0.18,0.66,0.73,0.02
48135,0.44,0.29,0.1,0.3,0.3,0.64,0.59,0.4,0.04
48137,0.0,0.0,0.0,0.0,0.42,0.58,0.0,0.0,0.0
48139,0.44,0.51,0.19,0.31,0.54,0.33,0.4,0.66,0.02
48141,0.37,0.19,0.07,0.4,0.1,0.85,0.36,0.2,0.03
48143,0.37,0.73,0.03,0.16,0.72,0.24,0.47,0.77,0.02
48145,0.43,0.4,0.36,0.28,0.47,0.28,0.7,0.53,0.02
48147,0.38,0.68,0.11,0.31,0.7,0.16,0.41,0.67,0.01
48149,0.16,0.7,0.07,0.21,0.68,0.24,0.59,0.63,0.01
48151,0.18,0.62,0.03,0.15,0.63,0.31,0.39,0.59,0.01
48153,0.3,0.36,0.04,0.05,0.37,0.58,0.06,0.38,0.0
48155,0.0,0.78,0.02,0.0,0.78,0.2,0.0,0.0,0.0
48157,0.52,0.22,0.35,0.39,0.29,0.34,0.4,0.32,0.33
48159,0.72,0.63,0.13,0.17,0.77,0.15,0.81,0.61,0.0
48161,0.19,0.63,0.2,0.21,0.66,0.18,0.7,0.51,0.03
48163,0.34,0.18,0.07,0.19,0.15,0.79,0.4,0.13,0.01
48165,0.59,0.42,0.04,0.38,0.46,0.5,0.53,0.51,0.01
48167,0.5,0.41,0.28,0.29,0.52,0.29,0.33,0.63,0.06
48169,0.0,0.41,0.04,0.0,0.41,0.52,0.0,0.41,0.02
48171,0.67,0.76,0.0,0.1,0.74,0.24,0.46,0.73,0.0
48173,0.0,0.0,0.0,0.0,0.56,0.44,0.0,0.0,0.0
48175,0.1,0.59,0.05,0.07,0.58,0.36,0.62,0.55,0.01
48177,0.33,0.4,0.11,0.23,0.39,0.54,0.51,0.39,0.01
48179,0.48,0.56,0.09,0.38,0.55,0.38,0.66,0.69,0.02
48181,0.51,0.65,0.11,0.34,0.65,0.22,0.45,0.72,0.03
48183,0.35,0.48,0.28,0.34,0.49,0.26,0.48,0.67,0.04
48185,0.38,0.49,0.2,0.31,0.51,0.29,0.73,0.4,0.01
48187,0.4,0.47,0.12,0.24,0.46,0.44,0.45,0.48,0.04
48189,0.27,0.36,0.06,0.26,0.31,0.62,0.34,0.36,0.01
48191,0.0,0.56,0.08,0.0,0.56,0.34,0.0,0.56,0.0
48193,0.14,0.84,0.01,0.12,0.84,0.13,0.26,0.84,0.0
48195,0.31,0.54,0.0,0.05,0.52,0.47,0.0,0.0,0.0
48197,0.0,0.68,0.07,0.0,0.68,0.22,0.0,0.0,0.0
48199,0.59,0.67,0.25,0.23,0.85,0.08,0.51,0.91,0.01
48201,0.61,0.18,0.36,0.55,0.2,0.56,0.42,0.34,0.15
48203,0.43,0.46,0.36,0.38,0.52,0.2,0.71,0.63,0.04
48205,0.0,0.59,0.09,0.0,0.59,0.26,0.0,0.59,0.01
48207,0.07,0.65,0.03,0.01,0.65,0.29,0.36,0.64,0.01
48209,0.46,0.47,0.07,0.35,0.45,0.47,0.37,0.57,0.03
48211,0.0,0.62,0.01,0.0,0.62,0.36,0.0,0.62,0.01
48213,0.51,0.67,0.13,0.36,0.69,0.2,0.58,0.71,0.04
48215,0.7,0.1,0.04,0.4,0.06,0.93,0.58,0.11,0.05
48217,0.51,0.47,0.16,0.35,0.56,0.31,0.7,0.61,0.02
48219,0.42,0.46,0.06,0.27,0.42,0.52,0.46,0.49,0.01
48221,0.7,0.83,0.04,0.24,0.82,0.16,0.57,0.86,0.02
48223,0.47,0.62,0.15,0.25,0.69,0.2,0.37,0.73,0.01
48225,0.35,0.51,0.33,0.29,0.54,0.14,0.49,0.63,0.01
48227,0.44,0.42,0.08,0.32,0.42,0.49,0.63,0.42,0.02
48229,0.0,0.18,0.01,0.0,0.18,0.78,0.0,0.18,0.02
48231,0.53,0.56,0.17,0.27,0.64,0.21,0.53,0.62,0.05
48233,0.33,0.65,0.03,0.21,0.66,0.27,0.18,0.73,0.0
48235,0.0,0.71,0.04,0.0,0.71,0.25,0.0,0.0,0.0
48237,0.51,0.72,0.1,0.21,0.75,0.2,0.49,0.88,0.0
48239,0.36,0.55,0.11,0.03,0.59,0.33,0.54,0.54,0.02
48241,0.59,0.47,0.44,0.36,0.7,0.09,0.68,0.68,0.02
48243,0.0,0.64,0.01,0.0,0.64,0.33,0.0,0.64,0.02
48245,0.53,0.25,0.53,0.46,0.34,0.32,0.47,0.4,0.09
48247,0.63,0.05,0.0,0.16,0.07,0.93,0.0,0.0,0.0
48249,0.4,0.21,0.01,0.3,0.16,0.82,0.72,0.19,0.03
48251,0.42,0.62,0.06,0.31,0.64,0.28,0.52,0.68,0.02
48253,0.7,0.29,0.31,0.32,0.46,0.31,0.79,0.26,0.01
48255,0.66,0.22,0.14,0.37,0.28,0.61,0.48,0.31,0.0
48257,0.38,0.55,0.21,0.19,0.63,0.24,0.43,0.62,0.02
48259,0.33,0.72,0.01,0.2,0.7,0.26,0.48,0.69,0.02
48261,0.0,0.0,0.0,0.0,0.12,0.88,0.0,0.12,0.0
48263,0.0,0.82,0.01,0.0,0.82,0.16,0.0,0.0,0.0
48265,0.39,0.65,0.03,0.22,0.66,0.3,0.57,0.62,0.03
48267,0.6,0.64,0.0,0.2,0.7,0.27,0.0,0.0,0.0
48269,0.0,0.0,0.0,0.0,0.83,0.17,0.0,0.0,0.0
48271,0.0,0.37,0.0,0.0,0.37,0.63,0.0,0.0,0.0
48273,0.37,0.2,0.04,0.26,0.19,0.74,0.3,0.21,0.03
48275,0.45,0.53,0.09,0.09,0.58,0.34,0.05,0.6,0.0
48277,0.41,0.65,0.21,0.29,0.7,0.1,0.58,0.76,0.03
48279,0.16,0.42,0.04,0.33,0.35,0.6,0.29,0.48,0.01
48281,0.45,0.72,0.08,0.18,0.71,0.22,0.47,0.68,0.02
48283,0.0,0.15,0.01,0.0,0.15,0.82,0.0,0.15,0.0
48285,0.32,0.69,0.09,0.38,0.64,0.28,0.4,0.83,0.01
48287,0.51,0.5,0.17,0.36,0.54,0.29,0.56,0.5,0.02
48289,0.2,0.73,0.07,0.37,0.7,0.2,0.15,0.81,0.01
48291,0.37,0.59,0.17,0.3,0.59,0.3,0.42,0.67,0.01
48293,0.28,0.52,0.21,0.32,0.52,0.26,0.43,0.66,0.02
48295,0.19,0.71,0.01,0.32,0.6,0.37,0.52,0.79,0.01
48297,0.6,0.45,0.06,0.34,0.49,0.46,0.46,0.45,0.01
48299,0.56,0.7,0.0,0.37,0.78,0.16,0.47,0.89,0.01
48301,0.0,0.0,0.0,0.0,0.81,0.16,0.0,0.0,0.0
48303,0.47,0.36,0.21,0.34,0.44,0.44,0.4,0.54,0.04
48305,0.51,0.42,0.02,0.15,0.48,0.48,0.68,0.49,0.03
48307,0.44,0.53,0.03,0.2,0.59,0.34,0.44,0.53,0.0
48309,0.5,0.4,0.27,0.43,0.43,0.37,0.45,0.61,0.04
48311,0.0,0.0,0.0,0.0,0.49,0.5,0.0,0.0,0.0
48313,0.48,0.39,0.25,0.29,0.49,0.25,0.38,0.59,0.05
