COUNTYFP,dissim.b,inter.bw,iso.b,dissim.h,inter.hw,iso.h,dissim.a,inter.aw,iso.a
39025,0.3,0.93,0.02,0.33,0.92,0.03,0.48,0.91,0.04
39027,0.56,0.88,0.06,0.32,0.91,0.02,0.35,0.94,0.01
39029,0.54,0.86,0.08,0.46,0.89,0.05,0.71,0.9,0.01
39031,0.58,0.94,0.03,0.49,0.95,0.02,0.61,0.94,0.01
39033,0.56,0.92,0.03,0.36,0.94,0.03,0.79,0.92,0.03
39035,0.71,0.25,0.67,0.51,0.56,0.19,0.45,0.67,0.09
39037,0.37,0.94,0.01,0.47,0.91,0.06,0.74,0.94,0.04
39039,0.37,0.83,0.03,0.29,0.83,0.13,0.53,0.9,0.01
39041,0.35,0.83,0.06,0.31,0.83,0.04,0.41,0.79,0.11
39043,0.64,0.64,0.23,0.33,0.76,0.06,0.59,0.85,0.03
39045,0.57,0.69,0.19,0.33,0.75,0.04,0.56,0.69,0.05
39047,0.26,0.92,0.03,0.32,0.93,0.03,0.71,0.9,0.03
39049,0.56,0.41,0.44,0.42,0.55,0.09,0.42,0.63,0.12
39051,0.28,0.88,0.01,0.36,0.85,0.13,0.5,0.87,0.01
39053,0.27,0.92,0.03,0.57,0.91,0.04,0.44,0.91,0.02
39055,0.54,0.91,0.05,0.36,0.94,0.03,0.46,0.95,0.02
39057,0.42,0.74,0.16,0.32,0.79,0.04,0.46,0.8,0.07
39059,0.45,0.94,0.03,0.33,0.93,0.02,0.39,0.95,0.01
39061,0.62,0.38,0.54,0.43,0.6,0.07,0.5,0.68,0.08
39063,0.33,0.87,0.02,0.31,0.86,0.08,0.37,0.86,0.03
39065,0.45,0.91,0.01,0.33,0.92,0.03,0.75,0.88,0.03
39067,0.78,0.86,0.1,0.56,0.94,0.03,0.49,0.96,0.01
39069,0.32,0.88,0.01,0.15,0.89,0.09,0.53,0.88,0.01
39071,0.53,0.93,0.04,0.41,0.94,0.02,0.42,0.94,0.01
39073,0.5,0.95,0.02,0.62,0.94,0.03,0.59,0.94,0.01
39075,0.58,0.97,0.0,0.48,0.96,0.02,0.69,0.98,0.01
39077,0.36,0.87,0.02,0.41,0.84,0.12,0.64,0.89,0.01
39079,0.45,0.94,0.01,0.59,0.93,0.03,0.76,0.96,0.0
39081,0.53,0.74,0.17,0.53,0.83,0.04,0.63,0.8,0.02
39083,0.3,0.95,0.01,0.21,0.95,0.02,0.39,0.94,0.01
39085,0.56,0.76,0.12,0.56,0.67,0.21,0.42,0.88,0.04
39087,0.47,0.9,0.06,0.55,0.89,0.04,0.65,0.96,0.02
39089,0.5,0.81,0.11,0.36,0.87,0.03,0.44,0.85,0.03
39091,0.48,0.91,0.03,0.28,0.92,0.02,0.43,0.93,0.02
39093,0.52,0.61,0.18,0.52,0.58,0.25,0.49,0.79,0.03
39095,0.56,0.44,0.43,0.39,0.64,0.12,0.43,0.72,0.04
39097,0.75,0.58,0.32,0.48,0.8,0.04,0.49,0.87,0.03
39099,0.68,0.41,0.42,0.51,0.54,0.15,0.49,0.81,0.02
39101,0.57,0.68,0.23,0.32,0.83,0.04,0.53,0.94,0.02
39103,0.42,0.9,0.04,0.32,0.92,0.03,0.42,0.92,0.03
39105,0.37,0.95,0.02,0.18,0.97,0.01,0.82,0.93,0.01
39107,0.57,0.92,0.02,0.21,0.95,0.02,0.74,0.94,0.02
39109,0.48,0.89,0.05,0.36,0.91,0.03,0.58,0.88,0.05
39111,0.73,0.95,0.01,0.58,0.96,0.03,0.5,0.98,0.01
39113,0.65,0.35,0.57,0.4,0.7,0.07,0.45,0.79,0.06
39115,0.34,0.9,0.07,0.4,0.91,0.01,0.59,0.89,0.01
39117,0.67,0.93,0.04,0.37,0.96,0.03,0.66,0.95,0.0
39119,0.47,0.83,0.08,0.45,0.86,0.03,0.55,0.91,0.01
39121,0.43,0.88,0.09,0.49,0.87,0.01,0.5,0.87,0.0
39123,0.43,0.89,0.04,0.33,0.89,0.08,0.61,0.9,0.01
39125,0.25,0.91,0.01,0.29,0.9,0.07,0.36,0.93,0.0
39127,0.51,0.96,0.01,0.4,0.96,0.02,0.51,0.97,0.0
39129,0.68,0.66,0.23,0.45,0.84,0.03,0.78,0.93,0.04
39131,0.64,0.93,0.03,0.43,0.94,0.03,0.85,0.98,0.01
39133,0.4,0.84,0.08,0.39,0.86,0.03,0.5,0.83,0.05
39135,0.55,0.95,0.02,0.36,0.95,0.01,0.52,0.96,0.01
39137,0.31,0.95,0.01,0.55,0.78,0.2,0.52,0.96,0.01
39139,0.63,0.63,0.25,0.47,0.74,0.04,0.53,0.88,0.02
39141,0.52,0.74,0.19,0.41,0.84,0.02,0.58,0.9,0.02
39143,0.5,0.77,0.07,0.24,0.81,0.13,0.5,0.81,0.01
39145,0.69,0.8,0.15,0.6,0.88,0.06,0.67,0.91,0.02
39147,0.45,0.84,0.05,0.27,0.86,0.07,0.55,0.91,0.02
39149,0.51,0.87,0.06,0.44,0.89,0.04,0.3,0.9,0.01
39151,0.54,0.66,0.24,0.4,0.8,0.04,0.52,0.88,0.03
39153,0.58,0.5,0.4,0.43,0.72,0.04,0.52,0.68,0.11
39155,0.61,0.65,0.28,0.37,0.82,0.03,0.61,0.81,0.02
39157,0.38,0.92,0.01,0.65,0.86,0.1,0.72,0.93,0.02
39159,0.51,0.85,0.05,0.36,0.86,0.03,0.6,0.77,0.13
39161,0.4,0.91,0.02,0.3,0.92,0.05,0.58,0.92,0.01
39163,0.49,0.96,0.01,0.49,0.97,0.01,0.63,0.96,0.0
39165,0.47,0.67,0.24,0.29,0.84,0.04,0.55,0.76,0.16
39167,0.42,0.93,0.02,0.4,0.93,0.02,0.48,0.91,0.03
39169,0.47,0.89,0.04,0.41,0.9,0.06,0.66,0.86,0.05
39171,0.75,0.82,0.06,0.27,0.9,0.06,0.47,0.92,0.01
39173,0.46,0.83,0.07,0.24,0.87,0.07,0.45,0.87,0.04
39175,0.63,0.96,0.01,0.27,0.94,0.04,0.65,0.92,0.05
40001,0.31,0.38,0.0,0.23,0.38,0.08,0.41,0.37,0.01
40003,0.5,0.7,0.06,0.08,0.76,0.05,0.0,0.0,0.0
40005,0.28,0.69,0.06,0.16,0.71,0.04,0.73,0.68,0.02
40007,0.5,0.68,0.0,0.28,0.67,0.29,0.0,0.0,0.0
40009,0.42,0.73,0.07,0.09,0.76,0.15,0.55,0.77,0.02
40011,0.54,0.62,0.08,0.5,0.64,0.19,0.79,0.77,0.0
40013,0.27,0.72,0.03,0.25,0.68,0.08,0.31,0.71,0.01
40015,0.47,0.47,0.04,0.27,0.58,0.16,0.82,0.34,0.01
40017,0.42,0.68,0.07,0.23,0.73,0.12,0.45,0.75,0.07
40019,0.48,0.58,0.13,0.28,0.64,0.09,0.57,0.7,0.04
40021,0.38,0.47,0.03,0.28,0.46,0.1,0.64,0.47,0.03
40023,0.35,0.54,0.19,0.33,0.58,0.06,0.78,0.61,0.0
40025,0.51,0.72,0.0,0.18,0.76,0.23,0.51,0.72,0.0
40027,0.33,0.69,0.07,0.21,0.7,0.1,0.4,0.68,0.09
40029,0.35,0.66,0.0,0.05,0.69,0.05,0.01,0.69,0.0
40031,0.28,0.5,0.21,0.19,0.54,0.14,0.35,0.53,0.04
40033,0.32,0.8,0.03,0.04,0.76,0.08,0.0,0.0,0.0
40035,0.51,0.58,0.06,0.17,0.64,0.04,0.18,0.65,0.01
40037,0.34,0.74,0.04,0.23,0.75,0.05,0.53,0.78,0.02
40039,0.21,0.63,0.04,0.28,0.6,0.24,0.26,0.71,0.02
40041,0.45,0.54,0.01,0.25,0.6,0.04,0.29,0.61,0.02
40043,0.75,0.78,0.01,0.27,0.79,0.09,0.29,0.88,0.01
40045,0.66,0.91,0.01,0.22,0.85,0.09,0.22,0.85,0.01
40047,0.45,0.68,0.07,0.42,0.66,0.19,0.55,0.82,0.03
40049,0.47,0.69,0.05,0.42,0.69,0.15,0.73,0.82,0.01
40051,0.57,0.71,0.11,0.13,0.8,0.06,0.38,0.81,0.01
40053,0.17,0.88,0.01,0.09,0.88,0.05,0.17,0.88,0.0
40055,0.03,0.75,0.08,0.15,0.75,0.12,0.0,0.0,0.0
40057,0.0,0.58,0.09,0.0,0.58,0.29,0.0,0.58,0.01
40059,0.6,0.75,0.0,0.02,0.76,0.23,0.0,0.0,0.0
40061,0.35,0.72,0.01,0.24,0.69,0.05,0.45,0.67,0.01
40063,0.5,0.55,0.12,0.13,0.62,0.06,0.78,0.51,0.0
40065,0.38,0.56,0.1,0.37,0.54,0.32,0.33,0.72,0.03
40067,0.35,0.78,0.02,0.24,0.76,0.13,0.55,0.79,0.0
40069,0.22,0.7,0.02,0.2,0.69,0.06,0.7,0.72,0.0
40071,0.47,0.66,0.05,0.29,0.7,0.11,0.53,0.76,0.01
40073,0.33,0.77,0.02,0.29,0.72,0.21,0.61,0.78,0.01
40075,0.15,0.74,0.04,0.23,0.73,0.14,0.58,0.68,0.02
40077,0.13,0.65,0.01,0.09,0.65,0.04,0.3,0.66,0.01
40079,0.44,0.68,0.05,0.41,0.68,0.12,0.39,0.7,0.01
40081,0.28,0.82,0.03,0.14,0.82,0.04,0.55,0.8,0.01
40083,0.44,0.7,0.16,0.22,0.76,0.07,0.65,0.8,0.01
40085,0.45,0.6,0.04,0.44,0.6,0.25,0.24,0.68,0.01
40087,0.36,0.79,0.02,0.21,0.77,0.1,0.64,0.78,0.01
40089,0.38,0.56,0.16,0.38,0.58,0.08,0.4,0.56,0.01
40091,0.44,0.63,0.06,0.35,0.65,0.04,0.55,0.66,0.0
40093,0.6,0.91,0.01,0.25,0.83,0.12,0.61,0.81,0.01
