"ZCTA","minDisMH","timeDrive","countDrive"
1001,3.78,8.04,30
1002,4.81,0,20
1003,0.53,0,19
1005,0.97,0,2
1007,10.99,15.1,13
1008,14.56,18.59,2
1009,3.69,7.56,13
1010,9.99,15.87,6
1012,11.7,18.82,9
1013,1.07,0,40
1020,3.94,8.18,42
1022,4.68,11.97,39
1027,5.45,0,38
1028,6.1,9.12,36
1029,13.51,17.18,2
1030,0.16,0,30
1031,7.82,13.85,4
1032,13.06,20.34,7
1033,8.84,13.72,38
1034,13.53,28.85,1
1035,3.05,8.62,19
1036,8.02,18.45,25
1037,7.21,22.36,2
1038,5.32,13.51,24
1039,5.56,9.84,9
1040,1.48,0,44
1050,13.88,23.03,10
1053,1.87,0,19
1054,8.59,12.8,14
1056,8.32,12.78,34
1057,7.35,11.2,16
1060,0.36,0,43
1062,2.41,7.9,19
1063,0.63,1.19,38
1066,6.06,14.86,24
1068,7.09,20.46,1
1069,2.87,0,28
1071,7.95,16.41,3
1072,10.1,19.13,4
1073,5.92,8.19,35
1074,2.4,7.28,2
1075,5.06,7.19,39
1077,5.44,11.41,22
1079,2.34,4.24,29
1080,2.03,6.52,31
1081,11.76,16.87,5
1082,4.71,0,5
1083,5.55,16.55,4
1084,14.08,27.03,1
1085,3.91,0,35
1086,2.62,6.74,29
1088,4.81,11.64,24
1089,2.62,0,38
1092,4.91,12.76,4
1093,8.48,13.9,17
1094,5.16,10.35,2
1095,7.24,11.22,31
1096,7.8,16.05,7
1097,7.51,9.78,27
1103,0.19,0,40
1104,2.24,0,40
1105,0.12,0,40
1106,4.17,8.14,36
1107,0.13,0,40
1108,1.6,3.96,42
1109,1.9,0,40
1118,3.38,5.84,34
1119,4.53,7.18,32
1128,5.95,9.16,33
1129,6.03,8.49,31
1151,6.03,6.96,34
1199,0.09,1.19,40
1201,1.46,0,8
1220,6.8,11.55,1
1222,12.22,19.89,1
1224,5.68,14.13,8
1225,11.67,20.84,8
1226,7.84,10.91,7
1229,1.37,5.35,10
1230,1.56,0,3
1235,12.31,21.6,7
1236,4.64,10.07,3
1237,8.51,15.63,7
1238,5.96,10.85,10
1240,4.23,13.34,9
1242,6.46,15.96,9
1244,5.8,18.48,2
1245,1.94,0,3
1247,2.2,0,1
1253,9.3,14.11,1
1254,7.97,19.24,9
1255,10.38,20.62,2
1256,11.33,30,1
1257,9.4,14.11,2
1258,11.39,24.17,1
1259,9.4,26.86,1
1260,2.5,4.25,10
1262,1.02,0,10
1264,6.16,11.13,3
1266,5.41,13.24,9
1267,9.08,14.31,5
1270,15.29,22.83,7
1301,2.74,0,11
1330,14.39,26.1,1
1331,2.44,0,3
1337,9.35,14.95,7
1340,11.64,23.68,5
1341,8.72,27.79,7
1342,3.13,10.43,15
1343,9.85,23.77,1
1344,7.98,15.57,8
1347,6.16,18.82,9
1349,7.86,15.09,9
1350,9.3,27.07,1
1351,7.07,16.39,9
1354,6.64,10.99,5
1355,13.05,13.26,5
1360,11.99,19.2,8
1364,2.57,0,2
1366,8.59,16.95,4
1368,9.14,14.83,3
1370,7.55,18.67,5
1373,9.62,15.33,24
1375,7.48,9.62,17
1376,2.53,10.15,6
1378,8.1,13.91,2
1379,7.03,19.6,1
1420,0.85,0,9
1430,8.21,15.24,5
1431,8.59,15.75,7
1432,1.2,0,21
1434,4.47,12.5,13
1436,7.24,11.8,4
1438,3.86,7.22,10
1440,0.1,0,8
1450,3.53,11.53,6
1451,7.14,11.68,19
1452,9.71,15.02,2
1453,2,0,15
1460,6.46,10.49,31
1462,4.72,12.58,8
1463,9.08,20.07,6
1464,5.16,14.31,9
1467,7.71,13.22,17
1468,6.52,9.97,10
1469,10.38,21.17,7
1473,4.15,11.05,8
1474,8.34,19.15,7
1475,8.68,14.99,6
1501,5.52,6.28,18
1503,5.7,9.25,32
1504,3.46,6.67,39
1505,5.6,9.64,17
1506,10.96,21.11,5
1507,7.49,12.32,12
1510,1.48,0,24
1515,11.78,19.6,7
1516,8.26,13.51,20
1518,6.79,11.3,3
1519,8.17,12.2,16
1520,5.86,11.41,14
1521,8.65,18.53,5
1522,9.26,22.35,10
1523,5.01,10.5,23
1524,2.35,7.14,13
1525,2.04,7.43,16
1527,5.11,7.46,21
1529,5.79,15.77,19
1531,8.59,14.68,2
1532,0.61,0,24
1534,2.99,9.48,16
1535,11.44,22.17,6
1536,6.2,10.74,20
1537,9.1,11.48,16
1540,12.64,14.75,21
1541,10.47,23.59,19
1542,5.55,9.3,14
1543,10.06,21.66,12
1545,3.11,9.97,24
1550,1.68,0,5
1560,6.04,7.32,16
1561,1.63,5.9,18
1562,7.24,14.44,12
1564,5.68,11.29,18
1566,3.54,6.12,7
1568,2.64,0,28
1569,5.18,10.24,18
1570,11.19,11.96,20
1571,7.73,18.96,6
1581,1.79,0,27
1583,5.56,11.8,19
1585,5.61,14.53,5
1588,0.98,0,20
1590,6.55,14.2,19
1602,2.97,4.19,19
1603,3.23,3.7,20
1604,1.14,0,19
1605,1.22,0,19
1606,1.48,5.93,20
1607,1.66,4.43,16
1608,0.14,0,19
1609,2.41,0,19
1610,0.91,0,21
1611,2.09,0,15
1612,5.62,12.53,13
1701,2.62,0,26
1702,1.01,0,27
1718,4.49,7.77,26
1719,5.1,10.42,25
1720,1.17,0,35
1721,4.21,9.18,17
1730,0.98,0,48
1731,2.69,7.81,61
1740,5.98,8.54,31
1741,5.66,10.49,33
1742,1.23,0,37
1745,4.94,10.24,31
1746,7.71,15.2,15
1747,2.08,4.66,18
1748,7.05,10.22,29
1749,4.61,7.14,29
1752,0.98,0,26
1754,4.47,8.37,32
1756,4.87,10.69,10
1757,2.24,0,18
1760,1.08,0,45
1770,4.79,10.09,18
1772,3.3,10.46,29
1773,3.87,9.68,63
1775,6.06,13.96,24
1776,7.12,12.83,23
1778,3.93,7.97,55
1801,2.13,0,90
1803,2.45,6.78,78
1810,1.55,0,31
1821,4.35,11.11,43
1824,0.66,0,33
1826,3.59,9.58,25
