COUNTYFP,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
8069,145672,91.66,8.34,3.84,16.18,35.41,56.11929471
8071,8544,75.81,24.19,10.77,28.02,31.05,1.790100623
8073,2046,74.29,25.71,17.06,32.02,31.58,0.79374087
8075,9098,89.94,10.06,9.44,26.05,38.24,4.948357277
8077,65878,92.65,7.35,10.3,15.99,32.77,19.78960949
8079,1324,28.32,71.68,6.27,31.76,11.2,1.511835938
8081,6282,82.94,17.06,19.45,24.66,31.98,1.324416313
8083,12313,86.21,13.79,18.94,25.06,28.91,6.06755165
8085,18857,90.82,9.18,17.37,20.31,29.28,8.41478838
8087,11718,92.04,7.96,11.98,20.06,35.7,9.151260431
8089,9004,85.42,14.58,6.46,26.67,37.8,7.135046422
8091,3208,68.39,31.61,9.91,19.23,31.63,5.923294571
8093,14449,49.27,50.73,3.97,24.88,16.27,6.586011116
8095,1915,87.1,12.9,8.04,24.42,29.68,2.783734903
8097,13794,50.88,49.12,4.24,23.32,35.48,14.21040942
8099,5976,83.05,16.95,12.83,27.47,36.19,3.647484434
8101,70928,89.9,10.1,5.83,22.82,35.69,29.72588874
8103,3382,71.05,28.95,8.13,24.24,30.05,1.049998946
8105,6770,66.53,33.47,12.26,27.02,33.79,7.423635018
8107,16694,57.22,42.78,5.87,18.57,29.55,7.067712903
8109,4079,64.84,35.16,21.26,25.93,25.07,1.287339134
8111,743,35.8,64.2,3.5,32.9,33.08,1.917351313
8113,6838,50.32,49.68,2.21,17.01,39.52,5.314285387
8115,1261,80.65,19.35,7.77,30.99,28.42,2.300934186
8117,30911,31.4,68.6,1.11,17.47,33.9,50.81236546
8119,13126,77.58,22.42,9.4,21.74,19.06,23.56382702
8121,2406,84.37,15.63,7.69,28.45,32.02,0.955492886
8123,106198,96.14,3.86,7.28,14.07,27.38,26.64268794
8125,4525,89.52,10.48,11.87,28.98,36.78,1.913814933
9001,370999,91.78,8.22,0.35,28.21,32.69,593.6345487
9003,378700,92.17,7.83,0.55,28.6,35.51,515.2668145
9005,88153,83.93,16.07,0.33,37.79,22.85,95.76554951
9007,76124,87.87,12.13,1.08,32.55,26.36,206.1290617
9009,366266,90.06,9.94,0.53,29.96,38.07,605.8861776
9011,123001,87.32,12.68,2.56,30.72,33.47,184.9245351
9013,59418,92.95,7.05,1.2,34.5,27.94,144.7982111
9015,49644,89.54,10.46,2.92,31.68,30.35,96.78588131
10001,70576,91.45,8.55,12.33,20.45,30.97,120.4771742
10003,222146,91.77,8.23,2.06,27.21,31.98,521.0870055
10005,135529,65.94,34.06,16.28,23.75,20.45,144.7778053
11001,311545,90.3,9.7,0.07,21.43,58.21,5095.993163
12001,116289,83.45,16.55,8.22,18.83,45.19,132.8973188
12003,9903,87.09,12.91,37.07,22.9,24.36,16.92162737
12005,102266,68.64,31.36,12.84,20.24,36.54,134.8217806
12007,11020,81.61,18.39,32.86,28.11,31.41,37.48781222
12009,276294,82.84,17.16,7.66,22.81,27.12,272.1635579
12011,821088,83.07,16.93,2.81,20.23,37.94,682.47754
12013,6012,75.78,24.22,38.44,36.3,17.6,10.59696748
12015,103372,73.67,26.33,11.45,19.95,20.49,151.7713053
12017,79115,79.33,20.67,22.71,21.49,18.55,135.957867
12019,79765,92.02,7.98,12.93,18.6,26.29,131.8913489
12021,210825,66.85,33.15,5.07,16.65,27.33,105.607579
12023,28893,86.47,13.53,36.51,24.1,26.64,36.22734505
12027,15102,79.43,20.57,29.31,18.77,30.12,23.719543
12029,9413,69.27,30.73,49.98,34.72,22.84,13.34985055
12031,403548,87.82,12.18,4.7,20.13,43.31,528.943628
12033,140523,84.5,15.5,7.1,24.26,38.86,213.8965919
12035,50961,79.73,20.27,4.74,14.97,24.2,105.0433064
12037,8675,49.53,50.47,21.37,26.24,24.34,15.91339086
12039,19866,85.98,14.02,29.19,33.86,28.96,38.47827859
12041,7486,86.98,13.02,50.63,33.25,16.43,21.40733313
12043,7013,63.21,36.79,51.42,21.55,20.55,8.694371653
