STATEFP,dissim.b,inter.bw,iso.b,dissim.h,inter.hw,iso.h,dissim.a,inter.aw,iso.a
01,0.37,0.56,0.37,0.44,0.63,0.07,0.51,0.59,0.02
02,0.19,0.5,0.02,0.12,0.5,0.06,0.22,0.46,0.08
04,0.53,0.48,0.04,0.38,0.47,0.41,0.46,0.53,0.03
05,0.4,0.69,0.21,0.35,0.72,0.08,0.51,0.66,0.02
06,0.47,0.49,0.07,0.34,0.47,0.38,0.39,0.5,0.12
08,0.37,0.63,0.03,0.22,0.7,0.24,0.31,0.61,0.02
09,0.56,0.57,0.17,0.47,0.59,0.24,0.41,0.72,0.08
10,0.39,0.53,0.31,0.36,0.57,0.15,0.37,0.64,0.05
11,0.68,0.16,0.71,0.41,0.39,0.18,0.25,0.53,0.07
12,0.43,0.56,0.25,0.3,0.62,0.19,0.41,0.67,0.03
13,0.3,0.56,0.34,0.31,0.6,0.1,0.43,0.58,0.03
15,0.34,0.29,0.03,0.22,0.27,0.11,0.33,0.22,0.36
16,0.37,0.74,0.01,0.17,0.81,0.14,0.29,0.67,0.01
17,0.48,0.78,0.12,0.36,0.82,0.08,0.46,0.85,0.03
18,0.51,0.85,0.07,0.36,0.86,0.08,0.5,0.86,0.03
19,0.45,0.86,0.03,0.31,0.88,0.07,0.45,0.83,0.02
20,0.27,0.77,0.03,0.19,0.82,0.12,0.33,0.72,0.01
21,0.41,0.87,0.07,0.36,0.87,0.04,0.46,0.8,0.01
22,0.42,0.49,0.45,0.37,0.6,0.06,0.53,0.58,0.02
23,0.48,0.91,0.03,0.34,0.92,0.03,0.48,0.92,0.02
24,0.42,0.57,0.3,0.37,0.63,0.11,0.4,0.66,0.06
25,0.49,0.64,0.14,0.43,0.66,0.18,0.42,0.74,0.08
26,0.49,0.79,0.12,0.29,0.85,0.06,0.45,0.86,0.03
27,0.42,0.85,0.04,0.3,0.85,0.07,0.41,0.82,0.03
28,0.31,0.47,0.48,0.4,0.52,0.05,0.52,0.47,0.01
29,0.4,0.87,0.07,0.3,0.87,0.05,0.44,0.84,0.01
30,0.33,0.54,0.01,0.18,0.84,0.04,0.26,0.7,0.01
31,0.24,0.75,0.02,0.16,0.86,0.09,0.24,0.69,0.01
32,0.31,0.68,0.04,0.17,0.68,0.21,0.26,0.6,0.03
33,0.53,0.87,0.04,0.34,0.89,0.05,0.41,0.89,0.05
34,0.55,0.45,0.26,0.44,0.5,0.29,0.4,0.62,0.14
35,0.39,0.37,0.03,0.2,0.4,0.52,0.35,0.39,0.02
36,0.53,0.67,0.17,0.39,0.72,0.13,0.46,0.77,0.06
37,0.35,0.61,0.26,0.33,0.64,0.11,0.47,0.65,0.03
38,0.25,0.75,0.02,0.15,0.81,0.04,0.21,0.65,0.01
39,0.5,0.81,0.11,0.4,0.86,0.05,0.55,0.88,0.03
40,0.39,0.66,0.07,0.23,0.68,0.12,0.44,0.63,0.02
41,0.39,0.75,0.02,0.23,0.77,0.16,0.32,0.77,0.03
42,0.53,0.76,0.12,0.38,0.8,0.09,0.45,0.86,0.04
44,0.47,0.76,0.06,0.37,0.75,0.14,0.38,0.81,0.05
45,0.33,0.49,0.44,0.4,0.53,0.09,0.52,0.56,0.02
46,0.27,0.54,0.01,0.19,0.75,0.04,0.23,0.6,0.01
47,0.41,0.8,0.12,0.33,0.83,0.06,0.52,0.8,0.02
48,0.33,0.49,0.1,0.22,0.52,0.38,0.37,0.47,0.02
49,0.32,0.74,0.01,0.2,0.83,0.12,0.31,0.69,0.01
50,0.47,0.92,0.02,0.29,0.93,0.03,0.42,0.92,0.02
51,0.28,0.66,0.22,0.3,0.68,0.08,0.38,0.68,0.03
53,0.42,0.71,0.03,0.28,0.71,0.19,0.33,0.75,0.04
54,0.48,0.9,0.06,0.41,0.91,0.02,0.47,0.72,0.01
55,0.47,0.84,0.04,0.31,0.86,0.06,0.42,0.85,0.03
56,0.42,0.77,0.01,0.22,0.85,0.1,0.31,0.74,0.01
