ZCTA,pop,STATEFP,minDist_SUT
96777,2061,15,3.374149758
96746,19324,15,3.557425595
96786,44271,15,3.939219754
96790,9776,15,10.89830981
96853,599,15,0.395087522
96747,874,15,3.670733824
96740,39694,15,7.506744128
96857,2815,15,1.438783738
96730,1359,15,8.202741692
96727,5270,15,5.353326122
96755,3010,15,2.427716303
96772,2472,15,9.478972912
96751,69,15,1.104738756
96796,1952,15,8.928914591
96743,14496,15,3.080262092
96815,25268,15,1.561963366
96752,3572,15,4.477728551
96863,46,15,2.115711005
96860,2203,15,0.140222709
96859,111,15,0.09764686
96850,0,15,0.540538192
96704,7871,15,14.67208186
96716,2982,15,7.278860911
96717,5148,15,8.403470431
96821,18539,15,2.113050627
96782,38335,15,1.585715962
96770,597,15,10.67105541
96781,1229,15,5.807636871
96778,15125,15,6.498276094
96769,294,15,28.03690981
96780,700,15,0.96721609
96725,2984,15,4.61725907
96814,19527,15,0.32746445
96705,2869,15,7.75741045
96768,18155,15,4.604958257
96816,49664,15,1.449072728
96734,50386,15,0.439677572
96726,480,15,8.247510399
96773,59,15,5.873765727
96738,6728,15,1.283945793
96789,53734,15,2.854668795
96791,7715,15,2.278661795
96795,9988,15,3.221650704
96742,75,15,6.519579265
96763,2826,15,24.02966419
96748,4380,15,11.45900968
96793,33074,15,2.294114215
96710,246,15,6.385467129
96783,1645,15,4.54917434
96720,49405,15,7.870609668
96706,72799,15,1.242845375
96765,360,15,6.982642847
96760,2917,15,3.391010038
96731,2984,15,1.504685264
96759,360,15,3.285804125
96722,2213,15,12.51748151
96776,1302,15,3.933041709
96714,907,15,13.75768621
96813,25219,15,0.499872674
96741,6284,15,6.884371162
96708,10243,15,7.935652342
96819,53886,15,0.51514939
96753,27649,15,2.278209679
96732,29668,15,1.180810603
96757,580,15,3.508231647
96792,50127,15,1.715201673
96749,17484,15,1.131232608
96764,592,15,4.624816523
96766,18272,15,0.04880059
96771,7934,15,2.746514143
96701,40439,15,2.009210625
96785,3322,15,11.17781778
96761,23223,15,7.406078166
96756,6206,15,6.359024511
96797,74262,15,1.58838701
96825,29375,15,5.470031176
96728,453,15,3.239561484
96817,56496,15,0.488325644
96774,181,15,6.520054033
96818,59482,15,0.425573841
96779,2708,15,2.540180553
96754,3112,15,8.607693118
96737,4926,15,12.86717465
96762,6686,15,3.671057146
96712,7575,15,4.722055978
96750,3370,15,10.91037409
96744,51692,15,1.542182714
96826,31945,15,0.788408044
96707,47958,15,2.657412302
96703,2087,15,4.756286287
96719,1702,15,3.316762661
96713,1201,15,5.776589372
96729,1191,15,4.260573004
96822,46645,15,1.839512211
