"","NAME","FIPS","year","totUnits","occP","vacantP"
"1","Autauga County, Alabama","01001",1980,10957,93.06,6.94
"2","Baldwin County, Alabama","01003",1980,29947,89.41,10.59
"3","Barbour County, Alabama","01005",1980,9246,90.58,9.42
"4","Bibb County, Alabama","01007",1980,5721,90.32,9.68
"5","Blount County, Alabama","01009",1980,13733,92.35,7.65
"6","Bullock County, Alabama","01011",1980,3895,88.7,11.3
"7","Butler County, Alabama","01013",1980,8108,92.14,7.86
"8","Calhoun County, Alabama","01015",1980,42454,93.4,6.6
"9","Chambers County, Alabama","01017",1980,14422,93.75,6.25
"10","Cherokee County, Alabama","01019",1980,7377,88.18,11.82
"11","Chilton County, Alabama","01021",1980,12702,84.57,15.43
"12","Choctaw County, Alabama","01023",1980,5988,90.26,9.74
"13","Clarke County, Alabama","01025",1980,9909,89.98,10.02
"14","Clay County, Alabama","01027",1980,5320,89.61,10.39
"15","Cleburne County, Alabama","01029",1980,4778,91.52,8.48
"16","Coffee County, Alabama","01031",1980,14559,92.25,7.75
"17","Colbert County, Alabama","01033",1980,20662,92.83,7.17
"18","Conecuh County, Alabama","01035",1980,5963,91.5,8.5
"19","Coosa County, Alabama","01037",1980,4303,90.61,9.39
"20","Covington County, Alabama","01039",1980,15043,91.38,8.62
"21","Crenshaw County, Alabama","01041",1980,5488,91.55,8.45
"22","Cullman County, Alabama","01043",1980,23507,92.56,7.44
"23","Dale County, Alabama","01045",1980,16499,91.93,8.07
"24","Dallas County, Alabama","01047",1980,19223,91.5,8.5
"25","DeKalb County, Alabama","01049",1980,20605,93.41,6.59
"26","Elmore County, Alabama","01051",1980,15975,87.79,12.21
"27","Escambia County, Alabama","01053",1980,13489,93.8,6.2
"28","Etowah County, Alabama","01055",1980,39824,92.57,7.43
"29","Fayette County, Alabama","01057",1980,7489,89.6,10.4
"30","Franklin County, Alabama","01059",1980,11239,90.84,9.16
"31","Geneva County, Alabama","01061",1980,9310,92.07,7.93
"32","Greene County, Alabama","01063",1980,3814,90.51,9.49
"33","Hale County, Alabama","01065",1980,5476,88.57,11.43
"34","Henry County, Alabama","01067",1980,6065,86.69,13.31
"35","Houston County, Alabama","01069",1980,28558,91.68,8.32
"36","Jackson County, Alabama","01071",1980,19297,91.67,8.33
"37","Jefferson County, Alabama","01073",1980,259042,94.28,5.72
"38","Lamar County, Alabama","01075",1980,6376,90.76,9.24
"39","Lauderdale County, Alabama","01077",1980,30090,93.79,6.21
"40","Lawrence County, Alabama","01079",1980,10818,90.72,9.28
"41","Lee County, Alabama","01081",1980,29202,92.37,7.63
"42","Limestone County, Alabama","01083",1980,16372,93.81,6.19
"43","Lowndes County, Alabama","01085",1980,4163,89.65,10.35
"44","Macon County, Alabama","01087",1980,9222,89.71,10.29
"45","Madison County, Alabama","01089",1980,71033,94.44,5.56
"46","Marengo County, Alabama","01091",1980,8881,91.4,8.6
"47","Marion County, Alabama","01093",1980,11596,93.07,6.93
"48","Marshall County, Alabama","01095",1980,25780,91.11,8.89
"49","Mobile County, Alabama","01097",1980,131301,93.9,6.1
"50","Monroe County, Alabama","01099",1980,7980,90.75,9.25
"51","Montgomery County, Alabama","01101",1980,73694,92.91,7.09
"52","Morgan County, Alabama","01103",1980,33778,92.87,7.13
"53","Perry County, Alabama","01105",1980,5018,91.57,8.43
"54","Pickens County, Alabama","01107",1980,7728,90.54,9.46
"55","Pike County, Alabama","01109",1980,10200,93.38,6.62
"56","Randolph County, Alabama","01111",1980,7827,90.01,9.99
"57","Russell County, Alabama","01113",1980,17829,91.15,8.85
"58","St. Clair County, Alabama","01115",1980,15229,90.94,9.06
"59","Shelby County, Alabama","01117",1980,24481,89.12,10.88
