ZCTA,pop,minDist_SUT
20520,0,0.17
20427,0,0.34
32714,37223,1.2
32134,7376,17.99
33498,14404,4.49
31021,28391,3.02
30521,5042,10.72
31804,5865,10.18
30252,46286,5.05
39842,8021,13.99
30474,16665,1.63
95835,40101,4.26
93203,22744,11.36
95364,0,28.71
91203,15000,1.25
95363,26900,16.48
93665,875,13.52
90071,0,0.45
95724,20,8.09
80302,29109,4.65
80746,64,8.77
81223,1439,20.42
81243,101,24.09
80218,19129,0.62
19977,25568,2.71
20202,0,0.71
34681,775,2.52
32097,18518,2.78
30513,11753,12.93
31318,432,13.91
31780,2100,9.74
30326,6030,0.69
30293,2948,7.16
83244,328,60.94
83544,6079,4.91
83218,327,12.73
83467,5978,11.27
62089,501,1.24
61243,248,12.74
62987,1424,10.56
60171,10148,2.07
60643,49870,1.06
62865,1977,8.53
61936,290,11.99
61039,1012,10.08
47457,170,8.34
47337,177,7.36
46183,15,5.65
46068,2811,4.92
47836,0,8.61
47683,180,12.7
47969,152,16.0
52060,8402,27.06
51244,78,5.77
50603,581,20.59
52647,210,11.69
51036,1018,7.18
66216,24727,0.27
66728,29,6.31
67520,290,22.19
40380,7291,4.77
42431,26055,1.05
41260,889,2.44
40404,853,0.73
42210,4218,1.7
42411,1783,8.7
40049,112,7.73
70549,3591,14.16
70582,19546,10.72
95441,2053,18.93
94574,8677,11.78
90621,35398,2.2
95485,2688,3.8
93664,408,16.4
37338,3547,13.29
37374,2403,9.47
76597,2817,28.22
37132,2387,1.69
37246,0,0.28
75752,7222,12.79
78076,13184,7.29
79781,266,92.24
78653,22804,3.82
77880,1197,14.41
75779,135,15.38
78014,5631,7.59
76305,4352,7.85
75652,16946,17.98
77575,16640,3.1
76801,25319,3.0
78058,1121,17.91
76877,4332,40.97
78881,2122,17.86
75844,6001,33.13
77954,11939,24.91
78620,16882,14.07
79731,4792,28.76
76148,23586,3.73
75929,1682,25.78
75831,5494,51.55
79081,4001,49.94
76676,297,13.4
24153,38125,3.21
84648,6111,23.59
84751,1991,26.06
05056,418,13.16
05079,681,10.42
05405,4327,0.53
22514,2243,9.38
24483,579,10.72
24013,8473,1.36
22845,9,20.88
17885,214,9.89
98045,14795,10.05
99203,20943,1.47
26562,510,20.37
26763,1676,9.44
15027,2221,3.4
54143,15006,3.05
97838,26057,0.98
36766,18,32.03
35650,13992,20.81
36784,7370,26.4
35579,3513,15.35
36268,5814,10.24
86520,1689,31.24
86326,25015,2.05
85924,2696,17.04
29670,9297,5.86
57346,62,13.02
37324,5683,6.67
57236,138,23.96
37377,15691,5.89
37315,1566,5.41
37725,17572,8.91
38029,0,2.86
38047,85,6.08
37770,2675,5.19
70772,843,17.07
70128,19500,1.73
70648,8864,1.51
04450,1214,6.49
04472,2115,9.21
33432,19578,1.35
83823,1401,23.71
46327,11631,1.4
61112,66,1.96
04851,82,20.74
60958,1784,10.92
46799,232,11.57
20818,2019,0.09
50314,11528,0.28
70517,27314,4.38
40383,23718,3.52
49878,3381,17.69
04739,870,17.63
38844,200,10.14
63775,16966,0.99
01340,1808,8.24
49248,783,9.46
02343,10728,2.32
49780,1924,22.17
07720,4223,1.15
87830,1571,42.26
49722,308,4.51
27053,2973,9.56
65802,46888,1.86
65742,13295,3.44
58801,30367,6.28
07079,16473,1.29
07870,28,2.6
03447,2395,10.74
07723,695,1.9
02873,190,5.09
57754,3788,15.27
10605,18643,1.62
37738,5555,12.81
11207,91972,0.09
37620,38969,7.1
79346,2248,47.5
75488,566,16.83
05488,8239,8.43
57641,354,27.69
24605,8685,12.58
23310,4549,22.19
24426,13585,4.94
98422,21012,2.09
99114,12453,10.57
25514,3470,3.96
28533,3248,14.61
28032,3296,3.78
45142,3696,10.79
58368,3691,42.32
58622,1922,22.16
58007,103,29.21
43467,85,6.93
43008,2614,4.06
44615,10312,1.08
45745,1618,12.56
44682,1030,6.62
44507,5409,0.48
43142,102,8.95
43736,35,5.22
43750,115,4.64
44011,22786,3.01
74016,5697,14.03
74003,14194,4.85
74464,31404,1.52
73441,165,23.36
97525,4450,11.85
97064,3241,19.53
97355,29701,4.18
97434,930,16.01
16617,2781,6.98
97886,1180,12.13
16340,1740,13.89
17097,842,6.24
15557,3427,8.06
15420,328,6.57
16652,18181,3.65
19559,420,4.63
18430,6,10.83
15301,48950,0.58
17965,2073,1.54
15901,3417,0.3
17829,230,9.74
