"","GEOID","year","totalP","totalP_hh","totalP_fhh","nonRel_fhh","nonRel_fhhP","totalP_nfhh","nonRel_nfhh","nonRel_nfhhP","groupQuar","groupQuarP"
"1","01",2010,4712651,4599040,3906678,70361,1.8,692362,111655,16.13,113611,2.41
"2","02",2010,691189,665870,560758,19057,3.4,105112,25548,24.31,25319,3.66
"3","04",2010,6246816,6112128,5100360,144702,2.84,1011768,227605,22.5,134688,2.16
"4","05",2010,2872684,2794148,2369221,51008,2.15,424927,70536,16.6,78536,2.73
"5","06",2010,36637290,35810593,30565494,1016513,3.33,5245099,1347569,25.69,826697,2.26
"6","08",2010,4887061,4773248,3895623,89412,2.3,877625,194674,22.18,113813,2.33
"7","09",2010,3545837,3428540,2878429,62753,2.18,550111,102546,18.64,117297,3.31
"8","10",2010,881278,856711,719905,19460,2.7,136806,29963,21.9,24567,2.79
"9","11",2010,584400,545221,352070,10349,2.94,193151,45005,23.3,39179,6.7
"10","12",2010,18511620,18094624,14905473,402231,2.7,3189151,706376,22.15,416996,2.25
"11","13",2010,9468815,9214377,7831127,177960,2.27,1383250,287969,20.82,254438,2.69
"12","15",2010,1333591,1291747,1116525,40239,3.6,175222,41480,23.67,41844,3.14
"13","16",2010,1526797,1497938,1276239,27771,2.18,221699,51240,23.11,28859,1.89
"14","17",2010,12745359,12437349,10464204,229886,2.2,1973145,364741,18.49,308010,2.42
"15","18",2010,6417398,6231398,5229940,126072,2.41,1001458,193862,19.36,186000,2.9
"16","19",2010,3016267,2917045,2391588,52802,2.21,525457,103345,19.67,99222,3.29
"17","20",2010,2809329,2729767,2273675,51543,2.27,456092,85365,18.72,79562,2.83
"18","21",2010,4285828,4160928,3499891,79596,2.27,661037,112498,17.02,124900,2.91
"19","22",2010,4429940,4303960,3648653,83139,2.28,655307,122858,18.75,125980,2.84
"20","23",2010,1327665,1292024,1042448,31559,3.03,249576,52584,21.07,35641,2.68
"21","24",2010,5696423,5558493,4674218,129909,2.78,884275,186627,21.11,137930,2.42
"22","25",2010,6477096,6239194,5068920,119147,2.35,1170274,258310,22.07,237902,3.67
"23","26",2010,9952687,9716837,8137429,180442,2.22,1579408,289390,18.32,235850,2.37
"24","27",2010,5241914,5106168,4192919,95203,2.27,913249,185510,20.31,135746,2.59
"25","28",2010,2941991,2848779,2452186,54094,2.21,396593,64815,16.34,93212,3.17
"26","29",2010,5922314,5749227,4768958,107519,2.25,980269,176823,18.04,173087,2.92
"27","30",2010,973739,945313,763250,18568,2.43,182063,36865,20.25,28426,2.92
"28","31",2010,1799125,1747881,1445548,32637,2.26,302333,57812,19.12,51244,2.85
"29","32",2010,2633331,2597687,2147639,74328,3.46,450048,113327,25.18,35644,1.35
"30","33",2010,1313939,1274476,1057067,26482,2.51,217409,49733,22.88,39463,3
"31","34",2010,8721577,8533093,7333907,163106,2.22,1199186,221767,18.49,188484,2.16
"32","35",2010,2013122,1970764,1650337,45685,2.77,320427,61687,19.25,42358,2.1
"33","36",2010,19229752,18636816,15434015,400231,2.59,3202801,653176,20.39,592936,3.08
"34","37",2010,9271178,9012310,7527975,161510,2.15,1484335,280848,18.92,258868,2.79
"35","38",2010,659858,634679,504148,9468,1.88,130531,24366,18.67,25179,3.82
"36","39",2010,11512431,11206368,9295712,214099,2.3,1910656,341886,17.89,306063,2.66
"37","40",2010,3675339,3563497,2989647,68130,2.28,573850,103387,18.02,111842,3.04
"38","41",2010,3761925,3677041,2968795,90471,3.05,708246,166094,23.45,84884,2.26
"39","42",2010,12612705,12183579,10092441,214582,2.13,2091138,381578,18.25,429126,3.4
"40","44",2010,1056389,1012774,822248,19357,2.35,190526,38793,20.36,43615,4.13
"41","45",2010,4511428,4371827,3673167,80131,2.18,698660,130578,18.69,139601,3.09
"42","46",2010,799462,766207,632454,14878,2.35,133753,24164,18.07,33255,4.16
"43","47",2010,6234968,6082854,5110960,114035,2.23,971894,173324,17.83,152114,2.44
"44","48",2010,24311891,23730489,20541179,463957,2.26,3189310,642282,20.14,581402,2.39
"45","49",2010,2657236,2612864,2316448,42196,1.82,296416,83308,28.11,44372,1.67
"46","50",2010,624258,599721,477820,13553,2.84,121901,28041,23,24537,3.93
"47","51",2010,7841754,7600728,6358308,146748,2.31,1242420,268000,21.57,241026,3.07
"48","53",2010,6561297,6420822,5236630,151459,2.89,1184192,272195,22.99,140475,2.14
"49","54",2010,1840802,1792375,1490308,33284,2.23,302067,51176,16.94,48427,2.63
"50","55",2010,5637947,5486726,4490830,104250,2.32,995896,200866,20.17,151221,2.68
"51","56",2010,545579,532007,440426,12271,2.79,91581,18237,19.91,13572,2.49
"52","72",2010,3762322,3723023,3352584,95567,2.85,370439,56288,15.19,39299,1.04
