GEOID,pop,minDist_SUT
15001020702,4864,1.529369546
15001020701,4461,0.464271889
15001020801,5182,2.865599456
15001020900,4769,3.444462143
15003000110,4184,7.116570451
15003000111,4605,6.017094114
15003940001,3826,4.983288174
15003001201,3227,1.309345381
15003002800,4018,2.097005035
15003001202,2805,1.606250767
15003000903,3023,0.788823547
15003001300,4556,1.260107407
15003002701,5554,1.551372978
15003000902,4171,1.332469328
15003001500,3267,1.387048356
15003001000,3443,2.699024075
15003001801,1042,1.608963514
15003001803,2730,1.550250826
15003002100,3494,1.543711805
15003001700,1762,1.758688873
15003001804,1371,1.782008982
15003002004,1220,1.285208339
15003001901,245,0.78387312
15003001100,3415,2.027667174
15003002900,2355,1.936637609
15003003000,4719,1.154475424
15003003102,3493,2.110991784
15003003101,4351,2.792983137
15003003407,920,0.446821648
15003002702,5360,0.970759123
15003003404,4612,0.217122379
15003003502,3963,0.15943809
15003003406,5859,0.369657317
15003002600,4378,0.789261973
15003003405,3522,0.467165072
15003004900,3398,0.588653812
15003005000,4542,0.277888604
15003005600,7280,0.345094589
15003005500,2162,0.420459067
15003004800,6990,1.149910032
15003005300,4149,0.122285407
15003004700,4857,0.917752887
15003006000,6858,0.470394419
15003006202,1476,0.390304807
15003005900,3588,0.780664557
15003006100,4053,0.203769677
15003006201,6372,0.582514201
15003006600,738,0.655346239
15003005800,3199,0.137723289
15003006302,3013,0.489602017
15003006402,6630,1.036918532
15003006500,4779,1.588629679
15003006301,4413,0.092217826
15003006702,2641,0.913781583
15003007502,786,2.468166329
15003007506,807,1.291490642
15003006804,5470,1.103646581
15003006701,6236,1.974107801
15003006808,4724,0.44285896
15003006809,5678,0.419588236
15003006805,6199,0.507297955
15003006806,1935,0.445366635
15003006900,4153,0.538498556
15003007000,4319,0.516184198
15003007100,3344,0.241393774
15003007302,5482,1.651226644
15003007400,5213,1.03609457
15003980200,612,1.634260022
15003007303,432,1.258341575
15003007805,4724,0.675964937
15003008007,5783,0.471039838
15003007811,4608,2.827824157
15003007804,2280,0.290645244
15003008002,3092,0.469492708
15003007809,3433,1.172511216
15003007810,5840,2.850501328
15003008412,7611,1.141606401
15003008617,10324,1.607914934
15003008405,4296,1.260230984
15003008411,3601,0.792408585
15003008906,3814,0.538323049
15003008907,4204,0.396900653
15003009000,2391,1.544106237
15003008908,5907,1.732387474
15003008917,4510,0.652047654
15003008918,5359,0.791872963
15003008924,7371,2.213831279
15003008909,4132,0.933657496
15003008915,5443,1.167037911
15003008928,3985,1.998530376
15003008927,5116,1.489087146
15003008926,1745,1.10415337
15003008929,3996,1.636831815
15003008931,3313,3.226600999
15003009802,7146,0.74172885
15003009701,6474,2.224986924
15003009801,2598,3.643047277
15003011104,4579,0.95688042
15003011106,5974,1.451436667
15003011105,3163,0.188577123
15003011103,3771,0.375411704
15003981400,4,1.725061435
15003005700,2541,0.469624262
15009030901,2719,0.125210909
15009030800,7427,3.015018884
15009030902,3619,0.144151313
15009030903,7071,0.68645368
15009031000,9373,0.489603342
15009031404,3855,11.29807986
15009031402,2932,9.139370976
15009031405,6316,8.815467223
15009032000,850,5.968043108
15009030706,2606,2.720329128
15009030707,8752,0.788697681
15009030705,4179,4.03172471
15009030201,2173,6.017486623
15003000107,2678,5.704104236
15003000108,2951,4.076407224
15003000106,7997,4.638079489
15003000112,5398,4.82076152
15003000402,3687,0.70973356
15003000301,3163,2.368214596
15003000401,2441,1.61002083
15003000500,3610,0.624366386
15003000302,2920,1.284885595
15003000800,3417,0.529680049
15003000600,1319,1.016066269
15003001600,3901,1.279720762
15003000700,3171,0.101816609
15003001400,2716,1.050911174
15003004000,1245,0.29873613
15003005200,2474,0.417443935
15003005100,3077,0.146507759
15003003900,261,0.492468025
15003004200,3262,0.103887348
15003004100,4287,0.367334477
15003004500,6007,1.079394258
15003004300,5630,0.446253494
15003008003,4387,0.704283867
15003008006,4237,0.782980963
15003008005,6736,2.652218026
15003008407,4007,0.39725926
15003008408,8391,0.843588237
15003008302,6908,0.419655063
15003008402,7809,0.120977
15001020202,2565,9.841368308
15001020600,5792,1.716112795
15001020500,6842,0.348035912
15001022102,1510,17.06415829
15001020300,4270,0.446541497
15001021010,8298,4.000922935
15001020100,4162,6.492014198
15001021013,4969,1.124255573
15001021011,3969,5.954475858
15001020802,6507,0.712257119
15001020400,3522,0.075319094
15001021202,9473,5.231262804
15001021502,4220,9.415389462
15001022000,2520,15.30507505
15001021300,6977,14.07045859
15001021402,3791,0.698284027
15001021003,7169,2.915054069
15001021106,7856,7.801744113
15001021702,11832,7.052584195
15001021504,5120,0.744594301
15001021509,5646,1.338884332
15001021704,8023,0.71204974
15001021507,10044,7.992718746
15001021601,9943,1.080969496
15001021604,8658,0.341267009
15001021902,4152,7.091689978
15003008609,2022,2.350423967
15003011500,9457,0.323237645
15003008622,4490,1.566420263
15003008610,876,3.4696723
15003008502,2666,0.888266099
15003008912,2968,0.667758459
15003008702,5772,0.116625596
15003008800,8917,0.139847248
15003008701,8232,0.288241052
15003008922,7062,1.06812471
15003007504,3366,0.668907773
15003007505,5908,0.644409631
15003007701,4368,0.536841811
15003007503,5222,0.476295633
15003007807,5161,0.445493658
15003007702,5071,1.895675553
15003007808,3615,0.165084354
15003002201,3585,1.164727327
15003002300,5578,1.164557599
15003002401,3412,0.681549486
15003002006,1713,0.88794818
15003002202,3539,0.82453408
15003002402,3266,0.752845802
15003002500,4033,0.349383457
15003003403,5426,0.341994611
15003003501,2475,0.320713849
15003003800,5775,0.355120409
15003003601,3815,0.249268276
15003003700,6569,0.493508857
