STATEFP,year,totPopE,whiteP,blackP,amIndP,asianP,pacIsP,otherP,hispP,noHSP,age0_4,age5_14,age15_19,age20_24,age15_44,age45_49,age50_54,age55_59,age60_64,ageOv65,ageOv18,age18_64,a15_24P,und45P,ovr65P,disbP
35,2018,2092434,74.5,2.06,9.55,1.51,0.07,12.31,48.54,14.74,128357,281753,140188,147856,815957,120433,131970,139817,132632,341515,1598270,1256755,13.77,58.6,16.32,15.1
36,2018,19618453,63.79,15.64,0.41,8.31,0.04,11.81,18.89,13.52,1163606,2267695,1224760,1356050,7887722,1295956,1379690,1342368,1212727,3068689,15476820,12408131,13.16,57.7,15.64,11.5
37,2018,10155624,68.87,21.46,1.19,2.78,0.07,5.62,9.22,12.64,603193,1294042,676295,700320,4015345,686210,690424,676977,618435,1570998,7863008,6292010,13.56,58.22,15.47,13.6
38,2018,752201,87.11,2.72,5.25,1.44,0.05,3.43,3.53,7.51,52820,94926,47651,66571,313629,40274,45712,49869,45061,109910,578483,468573,15.19,61.34,14.61,10.8
39,2018,11641879,81.51,12.35,0.2,2.15,0.03,3.75,3.7,9.9,695933,1461232,772199,775430,4446663,744680,799749,834920,765841,1892861,9023711,7130850,13.29,56.72,16.26,14.0
40,2018,3918137,72.43,7.35,7.52,2.13,0.11,10.46,10.4,12.19,263992,536998,262995,280151,1566301,229908,245790,255043,230875,589230,2959431,2370201,13.86,60.42,15.04,16.0
41,2018,4081943,84.42,1.91,1.15,4.28,0.39,7.86,12.84,9.62,231927,488188,246092,265043,1621357,257594,256516,266912,276903,682546,3213765,2531219,12.52,57.36,16.72,14.5
42,2018,12791181,80.85,11.13,0.19,3.35,0.03,4.45,7.08,9.8,709250,1491997,826326,842245,4831541,828116,903178,934674,862564,2229861,10115851,7885990,13.04,54.98,17.43,13.9
44,2018,1056611,80.87,6.55,0.52,3.38,0.08,8.6,15.03,12.0,54587,116478,73378,78980,418646,69762,76883,76732,69313,174210,847742,673532,14.42,55.81,16.49,13.6
45,2018,4955925,67.25,27.03,0.34,1.52,0.06,3.81,5.56,12.87,290090,619683,323640,337510,1913888,313820,334013,334313,321035,829083,3859674,3030591,13.34,56.98,16.73,14.7
46,2018,864289,84.47,1.88,8.72,1.46,0.03,3.44,3.7,8.28,60407,119006,57056,60737,331685,47405,54298,59203,55477,136808,651223,514415,13.63,59.14,15.83,11.9
47,2018,6651089,77.67,16.8,0.27,1.7,0.06,3.5,5.3,13.03,403591,840234,424822,451736,2607745,437508,452747,448270,415781,1045213,5149695,4104482,13.18,57.91,15.71,15.4
48,2018,27885195,74.31,12.07,0.49,4.69,0.08,8.36,39.17,16.8,1998869,4085565,1987192,1998210,11847281,1777695,1733345,1658878,1445748,3337814,20592509,17254695,14.29,64.31,11.97,11.5
49,2018,3045350,86.43,1.18,1.07,2.29,0.89,8.14,13.86,8.04,252865,518840,237276,254304,1351855,161074,151460,149349,139638,320269,2126301,1806032,16.14,69.73,10.52,9.6
50,2018,624977,94.33,1.29,0.34,1.69,0.03,2.32,1.87,7.44,29676,66474,43222,45910,232496,40096,46205,49272,47208,113550,506631,393081,14.26,52.59,18.17,14.4
51,2018,8413774,68.02,19.17,0.27,6.32,0.07,6.15,9.17,10.69,509955,1042099,547867,583501,3398107,564733,592357,567471,508806,1230246,6546347,5316101,13.45,58.83,14.62,11.6
53,2018,7294336,76.03,3.7,1.3,8.33,0.66,9.98,12.5,8.89,453008,909873,444352,485160,2972063,467768,476486,487173,454466,1073499,5661461,4587962,12.74,59.43,14.72,12.7
54,2018,1829054,93.18,3.65,0.2,0.79,0.02,2.16,1.5,13.48,99291,209144,110333,118202,667545,117794,124958,132236,133367,344719,1455681,1110962,12.49,53.36,18.85,19.5
55,2018,5778394,85.59,6.38,0.87,2.76,0.03,4.36,6.68,8.07,335920,728244,381105,402236,2207589,365843,411833,424779,379491,924695,4489451,3564756,13.56,56.62,16.0,11.8
56,2018,581836,91.44,0.95,2.42,0.82,0.09,4.29,9.79,7.1,37270,78620,36734,39921,228575,32792,36165,40523,40114,87777,444117,356340,13.17,59.2,15.09,13.0
72,2018,3386941,67.43,10.78,0.25,0.2,0.01,21.34,98.89,,157638,393660,230407,240838,1317954,218156,227538,217688,213684,640623,2698996,2058373,13.91,55.19,18.91,
