ZCTA,year,unempP,povP,pciE
00601,2018,39.9,62.7,6999.0
00602,2018,14.3,51.1,9277.0
00603,2018,20.1,51.3,11307.0
00606,2018,14.5,64.7,5943.0
00610,2018,13.2,43.5,10220.0
00612,2018,19.2,47.5,10549.0
00616,2018,16.0,50.2,9102.0
00617,2018,18.7,49.6,9122.0
00622,2018,16.5,51.0,11749.0
00623,2018,13.7,53.5,8857.0
00624,2018,22.9,55.5,8696.0
00627,2018,16.0,50.2,10252.0
00631,2018,33.2,65.1,7863.0
00637,2018,17.0,47.1,9586.0
00638,2018,20.9,56.3,8485.0
00641,2018,29.6,51.9,8739.0
00646,2018,22.3,34.5,16462.0
00647,2018,30.4,62.6,7556.0
00650,2018,16.6,52.3,8799.0
00652,2018,13.8,43.9,11156.0
00653,2018,30.0,64.4,7366.0
00656,2018,22.7,55.7,8701.0
00659,2018,7.0,46.5,10659.0
00660,2018,23.1,40.8,11874.0
00662,2018,18.7,54.5,9320.0
00664,2018,22.0,60.6,7501.0
00667,2018,21.1,61.0,7268.0
00669,2018,27.7,54.9,8779.0
00670,2018,3.1,56.5,7270.0
00674,2018,17.1,45.9,10878.0
00676,2018,26.4,57.3,8802.0
00677,2018,9.8,42.1,11663.0
00678,2018,12.0,52.0,9654.0
00680,2018,25.3,52.2,10404.0
00682,2018,28.0,54.2,11102.0
00683,2018,7.8,52.8,9829.0
00685,2018,25.9,55.1,8724.0
00687,2018,20.8,45.5,9715.0
00688,2018,12.7,50.1,9155.0
00690,2018,22.4,51.2,11632.0
00692,2018,20.0,47.3,11955.0
00693,2018,18.9,45.4,10536.0
00694,2018,,34.8,6880.0
00698,2018,19.9,48.3,8355.0
00703,2018,18.4,51.3,10040.0
00704,2018,10.1,62.0,7373.0
00705,2018,5.5,46.6,10562.0
00707,2018,27.4,48.9,9398.0
00714,2018,12.1,57.8,8021.0
00715,2018,25.8,65.4,7114.0
00716,2018,14.9,47.5,14616.0
00717,2018,19.0,57.8,9975.0
00718,2018,10.5,49.5,9329.0
00719,2018,23.9,45.4,9167.0
00720,2018,34.3,57.4,7914.0
00723,2018,19.0,53.1,9270.0
00725,2018,16.2,41.5,13109.0
00727,2018,10.3,31.5,16733.0
00728,2018,12.8,49.0,9597.0
00729,2018,23.1,42.9,11730.0
00730,2018,17.1,55.1,11224.0
00731,2018,10.8,53.7,10431.0
00735,2018,11.5,43.7,12739.0
00736,2018,9.8,43.9,11996.0
00738,2018,27.7,43.2,11926.0
00739,2018,16.7,41.9,11112.0
00740,2018,40.1,66.0,6748.0
00741,2018,26.9,45.6,10191.0
00745,2018,23.0,38.3,11076.0
00751,2018,8.1,51.4,9556.0
00754,2018,9.3,44.9,10970.0
00757,2018,8.4,47.1,10895.0
00765,2018,15.1,41.6,11174.0
00766,2018,22.9,48.4,10631.0
00767,2018,25.9,53.5,9144.0
00769,2018,7.4,46.9,10774.0
00771,2018,18.6,43.7,11157.0
00772,2018,30.1,56.2,7934.0
00773,2018,25.2,45.1,11007.0
00775,2018,0.8,42.4,11658.0
00777,2018,26.9,50.2,9414.0
00778,2018,16.1,29.0,17457.0
00780,2018,8.3,39.0,14194.0
00782,2018,26.9,60.1,6747.0
00783,2018,30.6,57.2,7532.0
00784,2018,7.7,51.4,9889.0
00786,2018,0.0,13.2,14278.0
00791,2018,11.9,44.4,12288.0
00794,2018,13.3,59.0,8221.0
00795,2018,22.4,46.6,10398.0
00901,2018,12.8,43.5,30345.0
00906,2018,0.0,7.1,60330.0
00907,2018,8.6,26.5,37067.0
00909,2018,19.3,48.7,14984.0
00911,2018,8.7,28.6,29751.0
00912,2018,17.8,44.3,17863.0
00913,2018,47.3,81.2,7597.0
00915,2018,28.3,60.0,9526.0
00917,2018,16.6,52.8,13838.0
00918,2018,10.9,41.2,21307.0
00920,2018,5.6,32.2,15060.0
00921,2018,10.1,44.9,13323.0
00923,2018,22.6,56.3,11039.0
00924,2018,23.5,47.7,13159.0
00925,2018,24.4,67.5,11992.0
00926,2018,9.4,29.6,23190.0
00927,2018,9.0,25.8,24936.0
00934,2018,43.3,0.0,16956.0
00936,2018,,,7132.0
00949,2018,16.5,33.9,13582.0
00950,2018,,,
00951,2018,,,
00952,2018,22.9,50.7,8660.0
00953,2018,12.2,28.9,14447.0
00956,2018,16.4,38.4,12448.0
00957,2018,14.1,36.8,13557.0
00959,2018,10.9,29.9,16146.0
00960,2018,100.0,79.3,3069.0
00961,2018,12.4,32.6,16745.0
00962,2018,28.2,52.8,10157.0
00965,2018,18.6,49.8,12174.0
00966,2018,8.9,22.1,32873.0
00968,2018,6.9,15.1,41571.0
00969,2018,8.1,17.7,28160.0
00971,2018,12.9,37.7,14381.0
00976,2018,6.8,30.9,16454.0
00979,2018,6.6,16.4,30954.0
00982,2018,17.5,36.3,13553.0
00983,2018,14.7,33.2,13801.0
00985,2018,18.9,32.7,13550.0
00987,2018,14.7,26.4,16641.0
01001,2018,3.4,9.0,35135.0
01002,2018,5.9,28.7,29499.0
01003,2018,18.4,79.3,4590.0
01005,2018,5.9,6.9,35190.0
01007,2018,4.0,5.3,42021.0
01008,2018,4.5,5.0,36847.0
01009,2018,12.4,24.9,32651.0
01010,2018,8.4,2.9,38489.0
01011,2018,4.4,10.1,30923.0
01012,2018,7.4,9.3,37325.0
01013,2018,7.3,20.5,23656.0
01020,2018,6.2,10.7,30280.0
01022,2018,8.9,23.9,24254.0
01026,2018,4.1,9.0,32310.0
01027,2018,5.5,9.0,37036.0
01028,2018,3.9,4.1,39074.0
01029,2018,7.4,14.3,36045.0
01030,2018,3.8,6.7,36883.0
01031,2018,6.3,22.6,27298.0
01032,2018,5.8,3.8,34264.0
01033,2018,3.2,3.8,42852.0
01034,2018,5.9,7.8,37270.0
01035,2018,1.9,5.8,43529.0
01036,2018,7.4,4.6,40873.0
01037,2018,2.2,10.3,36432.0
01038,2018,1.1,4.9,38827.0
01039,2018,8.1,8.3,48914.0
01040,2018,8.4,29.7,23385.0
01050,2018,2.4,8.6,32499.0
01053,2018,3.1,23.9,31903.0
01054,2018,3.4,6.0,48512.0
01056,2018,5.0,6.8,32772.0
01057,2018,5.1,5.8,38217.0
01060,2018,5.5,17.0,36203.0
01062,2018,7.0,14.1,38324.0
01063,2018,3.3,,3532.0
01066,2018,,0.0,
01068,2018,5.6,3.4,36408.0
01069,2018,4.5,7.5,32269.0
01070,2018,3.8,8.9,30898.0
01071,2018,3.4,4.1,33627.0
01072,2018,6.1,9.8,38304.0
01073,2018,4.8,3.5,46378.0
01074,2018,0.0,0.0,19979.0
01075,2018,6.2,9.5,32510.0
01077,2018,3.5,7.6,38181.0
01079,2018,0.0,6.7,33286.0
01080,2018,12.5,27.5,24455.0
01081,2018,4.0,4.8,27940.0
01082,2018,6.8,14.7,30050.0
01083,2018,3.5,4.4,28374.0
01084,2018,6.2,0.0,48133.0
01085,2018,5.4,7.2,31563.0
01086,2018,0.0,,2380.0
01088,2018,7.8,15.9,29031.0
01089,2018,6.4,11.7,31135.0
01092,2018,4.5,5.3,34723.0
01093,2018,2.1,6.7,56122.0
01094,2018,0.0,10.3,29900.0
01095,2018,1.5,2.7,48112.0
01096,2018,5.0,8.2,41671.0
01097,2018,0.0,71.2,13193.0
01098,2018,1.9,7.0,42880.0
01103,2018,8.0,51.0,22689.0
01104,2018,10.1,26.4,20132.0
01105,2018,14.8,51.6,13698.0
01106,2018,3.4,2.8,55368.0
01107,2018,21.9,46.4,14816.0
01108,2018,9.5,30.7,20693.0
01109,2018,10.6,29.2,15676.0
01118,2018,3.8,15.6,30775.0
01119,2018,7.5,21.4,23094.0
01128,2018,8.0,3.7,35170.0
01129,2018,4.4,11.1,30704.0
01151,2018,10.4,20.3,19779.0
01199,2018,,,
01201,2018,7.0,14.1,30842.0
01220,2018,6.0,12.6,30236.0
01222,2018,3.1,10.2,31715.0
01223,2018,5.5,6.4,40909.0
01224,2018,32.4,11.9,20493.0
01225,2018,10.2,4.4,35138.0
01226,2018,3.2,9.4,38626.0
01229,2018,0.0,8.6,20554.0
01230,2018,4.0,8.4,36918.0
01235,2018,4.8,6.9,37383.0
01236,2018,4.6,2.9,42085.0
01237,2018,7.1,7.4,35028.0
01238,2018,5.1,5.7,35471.0
01240,2018,5.9,4.2,51233.0
01242,2018,0.0,1.1,30883.0
01243,2018,1.7,8.6,53718.0
01244,2018,0.0,0.0,35831.0
01245,2018,1.7,9.6,57522.0
01247,2018,6.9,16.3,25850.0
01253,2018,8.4,6.3,49644.0
01254,2018,3.2,7.8,66893.0
01255,2018,4.8,5.4,36314.0
01256,2018,4.8,6.1,32142.0
01257,2018,2.6,8.0,53890.0
01258,2018,0.0,5.7,40856.0
01259,2018,2.9,8.3,60222.0
01260,2018,9.6,6.9,30861.0
01262,2018,4.0,18.1,38441.0
01264,2018,16.5,21.9,47234.0
01266,2018,3.2,6.1,43944.0
01267,2018,5.0,11.2,34865.0
01270,2018,3.2,4.9,48451.0
01301,2018,5.8,13.1,30160.0
01330,2018,3.3,9.6,42015.0
01331,2018,8.9,13.0,27847.0
01337,2018,4.9,8.2,36024.0
01338,2018,6.4,10.2,25494.0
01339,2018,5.7,10.7,31493.0
01340,2018,5.1,14.3,30308.0
01341,2018,3.7,2.2,51754.0
01342,2018,2.2,14.7,34530.0
01343,2018,0.0,8.9,36273.0
01344,2018,7.9,11.5,29002.0
01346,2018,1.8,6.4,32336.0
01347,2018,0.0,15.4,31898.0
01349,2018,10.3,4.0,27235.0
01350,2018,14.9,20.9,23018.0
01351,2018,0.6,6.4,40029.0
01354,2018,4.9,6.8,39175.0
01355,2018,5.1,5.6,36064.0
01360,2018,5.4,3.5,37542.0
01364,2018,7.3,10.4,26454.0
01366,2018,5.0,5.1,35561.0
01367,2018,1.1,16.3,26574.0
01368,2018,3.7,5.0,35724.0
01370,2018,6.9,11.3,38985.0
01373,2018,4.9,6.6,43746.0
01375,2018,2.4,12.9,37502.0
01376,2018,4.3,14.2,27775.0
01378,2018,1.5,6.0,30362.0
01379,2018,6.8,15.7,32988.0
01420,2018,9.1,16.4,26190.0
01430,2018,5.5,3.3,37771.0
01431,2018,5.0,4.6,37829.0
01432,2018,2.4,10.0,46314.0
01434,2018,6.6,25.6,19659.0
01436,2018,1.1,4.6,31615.0
01438,2018,15.0,4.9,31356.0
01440,2018,5.7,15.0,27491.0
01450,2018,4.1,4.4,54498.0
01451,2018,6.9,3.8,68615.0
01452,2018,5.3,2.9,39958.0
01453,2018,5.8,13.3,32012.0
01460,2018,4.6,4.8,52392.0
01462,2018,4.8,6.7,43112.0
01463,2018,4.2,4.2,43882.0
01464,2018,5.4,6.4,32353.0
01467,2018,0.0,0.0,51738.0
01468,2018,5.3,4.2,39850.0
01469,2018,4.3,4.7,37414.0
01473,2018,5.1,2.1,42700.0
01474,2018,4.7,4.0,52482.0
01475,2018,5.4,11.5,31098.0
01501,2018,4.9,3.5,41138.0
01503,2018,2.9,4.2,48666.0
01504,2018,5.8,3.7,37798.0
01505,2018,2.7,3.7,46857.0
01506,2018,3.6,7.5,39360.0
01507,2018,7.5,3.8,41064.0
01510,2018,4.0,7.3,34020.0
01515,2018,3.0,6.7,34737.0
01516,2018,2.5,2.9,37792.0
01518,2018,0.5,7.2,37429.0
01519,2018,3.9,3.7,47808.0
01520,2018,4.5,3.6,45766.0
01521,2018,8.9,5.4,36563.0
01522,2018,2.8,8.7,47005.0
01523,2018,4.8,3.1,35596.0
01524,2018,4.8,8.4,34491.0
01525,2018,9.1,16.8,21424.0
01527,2018,6.6,5.3,41066.0
01529,2018,3.9,6.2,38029.0
01531,2018,7.2,8.9,38908.0
01532,2018,3.2,2.1,56781.0
01534,2018,4.1,9.4,43207.0
01535,2018,5.2,6.2,33347.0
01536,2018,6.1,8.1,47821.0
01537,2018,4.1,7.0,33483.0
01540,2018,4.2,8.8,32791.0
01541,2018,2.9,5.1,61008.0
01542,2018,4.2,1.2,39537.0
01543,2018,3.0,2.1,39299.0
01545,2018,4.2,3.7,47333.0
01550,2018,8.1,19.2,26662.0
01560,2018,4.7,4.5,44313.0
01561,2018,10.4,6.5,34694.0
01562,2018,4.9,10.1,33055.0
01564,2018,3.8,3.2,48371.0
01566,2018,3.0,5.1,48136.0
01568,2018,6.0,3.5,50072.0
01569,2018,7.2,8.2,38532.0
01570,2018,7.4,8.8,30919.0
01571,2018,6.7,6.4,30831.0
01581,2018,3.1,4.2,50853.0
01583,2018,3.6,7.3,30559.0
01585,2018,4.6,4.5,36273.0
01588,2018,3.8,5.6,34008.0
01590,2018,2.3,2.4,46409.0
01602,2018,3.8,13.9,34241.0
01603,2018,8.1,22.8,23165.0
01604,2018,6.7,18.6,28104.0
01605,2018,7.5,29.3,21630.0
01606,2018,5.3,10.5,34799.0
01607,2018,5.8,14.2,25738.0
01608,2018,13.9,46.9,16892.0
01609,2018,7.2,22.4,31983.0
01610,2018,7.8,28.9,17590.0
01611,2018,3.9,5.4,37807.0
01612,2018,1.4,2.8,43782.0
01701,2018,3.7,4.1,53652.0
01702,2018,6.5,14.6,30787.0
01718,2018,11.5,8.5,50641.0
01719,2018,6.3,5.4,55571.0
01720,2018,3.5,3.4,62794.0
01721,2018,2.8,3.7,52652.0
01730,2018,6.3,3.3,61653.0
01731,2018,8.4,0.0,28812.0
01740,2018,3.0,1.4,56557.0
01741,2018,5.3,3.0,85227.0
01742,2018,3.3,4.8,69472.0
01745,2018,8.5,0.0,44785.0
01746,2018,3.5,1.5,57253.0
01747,2018,5.5,4.1,42756.0
01748,2018,4.4,2.3,66704.0
01749,2018,3.9,5.8,41888.0
01752,2018,4.7,6.3,40677.0
01754,2018,1.2,5.2,49298.0
01756,2018,3.4,1.0,54512.0
01757,2018,5.7,8.9,37623.0
01760,2018,3.2,2.9,57945.0
01770,2018,1.9,3.3,79952.0
01772,2018,3.6,3.9,66904.0
01773,2018,3.6,4.9,90195.0
01775,2018,2.8,3.8,60306.0
01776,2018,3.8,2.9,75699.0
01778,2018,1.2,3.0,80323.0
01801,2018,3.7,5.8,41720.0
01803,2018,4.7,3.9,48663.0
01810,2018,3.4,4.1,66268.0
01821,2018,3.8,3.7,41656.0
01824,2018,3.7,3.4,51927.0
01826,2018,4.6,7.5,37188.0
01827,2018,3.8,2.5,54832.0
01830,2018,7.3,14.2,31572.0
