COUNTYFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
01001,12,10.0,16.06,0.83
01003,32,19.0,25.9,0.59
01005,9,6.0,21.45,0.67
01007,4,0.0,40.39,0.0
01009,9,5.0,26.16,0.56
01011,3,3.0,15.99,1.0
01013,9,8.0,11.56,0.89
01015,31,29.0,12.49,0.94
01017,9,1.0,36.44,0.11
01019,6,6.0,14.1,1.0
01021,9,9.0,15.53,1.0
01023,4,3.0,23.11,0.75
01025,9,4.0,36.34,0.44
01027,4,3.0,21.45,0.75
01029,4,3.0,18.11,0.75
01031,14,11.0,18.93,0.79
01033,14,14.0,10.48,1.0
01035,5,1.0,43.92,0.2
01037,3,1.0,30.89,0.33
01039,14,13.0,12.12,0.93
01041,6,3.0,23.09,0.5
01043,18,16.0,20.15,0.89
01045,14,14.0,15.65,1.0
01047,15,14.0,14.4,0.93
01049,14,10.0,19.7,0.71
01051,15,12.0,19.68,0.8
01053,9,2.0,33.12,0.22
01055,30,30.0,9.39,1.0
01057,5,1.0,35.03,0.2
01059,9,6.0,32.21,0.67
01061,6,6.0,16.08,1.0
01063,3,3.0,18.68,1.0
01065,6,6.0,18.64,1.0
01067,6,6.0,15.63,1.0
01069,22,21.0,9.47,0.95
01071,11,8.0,22.9,0.73
01073,163,156.0,11.88,0.96
01075,3,0.0,43.26,0.0
01077,22,18.0,16.73,0.82
01079,9,9.0,15.21,1.0
01081,27,25.0,15.79,0.93
01083,16,15.0,15.38,0.94
01085,4,2.0,24.92,0.5
01087,12,12.0,12.26,1.0
01089,73,71.0,11.26,0.97
01091,6,3.0,25.22,0.5
01093,8,4.0,27.06,0.5
01095,18,16.0,17.53,0.89
01097,115,102.0,20.5,0.89
01099,7,0.0,54.28,0.0
01101,65,63.0,11.55,0.97
01103,27,23.0,15.22,0.85
01105,3,1.0,24.13,0.33
01107,5,1.0,37.96,0.2
01109,8,8.0,14.78,1.0
01111,6,0.0,42.39,0.0
01113,13,11.0,15.48,0.85
01115,13,9.0,24.92,0.69
01117,48,44.0,19.14,0.92
01119,4,1.0,27.26,0.25
01121,22,16.0,20.93,0.73
01123,10,2.0,37.88,0.2
01125,47,46.0,10.42,0.98
01127,18,15.0,19.22,0.83
01129,5,2.0,29.97,0.4
01131,4,3.0,22.13,0.75
01133,7,2.0,28.6,0.29
02013,1,1.0,0.0,1.0
02016,2,2.0,0.0,1.0
02020,55,54.0,5.52,0.98
02050,3,3.0,0.0,1.0
02060,1,1.0,28.5,1.0
02068,1,0.0,130.88,0.0
02070,2,2.0,0.0,1.0
