ZCTA,year,totPopE,whiteP,blackP,amIndP,asianP,pacIsP,otherP,hispP,noHSP,age0_4,age5_14,age15_19,age20_24,age15_44,age45_49,age50_54,age55_59,age60_64,ageOv65,ageOv18,age18_64,a15_24P,und45P,ovr65P,disbP
35004,2018,11762,84.39,13.09,0.0,0.94,0.0,1.57,0.94,5.52,787,1950,457,746,4552,662,541,776,832,1662,8820,7158,10.23,61.97,14.13,12.7
35005,2018,7528,55.22,42.44,0.64,0.0,0.15,1.55,1.37,17.48,511,1055,455,277,2429,580,469,560,552,1372,5691,4319,9.72,53.07,18.23,23.2
35006,2018,2927,96.04,3.21,0.27,0.0,0.0,0.48,0.0,14.44,161,413,141,203,878,129,193,316,278,559,2308,1749,11.75,49.61,19.1,20.9
35007,2018,26328,73.83,13.75,0.04,1.33,0.02,11.01,11.11,12.41,1891,4161,1619,1400,9947,1993,2067,1713,1315,3241,19178,15937,11.47,60.77,12.31,13.5
35010,2018,20625,63.07,32.43,0.39,0.65,0.0,3.45,4.1,22.0,1013,2647,1383,1087,7036,1418,1545,1510,1341,4115,16142,12027,11.98,51.86,19.95,19.6
35013,2018,40,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,0,0,13,8,19,0,0,0,40,40,0.0,32.5,0.0,0.0
35014,2018,4780,55.42,43.6,0.06,0.17,0.0,0.75,0.4,20.96,120,502,323,147,1762,447,468,281,295,905,3889,2984,9.83,49.87,18.93,18.0
35016,2018,16112,96.51,0.41,0.52,1.16,0.12,1.28,1.69,11.86,986,1718,1061,1017,5742,946,1040,1209,1135,3336,12655,9319,12.9,52.42,20.71,17.4
35019,2018,1991,98.79,0.0,0.0,0.0,0.0,1.21,3.26,15.1,127,241,142,77,651,155,96,174,183,364,1579,1215,11.0,51.18,18.28,16.5
35020,2018,26345,18.35,73.7,0.39,0.06,0.03,7.46,6.02,18.66,1706,3292,1917,1742,10488,1441,1695,1785,1684,4254,20248,15994,13.89,58.78,16.15,27.5
35022,2018,20271,54.39,40.18,0.1,2.01,0.0,3.32,2.68,8.75,1098,2184,976,1490,7833,894,1879,1374,1407,3602,16354,12752,12.17,54.83,17.77,18.1
35023,2018,24293,66.65,30.79,0.19,0.29,0.04,2.03,1.53,13.75,1940,2718,1352,1769,9050,1876,1497,1663,1566,3983,18835,14852,12.85,56.43,16.4,19.5
35031,2018,8060,96.74,0.25,0.0,0.32,0.0,2.69,9.67,24.73,430,1116,492,596,2804,711,772,487,467,1273,6210,4937,13.5,53.97,15.79,17.3
35032,2018,44,70.45,20.45,0.0,0.0,0.0,9.09,0.0,11.43,0,9,0,0,0,4,10,5,2,14,35,21,0.0,20.45,31.82,20.5
35033,2018,3107,95.75,0.9,0.19,0.71,0.0,2.45,1.26,20.46,16,508,266,191,1161,267,158,313,198,486,2361,1875,14.71,54.23,15.64,17.4
35034,2018,6030,39.42,59.3,0.13,0.0,0.0,1.14,3.68,28.71,529,528,514,505,2967,562,379,234,206,625,4700,4075,16.9,66.73,10.36,16.8
35035,2018,1179,82.02,17.98,0.0,0.0,0.0,0.0,0.0,4.46,16,67,67,87,354,141,139,219,83,160,1049,889,13.06,37.07,13.57,21.5
35036,2018,367,29.97,69.21,0.0,0.82,0.0,0.0,0.0,33.33,24,129,48,7,133,0,23,20,10,28,176,148,14.99,77.93,7.63,28.6
35040,2018,17141,69.47,25.35,0.0,0.92,0.0,4.26,3.68,8.29,1536,2461,1215,639,7851,1239,850,920,640,1644,12290,10646,10.82,69.12,9.59,10.8
