"STATEFP","cntT","cntTimeDrive","avTimeDrive","pctTimeDrive"
"01",1181,987,17.56,0.84
"02",168,144,48.22,0.86
"04",1533,1430,10.1,0.93
"05",686,593,14.18,0.86
"06",8058,7779,8.3,0.97
"08",1249,1180,10.42,0.94
"09",833,832,6.83,1
"10",218,212,9.48,0.97
"11",179,179,9.24,1
"12",4245,4016,11.6,0.95
"13",1969,1760,14.88,0.89
"15",350,305,11.84,0.87
"16",298,244,15.4,0.82
"17",3123,2941,9.33,0.94
"18",1511,1466,10.17,0.97
"19",825,676,15.7,0.82
"20",770,659,14.25,0.86
"21",1115,1051,12.13,0.94
"22",1148,1017,13.29,0.89
"23",358,296,20.09,0.83
"24",1406,1380,8.43,0.98
"25",1478,1461,6.78,0.99
"26",2813,2544,12.68,0.9
"27",1338,1151,13.83,0.86
"28",664,567,15.18,0.85
"29",1393,1185,14.65,0.85
"30",271,184,28.61,0.68
"31",532,462,12.45,0.87
"32",687,649,10.92,0.94
"33",295,266,14.8,0.9
"34",2010,1993,6.82,0.99
"35",499,401,18.6,0.8
"36",4931,4753,7.32,0.96
"37",2195,1988,14.39,0.91
"38",205,99,39.35,0.48
"39",2952,2900,8.39,0.98
"40",1046,928,13.16,0.89
"41",834,737,13.93,0.88
"42",3218,3072,9.43,0.95
"44",244,241,7.95,0.99
"45",1103,1001,15.65,0.91
"46",225,140,29.9,0.62
"47",1497,1390,12.88,0.93
"48",5265,4690,14.47,0.89
"49",588,561,7.86,0.95
"50",184,147,18.05,0.8
"51",1908,1783,11.63,0.93
"53",1458,1342,11.42,0.92
"54",484,412,15.27,0.85
"55",1409,1317,10.15,0.93
"56",132,111,13.71,0.84
"60",18,0,NA,0
"66",57,0,NA,0
"69",23,0,NA,0
"72",908,0,NA,0
"78",31,0,NA,0
