STATEFP,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
01,2244462,82.88,17.12,13.29,26.54,31.45,44.32
02,315386,80.37,19.63,4.71,21.31,36.02,0.55
04,2970935,84.97,15.03,10.47,16.73,36.38,26.15
05,1362040,84.59,15.41,12.27,21.68,34.35,26.18
06,14084824,92.05,7.95,3.69,23.14,45.35,90.41
08,2352202,89.85,10.15,4.13,17.91,35.12,22.7
09,1512305,90.42,9.58,0.78,29.97,33.66,312.29
10,428251,83.54,16.46,8.26,25.16,28.92,219.81
11,311545,90.3,9.7,0.07,21.43,58.21,5095.99
12,9348689,81.53,18.47,8.96,19.62,34.99,174.26
13,4241003,87.47,12.53,9.04,21.2,36.92,73.48
15,539053,84.74,15.26,0.2,32.17,41.69,83.93
16,711731,86.88,13.12,8.33,18.47,30.73,8.61
17,5347268,90.33,9.67,2.46,26.47,33.97,96.32
18,2870670,88.96,11.04,4.85,24.92,31.05,80.13
19,1386722,90.63,9.37,3.73,24.69,28.86,24.83
20,1266378,88.8,11.2,4.42,22.38,33.68,15.49
21,1974406,87.55,12.45,12.0,25.59,33.03,50.0
22,2045554,84.87,15.13,13.12,26.13,34.73,47.35
23,739077,75.36,24.64,8.3,30.39,27.8,23.96
24,2437740,89.94,10.06,1.42,26.36,33.23,251.03
25,2882739,90.26,9.74,0.82,29.79,37.7,369.52
26,4580939,85.34,14.66,5.28,28.54,28.97,80.93
27,2420473,89.56,10.44,3.34,26.08,28.44,30.4
28,1316108,84.0,16.0,15.2,28.0,31.8,28.05
29,2775635,86.33,13.67,6.21,23.81,33.15,40.38
30,505685,83.7,16.3,10.94,23.65,32.3,3.47
31,830749,90.77,9.23,3.42,22.66,33.88,10.81
32,1235096,87.11,12.89,5.32,12.76,44.19,11.25
33,630955,83.7,16.3,5.63,28.72,29.03,70.47
34,3605401,89.13,10.87,0.95,28.76,36.07,490.24
35,932818,83.15,16.85,16.96,26.7,32.41,7.69
36,8287087,88.29,11.71,2.33,31.52,46.1,175.86
37,4573066,85.69,14.31,13.02,23.31,34.96,94.06
38,367684,85.65,14.35,7.28,21.62,37.33,5.33
39,5188270,89.7,10.3,3.77,27.45,34.01,126.97
40,1723230,85.57,14.43,9.42,20.8,34.42,25.12
41,1750539,90.93,9.07,8.06,19.82,38.09,18.24
42,5673599,88.57,11.43,3.95,32.03,31.0,126.8
44,467412,87.91,12.09,0.97,29.29,39.75,452.09
45,2256951,83.95,16.05,16.45,24.86,31.11,75.07
46,387637,88.11,11.89,8.7,23.12,31.89,5.11
47,2930530,87.6,12.4,9.32,24.05,33.73,71.07
48,10769900,88.7,11.3,7.22,19.28,38.05,41.22
49,1066131,89.82,10.18,3.47,19.26,30.14,12.97
50,333013,77.95,22.05,6.87,31.35,29.28,36.13
51,3491091,89.61,10.39,5.16,23.79,33.8,88.42
53,3064381,91.39,8.61,6.39,19.99,37.28,46.11
54,890715,82.48,17.52,15.08,33.22,27.06,37.05
55,2681232,87.39,12.61,3.47,26.32,33.08,49.5
56,274985,83.87,16.13,13.61,20.47,30.57,2.83
