"","GEOID","totPop","age18_64","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","agOver65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","NoHSP"
"21",48087,3573,1774,235,555,234,176,1263,168,131,188,185,848,11.47,57.46,23.73,83.32,6.44,15.7,0.9,0.08,9.26,0,37.98
"22",48451,98458,59307,7643,15098,7937,8629,46316,4778,4108,4034,3948,12533,16.83,70.14,12.73,80.78,4.2,25.9,0.38,0.97,13.67,0,29.03
"23",48083,9710,4885,645,1325,572,427,3248,469,481,483,562,2497,10.29,53.74,25.72,92.64,2.53,11.73,0.3,0.05,4.48,0,40.98
"24",48039,191707,120514,15565,32152,14014,12691,94829,11010,8648,7644,6911,14948,13.93,74.36,7.8,80.79,8.34,17.63,0.42,1,9.45,0,24.54
"25",48289,12665,6882,871,1893,825,617,4674,635,605,650,829,2508,11.39,58.73,19.8,84.72,12.75,4.02,0.31,0.06,2.16,0,32.56
"26",48131,12918,6998,1123,2362,1209,825,5408,636,563,543,591,1692,15.75,68.84,13.1,78.83,0.09,87.22,0.09,0.13,20.85,0,52.09
"27",48279,15072,7873,1121,2712,1052,829,5610,728,734,756,726,2685,12.48,62.65,17.81,86.49,5.45,36.55,0.58,0.15,7.32,0,43.28
"28",48343,13200,7344,890,2130,933,642,5202,673,658,716,698,2233,11.93,62.29,16.92,74.02,24.45,1.81,0.53,0.11,0.89,0,31.44
"29",48423,151360,90223.28,11131.89,22687.94,11487.8,10454.45,67949.91,8214.72,6966.35,6733.21,6836.22,20839.77,14.5,67.24,13.77,75.13,20.87,5.94,0.34,0.4,3.26,0,24.27
"30",48239,13039,7126,914,2157,958,618,5090,697,637,652,655,2237,12.09,62.59,17.16,83.27,9.34,21.26,0.31,0.09,6.99,0,43.41
"31",48325,27312,15377,2126,4658,2163,1591,11434,1449,1217,1306,1290,3832,13.74,66.7,14.03,86.44,0.34,44.43,0.44,0.21,12.58,0,38.27
"32",48483,5879,3031,350,965,374,228,2058,332,297,301,295,1281,10.24,57.37,21.79,92.26,2.62,6.43,0.71,0.39,4.01,0,34.79
"33",48111,5461,3006,458,950,377,268,2210,270,260,240,278,795,11.81,66.25,14.56,84.23,2.05,21.08,0.79,0.26,12.67,0,33.98
"34",48059,11859,6559,787,1990,745,511,4495,640,633,650,622,2042,10.59,61.32,17.22,96.82,0.02,4.12,0.37,0.34,2.45,0,31.32
"35",48277,43949,24849,3140,6400,3284,2972,18143,2545,2087,2027,1946,7661,14.23,62.99,17.43,83.77,14.56,1.08,0.92,0.34,0.42,0,32.71
"36",48099,64213,43687,5413,9282,5928,10777,38853,2367,1779,1548,1385,3586,26.01,83.39,5.58,70.2,21.17,9.72,0.72,2.06,5.86,0,19.66
"37",48165,14123,7687,1412,2976,1138,912,6034,664,624,585,533,1295,14.52,73.79,9.17,73.48,2.36,32.63,0.27,0.1,23.78,0,46.78
"38",48259,14589,8410,1025,2128,1053,716,5931,1010,772,697,677,2349,12.13,62.27,16.1,93.78,0.4,16.4,0.49,0.19,5.15,0,19.77
"39",48347,54753,35599,3515,7183,5713,8865,29104,2486,1975,1981,2039,6470,26.63,72.69,11.82,79.94,16.47,5.09,0.26,0.54,2.78,0,30.34
"40",48331,22946,12175,1632,3770,1697,1168,8786,1216,1037,1105,1104,4296,12.49,61.83,18.72,81.07,12.81,15.06,0.3,0.15,5.67,0,39.03
"41",48209,65614,44414,4373,9058,7329,10438,37780,3125,2289,1950,1829,5210,27.08,78.05,7.94,84.37,3.38,27.81,0.35,0.59,11.3,0,23.1
"42",48489,17705,9255,1571,3734,1762,1163,7480,807,656,733,748,1976,16.52,72.21,11.16,78.06,0.45,84.37,0.16,0.07,21.26,0,57.14
"43",34017,553099,360215,36844,65108,35607,46249,274273,29503,26633,24868,25469,70401,14.8,68.02,12.73,68.81,14.42,33.17,0.26,6.61,9.89,0,35.94
"44",34011,138053,83447,10125,19831,10140,9899,62959,7767,6415,6030,6269,18657,14.52,67.3,13.51,73.5,16.89,13.29,0.95,0.8,7.86,0,36.6
"45",23019,146601,94030,9601,19997,12368,13288,72341,8053,6727,6561,6361,16960,17.5,69.53,11.57,98.01,0.37,0.48,0.87,0.61,0.15,0,20.91
"46",50009,6405,3784,442,981,427,292,2659,426,302,364,316,915,11.23,63.73,14.29,99.23,0.2,0.47,0.28,0.14,0.14,0,32.04
"47",50011,39980,23895,3349,6598,2878,2476,18838,2174,1629,1549,1534,4309,13.39,72,10.78,98.05,0.15,0.34,1.46,0.24,0.11,0,25.2
"48",56001,30797,21840,1934,3696,3289,5602,18595,1387,1082,899,846,2358,28.87,78.66,7.66,93.61,0.82,6.46,0.76,2.06,2.75,0,10.69
"49",56015,12373,6876,844,2042,982,649,5082,703,571,534,599,1998,13.18,64.4,16.15,94.96,0.2,8.71,0.8,0.12,3.91,0,23.51
"50",56045,6518,3755,425,1216,434,277,2753,367,344,296,289,828,10.91,67.41,12.7,98.04,0.05,1.27,1.21,0.17,0.54,0,16.81
"51",56017,4809,2654,249,771,341,155,1837,284,264,236,268,900,10.31,59.41,18.71,96.9,0.29,1.39,2.14,0.04,0.62,0,23.92
"52",56039,11172,7740,881,1477,552,651,6098,722,485,441,345,723,10.77,75.69,6.47,98.36,0.15,1.41,0.85,0.42,0.21,0,8.12
"53",56003,10525,5511,797,1840,803,435,3879,578,549,509,536,1837,11.76,61.91,17.45,97,0.02,5.24,0.55,0.23,2.2,0,22.94
"54",56027,2499,1418,156,337,162,98,969,149,133,147,130,478,10.4,58.5,19.13,98,0.32,1.44,0.8,0.12,0.76,0,24.26
"55",56033,23562,13731,1456,3750,1762,1004,10102,1438,1108,1034,1147,3527,11.74,64.97,14.97,98.02,0.15,1.88,0.89,0.42,0.52,0,18.36
"56",56043,8388,4708,587,1475,667,346,3472,506,400,367,416,1165,12.08,65.98,13.89,93.75,0.17,9.55,0.7,0.49,4.89,0,21.17
"57",56005,29370,17800,2642,6306,2248,1446,15241,1477,1107,857,646,1094,12.58,82.36,3.72,97.56,0.13,3,1.1,0.3,0.92,0,13.51
"58",56025,61226,36916,4669,10461,4472,3354,28060,3281,2861,2587,2851,6456,12.78,70.54,10.54,96.89,0.75,3.68,0.66,0.43,1.27,0,14.75
"59",50005,27846,16504,2089,4319,2189,1822,12638,1559,1181,1147,1251,3662,14.4,68.4,13.15,99.14,0.19,0.32,0.36,0.23,0.07,0,22.59
"60",56031,8145,4519,586,1360,577,339,3227,497,451,363,385,1276,11.25,63.51,15.67,98.92,0.06,4.96,0.29,0.07,0.65,0,20.32
"61",56009,11128,6462,891,2179,889,480,5024,603,541,436,459,995,12.3,72.74,8.94,96.3,0.13,5.08,0.91,0.3,2.36,0,16.63
"62",56011,5294,2952,428,1025,362,197,2134,317,265,244,238,643,10.56,67.76,12.15,99.32,0.02,0.49,0.51,0.06,0.09,0,20.32
"63",50001,32953,20924,2466,4753,2956,2976,16711,1898,1284,1188,1225,3428,18,72.62,10.4,98.64,0.4,0.63,0.23,0.57,0.15,0,18.05
"64",56019,6145,3426,409,938,454,243,2431,375,325,289,305,1073,11.34,61.48,17.46,98.57,0.02,1.27,0.99,0.11,0.31,0,20.18
"65",56021,73142,45214,5884,11376,5186,5179,34936,4154,3340,3015,2884,7553,14.17,71.36,10.33,90.62,3.03,9.99,0.72,1.01,4.61,0,15.83
"66",50021,62142,38599,4355,8307,4406,4570,29068,3638,2805,2689,2730,8550,14.44,67.15,13.76,99.19,0.24,0.44,0.11,0.33,0.13,0,20.55
"67",50025,41588,25566,3050,5997,2572,2545,19421,2513,1796,1688,1731,5392,12.3,68.45,12.97,98.61,0.38,0.73,0.18,0.6,0.23,0,18.33
