"ZCTA","minDisHosp","timeDrive","countDrive"
1880,3.94,8.27,44
1886,7.49,17.58,12
1887,5.66,9.42,33
1890,1.54,0,47
1901,1.22,5.06,41
1902,1.17,4.52,41
1904,1.08,0,33
1905,1.42,4.65,41
1906,3.29,6.87,44
1907,3.31,6.86,31
1908,4.42,12.35,27
1913,0.89,0,13
1915,0.97,0,11
1921,2.29,16.96,13
1922,5.49,12.72,10
1923,3.46,8.19,17
1929,6.72,11.49,6
1930,0.63,0,6
1937,5.25,12.6,18
1938,11.46,20.93,8
1940,5.04,12.53,36
1944,7.34,10.84,8
1945,3.19,8.31,20
1949,7.95,14.04,19
1950,0.29,0,8
1951,4.46,6.95,5
1952,3.65,10.87,9
1960,1.82,0,20
1966,4.87,9,3
1969,8.31,13.16,11
1970,0.25,0,27
1982,6.02,11.29,10
1983,7.96,13.2,17
1984,3.48,8.75,10
1985,5.7,12.94,9
2019,6.4,10.53,14
2021,0.12,0,43
2025,10.9,20.12,2
2026,2.2,0,51
2030,5,11.02,32
2032,3.31,5.25,29
2035,1.22,0,24
2038,9.21,17.37,8
2043,6.11,12.64,8
2045,11.26,21.3,2
2047,6.33,22.42,2
2048,3.51,8.35,15
2050,3.8,21.27,2
2052,5.95,12.35,20
2053,7.11,14.09,9
2054,10.19,18.68,12
2056,8.7,12.39,13
2061,6.95,14.4,8
2062,0.57,0,42
2066,9.69,26.26,2
2067,6.65,11.25,19
2071,5.35,9.54,14
2072,2.22,0,32
2081,5.58,8.39,24
2090,1.58,0,42
2093,7.9,13.4,13
2108,0.52,2.38,53
2109,0.93,6.36,52
2110,1.1,3.11,51
2111,0.34,1.92,53
2113,0.78,3.78,51
2114,0.07,0,50
2115,0.74,0,52
2116,0.81,0,51
2118,0.11,0,53
2119,1.28,3.77,52
2120,0.8,0,53
2121,1.25,5.27,53
2122,3.05,3.53,54
2124,0.86,0,51
2125,2.16,5.92,52
2126,1.99,4.52,52
2127,2.2,5.66,53
2128,2.32,5.5,52
2129,0.88,0,50
2130,0.59,0,50
2131,1.19,0,51
2132,0.88,0,50
2134,0.87,4.03,53
2135,0.38,0,51
2136,3.44,6.16,51
2138,0.56,0,48
2139,1.12,0,50
2140,1.68,4.5,48
2141,1.09,4.14,51
2142,0.83,4.44,50
2143,0.82,0,49
2144,1.33,4.94,49
2145,1.38,4.62,52
2148,2.35,3.8,51
2149,1.08,0,52
2150,1.34,5.16,51
2151,2.63,6.12,48
2152,4.95,11.8,44
2155,0.3,0,51
2163,1.18,4.89,51
2169,4.74,6.26,47
2170,3.56,9.18,51
2171,3,8.14,51
2176,0.48,0,48
2180,1.92,5.96,52
2184,1.25,0,36
2186,1.06,0,49
2188,3,6.44,39
2189,3.43,8.39,31
2190,0.9,0,35
2191,6.38,11.68,31
2199,1.26,7.34,48
2203,0.56,2.5,52
2210,1.74,10.85,44
2215,0.79,0,53
2301,1.61,0,20
2302,0.5,0,16
