"ZCTA","minDisHosp","timeDrive","countDrive"
37714,15.19,24.81,1
37716,8.34,19.7,7
37719,12.75,17.46,1
37721,14.52,22.8,4
37722,13.9,16.99,1
37723,13.96,25.95,1
37724,5.76,15.99,3
37725,12.44,18.43,2
37727,13.74,25.65,1
37729,8.15,25.04,1
37730,10.81,27.54,1
37731,12.32,25.72,2
37732,16.48,18.08,1
37733,17.4,27.91,1
37737,11.14,20.5,7
37738,16.37,27.9,1
37743,7.38,0,2
37745,8.97,0,2
37748,5.93,0,1
37752,10.28,15.92,3
37753,13.31,27.98,1
37754,7.08,24.18,6
37755,7.9,9.32,1
37756,18.41,29.75,1
37757,7.8,22.62,1
37760,3.78,0,3
37762,0.34,0,1
37763,7.15,29.7,1
37764,11.34,15.32,6
37765,10.91,20.39,1
37766,1.91,0,1
37771,3.43,15.87,3
37772,4.75,0,3
37774,9.95,22.67,3
37777,4.21,0,11
37801,11.66,20.45,5
37803,8.36,18.45,5
37804,5.46,0,5
37806,14.63,22.66,7
37809,13.09,27.02,1
37811,13.54,23.36,4
37813,4.22,9.83,4
37814,2.63,0,3
37818,9.11,16.42,2
37819,6.01,10.92,1
37820,3.75,13.73,3
37821,1.35,0,1
37825,8.95,13.75,1
37826,9.39,17.87,2
37829,11.18,29.29,1
37830,6,0,4
37840,9.5,9.41,4
37841,4.49,0,1
37843,9.79,13.03,2
37845,14.68,25.03,1
37846,6.94,18.16,1
37847,12.22,29.68,1
37849,3.17,0,9
37851,11.66,29.86,1
37852,16,24.2,1
37853,7.51,12.75,10
37854,11.18,19.56,1
37857,5.27,0,1
37860,9.01,15.26,3
37861,12,29.09,1
37862,8.52,0,3
37863,6.25,7.24,1
37865,14.24,10.66,10
37869,2.22,0,1
37871,12.1,26.35,5
37872,22.2,29.09,1
37873,15.78,26.81,1
37874,0.51,0,2
37876,3.95,13.1,1
37877,8.6,11.29,3
37879,5.73,0,2
37881,14.35,28.31,1
37882,16.51,26.24,2
37886,10.69,24.71,1
37887,17.9,28.3,1
37890,11.29,20,4
37891,12.75,20.39,2
37892,10.82,12.46,1
37902,1.27,2.72,12
37909,5.38,10.4,12
37912,3.98,8.69,12
37914,8.89,13.68,7
37915,2.64,5.43,11
37916,0.39,0,12
37917,1.18,0,11
37918,5.98,9.31,10
37919,4.04,11.08,11
37920,6.36,0,12
37921,4.92,9.2,12
37922,4.38,10.98,12
37923,1.61,0,13
37924,9.37,15.94,7
37931,5.31,15.89,12
37932,4.12,16.95,8
37934,3.25,0,11
37938,7.28,17.8,8
38002,9.3,13.44,8
38004,11.71,18.22,1
38006,16.85,22.94,3
38007,10.07,17.28,1
38008,1.78,0,1
38011,6.19,12.78,1
38015,10.26,18.2,1
38016,3.69,8.31,17
38017,4.67,0,11
38018,3.1,8.85,21
38019,4.04,0,2
38024,1,0,1
38028,11.64,21.91,2
38029,3.07,6.28,16
38030,14.95,18.63,1
38034,15.53,19.35,1
38036,15.43,23.8,2
38037,11.65,22.19,1
38039,21.77,29.53,1
38040,14.42,16.11,2
38041,9.38,23.36,2
38042,14.01,17.76,1
38044,14.55,15.77,1
38047,9.28,15.31,2
38049,15.23,23.36,1
38052,16.51,25.95,1
38053,10.02,16.37,11
38054,8.5,17.31,11
38057,22.72,29.9,1
38058,11.8,16.9,1
38059,10.76,15.93,1
38060,19.89,27.28,1
38063,6.32,0,2
38066,12.78,21.33,1
38068,23.28,29.36,1
38070,13.33,20.96,1
38075,13.58,14.27,1
38080,14.96,25.77,1
38103,0.87,0,19
38104,1.14,0,23
38105,0.57,0,23
38106,5.6,7.96,22
38107,1.89,4.44,23
38108,4.71,8.67,23
38109,8.87,10.36,18
38111,3.75,8.96,23
38112,3.06,5.45,23
38114,4.11,6.83,23
38115,3.66,6.88,23
38116,0.71,0,21
38117,3.15,10.38,24
38118,2.64,0,24
38119,2,0,23
38120,0.43,0,22
38122,4.82,9.71,23
38125,5.5,11.79,20
38126,1.42,4.63,23
38127,7.28,9.91,21
38128,2.4,0,20
38131,3.46,7.62,22
38132,3.52,8.83,21
38133,0.67,0,18
38134,4.02,9.31,18
38135,2.95,0,18
38138,0.76,0,20
38139,3.68,7.12,14
38141,4.69,8.45,22
38152,4.71,10.12,23
38201,3.02,0,3
38220,8.67,12.85,3
38222,16.26,22.53,1
38224,14.64,24.94,1
38225,13.16,16.12,3
38229,10.86,14.26,5
38230,16.6,19.4,4
38231,7.76,14.16,3
38232,20,29,1
38233,16.63,23.63,1
38235,10.88,14.19,3
38236,11,18.21,1
38237,3.18,0,3
38240,17.9,24.44,1
38242,1.37,0,3
38251,13.16,18.75,2
38253,10.09,18.3,3
38255,8.07,13.83,2
38256,12.48,26.06,1
38257,10.8,15.6,3
38258,13.02,16.52,3
38259,18.8,24.4,2
38260,12.2,18.11,1
38261,5.18,0,3
38301,4.49,0,3
38305,6.14,0,4
38310,11.94,18.87,1
38311,17,26.14,1
38313,14.37,22.81,2
38316,14,20.44,3
38317,9.91,18.59,2
38318,11.84,22.24,2
38320,0.51,0,2
38321,16.79,27.98,1
38326,14.92,23.21,2
38327,4.79,13.95,1
38328,7.43,16.76,2
38329,7.85,13.18,2
38330,23.59,29.59,1
38333,11.23,26.69,1
38334,26.93,28.54,2
38337,14.01,28.4,1
38339,10.36,15.45,1
38340,22.44,20.16,2
38341,15.03,16.64,2
38342,11.32,26.41,2
38343,13.13,16.98,4
38344,3.99,0,2
38345,9.47,23.98,1
38347,16.6,29,1
38348,7.88,22.63,1
38351,0.92,0,2
38355,10.59,13.91,4
38356,15.88,18.26,4
38357,13.67,24.29,1
38358,0.52,0,2
38362,6.22,13.67,4
38363,4.25,0,3
38365,14.75,22.16,2
38366,14.65,17.28,3
38367,11,22.48,1
38368,13.17,19.47,1
38369,18.3,29.02,1
38372,7.76,0,1
38374,12.84,22.89,1
38375,18.9,25.27,1
38376,14.39,27.02,1
38379,15.07,28.54,1
38380,14.98,24.83,1
38381,7.93,14.18,1
38382,17.16,23.13,1
38388,12,19.92,2
38390,15.85,17.8,2
38391,13.38,24.5,3
38401,3.71,0,1
38450,12.13,24.08,1
38451,13.05,25.21,2
38454,8.81,18.48,1
38455,14.39,22.28,3
38456,10.83,19.01,1
38459,13.75,19.01,2
38460,13.37,16.67,1
38461,17.82,26.6,1
38462,22.09,27.28,1
38464,8.37,0,1
38468,8.29,25.32,1
38469,14.11,27.92,1
38472,16.14,22.12,1
38473,17.89,25.99,1
38474,13.45,21.4,1
38475,14.98,21.13,2
38478,2.23,0,1
38481,19.32,28.14,1
38482,14.8,18.5,1
38483,18.29,29.17,1
38485,1.55,0,1
38487,15.18,26.06,2
38488,12.85,27.56,1
38501,5.45,0,1
38504,15.46,22.42,1
38505,0.56,5.34,3
38506,4.83,11,3
38541,11.35,28.32,1
38542,10.46,27.37,1
38543,11.21,16.83,1
38544,11.6,26.8,1
38545,11.94,23.67,1
38547,10.47,22.19,3
38549,11.84,13.63,2
38551,1.58,0,3
38552,10.37,19.78,1
38553,20.26,19.62,2
38555,5.42,0,1
38556,2.38,0,1
38559,12.26,15.94,2
38560,6.12,16.32,1
38563,7.44,20.56,1
38565,15.27,19.13,1
38567,11.26,21.79,1
38568,9.96,13.91,2
38570,1.06,0,2
38571,9.38,10.58,1
38572,11.03,19.33,1
38573,11.7,21.05,1
38574,19.26,28.79,1
38575,9.52,17.8,2
38577,11.51,20.31,2
38578,12.61,19.36,1
38579,11.38,19.87,2
38580,9.52,15.34,1
38581,9.2,16.7,2
38582,12.46,27.94,1
38583,2.67,0,1
38587,11.81,29.81,1
38601,12.48,27.87,1
38606,2.86,0,2
38610,8.97,16.07,2
38611,10.17,18.16,5
38614,4.91,0,1
38617,13.02,23.92,2
38618,6.69,16.64,2
38619,12.15,13.18,2
38620,6.63,11.26,1
38625,13.93,21.17,1
38626,14.49,23.61,1
38629,11.95,26.48,1
38630,11.54,25.03,1
38632,14.31,16.35,6
38633,16.68,21.28,1
38635,4.77,0,1
38637,3.92,9.23,12
38639,12.23,24.54,2
38641,14.02,26.55,1
38642,12.51,26.13,1
38644,10.12,15,2
38645,6.57,17.93,1
38646,19.07,25.93,2
38650,8.19,19.93,1
38651,6.63,14.44,7
38652,2.47,0,3
38654,2.38,0,18
38655,3.34,0,2
38658,9.61,18.92,1
38659,15.42,28.75,1
38661,13.51,20.71,4
38663,4.19,0,1
38666,10.08,17.6,2
38668,3.39,0,3
38671,0.37,0,18
38672,4.37,11.32,15
38673,7.77,27.4,2
38674,11.97,28.14,1
38677,1.82,6.37,1
38680,10.2,14.36,12
38683,17.59,29.61,1
38685,16.53,26.67,1
38701,7.76,0,5
38703,6.05,0,3
38721,11.35,17.88,1
38723,14.41,21.52,3
38730,7.21,16.05,2
38732,1.45,0,2
38736,7.42,12.05,2
38737,4.14,12.15,2
38738,2.81,0,2
38740,20.7,22.23,2
38745,9.07,21.55,1
38749,7.12,12.61,2
38751,2.15,0,1
38753,10.37,14.15,1
38754,17.41,27.33,1
38756,12.46,16.07,4
38759,6.38,9.89,2
38760,5.04,15.66,3
38761,11.63,14.8,1
38762,11.59,15.28,2
38764,11.22,14.36,2
38765,13.57,25.3,1
38767,16.74,28.37,1
38768,4.35,13.33,2
38771,1.16,0,2
38772,12.48,28.54,1
38773,12.81,15.46,3
38774,18.23,20.3,2
38778,11.49,17.78,2
38781,13.7,18.17,2
38801,4.28,0,2
38804,3.74,0,3
38821,2.7,0,1
38824,12.71,22.82,2
38826,10.44,21.28,2
38827,7.26,16.34,1
38828,12.71,18.93,2
38829,2.49,0,1
38833,9.56,15.91,2
38834,1.69,0,1
38838,10.85,23.31,1
38841,9.18,13.75,2
38843,20.62,24.98,1
38846,13.49,13.8,2
38847,7.66,21.46,1
38848,14.12,29.48,1
38849,18,16.4,3
38850,13.73,29.55,1
38851,1.64,0,1
38852,3.42,0,1
38855,14.9,20.5,1
38857,7.44,7.94,2
38858,11.19,27.29,1
38859,16.8,22.61,1
38862,6.69,16.12,2
38863,2.54,0,2
38864,16.74,29.09,1
38865,10.79,20.43,2
38866,10.84,12.58,2
38868,10.64,21.64,2
38869,12.69,15.06,4
38870,12.25,26.38,1
38871,16.26,21.87,2
38873,12.43,20.05,1
38878,9.07,17.32,2
38879,4.59,13.07,2
38901,0.92,0,1
38913,18.21,26.42,2
38914,9.63,26.72,1
38915,13.99,19.07,1
38916,5.25,0,1
38917,16.16,23.37,2
38920,10.66,28.56,1
38921,6.49,0,1
38922,16.69,22.87,2
38924,18.71,29.23,1
38925,13.53,19.76,2
38929,18.3,24.14,2
38930,4.39,0,1
38940,14.94,22.46,1
38941,11.34,18.27,2
38943,8.29,18.31,1
38944,14.09,24.02,1
38945,7.1,26.23,1
38947,11.69,18.15,2
38948,13.09,22.92,3
38949,14.74,27.62,1
38951,8.74,17.28,1
38952,13.3,29.55,1
38954,8.54,19.28,1
38957,11.96,27.96,1
38961,12.52,23.7,1
38963,11.48,19.55,2
38965,2.93,0,2
38966,9.73,26.74,1
38967,2.64,0,1
39039,12.81,23.42,1
39040,18.24,26.3,1
39042,11.8,0,16
39044,7.74,14.64,2
39046,7.94,0,1
39047,12.96,13.38,14
39051,4.09,0,1
39054,9.27,10.52,1
39056,9.46,15.01,11
39059,9.93,20.84,1
39062,1.54,10.17,2
39063,9.12,19.71,1
39066,16.27,25.17,1
39067,11.11,17.98,1
39069,2.15,0,3
39071,16.39,26.08,6
39073,12.23,21.86,15
39074,2.14,0,1
39078,15.62,28.56,1
39083,4.7,0,2
39086,15.34,28.8,1
39090,5.93,0,1
39092,7.83,24.94,2
39095,3.73,0,1
39096,10.35,20.5,2
39110,7.33,17.5,12
39111,1.93,0,3
39113,9.44,18.17,1
39114,4.22,0,2
39116,9.24,24.67,2
39117,3.26,0,2
39119,10.37,13.56,4
39120,2.96,0,4
39140,15.64,27.06,1
39144,15.62,23.95,1
39145,8.68,15.66,2
39150,4.12,0,2
39152,12.86,28.29,1
39153,4.44,0,2
39154,14.38,26.45,1
39156,14.01,18.38,1
39157,3.59,9.24,12
39159,7.69,0,1
39160,12.54,25.91,1
39167,12.2,20.74,8
39169,18.06,22.12,1
39174,1.47,10.24,12
39176,15.77,21.16,1
39179,18.35,29.68,1
39180,7.43,0,2
39183,6.51,0,2
39191,10.52,20.62,2
39192,15.13,27.66,1
39193,0.87,0,15
39194,6.04,0,1
39201,2.11,4.31,15
39202,0.69,0,15
39203,1.52,5.51,15
39204,2.49,0,15
39206,2.46,9.37,11
39208,1.97,9.99,15
39209,9.24,10.25,15
39211,2.08,0,15
39212,3.95,10.33,15
39213,6.25,8.47,15
39216,0.33,0,15
39217,2.5,7.62,15
39218,6.25,13.38,15
39232,0.61,0,15
39269,1.29,4.56,15
39272,8.1,16.22,15
39301,11.39,0,8
39305,5.6,0,7
39307,5.76,0,7
39309,12.36,28.27,1
39320,14.14,24.66,2
39322,9.99,22.03,1
39323,13.98,17.43,6
39325,15.85,22.06,1
39326,14.68,26.52,1
39327,10.73,21.32,1
39328,3.11,0,1
39330,15.61,22.46,7
39332,20.19,29.6,1
39335,13.94,23.15,5
39337,9.91,21.96,1
39338,12.14,19.55,1
39339,3.59,0,2
39341,1.8,0,1
39342,2.28,10.72,7
39346,11.28,21.45,4
39350,3.55,0,3
39355,7.31,0,1
39360,14.07,25.8,2
39361,12.18,15.87,1
39363,8.18,21.24,1
39364,12.45,15.33,8
39365,2.59,0,3
39367,2.37,0,1
39401,8.17,0,4
39402,3.25,0,4
39406,0.84,9.05,4
39421,14.23,27.54,1
39422,2.58,0,2
39423,14.27,28.3,1
39426,8.34,11.69,2
39427,9.69,24.97,1
39428,1.68,0,3
39429,3.18,0,1
39437,10.24,15.17,1
39440,0.79,0,1
39443,5.06,7.47,1
39451,4.15,0,1
39452,3.49,0,1
39455,12.9,25.51,2
39459,14.09,25.47,3
39465,10.53,17.31,3
39466,2,0,6
39470,4.08,0,1
39474,1.85,0,3
39475,1.11,0,4
39476,5.25,0,1
39477,11.42,17.17,1
39479,10.48,18.87,1
39480,12.04,25.13,1
39481,9.58,24.19,1
39483,8.72,14.29,2
39501,1.37,0,6
39503,4.96,0,6
39507,5.37,6.69,7
39520,8.98,0,1
39525,5.32,18.73,2
39530,7,0,7
39531,1.99,0,7
39532,6.53,11.38,7
39534,1.59,5.27,7
39540,3.66,5.67,7
39553,8.42,18.14,3
39560,4.05,12,5
39561,11.58,24.39,2
39562,13.99,27.1,1
39563,3.96,8.14,2
39564,1.96,0,4
39565,13.61,28.32,2
39567,7.48,0,2
39571,9.47,25.26,5
39572,10.21,20.11,6
39574,13.13,14.35,4
39576,3.03,7.9,1
39577,5.64,0,1
39581,3.33,5.5,2
39601,2.1,0,3
39629,12.28,19.71,1
39630,2.91,7.66,1
39631,2.68,0,1
39635,3.69,6.48,3
39638,12.48,18.99,1
39643,13.74,17.67,2
39647,11.88,27.81,2
39648,6.31,0,3
39652,2.87,0,2
39653,1.56,0,1
39654,2.61,0,3
39657,7.22,18.1,4
39661,13.65,20.08,3
39663,5.81,14.8,2
39664,15.64,26.87,1
39666,3.28,11.41,3
39667,2.24,0,2
39669,23.89,26,1
39701,10.88,12.93,1
39702,9.12,23.37,1
39705,5.08,0,2
39730,2.45,0,1
39735,2.28,0,1
39736,12.21,19.18,4
39737,12.08,13.16,2
39739,9.76,15.62,1
39740,17.77,24.76,1
39741,14.09,23.15,1
39743,16.93,18.18,3
39744,4.91,0,1
39745,18.61,29.01,1
39746,10.57,22.78,2
39747,14.42,18.58,2
39750,14.52,21.23,1
39752,7.82,16.59,2
39755,14.56,29.94,1
39759,3.3,0,2
39760,8.05,16.1,2
39762,2.62,4.5,2
39766,9.56,25.83,1
39767,13.36,22,2
39769,11.97,25.71,2
39771,6.1,6.91,2
39772,7.92,19.15,1
39773,2.5,0,3
39776,10.13,16.57,1
39815,13.77,23.3,1
39817,4.02,11.66,3
39819,11.18,0,1
39823,3.37,0,1
39824,10.9,29.66,1
39825,12.78,23.19,2
39827,7.2,13.37,2
39828,5.19,0,2
39834,8.81,18.92,2
39836,10.48,22.94,1
39837,4.66,0,1
39840,1.82,0,1
39841,9.38,28.28,1
39842,22.37,29.3,2
39845,8.09,0,1
39846,17.65,29.99,1
39854,8.3,19.35,1
39859,6.77,15.88,3
39861,9.88,29.2,1
39867,10.31,20.03,2
39870,15.82,25.57,1
39885,15.47,21.06,2
39886,12.17,20.18,1
39897,9.94,14.58,3
40003,13.61,21.33,2
40004,6.45,0,1
40006,13.45,23.92,5
40007,13.06,28.57,1
40008,17.77,22.94,1
40009,13.72,21.57,1
40010,3.94,10.72,15
40011,13.66,20.3,3
40012,23.8,26.41,1
40013,7.81,18.89,1
40014,6.02,15.02,9
40019,14.19,19.76,3
40020,11.41,20.23,1
40022,8.56,15.38,1
40023,13.04,23.87,8
40025,4.23,12.85,20
40026,7.75,17.79,17
40031,2.34,0,8
40033,1.89,0,2
40036,12.81,28.15,1
40037,12.76,21.85,2
40041,2.46,4.05,23
40045,5.75,13.44,3
40046,16.93,27.97,1
40047,15.77,27.96,2
40048,3.98,8.25,1
40049,12.35,24.1,2
40050,13.63,23.85,3
40051,18.32,23.4,1
40055,9.67,16.09,2
40056,5.69,12.42,17
40058,14.6,25,3
40059,4.04,13.92,20
40060,12.78,19.06,1
40062,12.14,23.16,1
40063,5.58,11.13,2
40065,2.12,0,1
40067,9.13,14.9,4
40068,7.32,25.6,2
40069,13.16,14.89,2
40070,12.22,25.35,2
40071,17.2,27.6,1
40076,13.24,18.91,2
40077,7.7,21.79,2
40107,10.96,27.47,3
40108,16.8,24.89,3
40109,10.63,20.6,12
40110,11.49,28.26,1
40111,13,14.11,2
40115,14.94,26.77,1
40117,12.8,18.45,2
40118,7.57,13.05,17
40119,16.11,23.82,2
40121,2.54,0,4
40140,10.31,17.99,1
40142,18.6,24.38,3
40143,4.9,0,1
40144,4.63,9.13,1
40145,13.93,23.62,1
40146,10.78,21.38,1
40150,13.76,24.48,3
40152,13.25,20.86,2
40155,4.74,10.13,4
40160,2.75,0,4
40162,9.74,16.5,4
40165,14.27,22.54,10
40175,12.06,10.84,4
40176,15.3,28.73,1
40177,9.55,18.37,3
40178,10.22,21.16,1
40202,0.72,0,23
40203,0.96,3.62,23
40204,0.78,0,23
40205,1.98,0,23
40206,1.03,0,23
40207,2.76,0,25
40208,2.69,7.14,23
40209,2.82,4.71,23
40210,2.85,7.71,23
40211,5.2,10.56,23
40212,3.56,9.22,23
40213,3.47,10.72,23
40214,2.45,4.87,23
40215,1.25,0,23
40216,3.28,8.9,21
40217,1.01,0,23
40218,4.33,11.42,20
40219,7.15,13.44,23
40220,1.91,9.98,23
40222,1.65,5.4,25
40223,1.56,8.22,22
40228,8.79,16.75,20
40229,12.04,17.25,17
40231,2.36,10.06,23
40241,1.21,0,25
40242,0.58,0,25
40243,3.34,12.1,21
40245,7.35,13.04,20
40258,6.41,11.91,20
40272,9.19,15.76,12
40280,2.07,3.9,23
40291,9.98,16.11,17
40299,9.99,17.9,19
40310,5.76,11.59,2
40312,13.19,22.77,3
40313,4.49,12.42,1
40324,5.33,0,12
40328,16.3,22.89,2
40330,4.12,0,2
40334,13.58,19.52,1
40336,1.88,0,2
40337,12.47,13.5,1
40339,11.33,14.04,12
40342,14.85,19.18,3
40346,16.25,22.53,1
40347,9.13,15.42,14
40348,9.38,16.15,2
40351,2.79,0,1
40353,1.02,0,2
40356,13.29,16.39,12
40358,18.42,27.47,1
40359,4.93,0,1
40360,14.06,18.34,1
40361,1.53,0,14
40370,17.25,22.28,3
40371,13.99,26.34,1
40372,13.41,15.92,4
40374,12.35,20.22,1
40379,14.19,22.56,1
40383,3.85,0,11
40385,11.06,13.79,2
40390,14.87,21.29,11
40391,4.45,0,9
40402,18.11,20.75,1
40403,1.21,0,3
40404,0.38,3.62,3
40409,6.93,8.33,3
40419,13.54,16.79,3
40422,1.99,0,3
40437,12.06,25.67,3
40440,6.73,10.07,4
40442,14.74,24.18,2
40444,12.73,18.71,2
40445,10.45,17.7,2
40448,9.93,13.51,3
40456,1.29,0,3
40460,7.46,14.05,1
40461,8.47,22.52,1
40464,12.81,29.66,1
40468,14.27,14.4,3
40472,8.15,10.85,1
40475,3.46,0,6
40481,17.66,28.54,1
40484,2.59,0,2
40489,15.2,19.24,2
40502,1.01,0,14
40503,1.98,0,12
40504,0.46,0,14
40505,3.42,7.81,15
40506,0.26,4.53,13
40507,0.52,2.07,15
40508,0.67,0,15
40509,4.36,0,15
40510,4.38,11.8,12
40511,4.67,0,15
40513,5.26,8.04,12
40514,4.77,7.13,12
40515,7.23,11.25,12
40516,8,14.99,14
40517,3.47,6.2,12
40601,6.71,0,2
40604,3.18,6.46,4
40701,3.04,0,3
40729,11.44,18.18,1
40734,9.55,14.59,3
40737,7.2,15.7,2
40740,10.1,15.17,3
40741,2.09,0,4
40743,3.84,12.26,2
40744,7.05,11.91,2
40759,9.77,24.87,1
40769,12.28,17.5,2
40771,8.08,15.62,2
40801,6.33,13.64,1
40806,6.88,8.03,1
40810,12.11,23.24,1
40813,8.5,16.25,2
40815,7.15,12.27,1
40818,4.87,8.37,1
40819,10.33,20.71,1
40820,10.09,16.81,1
40823,18.26,29.49,1
40824,4.27,11.8,1
40826,5.56,27.41,1
40827,12.06,23.34,1
40828,13.03,21.26,1
40829,1.33,4.33,1
40830,4.47,14.48,1
40831,4.98,0,1
40844,9.16,14.74,1
40845,13.51,26.42,2
40847,10.23,24.74,1
40849,14.37,27.02,1
40854,4.22,9.3,1
40858,15.34,27.38,1
40865,11.59,16.9,1
40868,9.43,16.27,1
40870,15.34,18.57,1
40873,6.63,18.33,1
40874,17.83,29.87,1
40902,9.98,21.36,2
40903,5.14,9.83,2
40906,2.93,0,3
40914,14.14,24.97,1
40915,4.48,7.37,3
40921,7.25,20.64,1
40923,6.06,8.92,2
40935,11.68,14.88,2
40939,4.16,16.8,3
40941,3.73,7.4,3
40943,9.17,13.11,1
40946,12.34,19.25,1
40949,3.41,3.43,3
40953,8.66,15.96,1
40958,8.42,20.61,2
40962,2.02,0,2
40964,3.16,16.52,1
40965,2.95,0,3
40977,5.82,0,3
40982,14.32,28.36,1
40983,14.86,27.19,1
40995,7.45,18.88,1
40997,10.02,23.1,1
41001,13.65,21.51,17
41002,14.5,28.1,1
41003,15.24,24.18,1
41005,7.77,13.04,8
41008,1.48,0,1
41010,13.35,16.74,2
41011,0.85,0,29
41014,1,6.29,26
41015,6.26,8.26,22
41016,2.57,7.8,25
41017,1.4,0,26
41018,1.93,8.11,19
41030,12.69,15.49,5
41031,2.91,0,2
41033,13.31,29.47,1
41034,8.63,24.66,1
41035,7.62,16.2,1
41039,8.99,17.67,2
41040,17.14,28.35,1
41041,2.11,0,2
41042,0.63,0,18
41044,11.9,24.86,1
41048,8.53,14.4,12
41049,14.89,24.66,1
41051,7.15,14.59,18
41052,12.62,23.76,2
41055,11.61,18.92,2
41056,4.08,0,2
41059,6.96,22.35,8
41062,9.76,19.98,1
41063,15.37,24.67,6
41071,1.13,8.73,26
41073,2.22,9.84,29
41074,2.87,11.34,26
41075,1.16,0,25
41076,4.22,14.34,24
41080,6.4,23.25,6
41083,12.88,18.65,1
41085,4.47,13.75,18
41086,13.12,29.74,1
41091,9.88,9.27,6
41092,17.14,25.3,2
41093,13.42,25.44,1
41094,11.23,10.67,10
41097,2.43,0,1
41098,11.87,20.83,1
41099,2.97,12.41,24
41101,0.82,0,6
41102,7.6,8.76,3
41121,11.24,24.08,1
41124,17.93,28.03,1
41129,9.89,23.52,6
41139,2.56,2.26,2
41144,15.86,17.23,4
41166,12,28.25,2
41169,2.07,0,2
41171,18.91,28.41,1
41174,4.06,16.7,2
41175,8.7,18.96,2
41183,4.96,7.96,2
41189,17.46,20.48,2
41201,9,16,1
41204,8.89,18.87,1
41216,3.22,14.95,3
41219,11.84,23.18,1
41222,4.99,13.11,3
41224,17.98,29.82,1
41230,4.96,0,1
41231,13.87,28.67,1
41232,11.52,20.48,2
41234,5.36,7.95,2
41238,10.22,22.46,1
41240,1.31,0,3
41254,9.08,16.63,1
41255,8.6,19.21,1
41256,5.14,13.05,2
41257,10.09,21.38,1
41260,4.22,10.32,2
41262,15.16,27.14,2
41263,4.84,8.22,3
41264,14.09,14.33,2
41265,4.6,16.29,2
41268,3.05,7.16,3
41271,6.22,12.53,2
41274,3.75,10.63,4
41332,13.57,22.78,1
41339,5.72,0,1
41348,13.1,25.58,2
41352,9.67,14.66,1
41385,7.7,27.86,1
41408,12.23,24.9,1
41421,7.7,22.92,1
41425,11.42,26.18,1
41465,20.33,27.92,2
41472,3.76,0,1
41501,3.94,0,2
41503,1.24,0,2
41514,2.39,4.47,2
41517,9.56,25.57,1
41519,8.26,16.96,3
41526,3.58,9.15,1
41527,3.92,9.48,2
41531,8,13.34,2
41535,7.1,9.47,3
41537,12.68,25,1
41538,14.79,23.85,1
41543,11.26,18.12,2
41544,10.07,19.68,2
41555,12.33,18.34,2
41557,7.31,21.85,1
41558,13.01,23.44,1
41559,12.8,23.09,1
41560,7.65,15.39,1
41562,7.51,17.32,1
41564,7.62,15.26,3
41567,8.92,14.18,2
41572,14.38,26.79,1
41601,3.15,9.48,5
41602,1.42,13.2,3
41603,4.63,14.92,4
41604,8.17,18.86,1
41605,8.79,15.71,4
41606,9.45,19.62,1
41607,7.52,12.85,3
41612,9.07,18.06,1
41615,5.64,18.19,4
41616,8.74,18.56,2
41619,2.12,8.9,3
41621,4.33,7.7,5
41622,6.73,7.61,3
41630,8.13,12.74,3
41631,6.52,9.21,4
41635,7.25,18.36,4
41636,5.15,11.71,2
41640,13.81,19.73,2
41642,7.35,11.97,5
41643,5.91,13.42,3
41645,5.63,4.79,3
41647,2.62,0,3
41649,2.3,0,4
41650,9.94,22.41,1
41653,5.94,0,4
41655,4.49,15.46,3
41659,8.54,17.02,4
41660,8.53,17.8,1
41663,6.5,19.01,4
41666,4.42,14.98,3
41667,12.49,29.16,1
41669,11.1,22.25,1
41701,3.07,0,2
41712,9.88,16.65,1
41713,6.14,19.12,2
41714,9.66,9.35,2
41719,2.53,14.64,2
41722,11.16,12.47,1
41723,6.7,24.04,2
41725,14.35,28.5,1
41727,8.5,21.09,1
41729,1.24,8.81,2
41739,8.42,14.45,1
41740,13.62,24.76,1
41746,10.74,21.88,1
41749,3.64,0,2
41751,8.78,15.49,2
41754,6.78,28.07,1
41759,14.94,22.96,2
41760,12.11,20.31,2
41764,9.12,23.53,1
41773,14.45,23.54,2
41774,12.03,24.92,1
41775,6.61,21.26,1
41776,6.05,11.99,2
41804,13.18,26.34,1
41810,11.46,21.16,1
41812,12.58,28.9,1
41815,4.34,12.95,1
41824,8.89,14.35,1
41825,12.48,23.58,1
41826,9.27,13.23,1
41831,15.7,24.44,1
41832,10.57,22.42,1
41834,16.3,23.82,1
41835,13.11,26.25,1
41836,14.4,26.3,1
41837,4.77,11.05,1
41838,8.64,17.28,1
41839,10.17,23.91,2
41840,9.93,19.02,1
41845,7.56,15.75,1
41847,13.17,15.16,1
41848,9.52,17.42,1
41849,7.62,15.83,1
41855,7.01,16.29,1
41858,3.4,0,1
41859,5.51,22.65,2
41861,6.81,25.22,2
41862,9.54,25.45,1
42001,4.54,12.28,3
42003,5.51,0,2
42020,7.46,8.61,2
42025,2.6,0,3
42027,11.7,19.72,2
42028,7.84,9.71,2
42029,12.28,16.94,3
42036,11.53,20.6,2
42037,8.34,26.75,2
42038,10,22.75,1
42039,12.62,26.9,1
42040,13.38,23.17,2
42041,16.43,19.6,4
42044,10.75,23.76,1
42045,17.34,19.33,3
42047,11.36,18.27,2
42048,13.09,15.67,2
42049,7.76,11.61,2
42050,16.98,22.73,1
42051,8.32,16.18,3
42053,10.8,26.99,2
42054,12.68,26.37,2
