"STATEFP","parkArea","stateArea","cover"
"01",9179680820.45824,1999581059.64282,4.59080204635364
"02",469267250501.942,52177139591.8261,8.99373277594266
"04",49969878089.9543,19686821200.0736,2.53824005318682
"05",1893672650.59315,1836606158.22424,1.03107170914863
"06",106511422733.599,7063958715.71721,15.0781490974193
"08",51431167579.258,4209023351.96213,12.2192640141287
"09",1880342991.50628,1613697222.59812,1.16523903318049
"10",839131003.257739,1734973880.4668,0.483656274428735
"11",25548615.9791448,176787002.190356,0.144516370901721
"12",36913909439.7154,2256248804.79992,16.3607441525
"13",9891240197.60558,960219902.059944,10.3010156073479
"15",6909375004.08107,3359454869.345,2.05669528920572
"16",30419936377.8764,4908907421.47525,6.19688532824977
"17",5072662067.18857,1429030795.70105,3.54972200910482
"18",3026849802.57956,1017717909.53093,2.97415401088368
"19",3777774205.10116,1469882898.79212,2.57011916269353
"20",1428561399.54572,2028044621.99074,0.704403337113673
"21",3651406797.1935,871682842.912776,4.18891667638212
"22",6175933958.17387,1910198657.83306,3.23313700009605
"23",16442784024.7504,5294099446.27167,3.10586988242733
"24",5332753372.81129,1109326654.07243,4.80719845073073
"25",4575571459.8332,1515618383.92586,3.01894692513642
"26",26110560734.1919,1816027545.46632,14.3778439921666
"27",22287826771.8412,2505976539.91889,8.89386888376959
"28",1813837282.13936,1506882006.48696,1.20370226356874
"29",13221052702.2565,1568884481.61114,8.42704026792297
"30",57079006095.0529,6782457892.00993,8.41568160154666
"31",1127101646.67858,2151102404.61622,0.523964663076871
"32",65536653819.2356,16830294015.6574,3.89396963346368
"33",5021643472.00215,2399265023.95383,2.09299240470184
"34",9065880980.15986,958471006.101252,9.45869089669902
"35",44367288687.8329,9544849062.86279,4.6482965205241
"36",21409542505.6751,2044604411.4532,10.4712395149623
"37",12619357994.4331,1285921960.88961,9.81347109563552
"38",1929557704.80244,3445244574.99632,0.560064071737055
"39",6856822849.54742,1213045206.8047,5.65256992161822
"40",2251849571.94641,2351000912.79727,0.957825902869222
"41",76195381585.6731,6967823001.81709,10.935321055917
"42",30620732416.6237,1749164283.84814,17.5059213702092
"44",1687788910.90391,568444037.407454,2.96913820857641
"45",2143223059.33849,1752456143.59008,1.22298242222935
"46",4114642599.57451,3019857728.54518,1.36252862533254
"47",7280842804.81561,1148820223.34377,6.33766942544232
"48",6335798934.69173,2709920285.70465,2.33800195825475
"49",61627930301.6353,7575439943.37403,8.13522788937679
"50",9082890276.49801,1775172444.34175,5.11662419358139
"51",16521679060.5917,787902871.383655,20.9691824470415
"53",39296898972.4735,4486028684.17718,8.75984121793043
"54",25505874872.7906,1140159488.38264,22.3704447778368
"55",22315403117.551,2014617097.52649,11.0767466159944
"56",28684732186.6264,10994820912.756,2.60893127903036
