GEOID,TRACTCE,minDisMH
28075000300,000300,0.8
28075000600,000600,1.87
28077960100,960100,27.71
28081950301,950301,6.84
28085950600,950600,2.14
28089030202,030202,4.36
28089031000,031000,22.69
28095950502,950502,12.09
28099010500,010500,0.49
28035000200,000200,1.23
28045030100,030100,0.79
28047000100,000100,1.59
28047001700,001700,3.03
28047003800,003800,1.08
28111950101,950101,1.66
28121020206,020206,4.82
28121020212,020212,6.94
28001000300,000300,1.66
28001000800,000800,14.74
28007060200,060200,10.58
28021950200,950200,0.79
28033070324,070324,5.64
28033070412,070412,2.63
28049000301,000301,0.76
28049001900,001900,0.97
28049003800,003800,4.14
28049011002,011002,2.3
28051950200,950200,7.15
28051950400,950400,13.23
28055950100,950100,15.32
28059042900,042900,3.49
28067980000,980000,11.72
28075000200,000200,0.81
28121020704,020704,4.1
28131020202,020202,8.73
28135950100,950100,0.75
28143950100,950100,3.63
28149950200,950200,3.76
28149951102,951102,13.55
28151001000,001000,0.11
28157950200,950200,34.66
28163950400,950400,25.39
28033070522,070522,1.03
28121020301,020301,2.79
28151001600,001600,8.3
28019950100,950100,11.28
28021950100,950100,9.67
28021950300,950300,5.25
28025950400,950400,1.09
28027950400,950400,2.0
28029950200,950200,10.7
28029950500,950500,10.73
28033070210,070210,7.35
28033070310,070310,2.77
28089030106,030106,0.52
28089030400,030400,4.1
28089030800,030800,4.64
28093950500,950500,10.04
28095950600,950600,14.82
28047003900,003900,1.66
28049000500,000500,2.14
28049001100,001100,0.96
28001000700,000700,0.25
28007060600,060600,1.45
28125950200,950200,0.1
28133950100,950100,11.72
28135950400,950400,17.33
28137950301,950301,11.5
28137950400,950400,1.71
28143980000,980000,2.35
28149950300,950300,2.46
28151000100,000100,16.67
28151000400,000400,1.27
28151001200,001200,0.34
28059040204,040204,9.1
28059041500,041500,2.8
28001000100,000100,12.07
28049002500,002500,1.81
28049003500,003500,2.99
28049010301,010301,5.67
28049010600,010600,20.89
28049011001,011001,1.01
28051950100,950100,12.06
28087000200,000200,9.72
28089030104,030104,0.88
28047002300,002300,1.17
28047003204,003204,1.2
28047003700,003700,0.63
28059042500,042500,2.51
28121020213,020213,1.11
28121020701,020701,3.1
28163950300,950300,25.79
28163950600,950600,20.62
28067950401,950401,31.46
28075000400,000400,1.44
28075980000,980000,3.26
28081950302,950302,4.47
28081951002,951002,5.51
28033070812,070812,2.62
28035000300,000300,0.59
28047001202,001202,1.49
28103950100,950100,7.14
28105950300,950300,2.93
