originGEOID,minDisBup,minDisMet,minDisNalV,ZIP_CODE,rurality,time_to_nearest_naltrexone/vivitrol,count_in_range_naltrexone/vivitrol,naltrexone/vivitrol_score,count_in_range_buprenorphine,time_to_nearest_buprenorphine,buprenorphine_score,count_in_range_methadone,time_to_nearest_methadone,methadone_score,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
1001,1.87991703,2.546533636,1.852185535,1001,Urban,8,27,2.2,30,8,0.733333333,16,8,0.722222222,0.3428,0.6299,0.2154,0.7803,0.4863
1002,7.787734274,7.171225607,7.787734274,1002,Urban,18,14,0.7,14,18,0.333333333,8,18,0.4,0.4607,0.3782,0.2952,0.8111,0.5249
1003,7.704525369,7.420917434,7.704525369,1003,Urban,20,15,0.5,16,20,0.266666667,10,20,0.333333333,0.9507,7.00E-04,0.3398,0.7508,0.5022
1005,12.12502929,14.97765919,8.179491422,1005,Suburban,16,4,0.666666667,4,25,0.122222222,0,32,0,0.2816,0.2336,0.0494,0.599,0.2384
1007,7.956356174,11.19982881,7.956356174,1007,Urban,18,17,1.166666667,16,18,0.388888889,4,25,0.166666667,0.2279,0.3094,0.3374,0.6374,0.3362
1008,10.20586986,10.58045515,10.19751278,1008,Suburban,18,3,1.2,2,18,0.266666667,2,18,0.266666667,0.2867,0.1983,0.1469,0.2256,0.1434
1009,2.954343425,14.44753985,2.954343425,1009,Urban,7,18,2.3,20,7,0.766666667,2,29,0.022222222,0.172,0.7463,0.0767,0.2794,0.2081
1010,6.690508018,9.54488146,6.688786166,1010,Suburban,15,12,1.5,14,15,0.5,2,17,0.288888889,0.3071,0.4723,0.1713,0.3464,0.263
1011,14.81818881,15.91530699,8.560074722,1011,Suburban,34,0,0,0,34,0,0,34,0,0.2867,0.1983,0.1469,0.2256,0.1434
1012,8.386273606,12.13725084,5.063896674,1012,Suburban,13,4,1.2,4,18,0.322222222,4,25,0.166666667,0.4547,0.1914,0.0173,0.0404,0.0732
1013,1.319437055,1.319437055,1.319437055,1013,Urban,8,32,2.2,36,8,0.722222222,20,0,0.9,0.8086,0.6518,0.7633,0.532,0.7735
1020,1.228704853,3.056038206,1.228704853,1020,Urban,0,32,3,36,0,0.9,20,8,0.722222222,0.626,0.8592,0.6623,0.3734,0.6643
1022,2.45506986,4.325585307,2.45506986,1022,Urban,8,30,2.2,34,8,0.7,18,11,0.633333333,0.4159,0.3885,0.3244,0.406,0.3614
