"","GEOID","count_in_range_buprenorphine","time_to_nearest_buprenorphine","buprenorphine_score"
"167","01515",26,0,0.788888888888889
"168","01516",20,18,0.333333333333333
"169","01518",14,11,0.633333333333333
"170","01519",20,17,0.422222222222222
"171","01520",22,11,0.633333333333333
"172","01521",12,18,0.4
"173","01522",16,22,0.266666666666667
"174","01523",28,12,0.533333333333333
"175","01524",28,8,0.733333333333333
"176","01525",22,20,0.277777777777778
"177","01527",24,7,0.733333333333333
"178","01529",16,15,0.422222222222222
"179","01531",4,19,0.3
"180","01532",22,9,0.7
"181","01534",22,19,0.333333333333333
"182","01535",18,9,0.544444444444444
"183","01536",22,12,0.6
"184","01537",30,12,0.6
"185","01540",36,9,0.644444444444444
"186","01541",30,0,0.822222222222222
"187","01542",24,10,0.666666666666667
"188","01543",18,17,0.388888888888889
"189","01545",24,11,0.633333333333333
"190","01550",22,0,1
"191","01560",22,16,0.433333333333333
"192","01561",18,19,0.311111111111111
"193","01562",22,8,0.655555555555556
"194","01564",30,12,0.522222222222222
"195","01566",20,6,0.8
"196","01568",24,13,0.544444444444444
"197","01569",22,18,0.388888888888889
"198","01570",36,0,0.833333333333333
"199","01571",26,8,0.611111111111111
"200","01581",22,0,1
"201","01583",34,11,0.611111111111111
"202","01585",14,12,0.577777777777778
"203","01588",24,21,0.3
"204","01590",22,15,0.455555555555556
"205","01602",24,0,0.955555555555556
"206","01603",30,0,1
"207","01604",22,5,0.811111111111111
"208","01605",24,0,0.944444444444445
"209","01606",24,5,0.811111111111111
"210","01607",24,4,0.833333333333333
"211","01608",26,2,0.911111111111111
"212","01609",26,0,1
"213","01610",30,0,0.966666666666667
"214","01611",28,5,0.833333333333333
"215","01612",22,8,0.688888888888889
"216","01701",18,7,0.6
"217","01702",18,0,0.755555555555556
"218","01718",24,11,0.533333333333333
"219","01719",16,17,0.322222222222222
"220","01720",32,9,0.566666666666667
"221","01721",8,9,0.6
"222","01730",54,0,0.844444444444444
"223","01731",70,10,0.622222222222222
"224","01740",40,21,0.3
"225","01741",36,10,0.611111111111111
"226","01742",32,0,0.844444444444444
"227","01745",32,11,0.622222222222222
"228","01746",10,15,0.488888888888889
"229","01747",10,4,0.688888888888889
"230","01748",14,12,0.6
"231","01749",26,19,0.366666666666667
"232","01752",22,15,0.5
"233","01754",20,11,0.511111111111111
"234","01756",8,10,0.566666666666667
"235","01757",10,0,0.744444444444444
"236","01760",52,10,0.522222222222222
"237","01770",10,11,0.5
"238","01772",24,10,0.666666666666667
"239","01773",80,11,0.588888888888889
"240","01775",12,17,0.311111111111111
"241","01776",12,17,0.411111111111111
"242","01778",56,13,0.511111111111111
"243","01801",128,0,1
"244","01803",110,6,0.8
"245","01810",52,8,0.733333333333333
