"","GEOID","count_in_range_buprenorphine","count_in_range_methadone","count_in_range_naltrexone.vivitrol","type_count"
"1","01001",30,16,27,"3"
"2","01002",14,8,14,"3"
"3","01003",16,10,15,"3"
"4","01005",4,0,4,"2"
"5","01007",16,4,17,"3"
"6","01008",2,2,3,"3"
"7","01009",20,2,18,"3"
"8","01010",14,2,12,"3"
"9","01011",0,0,0,"0"
"10","01012",4,4,4,"3"
"11","01013",36,20,32,"3"
"12","01020",36,20,32,"3"
"13","01022",34,18,30,"3"
"14","01026",0,0,2,"1"
"15","01027",32,18,26,"3"
"16","01028",38,16,33,"3"
"17","01029",2,2,3,"3"
"18","01030",30,16,27,"3"
"19","01031",8,0,8,"2"
"20","01032",4,4,4,"3"
"21","01033",34,16,28,"3"
"22","01034",2,2,3,"3"
"23","01035",10,8,9,"3"
"24","01036",30,10,23,"3"
"25","01037",2,0,3,"2"
"26","01038",16,10,15,"3"
"27","01039",4,4,3,"3"
"28","01040",38,20,33,"3"
"29","01050",6,6,6,"3"
"30","01053",10,8,9,"3"
"31","01054",8,6,7,"3"
"32","01056",34,16,31,"3"
"33","01057",28,6,24,"3"
"34","01060",36,20,30,"3"
"35","01062",10,8,9,"3"
"36","01063",38,20,31,"3"
"37","01066",16,10,15,"3"
"38","01068",4,0,2,"2"
"39","01069",40,14,34,"3"
"40","01070",0,0,2,"1"
"41","01071",4,2,5,"3"
"42","01072",0,0,0,"0"
"43","01073",30,18,24,"3"
"44","01074",8,0,6,"2"
"45","01075",36,18,31,"3"
"46","01077",30,14,27,"3"
"47","01079",28,10,26,"3"
"48","01080",32,12,28,"3"
"49","01081",10,2,9,"3"
"50","01082",8,0,7,"2"
"51","01083",14,2,12,"3"
"52","01084",2,0,3,"2"
"53","01085",30,18,26,"3"
"54","01086",28,14,23,"3"
"55","01088",16,10,15,"3"
"56","01089",36,20,32,"3"
"57","01092",16,2,13,"3"
"58","01093",16,10,15,"3"
"59","01094",4,0,4,"2"
"60","01095",32,14,28,"3"
"61","01096",4,4,3,"3"
"62","01097",22,10,21,"3"
"63","01098",0,0,2,"1"
"64","01103",40,24,37,"3"
"65","01104",36,20,32,"3"
"66","01105",40,24,37,"3"
"67","01106",42,22,37,"3"
"68","01107",36,20,32,"3"
"69","01108",36,20,33,"3"
"70","01109",36,20,33,"3"
"71","01118",38,16,33,"3"
"72","01119",34,16,31,"3"
"73","01128",38,16,33,"3"
"74","01129",34,16,32,"3"
"75","01151",36,20,32,"3"
"76","01199",36,20,32,"3"
"77","01201",6,2,8,"3"
"78","01220",10,4,14,"3"
"79","01222",4,0,4,"2"
"80","01223",0,0,0,"0"
"81","01224",10,4,13,"3"
"82","01225",10,4,13,"3"
"83","01226",6,2,8,"3"
"84","01229",8,2,10,"3"
"85","01230",4,0,4,"2"
"86","01235",6,2,9,"3"
"87","01236",2,0,2,"2"
"88","01237",6,2,8,"3"
"89","01238",8,2,10,"3"
"90","01240",8,2,10,"3"
"91","01242",8,2,10,"3"
"92","01243",0,0,0,"0"
"93","01244",4,0,4,"2"
"94","01245",2,0,2,"2"
"95","01247",4,2,5,"3"
"96","01253",2,0,2,"2"
"97","01254",8,2,10,"3"
"98","01255",0,0,0,"0"
"99","01256",4,2,6,"3"
"100","01257",4,0,4,"2"
"101","01258",2,0,2,"2"
"102","01259",2,0,2,"2"
"103","01260",8,2,10,"3"
"104","01262",8,2,10,"3"
"105","01264",2,0,2,"2"
"106","01266",8,2,10,"3"
"107","01267",4,2,6,"3"
"108","01270",6,2,10,"3"
