ID,STATE,ADDRESS,city,zip,Longitude,Latitude,total_beds,pit_count,year_round_beds
18479,AK,165 Chief Eddie Hoffman,Bethel,99559,-161.750245100000001,  60.792852379999999,50,18,0
19103,AK,1801 Fishhook Road,Wasilla,99654,-149.420573499999989,  61.600122640000002,32,26,32
18480,AK,303 West 3rd Street,Nome,99762,-165.394603399999994,  64.497113260000006,40,31,0
19138,AK,P.O. Box 32775,Juneau,99801,-134.577095000000014,  58.392769999999999,14,0,14
19771,AK,743 East 9th Avenue,Anchorage,99508,-149.869689399999999,  61.213667330000000,64,64,64
19778,AK,804 W. 16th Avenue,Anchorage,99503,-149.898096000000010,  61.206162499999998,6,6,6
19110,AK,1521 Cushman Street,Fairbanks,99701,-147.716462000000007,  64.832844580000000,15,12,15
19116,AK,1175 Airway Circle,Wasilla,99654,-149.479389400000002,  61.581594109999997,6,6,6
851,AK, , ,99581,-164.535650000000004,  62.776719999999997,18,10,6
12483,AK,2823 East Tudor Road,Anchorage,99507,-149.828061100000014,  61.180914410000000,30,28,30
18346,AK,1521 South Cushman Street,Fairbanks,99701,-147.716462000000007,  64.832844580000000,32,23,32
18691,AK,8617 Teal Street,Juneau,99801,-134.575006699999989,  58.360474230000001,55,40,55
19054,AK,1905 E 4th Avenue,Anchorage,99501,-149.844940000000008,  61.218567510000000,50,50,50
19086,AK, , ,99835,-135.337717599999991,  57.054574299999999,1,1,1
19087,AK, , ,99835,-135.337717599999991,  57.054574299999999,1,1,1
19088,AK,253 Romans Way,Fairbanks,99701,-147.703890599999994,  64.819775100000001,10,6,10
19089,AK,300 N Willow Street,Wasilla,99654,-149.447112000000004,  61.582637949999999,19,20,19
19090,AK, , ,99611,-151.276405000000011,  60.571370000000002,1,1,1
19091,AK,609 3rd Street,Fairbanks,99701,-147.694319500000006,  64.844787990000000,16,7,16
19092,AK,628 Park Avenue,Ketchikan,99901,-131.644648899999993,  55.343296700000003,26,16,26
19093,AK,247 South Franklin Street,Juneau,99801,-134.404031699999990,  58.299344929999997,40,37,40
19094,AK,5597 Aisek Street,Juneau,99801,-134.494985100000008,  58.356577360000003,29,13,29
19095,AK,561 W. Nelson Avenue,Wasilla,99654,-149.465329599999990,  61.584431129999999,15,2,15
19096,AK,138 10th Avenue,Fairbanks,99701,-147.708062000000012,  64.839754540000001,12,7,12
19097,AK,723 27th Avenue,Fairbanks,99701,-147.717397000000005,  64.822442550000005,6,5,6
19098,AK,723 27th Avenue,Fairbanks,99701,-147.717397000000005,  64.822442550000005,14,8,14
19099,AK,723 27th Avenue,Fairbanks,99701,-147.717397000000005,  64.822442550000005,9,1,9
19100,AK,723 27th Avenue,Fairbanks,99701,-147.717397000000005,  64.822442550000005,135,69,135
19101,AK,8617 Teal Street,Juneau,99801,-134.575006699999989,  58.360474230000001,46,41,0
19102,AK,410 Thorsheim Street,Kodiak,99615,-152.406544300000007,  57.792746180000002,35,18,35
19104,AK, , ,99503,-149.907769999999999,  61.193919999999999,217,180,217
19105,AK, , ,99701,-147.718834600000008,  64.842363300000002,236,198,236
19106,AK, , ,99762,-165.410415000000000,  64.498050000000006,10,10,10
19107,AK, , ,99654,-149.443600000000004,  61.582979999999999,0,0,0
19108,AK, , ,99801,-134.577095000000014,  58.392769999999999,9,9,9
19111,AK, , ,99654,-149.443600000000004,  61.582979999999999,12,12,12
19112,AK, , ,99654,-149.443600000000004,  61.582979999999999,0,0,0
19113,AK,401 N Yenlo Street,Wasilla,99654,-149.437304899999987,  61.583341150000003,10,7,10
19114,AK, , ,99654,-149.443600000000004,  61.582979999999999,7,7,7
19127,AK,8617 Teal Street,Juneau,99801,-134.575006699999989,  58.360474230000001,4,2,4
19128,AK,1855 Mission Road,Kodiak,99615,-152.373535099999998,  57.797915300000000,15,9,15
19129,AK,1616 S. Cushman Street,Fairbanks,99701,-147.716645400000004,  64.833129270000001,3,3,3
19130,AK,1616 S. Cushman Street,Fairbanks,99701,-147.716645400000004,  64.833129270000001,10,5,10
19131,AK, , ,99654,-149.443600000000004,  61.582979999999999,0,0,0
19132,AK, , ,99603,-151.533549999999991,  59.648142399999998,3,2,3
19133,AK,398 SoHi Ln.,Soldotna,99669,-151.094354799999991,  60.495420150000001,10,7,10
19134,AK,1944 Allen Court,Juneau,99801,-134.489418599999993,  58.355040029999998,32,29,32
19135,AK,1944 Allen Court,Juneau,99801,-134.489418599999993,  58.355040029999998,4,4,4
19136,AK,717 9th Avenue,Fairbanks,99701,-147.727586199999990,  64.839567160000001,10,8,10
19137,AK,726 26th Avenue,FAIRBANKS,99701,-147.717297000000002,  64.823437530000007,8,8,8
19139,AK, , ,99701,-147.718834600000008,  64.842363300000002,7,7,7
19140,AK, , ,99701,-147.718834600000008,  64.842363300000002,22,22,22
19141,AK, , ,99645,-149.115565000000004,  61.601390000000002,2,2,2
19142,AK, , ,99654,-149.443600000000004,  61.582979999999999,0,0,0
19149,AK,10815 Black Bear Road,Juneau,99801,-134.612668600000006,  58.394414859999998,9,8,9
19152,AK, , ,99752,-162.590849999999989,  66.896084999999999,5,0,5
19153,AK, , ,99827,-135.442634999999996,  59.229920000000000,7,1,6
19154,AK, , ,99921,-133.138650000000013,  55.477420000000002,17,17,17
19155,AK, , ,99901,-131.647535000000005,  55.344414999999998,32,17,32
19156,AK, , ,99685,-166.537839999999989,  53.872295000000001,6,0,6
19157,AK, , ,99559,-161.760857200000004,  60.794273699999998,43,51,43
19158,AK, , ,99559,-161.760857200000004,  60.794273699999998,13,5,13
19159,AK, , ,99611,-151.276405000000011,  60.571370000000002,23,14,23
19160,AK, , ,99611,-151.276405000000011,  60.571370000000002,32,7,32
19161,AK, , ,99603,-151.533549999999991,  59.648142399999998,22,9,18
19162,AK, ,Sitka,99835,-135.337717599999991,  57.054574299999999,33,11,29
19163,AK, , ,99576,-158.580784800000004,  59.051524700000002,16,17,16
19164,AK, ,KODIAK,99615,-152.399949999999990,  57.792104999999999,30,6,25
19165,AK,400 Main Street,Ketchikan,99901,-131.647761599999995,  55.343306169999998,20,20,0
19166,AK, , ,99701,-147.718834600000008,  64.842363300000002,0,0,0
19167,AK, , ,99701,-147.718834600000008,  64.842363300000002,56,40,56
19198,AK,14639 Kenai Spur Highway,Kenai,99611,-151.323965200000004,  60.583156260000003,10,8,10
19200,AK, , ,99762,-165.410415000000000,  64.498050000000006,13,8,12
19202,AK, , ,99723,-156.752497900000009,  71.298989199999994,28,11,28
19208,AK, , ,99645,-149.115565000000004,  61.601390000000002,33,28,32
19214,AK, , ,99801,-134.577095000000014,  58.392769999999999,23,21,23
19216,AK, , ,99801,-134.577095000000014,  58.392769999999999,32,29,32
