STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,Total_ount,Point_Time,Year Round,TotBed,PITCt,YrBed
28,01779790,0400000US28,28,MS,Mississippi,00,121533519481.000000000000000,3926919758.000000000000000,    3101.000000000000000,    2684.000000000000000,    3091.000000000000000,    3101.000000000000000,    2684.000000000000000,    3091.000000000000000
37,01027616,0400000US37,37,NC,North Carolina,00,125923656064.000000000000000,13466071395.000000000000000,   16945.000000000000000,   14686.000000000000000,   16167.000000000000000,   16945.000000000000000,   14686.000000000000000,   16167.000000000000000
40,01102857,0400000US40,40,OK,Oklahoma,00,177662925723.000000000000000,3374587997.000000000000000,    5988.000000000000000,    4904.000000000000000,    5458.000000000000000,    5988.000000000000000,    4904.000000000000000,    5458.000000000000000
51,01779803,0400000US51,51,VA,Virginia,00,102257717110.000000000000000,8528531774.000000000000000,   14979.000000000000000,   13153.000000000000000,   13454.000000000000000,   14979.000000000000000,   13153.000000000000000,   13454.000000000000000
54,01779805,0400000US54,54,WV,West Virginia,00,62266474513.000000000000000,489028543.000000000000000,    3743.000000000000000,    2983.000000000000000,    3476.000000000000000,    3743.000000000000000,    2983.000000000000000,    3476.000000000000000
22,01629543,0400000US22,22,LA,Louisiana,00,111897594374.000000000000000,23753621895.000000000000000,    9940.000000000000000,    8936.000000000000000,    9872.000000000000000,    9940.000000000000000,    8936.000000000000000,    9872.000000000000000
26,01779789,0400000US26,26,MI,Michigan,00,146600952990.000000000000000,103885855702.000000000000000,   24088.000000000000000,   21649.000000000000000,   23017.000000000000000,   24088.000000000000000,   21649.000000000000000,   23017.000000000000000
25,00606926,0400000US25,25,MA,Massachusetts,00,20205125364.000000000000000,7129925486.000000000000000,   42177.000000000000000,   39427.000000000000000,   41181.000000000000000,   42177.000000000000000,   39427.000000000000000,   41181.000000000000000
16,01779783,0400000US16,16,ID,Idaho,00,214049787659.000000000000000,2391722557.000000000000000,    3036.000000000000000,    2408.000000000000000,    2858.000000000000000,    3036.000000000000000,    2408.000000000000000,    2858.000000000000000
12,00294478,0400000US12,12,FL,Florida,00,138949136250.000000000000000,31361101223.000000000000000,   45338.000000000000000,   39304.000000000000000,   44549.000000000000000,   45338.000000000000000,   39304.000000000000000,   44549.000000000000000
