"","GEOID","ICPSRSTI","ICPSRCTYI","ICPSRFIP","PID","X_CENTROID","Y_CENTROID","STATEA","COUNTYA","age18_64","age0_4","age5_14","age15_19","age20_24","age15_44","age55_59","age60_64","ageOv65","hispPop","amIndPop","asianPop","pacIsPop","totPop","whitePop","blackPop","NoHSPop","edSampl"
"27","480279",0,0,0,1958,-581467.518659,-364713.813083,48,279,9788,1719,3238,1816,1281,7292,859,969,2749,5673,54,16,2,18669,14131,1145,5694,10634
"28","480343",0,0,0,2205,117528.125427,-490053.562956,48,343,8285,1250,2291,1241,1219,6076,749,691,2024,247,54,12,6,14629,11247,3189,3971,8628
"29","480423",0,0,0,1606,68415.8815348,-572953.634229,48,423,75132,9878,20554,11662,11257,57065,6388,5830,16049,4037,233,341,12,128366,97135,28215,26156,75044
"30","480239",0,0,0,1941,-56461.4010329,-952999.909493,48,239,7504,1091,2114,1302,1042,5534,712,682,1847,2494,11,5,1,13352,11028,1376,4254,7802
"31","480325",0,0,0,1977,-302046.48808,-903921.45513,48,325,12540,1844,4188,2247,1534,9282,1303,1053,3112,10042,61,13,20,23164,20847,99,7285,13351
"32","480483",0,0,0,2210,-384337.297387,-226452.950076,48,483,3756,583,1029,604,491,2741,320,393,1393,298,31,41,0,7137,6711,176,2011,4430
"33","480111",0,0,0,1691,-587202.647699,-116513.606318,48,111,3551,640,1145,600,500,2768,310,264,817,1090,43,28,0,6531,5853,165,1537,3666
"34","480059",0,0,0,1668,-316007.755826,-576229.082198,48,59,5943,738,1588,918,674,4175,564,581,2121,371,21,50,0,10992,10708,4,3216,7074
"35","480277",0,0,0,1957,39495.7817847,-428928.413448,48,277,22966,2871,6929,3698,3157,16860,2187,2223,7115,379,215,85,8,42156,35386,6291,11938,25474
"36","480099",0,0,0,1686,-170478.401352,-681222.725633,48,99,38010,4867,8149,7898,12141,35366,1115,1014,3137,4663,342,1045,216,56767,41230,10774,6607,23744
"37","480165",0,0,0,1714,-617719.657491,-510836.790169,48,165,7166,1331,2570,1383,1079,5726,537,476,1193,4028,30,16,1,13150,11427,357,3337,6793
"38","480259",0,0,0,1949,-261488.765558,-839820.138998,48,259,5964,644,1688,977,579,4212,621,597,1702,1406,26,20,0,10635,9954,24,2365,6747
"39","480347",0,0,0,1573,130812.611632,-656826.37788,48,347,29903,3205,6090,5523,7825,24497,1825,1835,5635,1320,85,178,7,46786,37976,8024,10169,24176
"40","480331",0,0,0,1566,-93265.240513,-749602.724766,48,331,11901,1780,3629,1961,1532,8494,1212,1194,4158,2390,28,23,2,22732,18146,3061,7573,13880
"41","480209",0,0,0,1732,-195601.705601,-828868.802915,48,209,27333,2431,5455,6555,8313,24063,1420,1170,3290,12386,80,111,12,40594,34108,1102,6758,17839
"42","480489",0,0,0,1634,-168158.432926,-1225857.55773,48,489,8984,1804,3752,1885,1378,7123,796,621,1768,14049,15,6,1,17495,11778,92,5760,8676
"43","340017",0,0,0,2420,1819745.27829,574099.974585,34,17,342217,37306,78763,48168,49889,246956,33093,29422,69932,145163,568,15153,60,556972,425291,70050,166251,343115
"44","340011",0,0,0,2418,1768840.78917,405111.478666,34,11,76919,9573,22780,12603,10448,57798,7143,6284,15516,12525,745,822,28,132866,103712,19868,36231,77571
"45","230019",0,0,0,102,2111432.15309,1189014.73752,23,19,84792,9309,20980,15171,15696,67313,6295,5314,14158,414,1034,343,18,137015,135004,278,21322,75859
"46","500009",0,0,0,2196,1897553.51816,1052171.73,50,9,3592,525,1020,572,474,2690,335,313,782,19,7,11,0,6313,6271,5,1627,3722
"47","500011",0,0,0,1440,1803998.92034,1043289.53019,50,11,19613,2918,6252,3236,2683,15342,1615,1430,3917,97,422,33,1,34788,34197,45,8034,19699
"48","560001",0,0,0,2567,-802568.825627,506293.686969,56,1,20425,1997,3501,3523,6080,17855,906,822,2005,1870,155,276,4,29062,27499,294,2135,13929
"49","560015",0,0,0,2821,-685457.379217,543958.607457,56,15,6826,959,1810,1158,962,5116,605,594,1771,897,39,11,3,12040,11394,2,2155,7151
"50","560045",0,0,0,2586,-685380.56505,740621.036192,56,45,4187,716,1167,625,654,3255,340,273,657,78,73,20,1,7106,6979,5,1077,3944
"51","560017",0,0,0,3052,-995492.540334,761463.063634,56,17,3189,472,836,471,454,2367,295,278,930,87,111,7,0,5710,5564,13,1034,3477
"52","560039",0,0,0,2584,-1162543.4228,809317.21616,56,39,6603,597,1248,661,1153,5693,307,235,486,132,38,22,2,9355,9237,3,545,5696
"53","560003",0,0,0,2568,-948593.077592,846144.166184,56,3,6341,1145,2077,1052,854,4845,552,567,1652,455,65,25,0,11896,11668,0,1989,6803
"54","560027",0,0,0,2578,-685802.750251,652730.875474,56,27,1631,217,429,218,217,1118,161,157,506,27,9,1,0,2924,2905,1,543,1843
"55","560033",0,0,0,2581,-857449.671522,864772.53376,56,33,14809,2145,3821,2047,2106,11539,1175,1142,2984,472,204,81,7,25048,24540,31,3547,14943
"56","560043",0,0,0,2822,-932518.158002,774325.111712,56,43,5406,928,1618,940,760,4339,424,377,922,810,48,34,0,9496,8825,7,1301,5263
"57","560005",0,0,0,2569,-759078.271901,792966.56399,56,5,15271,2840,4362,2124,3289,13774,582,377,693,625,235,54,1,24367,23789,10,2327,11715
"58","560025",0,0,0,2577,-874257.617468,661319.141835,56,25,45807,6563,11335,6530,7866,37003,3201,2215,4546,2550,457,236,22,71856,69394,511,6923,39579
"59","500005",0,0,0,1438,1876842.82897,1016526.18564,50,5,14971,1982,4131,2483,2152,11566,1277,1148,3252,102,16,26,0,25808,25716,25,4780,15060
"60","560031",0,0,0,2580,-735097.77184,553588.836345,56,31,7182,1125,1962,960,1081,5769,548,421,1082,573,48,18,0,11975,11716,10,1824,6883
"61","560009",0,0,0,2571,-769988.201635,651239.820271,56,9,8301,1594,2647,1256,1507,7222,402,309,780,697,109,11,9,14069,13679,11,1699,7094
"62","560011",0,0,0,2572,-678107.808334,823727.944482,56,11,3048,515,901,523,427,2393,242,249,501,19,22,5,1,5308,5274,0,819,2942
"63","500001",0,0,0,1436,1808438.20131,949476.386646,50,1,17938,2141,4845,3424,3161,14818,1238,1068,2852,175,29,50,0,29406,29207,67,4686,15835
"64","560019",0,0,0,2574,-843645.43836,778742.578493,56,19,3767,566,1088,522,480,2886,336,295,927,92,39,8,0,6700,6618,1,975,4044
"65","560021",0,0,0,2575,-720929.408763,459564.832548,56,21,42309,5730,10835,6397,7267,34021,2963,2534,6023,6625,422,474,56,68649,63127,1967,7633,38447
"66","500021",0,0,0,2958,1828544.83726,902660.31921,50,21,34801,3787,8799,5663,5092,26694,2931,2800,7721,273,59,110,7,58347,57978,84,10504,35006
"67","500025",0,0,0,2712,1869690.31076,845060.14908,50,25,21989,2560,5518,3082,2938,16941,1806,1683,4889,266,37,89,2,36933,36606,62,6390,22835
