,STATEFP,state_name,state_abbr,population,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03
0,1,Alabama,AL,4864680,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017619717168300013,0.035239434336600026,0.06754224914515006,0.08516196631345008,0.11452816159395009,0.14976759593055014,0.22905632318790017,0.2936619528050003,0.34945772383795026,0.3935070167587004,0.49041546118435037,0.5961337641941505,0.9837675418967509,1.3508449829030007,1.565218208450651,1.7296689020214513,1.9763449423776513,2.2054012655655524,2.223020982733852,2.1202392992521024,2.1496054945326017,2.631211097132803,2.6781970095816026,2.965985723330502,3.106943460676901,3.5180701946039012,4.081901143989504,4.604619419982405,4.325640564817652,4.786689830721504,5.118527837391151,5.2859151504900055,5.1567038912558045,5.118527837391155,4.598746180926304,4.592872941870204,4.290401130481054,3.8763377770260052,3.7383166592076527,4.034915231540704,4.020232133900452,4.193492686055401,4.269844793784704,4.375563096794504,4.457788443579905,4.290401130481056,4.178809588415149,3.861654679385753,3.6296617366698007,3.7236335615674045,4.105394100213904,4.30802084764935,4.619302517622657,4.954077143820358,5.1860700865363025,5.808633426482909,6.140471433152547,6.040626369198861,5.876175675628052,6.025943271558601,5.952527783357356,5.899668631852462,6.034753130142759,5.837999621763414,5.890858773268296,5.526717951790106,5.644182732912104,5.614816537631607,6.906929129973597,6.7924009683796465,6.745415055930855,7.268133331923759,7.9494290624313715,8.516196631344997,9.6144923348357,8.751126193589007,9.150506449403808,9.869978233776067,9.426548685040505,10.201816240445705,10.419126085521416,9.165189547044065,8.278330449572966,7.464886840303101,6.918675608085794,7.881886813286209,7.4825065574714085,7.021457291567556,7.78497836886055,9.215112079020896,11.079865479332666,12.69500621976016,13.385111808851905,15.02080888597575,15.702104616483357,16.122041208994517,15.631625747810167,15.743217289876068,15.540590542440627,14.530393424791432,12.938745640588293,12.28094286630512,12.289752724889256,13.954815997293606,14.683097640250026,15.214625774827043,16.251252468228717,15.916477842031018,19.737019848024065,20.403632480891424,20.256801504488926,20.27735784118527,22.559111214480108,22.843963308700932,24.996505422761647,22.620780224569152,22.729435147107015,23.492956224400018,26.614582782717157,25.381202580936183,26.679188412334288,28.29139253323373,31.324920505709365,33.68302598673357,35.54777938704529,34.98688505718773,36.95148352145319,39.018863669200364,39.42118054454324,39.19212422135534,38.478525676039126,37.43015250452537,38.54019468612825,37.92350458523775,37.870645433732825,36.07049766303817,35.897237110883225,35.26292729282444,35.14839913123043,33.91795554897749,34.41130762968987,32.94593448519296,35.6799272658075,33.90620907086535,33.28951896997474,31.92692750895961,31.803589488781558,31.063561367712996,31.78596977161328,29.04316713241464,30.42044169106995,29.803751590179477,29.753829058202655,26.32679406896828,23.51644918062438,21.751540844266337,20.847062029626873,17.572731255851263,19.117393127605606,19.65185788171058,20.23918178732057,21.50486480391016,20.415378959003583,19.460977612387392,22.62959008315329,20.206878972512055,22.835153450116845,25.178575833500677,25.116906823411682,27.47794892396392,29.880103697908776,27.451519348211473,30.4644909839908,26.385526459529178,24.262350540749203,24.10377308623447,23.24040694498769,20.788329639065914,20.306724036465702,17.590350973019408,18.14243544429298,18.441970636153915,18.530069221995486,17.158667902396246,18.914766380170086,19.04691425893231,19.2466043868398,19.587252252093613,18.183548117685664,18.089576292788088,19.140886083829887,18.22759741060645,18.562372036804,18.864843848193168,17.813534057151237,18.9382593363945,22.890949221149704,21.810273234827296,21.610583106919876,21.15247046054427,20.4682381105086,22.165604197721418,22.136238002440937,17.737181949422002,19.9367099759316,20.109970528086446,19.76344942377643,20.33021699268998,19.725273369911843,18.29807627927955,19.87210434631444,18.04846361939521,18.127752346652738,18.685710056982185,19.72233675038381,19.261287484479908,21.10548454809532,20.289104319297298,20.955716952164817,21.390336642316147,21.757414083322537,21.540104238246904,22.603160507400975,23.205167510651076,30.957843064703216,34.10589919877267,34.443610444498454,34.76076535352786,34.97220195954742,35.333406161497614,35.48904699648431,28.13281507871904,26.456005328202536,28.27964605512157,28.103448883438627,27.874392560250662,29.57469526699151,29.392624856252628,30.00637833761487,29.944709327525874,28.491082661141068,29.263413597018047,31.239758539395876,31.891688074623094,33.70945556248593,37.89120177042917,39.236173514276096,41.50911702898676,42.21390571571893,41.93786348008195,43.60586337201442,44.85099005190763,43.33275775590586,43.65284928446324,43.1213211498863,43.60292675248638,47.03583498077699,46.49256036808765,47.123933566618426,42.58391977625303,41.94960995819435,43.23584931148019,45.35315199120422,47.08869413228201,51.42020793615562,54.039672555176104,62.62341143566638,66.35585485581785,66.5085590712766,66.67594638437537,69.7887630841082,68.59649555572001,72.13218546749236,72.17036152135695,74.15551632231862,75.62969932539961,75.37127680693136,73.02785442354745,74.74577684745678,74.62831206633473,79.0185582607693,79.47373428761732,78.76307236182922,79.10372022708309,83.04172701419806,84.95346632695848,83.59381148547111,78.53401603864118,69.1691363636897,68.05909418208687,67.73312941447317,64.58507328040352,65.34272111864045,65.8536929165214,68.48490401365416,76.35210772929999,77.25071330488312,76.93355839585391,81.60572006498153,80.35765676556028,82.2370932635123,83.81112133054701,87.19410702686075,87.99874077754637,87.81960698633546,82.97418476505274,78.73370616654873,74.45211489465171,68.24997445141005,63.22835505844445,60.78215099157881,58.81461590778521,54.90010207689478,54.79732039341304,52.72113038708163,54.500721821080205,55.093918965746134,54.538897874944915,55.739975261917216,56.870573780216674,57.06145404953947,59.31384122755402,57.249397699334494,47.39703918272686,54.23642606355549,52.4215951952205,50.00769394316324,46.8978138629583,44.31065205874646,40.340342456822846,46.190088556699,37.541744046591184,36.67250466628866,34.440673824970354,32.33511762335885,28.623230539903357,27.45151934821167,25.093413867187078,24.98475894464926,24.247667443108575,22.970237948407107,20.849998649155427,19.95432969309981,19.22017481108716,18.00147770694639,17.361294649831898,17.370104508415743,19.04397763940428,20.711977531336224,19.80749871669702,19.4903438076682,19.66654097935108,18.820794555272318,18.350935430784894,15.998703188816632,20.362519807498757
1,2,Alaska,AK,733430,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019477951932310222,0.019477951932310222,0.019477951932310222,0.019477951932310222,0.05843385579693067,0.11686771159386133,0.175301567390792,0.21425747125541247,0.2532133751200329,0.38955903864620434,0.40903699057851467,0.6427724137662373,0.701206269563168,0.973897596615511,1.1102432601416827,1.3829345871940257,1.577714106517128,1.7919715777725398,1.6361479623140585,1.7724936258402302,1.6361479623140582,1.4803243468555767,1.3829345871940257,1.3050227794647842,1.3439786833294056,1.3439786833294056,1.5192802507201972,1.5582361545848182,1.7140597700432991,1.7140597700432991,1.6751038661786808,1.69458181811099,1.6751038661786783,1.4024125391263362,1.324500731397095,1.2660668756001645,1.2271109717355446,1.1102432601416814,0.9154637408185796,0.857029885021649,0.857029885021649,0.8180739811570307,0.7206842214954788,0.5843385579693064,0.48694879830775556,0.428514942510824,0.4674708463754464,0.42851494251082506,0.38955903864620367,0.3506031347815843,0.48694879830775556,0.5064267502400658,0.525904702172377,0.48694879830775556,0.38955903864620367,0.3311251828492721,0.38955903864620467,0.27269132705234256,0.27269132705234256,0.2337354231877232,0.2337354231877222,0.2726913270523456,0.25321337512003544,0.27269132705234256,0.2337354231877232,0.2921692789846548,0.3506031347815823,0.3700810867138955,0.31164723091696295,0.3506031347815823,0.27269132705234256,0.2921692789846527,0.31164723091696295,0.23373542318772422,0.2337354231877222,0.31164723091696495,0.2921692789846538,0.5453826541046861,0.6232944618339279,0.6038165099016167,1.1491991640063028,1.2271109717355435,1.5582361545848127,1.908839289366402,2.162052664486432,2.4736998954033984,2.6684794147265003,2.2983983280126035,2.53213375120033,2.356832183809542,2.4152660396064687,2.3373542318772302,2.356832183809534,2.7269132705234336,2.765869174388054,2.473699895403397,2.4931778473357076,2.551611703132636,2.454221943471087,2.317876279944918,2.123096760621808,2.162052664486436,2.2594424241479834,2.8243030301849825,2.7463912224557396,2.9996045975757744,3.213862068831188,3.2528179726958086,3.6423770113420124,3.9540242422589773,3.954024242258971,4.324105328972872,4.713664367619068,5.181135213994517,5.784951723896138,5.745995820031514,5.823907627760755,5.434348589114551,5.570694252640725,5.492782444911488,5.5512163007084165,5.901819435489991,7.4210996862101934,8.200217763502602,8.784556321471907,8.979335840795017,9.524718494899698,9.563674398764315,9.602630302628947,9.719498014222795,11.160866457213748,12.23215381349083,12.894404179189362,12.699624659866263,12.7970144195278,13.55665454488792,15.718707209374356,14.861677324352708,15.387582026525072,15.368104074592752,16.380957575072905,17.43276697941766,18.1144952970485,16.53678119053137,16.186178055749792,15.07593479560811,14.433162381841887,12.991793938850915,11.959462486438497,10.67391765890602,9.758453918087428,9.446806687170465,8.823512225336524,8.998813792727317,9.953233437410518,10.985564889822951,11.005042841755264,11.160866457213745,10.868697178229095,11.297212120739914,11.375123928469163,11.238778264942994,10.362270427989026,10.518094043447523,9.700020062290475,10.07010114900439,8.74560041760729,8.317085475096471,8.239173667367238,9.23254921591508,9.485762591035073,9.271505119779672,8.687166561810354,9.310461023644296,9.758453918087412,10.245402716395168,10.40122633185365,10.245402716395185,10.868697178229127,10.771307418567549,10.810263322432174,10.654439706973708,10.966086937890655,10.51809404344749,10.615483803109035,10.14801295673364,10.94660898595836,11.121910553349153,10.888175130161406,10.615483803109084,10.634961755041413,10.323314524124433,10.888175130161406,10.946608985958344,11.024520793687575,11.043998745619904,11.667293207453813,11.862072726776903,12.290587669287756,12.738580563730855,13.517698641023278,15.114890699472719,16.147222151885217,16.01087648835898,16.16670010381751,16.867906373380656,18.34823072023622,20.14020229800875,20.432371576993482,20.880364471436547,20.899842423368877,21.93217387578131,23.996836780606177,25.32133751200331,24.99021232915405,25.2239477523417,25.49663907939404,26.08097763736337,26.996441378181935,26.23680125282187,25.59402883905565,25.730374502581817,26.76270595499422,27.989816926729777,29.333795610059205,30.268737302810127,33.40468756391205,39.24807314360513,42.13081002958701,45.481017761944386,48.285842840197056,50.91536635105893,52.99950720781606,54.343485891145555,50.87641044719424,50.91536635105889,51.051712014585064,52.2203891305238,51.11014587038205,53.87601504477009,57.03144325780431,60.323217134364704,62.60213751044512,65.3290507809685,67.08206645487631,70.29592852370759,71.5230394954431,74.0356952947112,76.62626290170842,78.7883155661948,80.8335005190874,81.65157450024442,81.86583197149977,79.29474231643482,78.10658724856388,76.02244639180675,74.44473228528965,73.37344492901268,75.90557868021298,77.11321170001624,81.22305955773383,81.04775799034282,82.4891264333339,82.72286185652158,81.30097136546283,81.78792016377058,85.91724597342032,87.68973959926059,92.98774252484898,95.83152350696635,95.63674398764319,96.80542110358172,94.68232434296,92.0333228801658,89.48171117703312,81.32044931739503,78.92466122972097,77.50277073866242,71.93207648602167,72.36059142853252,67.70536091671056,64.99792559811924,61.394504490641985,52.843683592357465,47.60411452256604,50.740064783668196,45.89005475252283,43.689046184171666,34.24223949700133,34.962923718496704,36.852285055931134,36.22899059409701,31.164723091696164,31.612715986139456,36.092644930570714,36.092644930570714,44.468164261464416,44.46816426146428,47.117165724258484,47.31194524358164,46.182224031507495,42.73462653948887,50.46737345661586,40.92317700978375,40.06614712476208,39.20911723974041,35.52778432453384,37.28079999844184,37.35871180617102,35.41091661294,32.95669466946895,33.40468756391211,32.177576592176464,34.670754439512294,29.762310552570202,27.230176801369584,27.035397282046556,28.30146415764687,26.10045558929557,24.62013124244017,23.72414545355397,23.996836780606177,24.152660396064675,22.02956363544295,20.04281253834701,19.438996028445608,19.78959916322726,20.91932037530114,21.834784116119277,21.367313269744304,22.750247856938326,19.92594482675343,17.37433312362074,24.892822569492377,24.58117533857538,24.07474858833575,23.412498222636714,21.484180981338017,21.484180981338017,21.484180981338017,12.095808149964537,19.361084220716293,16.575737094396054,17.783370114199247,18.952047230137914,18.952047230137914,18.952047230137914,25.47716112746184,16.848428421448393,19.244216509122452,18.698833855018034,16.75103866178688,16.75103866178688,16.75103866178688,17.74441421033459,19.49742988424246,19.7506432593626
2,4,Arizona,AZ,6946685,,,,,,,,0.002056479354643875,0.002056479354643875,0.002056479354643875,0.002056479354643875,0.002056479354643875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002056479354643875,0.002056479354643875,0.002056479354643875,0.004112958709287749,0.0082259174185755,0.0082259174185755,0.010282396773219373,0.008225917418575498,0.014395355482507127,0.014395355482507127,0.01233887612786325,0.014395355482507121,0.016451834837151003,0.0246777522557265,0.02879071096501425,0.03907310773823362,0.07814621547646726,0.1254452406332764,0.1891961006272365,0.2879071096501425,0.4441995406030769,0.6292826825210256,0.7691232786368091,0.9480369824908264,1.2236052160131055,1.3757846882567522,1.5978844585582908,1.922808196592023,1.9988979327138463,2.0791006275449577,2.2456754552711113,2.2703532075268384,2.5623732758862685,2.753625855868147,2.667253722973104,2.6302370945895155,2.7001573926474083,2.9160877248850143,2.761851773286724,2.8256026332806843,2.6117287803977214,2.541808482339831,2.5274131268573217,2.5418084823398277,2.500678895246953,2.8687886997282055,2.7268916242577776,2.8585063029549866,2.8009248810249567,2.9716126674604006,3.078549593901882,3.1566958093783453,3.1628652474422796,3.210164272599087,3.2841975293662693,3.397303893871682,3.4898454648306574,3.5844435151442746,3.8641247073758427,3.942270922852308,4.2857029750778395,4.3473973557171535,4.530424018280458,4.847121838895609,5.151480783382906,4.723733077616984,5.272813065306896,5.338620404655499,5.09801232016216,5.060995691778577,4.999301311139261,5.077447526615726,5.61213215882313,5.435274934323762,5.492856356253786,5.795158821386439,5.737577399456419,5.8198365736421716,5.595680323985984,5.431161975614474,5.015753145976406,4.954058765337095,4.939663409854591,4.9170421369535,4.55921472924546,4.863573673732767,5.034261460168206,5.875361516217546,6.611581125180062,7.3971562386540155,7.325179461241468,9.186293277194194,10.247436624190422,10.395503137724786,12.141454109817444,12.877673718779947,14.370677730251398,15.707389310769916,14.695601468285124,15.908924287525029,17.905765740884217,18.09290536215681,19.0347729065837,18.567952093079555,19.010095154328003,22.419737924327535,22.987326226209227,25.101387002783138,28.270421688289357,31.721194045381772,34.369939454163095,36.52718629718451,39.27669919434337,39.171818747256516,40.23707505296204,40.64014500647225,41.03498904256386,43.792727857141294,40.79026799936124,43.19017940623064,49.24239814694759,49.762687423672496,51.86029636540919,50.30971093200776,49.69482360496925,55.40155381410601,52.97490817562623,50.50301999134432,52.004249920234315,51.52097727189305,52.183163624088365,50.08144172364223,46.01372556015667,47.23116133810591,46.684137829770634,45.133552396369105,44.47753548223769,43.889382386809565,43.52538554103762,44.01482762744279,42.37170062308236,39.58311461818523,37.6315157106283,36.64029266169002,38.501406477642604,37.83305068738342,38.24640303766689,35.50305957857193,36.40379753590579,36.76162494361389,36.43258824687083,34.88611577217879,33.79206875550816,32.0564001801887,29.907379254585845,28.521312169555976,26.403138434272737,22.613046983664,18.934005418206134,17.712456681547728,16.715064194545384,16.951559320329448,14.995847454063162,14.613342294099311,13.79075055224192,13.251952961325125,13.301308465836557,13.147072514238387,12.64940451041444,12.433474178176832,11.218094879582363,10.518891899003327,10.773895338979205,9.383715295239979,9.036170284305106,8.970362944956573,8.075794425686516,7.952405664407836,7.750870687652813,7.0084816406262815,7.358083130915735,7.0845713767481096,6.338069371012417,6.998199243853053,7.798169712809665,8.209465583738295,8.639269768858933,8.384266328883184,8.4418477508132,7.5534486696070156,7.506149644450163,6.247584279408004,5.83834488783402,5.367411115620533,5.6388663904334475,5.665600622043842,6.512870116157111,6.915940069667353,9.585250271995067,12.622670278804046,11.150231060879118,11.316805888605229,11.35999195505266,11.577978766644978,11.047407093146896,8.608422578539246,5.560720174957039,6.732913407104012,6.61980704259856,6.710292134203103,6.868641044510631,6.638315356790437,6.920053028376775,7.014651078690349,7.36013961027038,7.240863807701122,7.3580831309158,7.715910538623835,8.322571948243876,8.6228179340217,8.890160250125389,9.422788402978313,9.908117530674255,10.243323665481123,9.89577865454625,10.492157667392998,10.983656233153072,11.119383870559432,11.160513457652282,11.462815922784946,12.053025497567758,12.729607205245625,12.931142182000713,12.680251700733931,13.165580828430068,13.338325094220247,14.50023592959399,14.930040114714497,14.845724461174086,15.034920561801234,15.621017177874949,16.84050943517871,18.63992887049192,19.09235432851366,18.71396212725917,19.9128895910166,19.729862928453453,21.249601171535232,22.33747875014186,23.48910718874244,24.29730357511744,25.403689467915942,27.97634514057524,29.49402690430244,28.38147157344,32.15305470985699,32.93657334397637,33.364321049742166,33.99977317032705,36.685535207492066,39.811383826550745,45.57775193697229,45.82658593888404,48.52674333153137,49.71538839851577,53.4869715349327,54.8236831154512,55.880713503738015,52.47518369244764,53.08801454013168,53.00986832465527,54.079237589070026,49.06348444309346,62.33394571861053,64.15804290617974,69.5295669805095,74.77153285549672,78.99348497058041,78.72408617512208,80.8566552658879,85.15469711709362,84.9655010164662,86.19321919118867,88.62603426773227,91.45163690101319,91.2459889655486,111.24525068946033,97.59845369204335,96.83755633082546,99.6713848815247,94.36772462589813,92.85209934152564,92.44902938801546,84.08121489396945,88.90160250125493,91.25832784167662,92.51689320671878,88.33607067872761,87.33867819172532,84.08532785267887,88.98591815479527,82.66430061861969,81.55997120517597,82.93164293472338,88.99208759285908,94.36155518783418,127.28578965568249,117.02807063471872,125.70846999067076,130.08671453670766,132.7539682596806,147.81767953244722,149.5841952980861,127.83486964337251,136.2376442864475,137.91367496048198,133.79454681313058,134.00636418665894,124.31623346757677,119.96266667379574,113.79734156857323,105.93130803706065,97.24885220175462,102.87126675735064,102.21319336386452,98.04470971200135,97.39280575657929,100.13409273632013,100.66260793046318,99.91404944537264,96.4344863773149,87.86719338586876,83.316204574042,79.03872751638248,74.03736972588844,70.38711887139574,65.46185081702346,59.01684451956992,56.882218949449715,53.98463953875632,49.71127543980661,45.851263691139785,42.715132675308006,45.437911340856644,43.132597984300965,39.194440020157344,35.34265418890963,32.68568286270992,34.27122844514036,32.113981602118656,23.452090560358815,23.587818197765177,21.516943487638855,22.23671126176435,22.76316997655288,22.024893888235706,22.732322786233585,23.888064183542934,22.440302717873887,22.086588268875598,21.198189187668895,18.859972161439405,18.477467001475297,17.210675719014812,15.878077097205928,16.262638736523773
